Date,Open,High,Low,Close
20151127,53.36,54.20,53.36,53.96
20151130,54.04,54.11,53.00,53.01
20151201,53.77,54.64,53.44,54.57
20151202,54.66,54.99,53.75,53.82
20151203,54.07,54.09,52.24,52.59
20151204,52.87,53.68,52.83,53.64
20151207,54.02,54.23,53.18,53.68
20151208,53.57,54.40,53.22,53.47
20151209,53.28,53.61,52.52,52.82
20151210,53.02,53.98,52.82,53.69
20151211,53.00,53.28,52.02,52.15
20151214,52.15,52.36,51.65,52.20
20151215,52.48,53.19,52.23,52.90
20151216,53.42,54.11,53.00,54.02
20151217,54.11,54.25,52.66,52.66
20151218,52.15,52.32,51.61,51.64
20151221,52.15,52.15,51.20,51.87
20151222,52.01,52.23,51.28,52.10
20151223,52.38,53.22,52.36,52.98
20151224,52.79,53.13,52.61,52.85
20151228,52.79,53.04,52.57,52.84
20151229,52.97,53.61,52.91,53.34
20151230,53.34,53.58,53.08,53.25
20151231,52.80,53.29,52.66,52.82
20160104,52.01,52.61,51.61,52.48
20160105,52.79,53.47,52.67,53.15
20160106,52.51,52.95,52.21,52.42
20160107,51.52,52.32,51.44,51.96
20160108,52.51,52.52,50.86,51.08
20160111,51.25,51.54,50.61,51.25
20160112,51.51,52.07,50.98,51.76
20160113,51.91,52.06,50.58,50.66
20160114,50.67,52.11,50.59,51.80
20160115,50.50,51.30,50.10,51.14
20160119,51.60,51.91,50.81,51.34
20160120,50.29,51.02,49.30,50.55
20160121,50.78,51.32,50.09,50.92
20160122,51.44,51.74,50.95,51.35
20160125,51.35,51.44,50.76,50.92
20160126,51.05,51.60,50.76,51.45
20160127,50.66,51.57,49.83,50.37
20160128,50.33,50.54,48.98,49.20
20160129,49.80,50.67,49.58,50.67
20160201,50.39,50.98,49.84,50.75
20160202,50.27,50.51,49.90,50.41
20160203,49.62,50.11,48.58,50.05
20160204,49.70,49.74,48.03,48.59
20160205,48.60,49.72,48.27,49.38
20160208,48.93,49.33,47.97,48.83
20160209,48.69,49.57,48.40,49.16
20160210,49.51,50.41,49.49,49.53
20160211,48.81,49.39,48.51,48.85
20160212,48.98,49.11,48.28,49.03
20160216,49.40,49.99,49.24,49.78
20160217,50.00,50.65,49.96,50.60
20160218,50.60,50.99,50.25,50.32
20160219,50.25,50.40,49.87,50.12
20160222,50.28,50.78,50.13,50.77
20160223,50.56,50.94,50.43,50.54
20160224,50.16,50.62,49.63,50.56
20160225,50.56,51.00,50.39,51.00
20160226,51.05,51.13,50.63,50.64
20160229,50.52,50.83,50.15,50.21
20160301,50.39,51.94,50.09,51.75
20160302,51.63,52.44,51.52,52.27
20160303,52.18,52.32,51.15,52.10
20160304,51.85,52.29,51.50,52.08
20160307,51.84,52.93,51.75,52.64
20160308,52.36,52.93,52.29,52.45
20160309,52.58,52.89,52.10,52.36
20160310,52.69,53.24,52.43,53.04
20160311,53.02,53.46,52.78,53.20
