Date,Open,High,Low,Close
20151127,17.85,18.00,17.39,17.44
20151130,17.57,17.86,17.37,17.51
20151201,17.57,17.69,17.32,17.63
20151202,17.41,17.67,16.58,16.67
20151203,16.85,16.93,16.29,16.55
20151204,16.22,16.38,15.70,16.12
20151207,15.54,15.54,14.68,14.78
20151208,14.25,14.98,14.07,14.92
20151209,14.89,15.44,14.41,14.50
20151210,14.43,14.96,14.26,14.74
20151211,14.38,14.50,14.10,14.34
20151214,14.16,14.23,13.41,13.96
20151215,14.27,14.50,13.93,14.46
20151216,14.47,14.48,13.48,13.78
20151217,13.79,13.97,12.65,12.78
20151218,12.78,12.99,12.40,12.47
20151221,12.54,12.77,12.11,12.52
20151222,12.54,12.88,12.45,12.69
20151223,13.07,13.97,12.99,13.96
20151224,13.98,14.11,13.59,13.93
20151228,13.53,13.57,12.82,12.98
20151229,13.35,13.44,12.76,13.03
20151230,12.73,13.07,12.35,12.38
20151231,12.33,12.66,12.22,12.59
20160104,12.56,13.00,12.38,12.82
20160105,12.79,12.86,12.33,12.76
20160106,12.25,12.27,11.14,11.28
20160107,10.83,11.18,10.55,10.67
20160108,10.78,10.91,9.86,10.35
20160111,10.40,10.41,9.37,9.62
20160112,9.70,9.76,8.71,9.19
20160113,9.40,9.64,8.44,8.54
20160114,8.70,9.24,8.36,9.07
20160115,8.14,8.37,7.71,8.14
20160119,8.21,8.26,7.49,7.68
20160120,7.34,8.04,7.08,7.86
20160121,7.75,8.89,7.72,8.79
20160122,10.19,10.63,8.64,9.02
20160125,8.75,9.19,8.12,8.14
20160126,8.36,8.50,7.93,8.45
20160127,8.34,9.35,8.18,8.75
20160128,9.34,9.55,8.84,9.17
20160129,9.22,9.85,9.17,9.73
20160201,9.38,9.80,9.22,9.74
20160202,9.32,9.35,8.69,8.74
20160203,9.02,9.43,8.44,9.42
20160204,9.55,10.28,9.09,9.19
20160205,9.07,9.10,8.34,8.46
20160208,8.26,8.46,7.63,7.82
20160209,7.63,7.71,7.03,7.29
20160210,7.23,7.62,7.01,7.13
20160211,6.92,7.30,6.52,7.06
20160212,7.22,7.66,7.05,7.49
20160216,7.76,7.84,7.18,7.40
20160217,7.67,7.72,6.75,7.41
20160218,7.60,7.62,6.70,6.93
20160219,6.85,6.88,6.52,6.73
20160222,6.97,7.50,6.85,7.49
20160223,7.30,7.46,6.90,7.03
20160224,6.75,7.25,6.66,7.22
20160225,7.25,7.43,6.96,7.39
20160226,7.75,8.20,7.59,8.03
20160229,8.49,8.53,7.97,8.21
20160301,8.21,8.21,7.56,7.96
20160302,7.94,9.15,7.90,9.10
20160303,9.03,10.00,8.97,9.97
20160304,10.36,11.48,10.08,11.00
20160307,11.12,11.59,10.72,11.03
20160308,10.84,10.87,9.92,10.12
20160309,10.51,10.68,10.08,10.48
20160310,10.31,10.62,10.01,10.59
20160311,11.14,11.35,10.95,11.16
20160314,10.86,11.32,10.68,11.09
20160315,10.85,11.31,10.60,11.31
20160316,11.59,11.83,11.09,11.52
20160317,11.72,11.75,11.31,11.45
20160318,11.72,11.88,11.20,11.63
20160321,11.47,11.84,11.26,11.43
20160322,11.26,11.58,11.25,11.31
20160323,11.31,11.31,10.12,10.19
20160324,9.77,10.45,9.65,10.29
20160328,10.33,10.44,9.81,10.16
20160329,9.92,10.47,9.77,10.40
20160330,10.73,10.80,10.24,10.53
20160331,10.52,11.24,10.42,11.14
20160401,10.75,10.79,10.39,10.56
20160404,10.52,11.00,10.41,10.53
20160405,10.40,10.87,10.32,10.63
20160406,10.81,11.26,10.68,11.02
20160407,10.88,11.29,10.78,11.22
20160408,11.66,11.78,11.41,11.78
20160411,11.92,12.16,11.62,11.67
20160412,12.03,13.39,11.87,13.12
20160413,12.97,13.30,12.51,12.92
20160414,13.02,13.23,12.72,13.11
20160415,12.92,13.22,12.74,13.01
20160418,12.29,13.54,12.28,13.36
20160419,13.54,14.17,13.45,13.95
20160420,13.89,14.35,13.51,14.06
20160421,14.18,14.25,13.77,13.86
20160422,13.97,14.40,13.95,14.34
20160425,14.25,14.29,13.71,13.83
20160426,14.09,14.54,13.88,14.44
20160427,14.70,15.15,14.46,14.84
20160428,14.79,15.07,14.33,14.35
20160429,14.54,14.88,13.72,14.09
20160502,14.02,14.08,13.12,13.55
20160503,13.14,13.39,12.51,12.79
20160504,12.85,13.08,12.09,12.17
20160505,12.75,12.81,11.89,12.07
20160506,11.87,12.54,11.78,12.03
20160509,11.89,11.96,11.28,11.44
20160510,11.54,11.95,11.46,11.94
20160511,11.91,12.83,11.58,12.46
20160512,12.73,13.14,12.16,12.33
20160513,12.24,12.61,12.18,12.30
20160516,12.77,13.13,12.70,12.78
20160517,12.90,13.20,12.68,12.86
20160518,12.78,13.08,12.56,12.66
20160519,12.35,12.88,12.11,12.74
20160520,12.83,13.11,12.58,13.11
20160523,12.87,13.29,12.83,13.19
20160524,13.24,13.30,12.90,13.02
20160525,13.23,13.60,13.14,13.54
20160526,13.80,13.89,13.17,13.17
20160527,13.06,13.10,12.77,12.90
20160531,13.11,13.59,12.94,13.07
20160601,12.88,13.32,12.68,13.23
20160602,13.01,13.47,12.96,13.38
20160603,13.36,13.57,13.07,13.32
20160606,13.65,14.00,13.52,13.96
20160607,14.15,14.75,13.97,14.62
20160608,15.00,15.15,14.42,14.53
20160609,14.18,14.47,14.10,14.26
20160610,13.97,13.99,13.40,13.42
20160613,13.24,13.71,13.15,13.28
20160614,13.26,13.50,12.84,13.23
20160615,13.06,13.49,12.89,13.06
20160616,12.90,12.91,12.22,12.67
20160617,12.98,13.38,12.93,13.16
20160620,13.85,14.73,13.83,14.48
20160621,14.74,15.18,14.20,15.09
20160622,15.13,15.32,14.56,14.75
20160623,15.02,15.28,14.78,15.27
20160624,14.31,14.94,14.28,14.59
20160627,14.30,14.42,13.12,13.66
20160628,14.28,14.83,14.17,14.78
20160629,15.02,15.45,14.84,15.14
20160630,15.02,15.15,14.76,15.01
20160701,14.88,15.84,14.85,15.68
20160705,15.21,15.45,14.45,14.72
20160706,14.56,15.00,14.43,14.84
20160707,15.20,15.40,14.56,14.74
20160708,15.06,15.17,14.68,14.92
20160711,15.00,15.14,14.66,14.69
20160712,15.03,15.73,15.01,15.60
20160713,15.44,15.74,15.13,15.29
20160714,15.55,15.76,15.21,15.27
20160715,15.41,15.51,15.10,15.21
20160718,15.04,15.21,14.73,15.18
20160719,15.06,15.13,14.65,14.75
20160720,14.62,14.94,14.14,14.84
20160721,14.80,15.08,14.37,14.42
20160722,14.49,14.52,14.03,14.11
20160725,13.94,14.06,13.50,13.58
20160726,13.49,13.83,13.41,13.78
20160727,13.89,14.09,13.06,13.13
20160728,13.19,13.45,13.08,13.35
20160729,13.21,13.74,13.11,13.64
20160801,13.42,13.43,12.84,12.92
20160802,13.12,13.23,12.47,12.90
20160803,12.97,13.42,12.67,13.42
20160804,13.60,13.90,13.05,13.41
20160805,13.47,13.94,13.30,13.87
20160808,14.10,14.68,14.10,14.25
20160809,14.35,14.52,14.22,14.42
20160810,14.48,14.59,13.95,13.98
20160811,14.15,14.63,14.01,14.45
20160812,14.60,14.92,14.55,14.72
20160815,14.94,15.06,14.78,14.90
20160816,15.12,15.25,14.71,15.17
20160817,15.07,15.75,14.93,15.70
20160818,15.87,16.73,15.80,16.68
20160819,16.52,16.85,16.48,16.80
20160822,16.20,16.25,15.45,15.64
20160823,15.73,16.55,15.67,16.43
20160824,16.34,16.53,15.97,16.06
20160825,16.02,16.28,15.91,16.01
20160826,16.07,16.32,15.75,15.95
20160829,15.84,16.08,15.73,15.99
20160830,15.99,16.16,15.42,15.55
20160831,15.40,15.51,14.92,15.02
20160901,14.96,15.26,14.82,15.11
20160902,15.37,15.69,15.35,15.49
20160906,15.57,15.71,15.28,15.64
20160907,15.80,15.93,15.47,15.69
20160908,15.89,16.90,15.77,16.74
20160909,16.44,16.61,15.67,15.67
20160912,15.40,15.74,15.07,15.47
20160913,15.09,15.10,14.23,14.34
20160914,14.30,14.58,13.95,14.01
20160915,14.12,14.50,14.08,14.26
20160916,13.95,14.28,13.90,14.24
20160919,14.50,14.63,14.08,14.09
20160920,14.02,14.31,13.80,13.87
20160921,14.11,14.68,14.07,14.65
20160922,14.80,15.23,14.74,14.87
20160923,14.71,15.10,14.26,14.49
20160926,14.55,14.85,14.38,14.41
20160927,14.16,14.22,13.90,14.06
20160928,14.21,15.24,13.84,15.18
20160929,15.28,16.25,15.28,15.90
20160930,15.95,16.16,15.76,15.81
20161003,15.89,16.09,15.61,15.98
20161004,16.02,16.14,15.52,15.63
20161005,15.93,16.40,15.87,16.12
20161006,16.27,16.34,15.82,16.08
20161007,16.11,16.18,15.50,15.56
20161010,15.84,15.95,15.61,15.72
20161011,15.60,15.65,14.92,15.08
20161012,15.00,15.06,14.78,14.94
20161013,14.77,14.93,14.52,14.78
20161014,14.87,14.94,14.54,14.58
20161017,14.39,14.56,14.03,14.18
20161018,14.40,14.42,14.01,14.20
20161019,14.35,14.86,14.31,14.65
20161020,14.47,14.70,14.27,14.70
20161021,14.57,14.75,14.50,14.64
20161024,14.59,14.77,14.26,14.59
20161025,14.45,14.65,14.15,14.18
20161026,13.99,14.39,13.90,14.25
20161027,14.35,14.40,13.88,13.95
20161028,13.88,14.23,13.65,13.72
20161031,13.65,13.68,13.14,13.18
20161101,13.37,13.53,12.87,13.27
20161102,13.06,13.10,12.36,12.78
20161103,13.77,14.76,13.71,14.15
20161104,13.91,14.20,13.66,13.69
20161107,14.10,14.26,13.92,14.15
20161108,14.03,14.37,13.98,14.25
20161109,14.18,15.07,14.18,14.88
20161110,14.73,15.23,14.63,15.14
20161111,14.94,15.07,14.37,14.89
20161114,14.70,15.00,14.45,14.93
20161115,15.24,15.85,15.15,15.70
20161116,15.55,15.93,15.35,15.56
20161117,15.80,16.07,15.44,15.46
20161118,15.52,15.83,15.49,15.62
20161121,16.08,16.58,16.04,16.48
20161122,16.41,16.73,16.01,16.55
20161123,16.37,16.80,16.29,16.78
20161125,16.63,16.63,16.14,16.28
20161128,16.55,16.58,15.51,15.54
20161129,15.14,15.16,14.71,14.95
20161130,16.38,18.55,16.38,18.06
20161201,19.12,19.14,17.58,17.89
20161202,17.84,18.39,17.84,18.20
20161205,18.55,18.73,18.29,18.39
20161206,18.12,18.62,17.93,18.35
20161207,18.21,18.49,18.09,18.42
20161208,18.50,18.59,18.17,18.38
20161209,18.56,18.58,18.08,18.25
20161212,19.15,19.28,18.48,18.49
20161213,18.81,19.00,18.33,18.80
20161214,18.59,18.95,18.16,18.20
20161215,17.86,18.59,17.56,18.24
20161216,18.34,19.02,18.22,18.59
20161219,18.65,18.70,18.30,18.51
20161220,18.61,18.79,18.24,18.31
20161221,18.56,18.59,18.05,18.08
20161222,18.12,18.35,18.00,18.04
20161223,17.98,18.20,17.94,18.06
20161227,18.10,18.20,18.00,18.14
20161228,18.11,18.29,17.84,17.85
20161229,17.78,17.83,17.44,17.57
20161230,17.57,17.82,17.21,17.31
20170103,17.74,18.06,17.29,17.76
20170104,17.71,18.09,17.54,18.05
20170105,18.10,18.27,17.88,18.18
20170106,18.17,18.17,17.83,17.88
20170109,17.64,17.75,17.40,17.40
20170110,17.50,17.58,17.35,17.48
20170111,17.56,17.76,17.47,17.69
20170112,18.03,18.10,17.33,17.44
20170113,17.33,17.49,17.24,17.45
20170117,17.63,17.70,17.40,17.44
20170118,17.26,17.48,17.15,17.33
20170119,17.33,17.51,17.21,17.27
20170120,17.49,17.75,17.42,17.61
20170123,17.48,17.61,17.27,17.42
20170124,17.55,17.91,17.50,17.70
20170125,17.69,17.88,17.67,17.75
20170126,17.80,17.93,17.64,17.75
20170127,17.68,17.70,17.28,17.41
20170130,17.27,17.34,16.36,16.53
20170131,16.55,16.75,16.28,16.75
20170201,17.03,17.12,16.23,16.59
20170202,16.64,16.77,16.29,16.68
