Date,Open,High,Low,Close
20151127,33.63,33.92,33.48,33.78
20151130,33.81,34.53,33.70,34.30
20151201,34.60,35.35,34.60,35.27
20151202,35.36,35.40,34.72,34.89
20151203,35.05,35.22,34.29,34.45
20151204,34.66,35.58,34.41,35.32
20151207,35.28,35.31,34.42,34.68
20151208,34.23,34.35,33.84,34.06
20151209,33.80,34.31,33.09,33.37
20151210,33.50,33.90,33.28,33.42
20151211,32.81,33.05,31.93,32.08
20151214,32.13,32.52,31.39,31.88
20151215,32.64,33.08,32.56,32.84
20151216,33.17,33.77,32.68,33.61
20151217,33.83,33.85,32.36,32.38
20151218,32.13,32.25,31.25,31.29
20151221,31.62,31.80,31.19,31.68
20151222,31.96,32.38,31.61,32.22
20151223,32.47,32.73,32.28,32.60
20151224,32.57,32.71,32.44,32.48
20151228,32.36,32.36,31.95,32.17
20151229,32.44,32.70,32.33,32.55
20151230,32.50,32.65,32.20,32.23
20151231,31.91,32.30,31.77,31.81
20160104,30.70,31.52,30.56,31.48
20160105,31.48,31.70,30.93,31.28
20160106,30.63,30.78,30.25,30.50
20160107,29.88,30.07,28.78,28.98
20160108,29.41,29.49,28.30,28.38
20160111,28.45,28.60,27.81,28.46
20160112,28.74,28.88,28.00,28.46
20160113,28.73,28.80,26.50,26.89
20160114,26.99,27.32,26.23,27.15
20160115,26.03,26.41,25.51,25.97
20160119,26.83,27.13,25.76,26.26
20160120,25.70,25.77,24.67,25.24
20160121,25.29,25.59,24.69,24.78
20160122,25.26,25.98,25.18,25.61
20160125,25.46,25.51,24.94,24.98
20160126,25.04,25.66,25.03,25.49
20160127,25.25,26.16,25.05,25.37
20160128,25.67,25.84,24.94,25.17
20160129,25.35,25.89,25.12,25.88
20160201,25.78,25.93,25.42,25.71
20160202,25.36,25.36,24.39,24.50
20160203,24.43,24.52,23.29,24.32
20160204,24.15,25.20,24.12,25.01
20160205,25.09,25.42,24.18,24.35
20160208,23.76,23.84,22.32,22.67
20160209,21.89,23.29,21.76,22.93
20160210,23.38,23.78,22.64,22.70
20160211,21.67,22.13,21.16,21.69
20160212,21.91,23.20,21.86,23.09
20160216,24.07,24.14,23.21,23.72
20160217,24.22,24.67,24.12,24.23
20160218,24.36,24.54,23.78,23.96
20160219,23.78,24.19,23.64,24.00
20160222,24.40,24.74,24.33,24.54
20160223,24.45,24.49,23.68,23.71
20160224,23.16,23.71,22.68,23.71
20160225,23.80,24.68,23.77,24.63
20160226,25.00,25.67,24.78,25.16
20160229,25.01,25.15,24.67,24.70
20160301,25.09,26.12,25.06,26.09
20160302,26.00,26.29,25.83,26.11
20160303,26.10,26.19,25.81,26.14
20160304,26.26,26.50,25.91,26.13
20160307,25.84,26.33,25.70,26.09
20160308,25.70,25.86,24.94,25.01
20160309,25.20,25.26,24.44,24.61
20160310,24.91,25.15,24.45,24.65
20160311,25.15,26.09,25.11,26.00
20160314,25.83,26.07,25.66,25.91
20160315,25.63,25.69,25.12,25.43
20160316,25.30,25.79,24.71,25.16
20160317,25.01,26.03,24.58,25.85
20160318,26.05,26.55,25.98,26.28
20160321,26.17,26.61,25.86,25.94
20160322,25.61,26.02,25.45,25.84
20160323,25.83,25.87,25.20,25.27
20160324,24.94,24.94,24.29,24.93
20160328,24.98,25.07,24.68,24.72
20160329,24.56,24.81,24.12,24.78
