Date,Open,High,Low,Close
20151127,71.98,72.15,70.98,72.02
20151130,72.22,72.22,71.60,71.78
20151201,72.10,72.32,71.67,72.05
20151202,72.27,72.44,71.80,71.89
20151203,72.13,72.22,70.86,71.08
20151204,71.30,72.39,71.30,72.11
20151207,71.73,71.98,70.28,70.38
20151208,69.78,70.30,69.26,69.75
20151209,69.44,69.81,68.73,69.31
20151210,69.16,70.08,69.09,69.37
20151211,68.55,68.81,67.85,68.61
20151214,68.51,69.03,67.89,68.14
20151215,68.59,69.79,68.43,69.13
20151216,69.52,69.89,68.99,69.52
20151217,69.80,70.49,68.56,68.56
20151218,68.26,68.55,67.55,67.58
20151221,67.76,68.14,67.62,68.03
20151222,68.35,69.16,67.90,68.87
20151223,69.29,69.42,68.87,69.21
20151224,69.24,69.39,68.87,69.06
20151228,68.86,69.32,68.68,69.18
20151229,69.51,69.78,69.44,69.64
20151230,69.56,69.89,69.20,69.30
20151231,69.00,69.24,68.45,68.45
20160104,67.67,67.67,66.62,67.13
20160105,66.50,67.11,65.82,66.39
20160106,65.57,66.58,65.25,65.43
20160107,64.63,65.29,63.54,64.11
20160108,64.33,64.95,64.00,64.25
20160111,64.66,64.97,63.86,64.37
20160112,64.93,65.05,63.85,64.91
20160113,65.07,65.15,63.20,63.37
20160114,63.66,63.91,62.98,63.11
20160115,61.80,62.28,61.21,61.59
20160119,62.30,62.36,60.66,61.13
20160120,60.38,60.76,59.13,60.36
20160121,60.40,61.27,60.03,60.82
20160122,61.56,62.12,61.41,62.04
20160125,61.93,62.87,61.59,62.42
20160126,62.51,63.43,62.40,63.16
20160127,63.89,65.99,63.47,64.80
20160128,64.96,65.45,64.38,64.74
20160129,65.05,66.79,64.73,66.77
20160201,66.58,67.20,66.22,66.85
20160202,66.09,66.43,64.01,64.32
20160203,64.65,65.60,63.85,64.88
20160204,64.70,64.91,63.81,64.25
20160205,63.99,64.26,62.52,62.82
20160208,62.22,62.48,61.25,62.09
20160209,61.49,63.40,61.48,62.24
20160210,62.72,63.17,60.90,60.97
20160211,60.19,60.83,59.78,60.52
20160212,61.00,61.96,60.68,61.78
20160216,62.47,63.46,62.36,63.42
20160217,63.93,65.19,63.74,65.05
20160218,65.17,65.41,64.67,64.78
20160219,64.78,66.06,64.33,66.00
20160222,66.46,67.13,66.22,66.75
20160223,70.04,72.71,69.31,70.78
20160224,70.89,73.00,70.75,72.84
20160225,72.99,74.18,72.67,74.06
20160226,74.30,75.81,74.06,74.86
20160229,75.00,75.27,72.95,73.49
20160301,70.94,71.68,69.31,71.19
20160302,71.20,71.34,70.39,71.28
20160303,71.20,71.58,70.75,71.25
20160304,71.66,71.75,70.78,70.95
20160307,70.67,71.19,70.47,71.01
20160308,70.71,71.45,70.64,71.10
20160309,71.34,71.83,71.17,71.48
20160310,71.83,72.63,70.68,71.22
20160311,71.46,71.75,70.90,71.20
20160314,71.00,72.00,70.59,71.83
20160315,71.51,72.64,71.51,71.97
20160316,71.96,72.41,71.34,72.24
20160317,72.53,73.77,72.25,72.83
20160318,72.99,73.03,72.51,72.59
20160321,72.41,73.31,71.96,73.12
20160322,73.02,74.04,72.72,73.71
20160323,73.71,73.71,72.85,73.15
20160324,73.04,73.04,72.40,72.59
20160328,72.75,73.91,72.75,73.37
20160329,73.50,74.39,73.26,74.09
20160330,74.50,75.38,74.29,74.89
20160331,74.78,75.83,74.78,75.70
20160401,75.30,76.59,75.02,76.11
20160404,75.40,76.83,75.13,76.32
20160405,75.97,76.22,75.09,75.71
20160406,75.93,76.15,75.17,76.09
20160407,75.77,75.92,74.86,74.99
20160408,75.52,75.60,75.07,75.24
20160411,75.37,75.58,74.76,74.88
20160412,75.02,75.14,74.60,75.04
20160413,75.54,75.58,75.01,75.37
20160414,75.45,75.67,74.90,75.31
20160415,75.18,75.77,74.88,75.64
20160418,75.36,75.70,75.00,75.69
20160419,75.99,76.00,75.53,75.97
20160420,75.90,75.90,74.91,75.55
