Date,Open,High,Low,Close
20151127,125.20,125.51,124.17,125.45
20151130,125.43,125.96,124.66,125.33
20151201,126.13,126.73,124.89,126.15
20151202,126.32,126.68,124.81,125.07
20151203,125.52,125.88,122.44,122.79
20151204,123.66,126.43,123.13,126.06
20151207,125.61,126.00,124.42,125.59
20151208,124.37,124.99,123.28,123.56
20151209,123.01,123.79,120.19,120.98
20151210,121.28,123.93,120.69,122.65
20151211,120.61,121.27,119.50,120.41
20151214,121.03,121.58,118.64,120.87
20151215,122.28,124.87,121.65,124.26
20151216,124.99,126.74,123.39,126.42
20151217,126.99,127.39,124.66,124.74
20151218,124.17,124.22,119.98,120.03
20151221,121.21,122.16,119.37,120.64
20151222,121.06,122.03,119.95,121.77
20151223,122.31,123.37,121.70,123.25
20151224,122.89,124.00,122.57,123.33
20151228,122.62,122.72,121.08,122.66
20151229,123.19,124.23,122.90,124.00
20151230,123.85,123.99,122.60,122.64
20151231,121.80,122.90,121.18,121.18
20160104,119.24,119.24,116.23,117.48
20160105,117.87,118.99,117.08,118.13
20160106,116.35,117.23,115.28,115.74
20160107,113.98,114.57,111.90,112.48
20160108,113.54,113.60,109.96,110.17
20160111,110.09,111.26,108.32,109.13
20160112,110.38,110.74,109.02,110.49
20160113,110.98,111.16,106.49,106.72
20160114,107.05,107.99,105.42,107.21
20160115,105.82,105.88,102.72,104.49
20160119,105.69,108.23,104.42,106.35
20160120,104.12,106.08,101.91,104.73
20160121,104.72,104.95,101.83,102.24
20160122,103.74,105.32,102.19,104.58
20160125,104.17,104.46,101.51,101.79
20160126,102.26,105.90,101.98,105.68
20160127,105.31,109.34,104.65,107.55
20160128,107.93,109.60,106.91,108.20
20160129,109.04,110.23,108.59,110.18
20160201,109.78,110.17,107.16,108.16
20160202,106.57,106.57,104.78,105.56
20160203,105.93,106.26,103.17,106.17
20160204,105.90,109.56,105.88,108.19
20160205,108.20,109.82,106.95,107.80
20160208,105.63,106.36,104.61,105.90
20160209,104.44,108.28,104.34,107.52
20160210,108.22,108.87,105.38,105.47
20160211,102.42,103.79,100.08,100.78
20160212,102.59,106.41,102.59,105.93
20160216,107.72,110.25,106.23,108.88
20160217,109.86,111.09,107.86,108.53
20160218,108.98,108.99,105.28,106.16
20160219,105.73,107.36,104.84,107.05
20160222,108.44,109.64,108.33,109.44
20160223,108.98,109.88,105.57,105.97
20160224,104.39,105.16,101.95,104.85
20160225,105.16,106.11,103.44,105.29
20160226,105.50,107.35,103.83,106.25
20160229,106.34,106.34,102.53,102.55
20160301,103.38,105.79,103.17,105.20
20160302,105.38,108.97,104.73,108.88
20160303,108.61,109.87,107.66,109.85
20160304,110.26,111.46,108.66,110.23
20160307,109.26,110.08,108.63,109.71
20160308,108.54,108.92,107.12,107.82
20160309,108.76,108.98,107.46,108.00
20160310,109.07,109.23,106.05,107.79
20160311,108.90,111.45,108.18,111.32
20160314,111.24,112.23,110.35,111.57
20160315,110.29,111.61,110.04,111.38
20160316,110.90,112.14,109.26,110.66
20160317,110.28,111.39,108.79,111.08
20160318,111.62,113.39,111.62,112.61
20160321,112.18,113.34,111.70,112.52
20160322,111.36,113.01,111.05,112.44
20160323,112.50,113.02,111.48,111.97
20160324,111.06,111.26,109.75,111.25
20160328,111.72,112.73,110.68,111.33
20160329,110.53,111.22,109.16,111.15
20160330,111.35,113.30,110.37,111.97
20160331,111.59,112.36,110.84,111.00
20160401,111.06,112.82,109.56,112.42
20160404,112.15,112.97,111.59,112.18
20160405,110.88,111.15,109.79,109.98
20160406,109.84,111.14,109.17,110.87
20160407,109.78,110.12,107.01,107.81
20160408,108.85,110.12,108.25,108.86
20160411,109.48,111.13,109.31,109.77
20160412,109.45,111.78,109.35,111.45
20160413,112.80,115.80,112.60,115.53
20160414,115.18,117.83,115.10,116.22
20160415,116.57,116.67,114.01,114.81
20160418,114.35,116.22,112.81,115.81
20160419,115.47,118.03,115.04,117.85
20160420,118.33,121.11,117.72,120.26
20160421,119.37,120.16,118.20,118.30
20160422,117.87,119.78,116.37,119.04
20160425,118.33,119.05,117.31,118.89
20160426,119.32,119.94,118.60,119.63
20160427,119.59,120.88,118.61,120.43
20160428,119.14,120.61,118.67,119.14
20160429,118.65,119.08,117.51,118.32
20160502,118.92,119.41,117.80,118.95
20160503,117.55,117.55,115.44,116.69
20160504,115.31,115.93,113.18,114.12
20160505,114.33,115.14,113.56,114.22
20160506,113.67,114.91,113.52,114.69
20160509,114.55,114.85,113.27,113.89
20160510,114.78,115.95,114.28,115.79
20160511,115.24,116.50,114.90,115.47
20160512,116.14,116.88,114.37,115.11
20160513,114.82,115.76,112.64,113.23
20160516,113.01,114.61,112.57,114.05
20160517,113.58,114.80,112.41,113.17
20160518,113.19,116.76,112.94,116.74
20160519,115.88,117.09,114.24,115.82
20160520,116.57,117.44,115.85,116.39
20160523,116.42,116.55,114.73,115.83
20160524,116.51,118.45,116.30,117.80
20160525,118.72,120.00,118.60,119.00
20160526,118.88,119.36,117.84,118.47
20160527,118.18,119.37,117.89,119.37
20160531,119.87,120.10,118.66,119.50
20160601,119.50,119.51,117.26,119.27
20160602,118.74,120.12,118.38,120.08
20160603,118.48,118.48,115.78,118.29
