Date,Open,High,Low,Close
20151127,340.82,345.16,339.45,344.77
20151130,344.11,345.45,341.24,342.78
20151201,344.49,346.44,339.55,342.17
20151202,341.23,344.32,335.31,336.12
20151203,336.48,338.20,330.02,332.17
20151204,332.35,341.05,331.83,338.72
20151207,337.19,339.92,335.40,338.66
20151208,338.06,339.95,330.58,334.36
20151209,332.63,335.65,328.02,331.53
20151210,331.42,336.60,325.40,333.63
20151211,330.20,332.47,327.93,330.38
20151214,329.67,334.83,329.64,334.45
20151215,336.67,339.79,332.89,336.18
20151216,338.99,341.23,335.88,340.70
20151217,340.81,343.79,332.06,332.06
20151218,331.87,335.05,329.28,331.06
20151221,332.57,337.26,330.13,332.73
20151222,333.60,339.17,331.16,337.11
20151223,338.67,341.30,336.60,340.02
20151224,339.50,342.62,337.67,341.86
20151228,340.40,343.92,339.55,343.46
20151229,345.30,348.39,345.23,345.75
20151230,345.53,347.22,343.30,344.14
20151231,342.52,344.72,338.72,339.13
20160104,333.07,334.77,325.71,329.34
20160105,329.34,336.80,328.70,331.38
20160106,328.24,331.34,322.37,324.74
20160107,318.79,320.36,314.87,315.73
20160108,318.72,321.40,313.35,313.93
20160111,315.39,319.99,308.78,310.86
20160112,312.38,317.50,310.46,317.02
20160113,318.40,326.64,310.64,311.58
20160114,312.33,316.61,309.03,310.66
20160115,303.00,314.48,301.34,313.62
20160119,316.45,316.90,305.12,308.43
20160120,304.53,309.52,298.02,307.45
20160121,307.90,309.50,302.85,307.08
20160122,310.10,323.15,310.10,316.25
20160125,316.09,319.35,314.21,316.02
20160126,316.41,317.21,313.78,315.23
20160127,314.28,316.82,310.82,312.85
20160128,315.39,315.39,306.39,307.40
20160129,308.39,313.31,307.61,312.85
20160201,310.29,319.06,310.29,317.32
20160202,314.48,316.15,310.95,311.72
20160203,312.42,313.87,303.08,309.26
20160204,308.18,318.08,307.08,313.98
20160205,313.68,322.24,307.00,311.68
20160208,308.43,309.70,292.89,298.14
20160209,294.97,308.71,291.33,307.00
20160210,309.67,315.14,306.89,307.56
20160211,301.95,304.55,295.89,299.31
20160212,301.31,307.07,299.53,307.07
20160216,310.26,314.43,308.58,312.69
20160217,314.00,321.81,313.34,321.43
20160218,321.41,321.98,315.03,316.80
20160219,314.57,322.14,314.57,322.14
20160222,325.69,325.98,321.87,324.08
20160223,322.96,329.83,314.70,316.34
20160224,313.72,316.39,309.92,315.25
20160225,317.21,319.44,314.07,318.03
20160226,318.94,320.55,316.63,316.75
20160229,317.06,319.09,314.69,314.91
20160301,316.57,331.90,316.57,329.41
20160302,329.00,331.71,325.00,330.00
20160303,329.81,333.26,328.70,332.45
20160304,331.62,337.75,326.70,334.48
20160307,333.20,336.44,331.33,335.95
20160308,331.21,336.40,330.43,334.53
20160309,335.77,335.77,327.77,329.87
20160310,331.90,335.56,325.70,329.29
20160311,332.26,337.56,332.10,335.70
20160314,335.49,338.58,328.10,333.69
20160315,331.92,334.33,329.30,332.73
20160316,332.45,337.44,332.44,336.74
20160317,337.08,337.14,332.43,332.49
20160318,331.34,338.43,331.34,334.92
20160321,334.43,336.61,332.82,334.82
20160322,332.04,338.94,332.04,336.86
20160323,337.33,339.75,335.12,337.18
20160324,335.24,338.38,334.53,337.89
20160328,339.06,342.57,338.36,342.04
20160329,340.55,348.43,340.55,347.09
20160330,348.94,349.00,340.61,343.24
20160331,343.53,345.80,340.78,344.76
20160401,342.33,350.92,342.05,349.90
20160404,350.61,353.86,348.85,350.59
20160405,350.07,359.62,345.51,348.39
20160406,349.79,357.01,348.52,356.50
20160407,354.05,355.95,344.01,347.76
20160408,351.39,353.84,349.03,350.28
20160411,351.63,355.75,346.92,350.67
20160412,350.65,355.61,349.35,354.08
20160413,356.26,361.48,350.22,359.34
20160414,359.14,363.43,355.28,358.95
20160415,358.70,361.91,354.72,360.29
20160418,359.70,365.26,357.59,361.23
20160419,361.07,362.78,359.96,362.18
20160420,361.44,364.07,352.71,359.71
20160421,362.36,368.41,356.85,365.14
20160422,366.68,367.84,361.62,365.71
20160425,364.27,365.54,357.37,361.45
20160426,363.57,363.57,359.27,361.66
20160427,362.97,366.97,360.77,365.49
20160428,363.68,367.09,357.50,359.32
20160429,357.08,360.07,353.98,357.95
20160502,358.23,363.83,357.78,362.99
20160503,359.25,360.83,356.77,359.13
20160504,357.78,357.78,351.14,354.69
20160505,357.13,364.05,356.16,364.05
20160506,362.59,363.14,348.00,357.26
20160509,356.70,362.64,356.70,359.94
20160510,361.68,367.19,353.53,366.42
20160511,363.96,366.49,361.10,363.42
20160512,365.25,370.10,363.33,369.23
20160513,367.31,372.00,362.14,367.93
20160516,368.21,371.98,366.65,369.89
20160517,370.40,373.47,363.30,365.65
20160518,363.88,371.28,362.66,367.82
20160519,367.52,375.73,360.80,363.35
20160520,365.37,369.33,360.81,364.05
20160523,365.24,369.10,362.36,366.21
20160524,366.71,371.80,365.01,371.16
