Date,Open,High,Low,Close
20151127,15.55,15.64,15.47,15.56
20151130,15.59,16.01,15.50,15.93
20151201,16.18,16.63,16.12,16.55
20151202,16.49,16.59,15.72,15.82
20151203,15.95,16.20,15.50,15.61
20151204,15.54,15.93,15.40,15.50
20151207,15.35,15.47,14.71,14.85
20151208,14.61,14.70,14.42,14.60
20151209,14.60,14.67,14.24,14.32
20151210,14.29,14.80,14.26,14.66
20151211,14.32,14.44,13.99,14.04
20151214,14.43,14.48,13.51,13.66
20151215,13.77,14.37,13.74,14.18
20151216,14.36,14.45,13.78,14.07
20151217,14.65,14.77,14.25,14.32
20151218,14.38,14.73,14.26,14.36
20151221,14.44,14.79,14.33,14.77
20151222,14.80,14.95,14.52,14.61
20151223,13.72,14.30,13.55,14.30
20151224,14.20,14.59,14.19,14.48
20151228,14.45,14.51,14.05,14.19
20151229,14.35,14.51,14.23,14.34
20151230,14.27,14.44,14.10,14.16
20151231,14.10,14.29,14.03,14.16
20160104,13.83,14.36,13.81,14.33
20160105,14.42,15.08,14.36,14.82
20160106,14.50,14.69,14.11,14.22
20160107,13.86,14.27,13.63,13.66
20160108,13.78,13.95,13.29,13.33
20160111,13.37,13.46,12.21,12.53
20160112,12.72,13.24,12.40,12.72
20160113,12.78,12.97,11.91,12.06
20160114,12.08,12.26,11.53,12.02
20160115,11.35,11.66,10.91,11.08
20160119,11.28,11.37,10.71,10.80
20160120,10.38,10.39,9.31,10.05
20160121,10.45,10.90,10.13,10.85
20160122,11.18,11.57,10.88,11.07
20160125,11.06,11.17,10.47,10.48
20160126,10.55,10.72,10.36,10.55
20160127,10.50,10.83,10.32,10.39
20160128,10.48,10.55,9.71,9.89
20160129,9.99,11.05,9.94,11.03
20160201,11.00,11.10,10.51,10.96
20160202,10.80,11.07,10.48,10.59
20160203,10.67,10.86,10.18,10.76
20160204,10.71,11.55,10.70,11.23
20160205,11.15,11.38,10.76,11.00
20160208,10.71,10.76,9.94,10.17
20160209,10.01,10.34,9.75,9.98
20160210,10.08,10.28,9.82,9.90
20160211,9.72,9.95,9.45,9.69
20160212,9.88,10.24,9.48,10.02
20160216,10.36,10.87,10.31,10.81
20160217,10.97,11.65,10.92,11.43
20160218,11.57,11.75,11.32,11.49
20160219,11.39,11.39,10.95,11.16
20160222,11.37,11.44,10.90,11.05
20160223,11.00,11.08,10.39,10.49
20160224,10.25,10.67,10.06,10.64
20160225,10.67,10.74,10.21,10.72
20160226,10.79,11.00,10.57,10.70
20160229,10.65,10.89,10.52,10.63
20160301,10.77,11.10,10.59,11.07
20160302,11.01,11.69,10.97,11.68
20160303,11.73,11.85,11.60,11.79
20160304,11.80,12.29,11.60,11.88
20160307,11.46,11.78,11.05,11.58
20160308,11.44,11.45,10.65,10.66
20160309,10.76,10.91,10.53,10.81
20160310,10.95,11.06,10.66,10.88
20160311,10.99,11.40,10.85,11.39
20160314,11.34,11.34,11.01,11.15
20160315,11.15,11.15,10.72,10.85
20160316,10.71,10.89,10.55,10.72
20160317,10.72,11.00,10.60,10.87
20160318,10.84,11.17,10.75,11.14
20160321,11.14,11.60,11.08,11.53
20160322,11.45,11.60,11.33,11.44
20160323,11.43,11.46,10.63,10.65
20160324,10.50,10.60,10.33,10.50
20160328,10.50,10.59,10.25,10.38
20160329,10.18,10.53,10.10,10.45
20160330,10.51,10.95,10.40,10.48
20160331,10.31,10.49,10.01,10.47
20160401,10.28,11.07,10.24,11.03
20160404,11.06,11.22,10.78,10.80
20160405,10.63,10.72,10.38,10.40
20160406,10.42,10.48,10.25,10.47
20160407,10.42,10.65,10.39,10.51
20160408,10.64,10.89,10.57,10.72
20160411,10.75,10.92,10.44,10.45
20160412,10.51,10.54,10.05,10.17
20160413,10.30,10.90,10.20,10.88
20160414,10.79,10.79,10.39,10.40
20160415,10.73,10.78,10.46,10.69
20160418,10.63,11.10,10.56,10.89
20160419,11.08,11.08,10.60,10.72
20160420,10.63,10.77,10.50,10.75
20160421,10.80,10.89,10.60,10.65
20160422,10.66,10.81,10.50,10.66
20160425,10.67,10.88,10.48,10.55
20160426,10.82,11.65,10.71,11.51
20160427,11.34,11.61,11.20,11.56
20160428,11.53,12.41,11.52,11.62
20160429,11.63,11.69,10.65,10.75
20160502,10.80,10.86,10.43,10.62
20160503,10.49,10.62,10.25,10.36
20160504,10.25,10.49,9.80,10.00
20160505,10.06,10.40,10.01,10.06
20160506,9.98,10.21,9.85,9.99
20160509,10.00,10.07,9.76,9.87
20160510,9.94,10.11,9.84,10.09
20160511,10.02,10.33,10.01,10.10
20160512,10.15,10.26,9.35,9.63
20160513,9.66,9.79,9.41,9.56
20160516,9.61,9.69,9.51,9.68
20160517,9.65,9.92,9.49,9.67
20160518,9.68,10.28,9.68,10.05
20160519,10.00,10.26,9.91,10.07
20160520,10.31,10.81,10.28,10.80
20160523,10.84,11.17,10.82,11.14
20160524,11.31,11.50,11.16,11.49
20160525,11.59,11.78,11.42,11.60
20160526,11.71,12.03,11.69,11.95
20160527,11.97,12.43,11.83,12.31
20160531,12.66,12.91,12.26,12.72
20160601,12.61,13.09,12.31,13.09
20160602,12.95,13.21,12.75,13.11
20160603,13.02,13.04,12.63,12.86
20160606,12.89,13.04,12.76,12.77
20160607,12.83,13.15,12.81,13.00
20160608,13.08,13.09,12.51,12.58
20160609,12.47,12.70,12.24,12.51
20160610,12.32,12.37,12.05,12.14
20160613,12.00,12.36,11.94,12.05
20160614,12.07,12.32,11.74,11.92
20160615,12.16,12.25,11.95,12.02
20160616,11.87,11.99,11.58,11.95
20160617,11.97,12.35,11.95,12.20
20160620,12.51,12.66,12.29,12.32
20160621,12.54,12.83,12.42,12.75
20160622,12.78,13.04,12.67,12.72
20160623,13.41,14.16,13.41,14.05
20160624,13.50,13.85,13.13,13.21
20160627,13.13,13.24,12.10,12.23
20160628,12.64,13.05,12.62,12.99
20160629,13.30,13.42,12.94,13.19
20160630,13.34,13.78,13.22,13.76
20160701,12.58,12.90,12.31,12.50
20160705,12.38,12.45,11.80,11.91
20160706,11.76,11.85,11.50,11.73
20160707,11.90,12.55,11.89,12.20
20160708,12.39,12.72,12.38,12.62
20160711,12.79,12.98,12.61,12.64
20160712,13.00,13.46,12.98,13.23
20160713,13.24,13.39,13.07,13.29
20160714,13.50,13.55,13.27,13.29
20160715,13.31,13.50,13.04,13.13
20160718,13.25,13.36,13.09,13.34
20160719,13.22,13.26,13.05,13.22
20160720,13.33,13.62,13.24,13.59
20160721,13.48,13.50,13.08,13.18
20160722,13.21,13.23,13.02,13.13
20160725,14.00,14.33,13.88,13.92
20160726,14.00,14.69,13.93,14.67
20160727,14.85,14.89,14.06,14.19
20160728,14.13,14.19,13.70,13.81
20160729,13.91,13.94,13.62,13.74
20160801,13.81,13.92,13.55,13.56
20160802,13.55,13.58,13.02,13.40
20160803,13.27,13.58,13.27,13.51
20160804,13.61,14.20,13.60,14.03
20160805,14.22,14.78,14.20,14.52
20160808,14.53,14.72,14.38,14.42
20160809,14.56,14.70,14.40,14.48
20160810,14.48,14.50,14.03,14.20
20160811,14.25,14.49,14.21,14.43
20160812,14.46,14.99,14.43,14.93
20160815,15.09,15.70,15.08,15.53
20160816,15.58,15.59,15.23,15.49
20160817,15.53,15.76,15.46,15.52
20160818,15.55,15.80,15.51,15.77
20160819,16.16,16.45,16.03,16.25
20160822,16.15,16.43,15.91,16.19
20160823,16.27,16.54,16.14,16.18
20160824,16.20,16.24,15.38,15.51
20160825,15.90,16.55,15.88,16.20
20160826,16.34,16.81,16.29,16.51
20160829,16.92,17.25,16.61,16.91
20160830,17.00,17.01,16.51,16.74
20160831,16.70,16.74,16.14,16.49
20160901,16.61,16.80,16.30,16.64
20160902,16.96,16.97,16.57,16.70
20160906,16.80,17.08,16.75,17.01
20160907,17.21,17.35,17.02,17.16
20160908,17.18,17.86,16.88,17.45
20160909,17.33,17.74,16.69,16.81
20160912,16.61,17.20,16.37,17.15
20160913,16.92,17.15,16.46,16.75
20160914,16.88,17.08,16.65,16.93
20160915,16.90,17.46,16.85,17.45
20160916,18.08,18.08,17.34,17.48
20160919,17.63,17.77,16.85,16.95
20160920,17.05,17.27,16.72,16.92
20160921,17.25,17.70,17.23,17.66
20160922,17.89,18.05,17.41,17.59
20160923,17.45,17.74,17.43,17.48
20160926,17.35,17.60,17.18,17.36
20160927,17.53,18.08,17.35,18.00
20160928,18.16,18.16,17.15,17.44
20160929,17.45,17.77,17.35,17.54
20160930,17.75,18.00,17.58,17.78
20161003,17.99,18.02,17.60,17.73
20161004,17.98,18.04,17.66,17.80
20161005,17.55,18.33,17.28,17.70
20161006,17.64,17.89,17.54,17.73
20161007,17.72,17.80,17.30,17.61
20161010,17.72,17.84,17.49,17.50
20161011,17.40,17.47,16.53,16.86
20161012,16.88,17.04,16.67,16.78
20161013,16.56,17.00,16.17,16.85
20161014,17.03,17.41,16.99,17.13
20161017,17.02,17.17,16.93,16.99
20161018,17.21,17.66,17.20,17.41
20161019,17.00,17.25,16.85,17.22
20161020,17.05,17.50,17.05,17.20
20161021,17.00,17.07,16.80,16.94
20161024,17.07,17.16,16.97,17.06
20161025,17.10,17.61,17.10,17.54
20161026,17.30,17.93,17.20,17.64
20161027,17.82,17.90,17.40,17.53
20161028,17.60,17.67,17.10,17.20
20161031,17.54,17.76,17.16,17.16
20161101,17.20,17.41,16.58,16.98
20161102,16.95,17.02,16.50,16.68
20161103,16.66,16.81,16.56,16.62
20161104,16.46,17.02,16.45,16.68
20161107,17.02,17.43,17.02,17.38
20161108,17.30,17.55,17.06,17.41
20161109,16.95,17.35,16.75,17.20
20161110,17.35,17.76,16.75,16.99
20161111,17.08,17.68,16.90,17.67
20161114,17.77,17.98,17.53,17.71
20161115,17.66,18.17,17.66,18.10
20161116,17.94,18.33,17.93,18.24
20161117,18.35,19.34,18.25,19.18
20161118,18.90,19.33,18.85,19.21
20161121,19.39,19.67,19.35,19.49
20161122,19.64,19.80,19.45,19.74
20161123,19.63,19.93,19.47,19.91
20161125,19.95,20.44,19.79,20.13
20161128,20.18,20.28,19.95,19.99
20161129,19.92,20.20,19.38,19.42
20161130,19.58,19.76,19.36,19.53
20161201,19.70,19.83,18.18,18.48
20161202,18.46,19.20,18.30,18.79
20161205,19.00,19.00,18.40,18.61
20161206,18.62,19.09,18.58,19.06
20161207,19.50,20.54,19.30,20.44
20161208,20.75,20.99,20.29,20.66
20161209,20.73,20.85,20.13,20.50
20161212,20.30,20.51,19.49,20.02
20161213,20.14,20.47,19.80,20.13
20161214,19.93,20.33,19.78,20.02
20161215,20.10,20.50,19.98,20.29
20161216,20.53,21.00,20.19,20.27
20161219,20.43,20.70,20.19,20.35
20161220,20.73,20.80,20.47,20.65
20161221,20.75,20.83,20.34,20.58
20161222,22.91,23.49,22.77,23.19
20161223,23.07,23.49,23.06,23.26
20161227,23.35,23.64,23.21,23.30
20161228,23.40,23.41,22.76,22.78
20161229,22.58,22.80,22.15,22.27
20161230,22.35,22.40,21.75,21.92
20170103,22.07,22.74,22.05,22.55
20170104,22.67,22.84,22.25,22.36
20170105,22.40,22.57,21.96,22.11
20170106,22.27,22.28,21.98,22.04
20170109,21.94,22.55,21.94,22.34
20170110,22.36,22.69,22.30,22.48
20170111,22.61,22.88,22.56,22.79
20170112,22.46,22.48,21.70,22.31
20170113,22.27,22.31,21.99,22.18
20170117,21.88,22.07,21.58,21.74
20170118,21.68,22.34,21.53,22.32
20170119,21.50,22.30,21.49,21.71
20170120,21.90,22.33,21.89,21.96
20170123,21.96,22.31,21.74,21.89
20170124,22.27,23.09,22.26,22.85
20170125,23.40,23.98,23.19,23.56
20170126,23.80,23.99,23.29,23.52
20170127,23.53,24.10,23.45,23.97
20170130,23.82,24.24,23.43,24.18
20170131,23.95,24.15,23.68,24.11
20170201,24.43,24.85,24.31,24.75
20170202,24.53,25.31,24.46,24.79
20170203,24.90,25.24,24.50,24.60
20170206,24.53,24.73,24.21,24.34
20170207,24.59,24.69,24.21,24.60
20170208,24.25,24.38,23.91,24.21
20170209,24.75,24.89,24.42,24.45
20170210,24.71,24.76,23.90,24.05
20170213,24.07,24.20,23.82,23.90
20170214,23.36,23.37,22.68,23.12
20170215,23.07,23.26,22.79,23.02
20170216,23.04,23.34,22.85,22.98
20170217,23.01,23.38,23.01,23.35
20170221,23.62,23.98,23.58,23.77
20170222,23.86,24.06,23.65,23.75
20170223,23.92,23.97,23.23,23.48
20170224,22.96,23.26,22.64,23.24
20170227,23.36,23.77,23.15,23.76
20170228,23.79,23.95,23.32,23.44
20170301,24.16,24.58,24.07,24.55
20170302,24.88,25.25,24.38,24.70
20170303,25.20,25.68,24.98,25.57
20170306,25.50,25.92,25.17,25.71
20170307,25.56,25.75,25.28,25.64
20170308,25.64,25.83,25.04,25.38
20170309,25.23,25.49,24.85,25.15
20170310,25.28,25.75,24.81,25.18
20170313,25.39,25.82,25.29,25.70
20170314,25.59,25.70,25.25,25.58
20170315,25.15,26.15,24.94,26.12
20170316,26.20,26.23,25.83,26.04
20170317,25.86,25.91,25.40,25.80
20170320,25.99,26.61,25.81,26.21
20170321,26.30,26.44,25.43,25.52
20170322,25.73,26.15,25.63,26.06
20170323,26.36,26.49,26.04,26.47
20170324,29.71,29.87,28.16,28.43
20170327,28.10,29.18,28.07,28.76
20170328,28.73,29.06,28.62,28.69
20170329,28.60,28.68,28.35,28.50
20170330,28.40,29.00,28.33,28.97
20170331,29.10,29.36,28.90,28.90
20170403,28.95,29.04,28.30,28.64
20170404,28.47,28.68,28.16,28.59
20170405,28.64,28.91,28.23,28.26
20170406,28.25,28.78,28.02,28.62
20170407,28.45,28.86,28.35,28.52
20170410,28.45,28.49,27.58,27.64
20170411,27.50,27.54,26.68,27.18
20170412,27.42,27.43,26.66,26.69
20170413,26.55,27.23,26.36,26.74
20170417,26.91,27.22,26.83,27.13
20170418,27.00,27.34,26.90,27.14
20170419,27.45,27.55,27.05,27.26
20170420,27.50,28.08,27.50,27.96
20170421,28.00,28.03,27.16,27.32
20170424,27.74,27.76,26.52,26.57
20170425,26.71,27.02,26.37,26.99
20170426,26.58,27.07,26.39,26.79
20170427,27.17,27.65,27.10,27.63
20170428,28.02,28.20,27.51,27.67
20170501,27.85,28.38,27.72,28.29
20170502,28.28,28.28,27.45,27.77
20170503,27.55,28.10,27.55,28.00
20170504,27.94,28.17,27.72,27.79
20170505,27.80,28.22,27.62,28.20
20170508,27.56,28.07,27.28,28.06
20170509,28.11,28.90,28.06,28.81
20170510,28.92,29.42,28.80,29.32
20170511,29.17,29.31,28.69,29.03
20170512,29.10,29.12,28.68,28.93
20170515,29.08,29.19,28.73,28.83
20170516,28.92,29.08,28.57,29.02
20170517,28.34,28.51,26.96,27.00
20170518,27.15,27.89,27.09,27.48
20170519,27.78,28.16,27.73,27.82
20170522,28.20,28.25,27.65,28.06
20170523,28.08,28.31,27.56,28.29
20170524,28.47,29.12,28.44,28.99
20170525,29.20,29.66,29.19,29.43
20170526,29.27,29.77,28.88,29.76
20170530,29.94,30.87,29.88,30.70
20170531,31.01,31.10,30.32,30.77
20170601,30.75,30.83,30.28,30.76
20170602,30.80,31.38,30.53,31.21
20170605,31.30,31.76,31.07,31.21
20170606,31.04,31.77,30.87,31.57
20170607,31.70,32.55,31.70,32.50
20170608,32.84,32.86,31.88,32.45
20170609,32.67,32.93,29.55,30.60
20170612,30.06,31.69,29.21,31.20
20170613,31.75,32.24,30.77,31.54
20170614,31.78,31.79,30.85,31.06
20170615,30.47,30.97,30.08,30.56
20170616,30.63,31.00,29.82,29.86
20170619,30.51,31.25,30.33,31.20
20170620,31.40,31.58,30.73,30.83
20170621,31.18,32.15,31.06,32.01
20170622,32.04,32.40,31.76,31.89
20170623,31.89,32.08,31.64,31.73
20170626,32.45,32.96,31.95,32.50
20170627,32.51,32.67,31.61,31.66
20170628,32.07,32.28,31.44,32.24
20170629,32.29,32.39,30.64,31.47
20170630,32.12,32.15,29.71,29.86
20170703,30.09,30.28,28.56,29.14
20170705,29.55,30.56,29.55,30.51
20170706,29.94,30.48,29.92,30.10
20170707,30.22,30.50,29.98,30.20
20170710,30.16,30.59,29.75,30.50
20170711,30.55,31.39,30.51,31.37
20170712,31.77,31.78,31.16,31.45
20170713,31.55,31.85,30.84,31.13
20170714,31.35,31.95,31.26,31.79
20170717,31.67,31.86,31.44,31.72
20170718,31.64,31.91,31.40,31.90
20170719,32.05,32.35,31.65,31.82
20170720,31.93,32.02,31.42,32.00
20170721,31.90,32.10,31.62,32.01
20170724,32.00,32.01,31.50,31.67
20170725,30.80,30.83,29.65,29.90
20170726,29.85,30.05,29.68,29.81
