Date,Open,High,Low,Close
20151127,38.78,39.20,38.62,39.16
20151130,39.14,39.19,38.43,38.77
20151201,39.15,39.29,38.53,38.69
20151202,38.53,38.89,38.45,38.69
20151203,39.00,39.00,36.71,36.94
20151204,36.32,38.20,36.23,38.15
20151207,37.91,38.13,37.29,37.66
20151208,37.42,37.46,36.40,36.60
20151209,37.41,37.59,36.86,37.11
20151210,37.05,38.03,36.67,37.87
20151211,37.55,38.40,37.53,37.79
20151214,37.91,38.48,37.63,38.06
20151215,38.31,38.68,37.76,38.29
20151216,38.63,38.84,37.83,38.33
20151217,38.48,38.65,37.59,37.59
20151218,37.56,37.84,37.08,37.24
20151221,37.67,37.76,37.20,37.66
20151222,37.76,37.98,37.05,37.31
20151223,37.46,37.81,37.02,37.59
20151224,37.46,38.01,37.46,37.87
20151228,37.81,38.00,37.33,37.84
20151229,37.90,38.93,37.82,38.79
20151230,38.77,38.85,37.91,38.41
20151231,38.24,38.48,38.00,38.00
20160104,37.30,37.42,36.29,36.67
20160105,36.78,37.32,36.19,36.23
20160106,35.74,35.99,35.05,35.18
20160107,34.49,34.57,33.81,34.26
20160108,34.53,34.68,32.21,32.33
20160111,32.45,33.44,32.45,33.06
20160112,33.36,33.64,32.99,33.15
20160113,33.27,33.64,32.09,32.11
20160114,32.36,32.74,32.06,32.31
20160115,30.43,32.01,30.28,31.99
20160119,32.30,32.35,30.89,31.07
20160120,31.00,31.59,30.71,31.16
20160121,31.55,31.79,30.92,31.03
20160122,32.08,33.36,31.84,32.19
20160125,31.85,32.07,31.24,31.63
20160126,31.50,32.62,31.50,32.37
20160127,32.12,32.42,31.69,32.05
20160128,31.21,32.67,30.33,32.23
20160129,32.55,33.42,32.41,33.40
20160201,33.28,33.70,33.00,33.50
20160202,33.10,33.48,32.30,32.39
20160203,32.74,33.13,31.93,32.36
20160204,32.37,32.88,31.75,32.09
20160205,31.99,32.33,30.99,31.27
20160208,30.77,31.33,30.35,30.74
20160209,30.51,31.56,30.31,31.12
20160210,31.19,31.93,31.14,31.15
20160211,30.51,32.19,30.48,32.00
20160212,32.18,32.52,31.56,32.45
20160216,32.23,33.47,32.23,33.42
20160217,33.37,33.98,33.21,33.66
20160218,33.66,33.80,32.99,33.00
20160219,32.95,33.19,32.68,32.99
20160222,33.32,33.60,32.95,33.45
20160223,33.26,33.35,32.72,32.78
20160224,32.51,33.51,32.01,33.48
20160225,33.52,34.03,33.28,34.03
20160226,34.10,34.16,33.81,33.90
20160229,34.01,34.33,33.85,33.86
20160301,34.09,34.35,33.50,34.22
20160302,34.18,34.87,34.00,34.82
20160303,34.77,34.88,34.02,34.15
20160304,34.40,34.78,34.02,34.47
20160307,34.31,34.60,33.68,34.06
20160308,33.95,34.09,33.18,33.20
20160309,33.51,33.95,33.00,33.74
20160310,33.96,34.18,33.30,33.77
20160311,34.25,34.69,33.76,34.64
20160314,34.57,34.70,34.02,34.40
20160315,34.19,34.47,33.82,34.45
20160316,34.36,35.03,34.19,35.00
20160317,34.90,35.44,34.89,35.26
20160318,35.38,35.45,34.98,35.28
20160321,35.13,35.58,35.00,35.32
20160322,35.00,35.57,34.90,35.47
20160323,35.48,35.62,35.01,35.34
20160324,35.21,35.62,35.06,35.62
20160328,35.64,35.81,35.38,35.55
20160329,35.46,36.33,35.35,36.17
20160330,36.28,36.56,36.08,36.54
20160331,36.68,37.13,36.46,36.78
20160401,36.28,36.62,36.04,36.61
20160404,36.68,36.77,36.31,36.63
20160405,36.38,36.88,36.10,36.27
20160406,36.23,36.91,36.02,36.80
20160407,36.70,36.80,36.11,36.37
20160408,36.99,37.38,36.63,36.65
20160411,36.71,37.04,36.51,36.52
20160412,36.63,36.76,36.15,36.35
20160413,36.66,37.47,36.47,37.32
20160414,37.03,37.03,36.08,36.81
20160415,36.73,36.94,36.32,36.56
20160418,36.40,36.91,36.40,36.72
20160419,36.67,36.70,35.49,35.88
20160420,35.85,36.63,35.76,36.33
20160421,36.25,36.64,36.11,36.52
20160422,37.50,37.57,36.63,37.31
20160425,37.31,37.94,37.15,37.57
20160426,37.76,38.27,37.19,37.45
20160427,37.35,37.96,37.09,37.66
20160428,37.36,38.00,36.79,36.89
20160429,36.61,36.62,35.51,35.72
20160502,35.85,36.46,35.48,36.41
20160503,36.05,36.32,35.92,36.07
20160504,35.92,36.02,35.49,35.59
20160505,35.82,35.92,35.12,35.69
20160506,35.51,35.86,35.31,35.86
20160509,35.83,36.17,35.72,35.86
20160510,35.96,36.51,35.76,36.51
20160511,36.32,36.67,35.92,36.40
20160512,36.45,36.67,35.59,35.92
20160513,36.02,36.31,35.84,35.98
20160516,35.94,36.59,35.94,36.36
20160517,35.46,36.07,35.24,35.45
20160518,35.35,36.12,35.28,35.87
20160519,35.66,35.89,35.33,35.69
20160520,36.05,36.73,36.00,36.45
20160523,36.23,36.92,35.99,36.60
20160524,36.79,37.54,36.66,37.48
20160525,37.56,37.73,37.24,37.54
20160526,37.53,37.62,37.34,37.48
20160527,37.47,37.72,37.40,37.69
20160531,37.71,38.00,37.60,37.96
20160601,37.84,38.30,37.65,38.28
20160602,38.09,38.26,38.01,38.18
20160603,38.33,38.35,37.61,37.89
20160606,37.92,38.18,37.67,37.68
20160607,37.86,37.90,37.43,37.58
20160608,37.60,37.99,37.53,37.87
20160609,37.53,37.91,37.53,37.86
20160610,37.38,37.82,37.38,37.63
20160613,37.52,37.90,37.36,37.39
20160614,37.38,37.42,37.02,37.35
20160615,37.44,37.44,36.98,37.06
20160616,36.88,37.13,36.52,37.08
20160617,36.80,37.36,36.06,36.43
20160620,36.98,37.45,36.91,37.01
20160621,37.07,37.45,36.92,37.44
20160622,37.40,37.53,37.08,37.15
20160623,37.56,37.90,37.37,37.89
20160624,36.13,36.94,35.06,35.10
20160627,34.66,34.76,33.39,33.84
20160628,34.22,34.68,34.06,34.43
20160629,34.75,35.06,34.67,35.04
20160630,35.15,35.71,34.91,35.69
20160701,35.32,35.77,35.27,35.50
20160705,35.30,35.46,34.96,35.32
20160706,35.20,35.70,34.80,35.59
20160707,35.67,36.34,35.67,36.22
20160708,36.40,37.00,36.30,36.88
20160711,37.12,37.40,37.06,37.14
20160712,37.54,37.74,37.32,37.73
20160713,37.89,37.98,37.63,37.73
20160714,38.00,38.14,37.44,37.95
20160715,38.11,38.11,37.77,37.78
20160718,38.16,38.27,37.94,38.12
20160719,37.64,38.04,37.59,37.81
20160720,37.50,38.35,37.50,38.24
20160721,38.25,38.29,37.51,37.71
20160722,38.46,38.89,37.96,38.35
20160725,38.40,38.89,38.14,38.82
20160726,39.20,41.29,38.82,40.91
20160727,41.11,42.37,41.06,41.24
20160728,41.13,41.20,40.58,40.67
20160729,40.78,40.95,40.40,40.78
20160801,40.79,41.44,40.51,41.09
20160802,40.81,41.15,40.03,40.17
20160803,40.06,40.53,39.83,40.51
20160804,40.49,41.02,40.01,40.83
20160805,41.13,41.13,40.67,40.73
20160808,40.69,40.90,40.47,40.55
20160809,40.74,41.09,40.69,40.89
20160810,40.98,41.05,40.60,40.92
20160811,41.10,41.10,40.72,40.75
20160812,40.76,41.09,40.57,40.91
20160815,40.78,41.19,40.78,40.99
20160816,40.47,40.53,40.17,40.31
20160817,40.23,40.57,40.03,40.52
20160818,40.54,40.77,40.46,40.70
20160819,40.19,41.18,40.19,40.99
20160822,41.02,41.35,40.84,40.94
20160823,41.20,41.30,40.96,40.97
20160824,40.88,41.05,40.71,40.87
20160825,40.70,41.13,40.57,40.91
20160826,40.95,41.63,40.87,41.08
20160829,41.10,41.21,40.74,40.83
20160830,40.94,41.36,40.51,40.89
20160831,40.80,41.09,40.71,40.72
20160901,40.72,41.21,40.46,41.20
20160902,41.25,41.46,41.04,41.12
20160906,41.18,41.34,40.45,40.55
20160907,40.00,40.26,39.49,39.63
20160908,39.57,39.84,39.51,39.65
20160909,39.24,39.60,37.83,38.26
20160912,37.99,38.78,37.94,38.71
20160913,38.54,38.87,38.07,38.17
20160914,38.29,38.75,38.10,38.50
20160915,38.58,39.19,38.39,38.99
20160916,39.32,39.32,38.40,38.81
20160919,39.08,39.40,38.59,38.68
20160920,38.95,39.10,38.56,38.66
20160921,38.80,38.92,38.43,38.82
20160922,39.06,39.28,38.76,39.25
20160923,39.18,39.36,38.74,39.00
20160926,38.84,38.92,38.54,38.65
20160927,38.54,39.31,38.34,39.23
20160928,39.37,39.53,39.12,39.29
20160929,39.22,39.75,38.73,39.49
20160930,39.70,40.18,39.57,39.93
20161003,40.02,40.21,39.71,39.76
20161004,39.86,40.11,39.47,39.63
20161005,39.81,40.17,39.75,39.75
20161006,39.57,40.11,39.51,40.07
20161007,40.12,40.24,39.70,40.20
20161010,40.20,40.35,38.62,38.67
20161011,38.25,38.58,37.51,38.06
20161012,37.99,38.17,37.59,37.87
20161013,37.59,37.75,37.25,37.58
20161014,37.82,38.53,37.79,38.20
20161017,38.14,38.55,38.06,38.20
20161018,38.57,39.24,38.39,38.90
20161019,38.68,39.19,38.55,39.11
20161020,39.12,39.45,38.95,39.10
20161021,40.93,40.93,38.97,39.83
20161024,40.00,40.39,39.93,40.37
20161025,40.38,40.52,39.94,40.03
20161026,39.84,40.00,39.71,39.90
20161027,40.03,40.09,39.50,39.62
20161028,39.60,39.98,39.40,39.43
20161031,39.54,39.90,39.52,39.63
20161101,39.79,39.93,39.07,39.42
20161102,39.53,39.62,39.09,39.20
20161103,39.22,39.78,39.04,39.18
20161104,38.83,39.31,38.76,38.95
20161107,39.43,39.82,39.30,39.79
20161108,39.79,40.05,39.56,39.70
20161109,38.74,39.71,38.50,39.51
20161110,39.67,39.96,38.42,38.76
20161111,38.85,39.13,38.64,38.94
20161114,39.00,39.14,38.57,38.89
20161115,38.90,39.47,38.83,39.41
20161116,39.20,39.90,39.20,39.79
20161117,39.63,39.91,39.45,39.74
20161118,39.60,40.49,39.60,40.09
20161121,39.96,40.39,39.74,40.32
20161122,40.50,40.94,40.02,40.07
20161123,40.12,40.30,39.85,39.96
20161125,39.93,40.25,39.79,40.20
20161128,40.01,40.39,39.72,39.93
20161129,39.50,39.92,39.25,39.75
20161130,40.09,40.09,39.20,39.27
20161201,39.19,39.84,37.60,37.77
20161202,37.76,38.16,37.32,37.87
20161205,38.07,38.37,37.89,38.24
20161206,38.41,38.75,38.36,38.57
20161207,38.57,39.53,38.45,39.37
20161208,39.42,39.78,39.36,39.44
20161209,39.54,39.83,39.08,39.15
20161212,38.97,39.13,38.37,38.73
20161213,38.77,39.21,38.64,38.94
20161214,39.01,39.24,38.55,38.64
20161215,38.99,39.39,38.71,39.23
20161216,39.25,39.32,38.68,38.83
20161219,38.84,39.16,38.78,39.06
20161220,39.07,39.36,38.99,39.25
20161221,39.17,39.49,39.12,39.18
20161222,39.36,39.40,38.90,39.16
20161223,39.02,39.34,38.94,39.26
20161227,39.32,39.74,39.28,39.40
20161228,39.51,39.59,38.95,38.96
20161229,38.84,39.20,38.84,39.02
20161230,39.14,39.17,38.45,38.57
20170103,38.70,39.08,38.33,38.62
20170104,38.64,39.04,38.49,39.03
20170105,39.09,39.14,38.35,38.44
20170106,38.45,39.84,38.18,39.74
20170109,39.74,40.71,39.58,40.65
20170110,40.68,41.03,40.46,40.89
20170111,40.84,40.86,40.52,40.70
20170112,40.65,40.65,39.75,40.47
20170113,40.56,41.83,40.44,41.47
20170117,41.28,41.34,40.64,40.73
20170118,40.76,41.38,40.71,41.22
20170119,41.18,41.45,40.44,40.58
20170120,40.88,41.66,40.88,41.39
20170123,41.22,41.52,41.07,41.39
20170124,41.03,42.09,41.03,42.03
20170125,42.30,42.65,41.89,42.23
20170126,42.26,42.30,41.66,41.97
20170127,44.66,45.27,44.25,44.71
20170130,44.56,45.04,43.08,45.01
20170131,44.86,44.86,44.23,44.48
20170201,44.72,44.98,44.29,44.76
20170202,44.44,44.65,44.04,44.54
20170203,44.72,44.74,44.45,44.67
20170206,44.60,44.89,44.39,44.84
20170207,44.89,45.54,44.80,45.47
20170208,45.55,45.58,45.10,45.14
20170209,45.06,45.46,44.78,44.88
20170210,45.01,45.26,44.35,45.07
20170213,45.22,45.43,44.93,45.03
20170214,44.87,45.13,44.57,44.63
20170215,44.76,45.03,44.40,45.00
20170216,44.87,45.40,44.82,45.03
20170217,44.92,45.12,44.62,45.11
20170221,45.05,45.44,45.04,45.37
20170222,45.18,45.46,45.09,45.35
20170223,45.31,45.38,44.71,44.86
20170224,44.55,45.09,44.16,45.06
20170227,44.97,45.01,44.50,44.96
20170228,44.72,44.72,44.20,44.30
20170301,44.66,44.74,44.04,44.64
20170302,44.62,44.68,44.09,44.18
20170303,44.28,44.39,44.04,44.32
20170306,44.19,44.74,43.95,44.64
20170307,44.46,45.16,44.36,44.73
20170308,44.73,45.04,44.62,44.84
20170309,44.85,45.05,44.55,44.83
20170310,45.08,45.20,44.77,45.02
20170313,45.06,45.84,44.94,45.78
20170314,45.63,45.72,45.38,45.57
20170315,45.74,46.10,45.61,46.00
20170316,46.09,46.14,45.24,45.36
20170317,45.69,45.73,45.37,45.62
20170320,45.63,46.22,45.52,45.80
20170321,45.89,46.04,44.91,45.00
20170322,45.10,45.63,44.67,45.58
20170323,45.48,45.60,45.14,45.14
20170324,45.71,45.97,45.20,45.23
20170327,45.03,45.26,44.67,45.09
20170328,45.05,45.21,44.87,44.92
20170329,44.85,44.90,44.57,44.77
20170330,44.80,45.12,44.73,44.92
20170331,45.08,45.16,44.72,44.96
20170403,44.98,45.08,44.29,44.50
20170404,44.28,44.57,44.24,44.53
20170405,44.73,45.01,44.34,44.37
20170406,44.37,44.56,44.17,44.49
20170407,44.54,45.09,44.41,45.02
20170410,44.96,45.00,44.52,44.67
20170411,44.39,44.61,43.50,44.31
20170412,44.17,44.31,43.35,43.69
20170413,43.69,44.18,43.44,43.77
20170417,43.91,44.21,43.83,44.11
20170418,43.86,44.55,43.69,44.42
20170419,44.66,44.94,44.32,44.59
20170420,44.80,45.70,44.74,45.45
20170421,43.86,45.01,43.35,44.92
20170424,45.39,45.54,44.64,44.75
20170425,45.04,45.34,44.51,45.12
20170426,45.12,45.35,44.71,44.72
20170427,44.99,45.53,44.98,45.08
20170428,45.12,45.12,43.78,44.15
20170501,44.36,44.76,43.99,44.71
20170502,44.63,45.16,44.42,45.08
20170503,45.04,45.13,44.74,44.89
20170504,44.95,45.45,44.93,45.38
20170505,45.45,45.58,45.24,45.51
20170508,45.51,45.89,45.51,45.69
20170509,45.75,45.94,45.70,45.90
20170510,46.09,46.41,45.97,46.12
20170511,45.95,46.07,45.60,45.72
20170512,45.71,46.21,45.57,46.03
20170515,46.05,46.83,45.91,46.82
20170516,46.79,47.00,46.59,46.94
20170517,46.53,46.79,45.49,45.51
20170518,45.47,46.61,45.34,46.45
20170519,46.54,47.15,46.54,46.85
20170522,46.86,47.04,46.68,46.69
20170523,46.70,46.94,46.41,46.84
20170524,46.88,47.22,46.51,47.18
20170525,47.29,48.00,47.21,47.74
20170526,47.65,47.87,47.29,47.70
20170530,47.42,47.89,47.31,47.70
20170531,47.92,48.18,47.64,47.80
20170601,47.93,48.12,47.60,48.12
20170602,48.24,48.47,48.02,48.42
20170605,48.32,48.74,48.25,48.51
20170606,48.29,49.08,48.11,48.55
20170607,48.78,49.23,48.70,49.02
20170608,49.10,49.52,48.91,49.41
20170609,49.50,49.70,46.42,47.08
20170612,46.53,46.94,45.64,46.72
20170613,47.14,47.38,46.53,47.14
20170614,47.28,47.73,46.57,47.02
20170615,46.47,47.22,46.28,46.86
20170616,46.75,46.90,46.09,46.25
20170619,46.76,46.86,46.37,46.49
20170620,46.38,46.50,45.32,45.64
20170621,45.80,46.04,45.52,46.01
20170622,46.04,46.15,45.48,45.75
20170623,45.77,45.97,45.61,45.92
20170626,46.07,46.26,44.31,45.78
20170627,45.64,45.64,44.68,44.73
20170628,45.02,45.19,44.62,45.05
20170629,44.97,45.03,44.09,44.44
20170630,44.89,45.11,44.35,44.90
20170703,45.14,45.23,44.18,44.19
20170705,44.46,45.13,44.46,44.97
20170706,44.65,45.31,44.46,44.94
20170707,45.09,45.97,44.98,45.74
20170710,45.82,46.13,45.53,46.03
20170711,45.97,46.39,45.84,46.16
20170712,46.52,46.98,46.24,46.70
20170713,46.82,47.02,46.56,46.67
20170714,46.98,47.12,46.79,47.10
20170717,47.09,47.39,46.94,46.94
20170718,46.83,47.00,46.72,46.94
20170719,47.46,47.48,46.94,47.11
20170720,47.29,48.03,47.24,47.84
20170721,45.63,46.40,43.98,45.10
20170724,45.00,45.16,44.36,44.52
20170725,44.46,44.87,44.20,44.62
20170726,44.93,45.19,44.70,45.19
20170727,45.30,45.73,45.11,45.58
20170728,45.45,45.62,45.16,45.47
20170731,45.58,45.80,45.30,45.44
20170801,45.68,46.64,45.32,45.67
20170802,45.89,46.07,45.23,45.55
20170803,45.59,45.80,44.67,44.97
20170804,45.07,45.39,44.57,44.71
20170807,44.95,45.80,44.95,45.76
20170808,45.57,45.83,45.23,45.28
20170809,44.95,45.10,44.41,44.62
20170810,44.34,44.52,43.85,43.90
20170811,43.77,44.40,43.71,44.39
20170814,44.73,45.65,44.65,45.44
20170815,45.34,45.46,45.05,45.33
20170816,45.26,45.99,45.25,45.69
20170817,45.52,45.58,43.96,43.99
20170818,44.22,44.33,43.71,43.87
20170821,43.89,43.98,43.43,43.71
20170822,44.08,44.47,43.88,44.39
20170823,44.51,45.17,44.47,44.83
20170824,45.13,45.86,44.87,45.67
20170825,45.88,45.88,45.02,45.04
20170828,45.09,45.39,44.86,45.14
20170829,44.54,44.90,44.40,44.75
20170830,45.06,45.74,44.87,45.56
20170831,45.82,46.76,45.70,46.66
20170901,46.74,47.11,46.62,46.99
20170905,46.75,47.08,46.32,46.44
20170906,46.66,47.19,46.20,46.56
20170907,46.69,46.69,46.01,46.36
20170908,46.35,46.40,45.65,45.87
20170911,46.29,46.70,46.05,46.52
20170912,46.72,46.87,46.38,46.64
20170913,46.65,47.01,46.40,46.84
20170914,46.77,47.12,46.59,46.80
20170915,46.93,47.34,46.82,47.00
20170918,47.15,47.67,47.15,47.30
20170919,47.43,47.51,47.03,47.16
20170920,47.20,47.20,45.80,46.44
20170921,46.43,46.62,45.97,46.43
20170922,46.17,47.05,46.05,46.93
20170925,46.63,46.83,46.35,46.70
20170926,46.75,47.20,46.62,46.76
20170927,47.21,47.63,46.98,47.37
20170928,47.27,47.69,47.19,47.66
20170929,47.79,48.05,47.61,47.71
20171002,47.76,48.12,47.68,47.92
20171003,48.04,48.28,47.86,48.10
20171004,48.13,48.42,47.94,48.42
20171005,48.59,48.70,48.15,48.47
20171006,48.41,48.75,48.27,48.57
20171009,48.60,48.90,48.60,48.81
20171010,48.94,49.07,48.64,48.98
20171011,48.83,49.21,48.77,49.16
20171012,49.09,49.37,49.00,49.14
20171013,49.39,49.65,49.14,49.35
20171016,49.50,49.54,49.21,49.50
20171017,49.49,49.89,49.35,49.86
20171018,49.92,50.03,49.54,49.85
20171019,49.77,50.23,49.21,50.09
20171020,52.85,53.10,51.31,52.09
20171023,52.27,52.60,51.74,52.00
20171024,51.99,52.43,51.89,52.34
20171025,52.06,52.37,51.41,51.45
20171026,51.85,52.20,51.48,52.01
20171027,51.98,52.27,51.70,52.07
20171030,52.07,52.47,52.00,52.36
20171031,52.50,52.94,52.29,52.54
20171101,52.90,52.96,52.07,52.33
20171102,52.32,52.52,51.50,52.34
20171103,52.41,53.46,52.05,53.45
20171106,53.64,54.84,53.58,54.79
20171107,54.63,54.81,54.07,54.71
20171108,54.74,55.43,54.51,55.33
20171109,55.03,55.04,53.24,53.81
20171110,53.65,53.84,53.44,53.54
20171113,53.21,53.66,52.92,53.46
20171114,53.25,53.81,53.19,53.66
20171115,53.37,53.61,52.99,53.22
20171116,53.28,53.76,53.19,53.54
20171117,53.79,53.79,53.29,53.51
20171120,53.37,53.97,53.16,53.88
20171121,53.90,54.37,53.87,54.21
20171122,54.21,54.35,53.52,53.52
20171124,53.58,53.99,53.54,53.85
20171127,53.50,53.81,53.18,53.29
20171128,53.34,53.87,53.17,53.86
20171129,53.49,53.62,51.82,52.11
20171130,52.50,52.99,52.13,52.33
20171201,52.01,52.24,50.83,51.91
20171204,52.20,52.33,51.13,51.41
20171205,51.29,52.46,51.16,51.64
20171206,51.46,52.01,51.23,51.50
20171207,51.42,52.29,51.36,52.16
20171208,52.53,52.74,51.76,51.89
20171211,51.86,52.19,51.64,52.19
20171212,51.95,52.05,51.37,51.45
20171213,51.69,51.88,51.08,51.19
20171214,51.34,51.80,51.20,51.28
20171215,51.60,52.57,51.25,52.46
20171218,52.87,53.56,52.83,53.51
20171219,53.44,53.75,53.03,53.17
20171220,53.65,53.88,52.93,53.39
20171221,53.56,54.07,52.98,53.03
20171222,53.02,53.29,52.71,53.15
20171226,52.86,52.87,52.44,52.70
20171227,52.75,52.89,52.30,52.44
20171228,52.77,52.89,52.55,52.83
20171229,52.78,52.95,52.25,52.28
20180102,52.63,53.00,52.35,52.97
20180103,53.00,53.76,52.92,53.68
20180104,53.88,54.59,53.67,54.39
20180105,54.47,54.59,53.14,53.26
20180108,53.22,54.17,52.94,54.03
20180109,54.07,54.37,53.79,53.82
20180110,53.37,53.84,53.03,53.60
20180111,53.78,54.70,53.63,54.59
20180112,54.60,55.35,54.35,55.05
20180116,55.34,55.38,54.07,54.33
20180117,54.84,55.90,54.63,55.73
20180118,55.68,56.50,55.37,55.81
20180119,55.81,56.63,55.53,56.58
20180122,56.53,57.43,56.23,57.39
20180123,57.51,58.04,56.96,58.00
20180124,57.11,57.45,56.30,56.35
20180125,56.89,57.26,54.97,55.12
20180126,57.50,59.10,55.76,59.01
20180129,58.87,74.94,58.33,66.27
20180130,61.48,63.68,60.88,61.71
20180131,62.15,62.76,60.45,61.00
20180201,60.12,62.08,60.03,61.14
20180202,60.82,61.69,60.00,60.54
20180205,59.75,61.34,58.47,58.52
20180206,57.73,59.87,56.97,59.49
20180207,58.77,59.31,56.40,56.81
20180208,56.85,57.57,55.21,55.60
20180209,56.13,58.36,55.68,57.95
20180212,58.24,59.34,58.13,58.75
20180213,58.39,58.83,57.93,58.34
20180214,57.99,59.34,57.87,59.14
20180215,59.40,61.35,58.97,61.21
20180216,60.82,61.57,60.49,61.26
20180220,60.88,63.34,60.88,62.12
20180221,62.37,62.89,61.71,61.75
20180222,61.81,61.93,60.83,61.04
20180223,61.68,62.03,60.53,62.00
20180226,61.79,62.60,61.60,62.52
20180227,62.38,62.96,61.55,62.15
20180228,61.12,61.96,60.87,60.94
20180301,61.00,61.41,59.95,60.90
20180302,60.72,61.34,60.26,61.23
20180305,61.02,62.38,60.82,61.73
20180306,61.93,62.79,61.45,62.78
20180307,62.45,63.39,61.83,62.80
20180308,63.08,63.08,61.90,62.18
20180309,62.74,63.73,62.57,63.46
20180312,64.00,64.40,63.38,63.49
20180313,63.87,64.08,62.12,62.19
20180314,62.80,62.88,61.64,62.01
20180315,61.86,62.81,61.77,62.37
20180316,62.69,63.26,62.15,62.62
20180319,62.01,62.20,60.44,61.34
20180320,61.50,62.08,61.14,61.71
20180321,61.62,62.19,61.19,61.42
20180322,60.91,61.43,59.88,60.04
20180323,60.18,60.39,58.81,58.82
20180326,60.01,61.06,59.56,61.00
20180327,61.56,61.98,59.09,59.41
20180328,59.37,59.98,58.53,58.95
20180329,59.52,60.42,58.80,60.22
20180402,59.64,59.81,56.89,57.41
20180403,58.04,59.27,57.91,58.90
20180404,57.56,59.36,57.56,59.20
20180405,59.75,59.76,57.33,57.86
20180406,57.33,58.32,56.70,56.81
20180409,57.15,58.62,56.84,56.86
20180410,57.96,58.67,57.31,57.98
20180411,57.39,58.36,57.28,57.73
20180412,58.05,58.81,57.88,58.60
20180413,58.71,58.84,57.54,57.73
20180416,57.73,58.40,57.53,58.10
20180417,58.68,59.19,58.35,58.99
20180418,58.63,59.12,58.27,58.57
20180419,57.48,57.79,56.11,56.15
20180420,55.91,56.14,54.18,54.40
20180423,54.88,54.90,53.66,53.80
20180424,54.37,54.63,53.49,53.78
20180425,53.95,54.61,53.45,54.40
20180426,54.89,55.57,54.49,55.26
20180427,54.96,55.26,53.46,54.49
20180430,54.69,55.13,53.79,54.50
20180501,54.26,55.35,53.82,55.29
20180502,55.27,55.28,54.49,54.82
20180503,54.46,55.53,54.06,55.32
20180504,54.94,56.10,54.45,56.00
20180507,56.32,56.62,56.09,56.41
20180508,56.43,56.66,56.00,56.45
20180509,56.45,57.40,56.18,57.33
20180510,57.69,58.00,57.17,57.97
20180511,57.95,58.31,57.43,57.60
20180514,57.79,58.50,57.64,58.41
20180515,58.06,58.38,57.53,57.73
20180516,57.51,58.58,57.51,58.49
20180517,58.50,58.79,57.48,58.01
20180518,57.80,58.38,57.33,57.93
20180521,58.30,58.95,57.47,58.27
20180522,58.46,58.85,58.24,58.48
20180523,57.98,58.95,57.64,58.93
20180524,58.95,59.18,58.22,58.83
20180525,58.85,59.23,58.64,59.18
20180529,58.90,59.68,58.65,58.87
20180530,59.11,59.48,58.66,58.70
20180531,58.66,59.37,58.30,58.65
20180601,59.21,60.15,59.01,60.09
20180604,60.10,60.93,59.58,60.83
20180605,61.00,61.50,60.43,61.36
20180606,61.27,61.40,60.72,61.39
20180607,61.39,62.36,60.73,61.14
20180608,60.57,60.95,60.12,60.75
20180611,60.56,60.91,60.50,60.76
