Date,Open,High,Low,Close
20151127,51.85,52.02,51.47,51.74
20151130,51.71,52.00,50.87,51.30
20151201,51.88,53.34,51.51,53.08
20151202,52.78,54.50,51.77,52.08
20151203,52.21,52.42,50.24,51.07
20151204,50.70,51.47,50.15,51.41
20151207,51.23,51.55,50.13,51.09
20151208,50.50,51.53,50.23,51.26
20151209,51.04,52.05,50.26,50.70
20151210,51.00,52.99,50.82,52.93
20151211,52.26,53.28,51.91,52.56
20151214,53.64,53.81,51.85,53.37
20151215,53.88,55.00,53.77,53.99
20151216,54.20,54.74,53.17,54.39
20151217,55.04,55.30,52.94,52.97
20151218,52.44,53.74,52.15,53.17
20151221,53.52,53.85,53.17,53.64
20151222,53.62,54.29,53.41,54.19
20151223,54.26,55.06,54.12,54.79
20151224,55.09,55.15,54.35,54.82
20151228,54.48,54.48,53.58,54.33
20151229,54.61,55.51,54.48,55.28
20151230,55.01,55.50,54.50,54.62
20151231,54.36,54.77,54.02,54.07
20160104,52.88,54.00,52.70,53.28
20160105,53.67,54.42,53.25,54.09
20160106,52.96,54.44,52.78,53.36
20160107,52.52,52.67,51.57,51.61
20160108,51.72,51.93,49.26,49.42
20160111,50.06,50.23,48.33,49.50
20160112,49.73,50.67,48.77,50.09
20160113,50.50,50.99,48.77,48.89
20160114,49.00,51.65,48.41,50.70
20160115,48.90,50.41,48.03,49.71
20160119,50.57,51.78,48.74,50.22
20160120,49.71,52.16,49.54,51.40
20160121,51.86,52.27,50.44,51.44
20160122,52.60,53.41,51.94,53.11
20160125,52.96,53.63,52.40,52.62
20160126,52.73,54.23,52.05,53.93
20160127,53.85,53.92,50.83,51.23
20160128,51.89,51.94,49.50,50.43
20160129,50.84,52.77,50.29,52.69
20160201,51.92,52.67,50.62,52.35
20160202,52.01,53.05,50.53,50.82
20160203,51.38,52.55,49.33,52.26
20160204,51.94,53.21,51.15,52.31
20160205,52.21,52.91,50.95,51.39
20160208,50.81,51.15,49.34,50.45
20160209,49.72,51.59,49.14,50.74
20160210,51.21,51.73,49.14,50.54
20160211,43.95,44.00,40.04,41.42
20160212,41.34,42.00,40.05,41.83
20160216,42.27,43.20,41.94,43.15
20160217,43.80,46.42,43.72,46.27
20160218,46.46,47.05,44.62,44.71
20160219,43.80,45.98,43.80,45.34
20160222,46.35,46.90,45.63,46.81
20160223,46.70,47.97,46.54,46.71
20160224,45.70,46.78,44.86,46.60
20160225,46.98,47.43,46.18,47.42
20160226,47.07,47.77,46.83,47.14
20160229,47.00,47.04,45.04,45.07
20160301,46.46,46.79,45.19,46.06
20160302,45.95,46.17,44.87,46.12
20160303,45.82,46.12,45.17,45.73
20160304,46.00,46.02,44.30,44.78
20160307,44.89,47.02,44.62,46.14
20160308,45.95,46.00,44.56,44.75
20160309,44.98,46.59,44.64,46.55
20160310,47.22,48.71,46.66,47.29
20160311,47.00,48.61,46.95,48.60
20160314,48.40,48.43,46.36,47.87
20160315,47.18,47.30,45.34,45.92
20160316,45.64,47.18,45.61,46.40
20160317,46.08,46.20,43.65,44.22
20160318,44.62,45.28,43.84,45.05
20160321,45.13,46.13,45.10,45.46
20160322,45.29,46.38,45.25,46.21
20160323,46.22,46.45,45.37,45.41
20160324,45.00,46.13,44.47,45.88
20160328,45.98,46.07,44.82,45.20
20160329,45.07,47.20,44.76,47.01
20160330,46.91,47.20,45.95,46.40
20160331,46.21,46.68,45.57,46.35
20160401,46.22,47.66,45.73,47.50
20160404,47.49,48.46,47.06,47.23
20160405,46.25,46.55,45.60,45.92
20160406,45.92,48.39,45.77,48.34
20160407,47.95,48.81,47.66,48.07
20160408,48.91,48.91,46.63,47.00
20160411,47.32,47.47,45.21,45.56
20160412,45.61,46.94,45.61,46.25
20160413,46.71,47.61,46.15,47.22
20160414,47.33,48.00,46.78,47.59
20160415,47.16,47.60,46.64,46.89
20160418,46.95,47.93,46.64,47.60
20160419,47.77,48.96,47.65,47.77
20160420,48.09,48.43,47.50,47.93
20160421,48.04,49.20,48.01,48.80
20160422,48.75,49.42,47.82,48.29
20160425,46.85,47.00,44.98,45.02
20160426,45.50,45.50,43.80,44.99
20160427,44.85,45.13,44.25,44.48
20160428,43.88,43.88,42.46,42.60
20160429,42.37,42.73,41.31,41.71
20160502,42.10,42.76,41.51,42.71
20160503,43.37,44.56,41.85,43.69
20160504,43.40,43.50,41.58,41.94
20160505,41.84,42.03,40.76,41.40
20160506,40.31,41.22,38.46,39.65
20160509,40.52,41.10,40.16,40.77
20160510,40.88,41.37,40.56,40.81
20160511,40.71,40.75,39.57,39.64
20160512,39.65,39.89,38.01,38.62
20160513,38.38,39.32,38.05,39.16
20160516,39.47,40.53,39.20,40.45
20160517,40.40,41.72,40.21,41.02
20160518,41.18,42.76,41.15,42.04
20160519,41.83,42.42,40.50,41.12
20160520,41.17,42.09,41.09,41.51
20160523,41.56,41.66,40.95,41.21
20160524,41.55,42.60,41.50,42.44
20160525,42.47,42.97,42.14,42.68
20160526,42.66,43.00,42.41,42.86
20160527,43.06,43.84,42.89,43.06
20160531,43.21,43.59,42.97,43.34
20160601,43.24,44.86,42.97,44.46
