Date,Open,High,Low,Close
20151127,36.51,36.92,36.28,36.55
20151130,36.84,37.43,36.43,36.67
20151201,36.76,37.04,36.39,36.99
20151202,36.64,37.02,35.18,35.42
20151203,35.78,36.28,35.11,35.48
20151204,34.95,35.08,33.82,33.87
20151207,32.70,32.76,31.52,32.17
20151208,31.33,32.57,31.13,32.30
20151209,33.58,34.25,32.56,33.06
20151210,32.99,34.37,32.65,34.00
20151211,33.64,33.69,32.45,32.63
20151214,32.40,32.57,31.05,31.75
20151215,32.31,32.88,31.91,32.82
20151216,32.45,33.17,31.84,32.42
20151217,32.48,32.57,30.52,31.22
20151218,31.17,31.90,30.96,30.96
20151221,31.08,31.58,30.39,31.49
20151222,31.65,32.59,31.47,32.37
20151223,33.36,34.26,33.03,34.25
20151224,34.25,34.37,33.54,34.09
20151228,33.29,33.48,32.68,33.02
20151229,33.89,33.97,33.14,33.40
20151230,32.82,33.59,31.70,32.22
20151231,31.91,33.26,31.61,32.93
20160104,32.64,33.55,32.41,33.50
20160105,33.44,33.87,32.97,33.65
20160106,32.72,32.72,31.53,31.69
20160107,31.19,32.67,30.64,30.89
20160108,31.13,31.37,30.39,30.83
20160111,30.84,30.99,28.69,28.99
20160112,29.45,29.55,27.34,28.60
20160113,29.12,29.64,27.77,27.94
20160114,28.34,29.22,27.57,29.07
20160115,27.65,28.32,26.76,27.63
20160119,27.89,28.00,25.22,25.82
20160120,25.16,26.12,23.77,25.72
20160121,26.13,28.71,25.80,28.39
20160122,29.69,30.22,28.14,29.03
20160125,28.20,29.35,27.24,27.27
20160126,27.95,28.83,27.17,28.76
20160127,28.45,30.43,28.19,29.87
20160128,31.41,31.51,29.88,30.97
20160129,31.18,32.63,31.16,32.37
20160201,31.71,32.13,30.95,31.65
20160202,30.61,31.26,29.97,30.67
20160203,31.41,32.26,29.97,32.24
20160204,32.51,33.04,31.27,31.38
20160205,30.94,30.94,28.61,29.26
20160208,28.58,28.64,27.22,28.36
20160209,27.74,28.47,27.00,27.86
20160210,27.88,28.94,27.44,28.09
20160211,27.50,28.17,26.71,27.91
20160212,28.60,29.32,28.28,28.73
20160216,29.61,29.61,28.27,28.64
20160217,29.41,31.13,29.24,30.42
20160218,30.77,30.77,28.36,29.18
20160219,28.83,29.86,28.37,29.85
20160222,30.77,31.99,30.77,31.62
20160223,31.22,31.37,29.77,29.89
20160224,28.86,30.05,28.76,29.84
20160225,29.71,30.57,29.14,30.26
20160226,31.05,31.09,29.60,29.73
20160229,29.80,30.54,28.81,29.50
20160301,29.67,29.67,27.85,29.19
20160302,29.13,31.07,28.94,31.05
20160303,30.89,31.94,30.51,31.87
20160304,32.33,33.57,31.89,32.43
20160307,32.38,33.04,31.40,32.71
20160308,32.15,32.18,30.60,30.75
20160309,31.35,32.39,30.46,32.06
20160310,31.78,32.12,31.03,31.98
20160311,32.75,33.86,32.74,33.54
20160314,32.79,33.55,32.59,33.22
20160315,32.57,32.78,31.92,32.49
20160316,32.75,33.95,32.68,33.79
20160317,34.27,34.42,33.05,34.06
20160318,34.48,34.99,33.81,34.47
20160321,34.20,35.04,33.68,34.16
20160322,33.81,34.53,33.64,33.74
20160323,33.33,33.46,32.28,32.55
20160324,31.87,32.38,31.20,32.34
20160328,31.54,31.76,29.24,29.69
20160329,29.11,30.16,28.82,30.05
20160330,30.57,31.07,30.11,30.78
20160331,30.71,31.68,30.37,31.41
20160401,30.56,31.15,30.43,30.86
20160404,31.22,31.53,29.94,30.00
20160405,29.57,30.55,29.47,30.17
20160406,30.55,31.49,30.26,31.26
20160407,30.94,31.45,30.58,31.01
20160408,31.95,32.27,31.40,31.76
20160411,32.09,32.59,32.08,32.23
20160412,32.53,34.01,31.95,33.64
20160413,33.72,33.77,32.74,32.95
20160414,33.18,33.22,32.57,33.07
20160415,32.70,32.77,31.98,32.15
20160418,31.04,32.60,30.86,32.57
20160419,32.99,34.63,32.78,34.34
20160420,34.00,35.11,33.64,34.72
20160421,34.83,35.59,34.20,35.20
20160422,35.28,36.20,35.28,36.04
20160425,35.82,35.92,34.60,35.08
20160426,35.55,36.50,35.05,36.49
20160427,36.89,37.57,36.28,37.11
20160428,36.74,37.09,35.66,35.75
20160429,36.04,36.58,35.12,36.11
20160502,36.00,36.92,35.53,36.44
20160503,35.73,36.06,35.07,35.21
20160504,36.06,37.34,35.02,35.59
20160505,36.32,36.79,34.70,35.17
20160506,34.96,35.94,34.94,35.50
20160509,35.10,35.52,34.63,35.24
20160510,35.44,36.36,35.41,36.35
20160511,36.31,37.11,35.92,36.39
20160512,36.97,37.48,36.13,36.37
20160513,36.16,36.35,35.10,35.21
20160516,35.96,36.58,35.82,36.12
20160517,36.15,36.43,35.50,36.02
20160518,36.07,36.53,34.96,35.26
20160519,34.67,35.05,34.15,34.85
20160520,35.18,35.72,34.87,35.62
20160523,35.37,36.09,35.06,35.70
20160524,35.94,36.07,35.21,35.33
20160525,35.93,36.79,35.76,36.28
20160526,36.59,36.66,35.54,35.64
20160527,35.40,35.92,34.82,35.88
20160531,36.14,36.58,35.52,35.75
20160601,34.96,35.52,34.74,35.48
20160602,35.19,35.50,35.05,35.44
20160603,35.49,35.70,34.52,34.65
20160606,35.18,35.96,34.91,35.95
20160607,36.29,37.53,36.12,37.49
20160608,37.95,38.62,37.59,37.72
20160609,37.07,37.84,36.88,37.48
20160610,36.90,37.21,36.37,36.52
20160613,36.12,36.89,35.99,36.17
20160614,36.03,36.71,36.03,36.67
20160615,36.36,37.18,36.17,36.52
20160616,36.20,36.24,35.17,35.90
20160617,36.18,36.95,36.18,36.90
20160620,37.70,37.84,36.73,36.75
20160621,36.62,36.92,36.15,36.87
20160622,37.08,37.08,36.29,36.79
20160623,37.03,37.17,36.69,36.95
20160624,35.05,35.97,34.88,35.09
20160627,34.87,35.21,33.78,33.99
20160628,34.69,35.11,34.33,35.07
20160629,35.56,36.58,35.33,36.31
20160630,36.36,36.36,35.44,35.87
20160701,35.90,36.64,35.70,36.29
20160705,35.55,35.80,35.19,35.68
20160706,35.57,36.27,35.43,36.24
20160707,36.60,37.09,35.77,36.13
20160708,36.77,36.91,35.51,35.98
20160711,36.17,36.52,35.92,35.96
20160712,36.63,37.41,36.56,37.12
20160713,37.18,37.28,35.85,36.56
20160714,37.17,37.19,36.41,36.65
20160715,36.79,37.15,36.63,36.80
20160718,36.72,37.22,36.56,36.89
20160719,36.68,36.80,36.19,36.37
20160720,36.02,36.38,35.53,36.02
20160721,36.02,36.57,35.19,35.25
20160722,35.45,35.45,34.77,35.03
20160725,34.66,34.84,33.99,34.50
20160726,34.31,34.93,34.05,34.91
20160727,35.01,35.50,34.32,34.85
20160728,34.75,35.54,34.66,35.23
20160729,34.81,35.79,34.69,35.72
20160801,35.29,35.31,34.30,34.39
20160802,34.59,34.96,33.89,34.45
20160803,34.56,34.65,33.20,34.05
20160804,33.79,34.05,33.05,33.20
20160805,33.14,33.50,32.71,33.35
20160808,33.75,34.24,33.39,33.48
20160809,33.70,34.36,32.91,34.03
