Date,Open,High,Low,Close
20151127,57.70,57.93,57.18,57.82
20151130,57.81,58.24,57.15,57.44
20151201,57.35,58.78,57.27,58.70
20151202,58.58,58.83,57.60,57.93
20151203,58.25,58.70,56.92,57.29
20151204,57.51,58.72,57.38,58.27
20151207,58.56,59.20,58.19,58.76
20151208,57.73,58.74,57.24,58.61
20151209,56.85,57.79,55.71,57.03
20151210,57.47,58.87,56.51,58.53
20151211,58.03,59.49,57.70,58.47
20151214,58.86,59.54,58.46,59.46
20151215,57.79,58.60,57.52,58.50
20151216,58.82,60.13,58.65,59.79
20151217,60.01,60.05,56.73,57.11
20151218,57.58,58.42,56.48,56.86
20151221,57.25,59.11,57.25,59.04
20151222,59.23,59.29,57.64,58.84
20151223,59.06,59.23,57.92,58.47
20151224,58.78,58.99,58.37,58.61
20151228,58.27,58.91,57.90,58.02
20151229,58.37,59.82,58.28,59.53
20151230,59.60,59.99,59.18,59.51
20151231,59.12,59.72,58.58,58.60
20160104,57.56,58.19,57.33,57.99
20160105,58.06,58.18,57.38,57.71
20160106,56.77,57.80,56.25,56.97
20160107,55.79,56.70,55.06,55.72
20160108,56.26,56.76,55.01,55.07
20160111,55.32,56.57,55.00,56.00
20160112,56.33,56.80,54.73,55.85
20160113,55.89,55.96,52.13,52.31
20160114,52.14,52.59,49.67,50.80
20160115,49.18,49.36,46.99,47.82
20160119,48.33,49.09,46.56,47.20
20160120,46.40,47.77,43.14,47.28
20160121,47.93,48.83,47.12,47.90
20160122,48.68,49.77,47.53,47.98
20160125,47.85,48.79,47.24,47.32
20160126,47.95,48.84,47.27,48.61
20160127,48.57,49.01,45.03,45.23
20160128,45.51,45.69,42.21,42.46
20160129,42.57,45.40,42.21,45.37
20160201,44.96,47.61,44.95,47.06
20160202,45.25,45.25,42.41,43.02
20160203,43.51,43.79,41.25,41.96
20160204,42.24,42.58,40.57,42.50
20160205,42.17,42.78,38.72,39.46
20160208,38.51,39.29,37.53,38.20
20160209,37.68,39.88,37.01,39.18
20160210,39.78,40.38,38.71,38.74
20160211,38.01,39.29,37.86,39.00
20160212,39.61,39.61,38.29,39.33
20160216,40.14,40.80,39.61,40.56
20160217,41.07,43.71,40.67,42.83
20160218,42.57,43.01,41.80,41.85
20160219,41.50,43.31,40.95,42.49
20160222,42.98,44.40,42.64,44.08
20160223,45.60,48.30,45.42,46.85
20160224,46.69,47.91,45.28,47.90
20160225,48.22,49.25,47.67,48.66
20160226,49.29,50.16,48.49,49.64
20160229,49.33,50.12,48.99,49.13
20160301,49.84,50.49,48.75,50.31
20160302,50.37,50.67,49.79,50.53
20160303,50.05,50.48,49.25,50.00
20160304,50.35,50.49,49.08,49.56
20160307,49.13,49.77,48.73,49.68
20160308,49.11,49.58,47.23,47.31
20160309,47.65,48.43,46.69,47.59
20160310,47.89,48.34,46.45,47.26
20160311,47.79,48.87,47.15,48.87
20160314,48.83,49.89,48.83,49.69
20160315,49.13,49.50,48.12,48.41
20160316,48.39,49.96,48.01,49.71
20160317,50.54,51.72,50.04,51.42
20160318,51.54,53.32,51.51,52.45
20160321,52.13,53.05,52.13,52.71
20160322,51.55,52.18,51.01,51.64
20160323,51.67,51.67,49.70,49.77
20160324,49.71,51.27,49.45,51.08
20160328,51.11,51.46,50.55,51.35
20160329,51.13,51.42,50.65,51.26
20160330,52.66,54.34,52.47,54.18
20160331,54.29,55.59,53.91,55.29
20160401,54.71,55.25,53.80,54.52
20160404,54.58,54.89,54.24,54.64
20160405,54.03,54.28,53.43,53.96
20160406,54.09,55.13,53.96,54.99
20160407,54.93,55.03,53.48,53.79
20160408,54.26,54.67,53.17,53.64
20160411,54.64,54.88,53.51,53.53
20160412,53.57,54.03,53.03,53.93
20160413,54.33,55.22,53.80,55.16
20160414,55.00,55.24,54.21,54.52
20160415,54.66,54.66,52.33,53.08
20160418,53.06,53.17,51.29,52.14
20160419,52.47,52.52,51.19,51.50
20160420,51.43,51.69,50.46,50.90
20160421,50.69,50.79,49.61,49.97
20160422,50.02,50.31,48.41,48.66
20160425,48.73,49.34,48.66,49.31
20160426,49.14,49.47,48.24,48.85
20160427,48.69,49.92,48.50,49.80
20160428,49.42,49.66,48.47,48.73
20160429,49.50,50.20,47.78,48.89
20160502,48.83,49.95,48.65,49.83
20160503,49.38,50.31,49.20,50.14
20160504,49.54,50.25,48.89,49.16
20160505,49.18,49.79,48.75,48.88
20160506,48.55,49.00,47.93,48.89
20160509,48.88,49.68,48.64,49.25
20160510,45.27,47.98,44.09,46.89
20160511,46.81,47.94,46.57,46.68
20160512,47.02,47.48,46.36,47.19
20160513,47.05,47.45,46.19,46.38
20160516,46.33,47.61,46.21,47.35
20160517,47.11,48.02,46.90,47.23
20160518,47.18,47.92,46.76,47.58
20160519,47.20,47.57,46.19,46.39
20160520,46.48,47.27,46.48,47.21
20160523,46.77,47.47,46.71,46.74
20160524,46.97,47.86,46.71,47.81
20160525,47.88,47.92,46.52,46.57
20160526,46.24,46.34,45.11,45.78
20160527,45.80,47.11,45.57,47.09
20160531,47.04,47.12,46.21,46.41
20160601,46.18,46.63,46.06,46.59
20160602,46.26,46.66,46.09,46.55
20160603,46.27,46.27,44.84,45.73
20160606,45.50,45.56,44.77,45.40
20160607,45.76,46.30,45.57,45.91
20160608,46.18,46.19,45.44,45.46
20160609,45.45,45.71,45.10,45.61
20160610,44.91,45.79,43.89,44.53
20160613,44.35,44.87,43.81,43.83
20160614,43.59,43.93,43.01,43.22
20160615,43.33,44.47,43.27,43.36
20160616,43.04,43.44,41.96,43.30
20160617,43.51,43.67,43.15,43.38
20160620,44.01,44.92,44.01,44.22
20160621,44.23,44.66,43.96,44.46
20160622,44.29,44.79,43.95,44.24
20160623,44.88,44.88,44.11,44.23
20160624,41.70,42.01,40.37,40.38
20160627,39.54,40.04,38.17,38.21
20160628,39.41,39.74,38.22,38.44
20160629,38.76,39.61,38.49,39.28
20160630,39.50,39.87,38.62,39.84
20160701,40.00,41.19,39.97,41.06
20160705,40.75,41.31,40.16,40.51
20160706,40.30,40.74,39.80,40.30
20160707,40.26,41.06,40.12,40.59
