Date,Open,High,Low,Close
20151127,24.78,24.92,24.75,24.84
20151130,24.82,25.12,24.82,24.96
20151201,25.01,25.24,24.91,25.14
20151202,25.06,25.11,24.48,24.50
20151203,24.37,24.50,24.05,24.11
20151204,24.24,24.58,24.11,24.54
20151207,24.50,24.68,24.43,24.64
20151208,24.58,24.87,24.52,24.83
20151209,24.70,24.95,24.50,24.69
20151210,24.75,24.75,24.37,24.40
20151211,24.22,24.43,24.08,24.35
20151214,24.37,24.60,24.27,24.50
20151215,24.62,24.82,24.51,24.68
20151216,24.85,25.98,24.85,25.91
20151217,25.91,26.11,25.75,25.85
20151218,25.84,25.85,25.18,25.53
20151221,25.70,25.74,25.38,25.58
20151222,25.66,25.82,25.38,25.73
20151223,25.77,26.08,25.75,26.00
20151224,25.96,26.04,25.88,25.98
20151228,25.92,26.02,25.83,26.00
20151229,26.16,26.33,26.12,26.16
20151230,26.16,26.32,26.11,26.23
20151231,26.23,26.23,25.76,25.97
20160104,25.72,25.91,25.58,25.89
20160105,25.92,26.24,25.55,26.14
20160106,25.97,26.17,25.88,26.06
20160107,25.80,26.26,25.76,26.17
20160108,26.22,26.48,26.19,26.29
20160111,26.33,26.65,26.28,26.39
20160112,26.44,26.52,26.08,26.34
20160113,26.42,26.47,25.93,26.16
20160114,26.20,26.69,26.09,26.42
20160115,26.36,26.47,26.02,26.32
20160119,26.36,27.06,26.28,26.95
20160120,26.71,26.89,25.84,26.33
20160121,26.36,26.45,25.96,26.26
20160122,26.45,26.67,26.25,26.65
20160125,26.68,26.76,26.37,26.61
20160126,26.65,26.93,26.46,26.64
20160127,26.72,26.95,26.55,26.68
20160128,26.44,27.19,26.38,27.08
20160129,27.35,27.96,27.20,27.93
20160201,27.91,28.36,27.70,28.25
20160202,28.01,28.52,28.00,28.48
20160203,28.53,28.88,28.42,28.69
20160204,28.48,28.74,28.14,28.38
20160205,28.33,28.54,28.05,28.40
20160208,28.41,28.65,28.20,28.54
20160209,28.50,28.99,28.41,28.84
20160210,28.16,28.53,27.85,28.43
20160211,28.26,28.49,27.97,27.98
20160212,28.03,28.08,27.65,27.92
20160216,28.11,28.24,27.80,28.09
20160217,28.07,28.07,27.82,27.86
20160218,27.96,28.70,27.92,28.58
20160219,28.62,28.86,28.40,28.69
20160222,28.77,29.13,28.69,28.92
20160223,28.83,29.14,28.71,29.03
20160224,28.67,29.03,28.61,29.00
20160225,29.09,29.25,28.78,28.96
20160226,28.83,28.95,28.05,28.13
20160229,28.09,28.49,28.01,28.20
20160301,28.36,28.43,27.99,28.15
20160302,28.06,28.21,27.33,28.09
20160303,28.12,28.14,27.49,27.91
20160304,27.80,28.64,27.66,28.57
20160307,28.51,28.68,28.37,28.61
20160308,28.62,28.92,28.54,28.86
20160309,28.83,29.10,28.83,29.07
20160310,29.21,29.24,28.63,28.92
20160311,29.07,29.09,28.84,28.95
20160314,29.06,29.19,28.82,28.96
20160315,28.96,29.17,28.83,28.90
20160316,28.89,29.38,28.61,29.28
20160317,29.32,29.64,29.13,29.58
20160318,29.68,29.72,29.39,29.62
20160321,29.47,29.60,29.15,29.39
20160322,29.34,29.54,29.18,29.26
20160323,29.17,29.52,29.11,29.42
20160324,29.37,29.66,29.32,29.62
20160328,29.59,29.73,29.34,29.39
20160329,29.49,29.78,29.30,29.75
20160330,29.79,29.84,29.52,29.62
20160331,29.56,29.70,29.46,29.58
20160401,29.52,29.75,29.36,29.68
20160404,29.76,29.80,29.49,29.68
20160405,29.58,29.73,29.04,29.09
20160406,29.08,29.18,28.89,29.18
20160407,29.09,29.33,29.00,29.05
20160408,29.00,29.36,29.00,29.20
20160411,29.26,29.41,29.01,29.06
20160412,29.12,29.32,29.02,29.26
20160413,29.35,29.40,28.94,29.12
20160414,29.04,29.23,28.75,29.04
20160415,29.12,29.40,29.04,29.36
20160418,29.36,29.44,29.12,29.44
20160419,29.52,29.60,29.30,29.52
20160420,29.51,29.58,28.86,28.88
20160421,28.81,28.81,28.11,28.23
20160422,28.36,28.63,28.31,28.61
20160425,28.58,28.62,28.46,28.62
20160426,28.68,28.91,28.55,28.88
20160427,28.92,29.50,28.85,29.22
20160428,28.95,29.43,28.78,29.12
20160429,29.05,29.44,28.79,29.39
20160502,29.46,29.69,29.32,29.51
20160503,29.58,29.74,29.36,29.61
20160504,29.50,30.11,29.43,29.86
20160505,29.86,30.11,29.49,29.71
20160506,29.76,29.77,29.38,29.62
20160509,29.66,29.77,29.53,29.72
20160510,29.82,30.00,29.73,29.90
20160511,29.94,30.09,29.62,29.92
20160512,29.97,30.35,29.82,30.29
20160513,30.23,30.33,29.92,30.19
20160516,30.08,30.38,29.95,30.37
20160517,30.27,30.32,29.74,29.95
20160518,29.80,30.20,29.35,29.50
20160519,29.28,29.61,29.12,29.60
20160520,29.65,29.84,29.47,29.83
20160523,29.86,29.88,29.47,29.50
20160524,29.56,30.02,29.52,29.97
20160525,29.90,29.99,29.71,29.77
20160526,29.55,29.98,29.55,29.95
20160527,29.98,30.02,29.80,29.96
20160531,29.96,30.22,29.86,30.03
20160601,30.03,30.21,29.90,30.04
20160602,29.96,30.05,29.67,29.95
20160603,30.21,30.59,30.16,30.45
20160606,30.52,30.67,30.29,30.44
20160607,30.51,30.62,30.27,30.28
20160608,30.24,30.75,30.21,30.73
20160609,30.74,31.04,30.72,31.00
20160610,30.98,31.21,30.78,30.96
20160613,30.97,31.08,30.84,30.90
