Date,Open,High,Low,Close
20151127,123.85,126.39,123.59,125.44
20151130,126.03,126.60,122.89,123.33
20151201,124.47,125.57,122.42,125.37
20151202,125.53,131.35,124.93,128.93
20151203,129.62,132.20,126.39,126.81
20151204,127.00,130.99,125.75,130.93
20151207,131.19,133.27,122.75,125.36
20151208,121.51,128.24,121.10,126.98
20151209,127.70,128.78,122.33,124.20
20151210,124.50,125.21,121.62,122.91
20151211,121.45,123.00,118.60,118.91
20151214,119.77,120.90,114.66,120.67
20151215,121.93,123.30,118.54,118.60
20151216,119.80,123.00,118.09,122.64
20151217,123.97,126.35,122.42,122.51
20151218,120.85,122.19,117.92,118.02
20151221,119.51,119.59,115.66,116.63
20151222,117.30,117.43,114.86,116.24
20151223,116.91,118.56,115.78,118.16
20151224,118.22,118.80,117.30,117.33
20151228,117.26,117.35,113.85,117.11
20151229,118.19,119.60,116.92,119.12
20151230,118.95,119.02,116.43,116.71
20151231,116.21,117.46,114.28,114.38
20160104,109.00,110.00,105.21,109.96
20160105,110.45,110.58,105.85,107.66
20160106,105.29,117.91,104.96,117.68
20160107,116.36,122.18,112.29,114.56
20160108,116.33,117.72,111.10,111.39
20160111,112.13,116.79,111.20,114.97
20160112,116.11,117.78,115.08,116.58
20160113,114.43,114.48,104.53,106.56
20160114,105.65,109.25,101.21,107.06
20160115,102.43,105.50,101.72,104.04
20160119,106.57,110.14,105.55,107.89
20160120,108.91,109.99,97.05,107.74
20160121,108.32,108.51,102.10,102.35
20160122,104.72,104.99,99.22,100.72
20160125,99.78,102.68,99.00,99.12
20160126,99.74,100.55,94.85,97.83
20160127,96.61,97.85,90.59,91.15
20160128,93.84,95.25,90.11,94.41
20160129,92.00,94.39,90.63,91.84
20160201,91.79,97.18,91.30,94.09
20160202,95.54,96.65,90.73,91.49
20160203,92.41,92.69,86.14,90.74
20160204,89.50,91.25,86.54,89.71
20160205,88.23,88.95,81.86,82.79
20160208,80.57,84.70,79.95,83.32
20160209,81.75,88.40,81.55,86.13
20160210,89.00,92.21,87.42,88.45
20160211,87.42,88.39,82.91,86.35
20160212,86.64,89.72,85.26,87.40
20160216,89.00,90.14,87.54,89.05
20160217,90.13,94.77,89.64,94.76
20160218,94.80,94.90,90.31,90.49
20160219,89.98,91.40,88.03,89.23
20160222,90.75,93.11,88.30,91.93
20160223,91.40,92.49,89.05,89.12
20160224,88.50,91.76,86.70,91.61
20160225,91.08,94.81,90.21,94.53
20160226,95.30,97.48,94.25,94.79
20160229,94.81,97.20,93.34,93.41
20160301,94.58,99.16,93.61,98.30
