Date,Open,High,Low,Close
20151127,19.18,19.38,19.12,19.22
20151130,19.26,19.31,19.00,19.19
20151201,19.23,19.41,19.14,19.39
20151202,19.39,19.41,19.19,19.29
20151203,19.32,19.39,18.90,18.93
20151204,18.99,19.15,18.87,19.10
20151207,19.00,19.15,18.72,19.14
20151208,19.07,19.31,18.97,19.25
20151209,19.29,19.43,19.08,19.26
20151210,19.26,19.54,19.02,19.04
20151211,18.91,18.95,18.63,18.66
20151214,18.63,18.84,18.60,18.84
20151215,18.84,18.89,18.68,18.71
20151216,18.84,19.31,18.76,19.31
20151217,19.37,19.43,19.12,19.28
20151218,19.18,19.20,18.85,18.96
20151221,19.03,19.06,18.79,18.89
20151222,18.89,19.12,18.64,19.11
20151223,19.12,19.38,19.02,19.33
20151224,19.33,19.46,19.30,19.31
20151228,19.28,19.47,19.17,19.47
20151229,19.50,19.83,19.50,19.80
20151230,19.75,19.89,19.74,19.82
20151231,19.78,19.86,19.49,19.51
20160104,19.41,19.66,19.31,19.52
20160105,19.50,19.93,19.28,19.83
20160106,19.69,20.00,19.59,19.94
20160107,19.72,19.84,19.40,19.50
20160108,19.52,19.79,19.42,19.47
20160111,19.50,19.85,19.50,19.79
20160112,19.82,19.90,19.46,19.54
20160113,19.52,19.66,19.34,19.47
20160114,19.48,20.15,19.48,20.00
20160115,19.68,19.91,19.53,19.74
20160119,19.89,20.11,19.78,20.04
20160120,19.90,20.02,19.05,19.46
20160121,19.50,19.80,19.33,19.53
20160122,19.73,20.34,19.54,20.28
20160125,20.24,20.43,20.13,20.38
20160126,20.40,20.67,20.29,20.31
20160127,20.31,20.38,19.99,20.14
20160128,20.27,20.85,20.20,20.75
20160129,21.01,21.13,20.86,21.01
20160201,21.02,21.32,20.85,21.30
20160202,21.23,21.53,21.07,21.26
20160203,21.38,21.66,21.31,21.48
20160204,21.45,21.53,21.06,21.16
20160205,21.07,21.14,20.68,20.98
20160208,21.07,21.24,20.72,20.91
20160209,20.80,21.38,20.76,21.24
20160210,21.20,21.65,21.06,21.48
20160211,21.35,21.42,20.94,21.10
20160212,21.38,21.39,21.02,21.28
20160216,21.44,21.56,20.96,21.11
20160217,21.17,21.49,20.88,21.35
20160218,21.25,22.10,21.15,21.87
20160219,21.73,22.14,21.52,21.87
20160222,21.82,22.07,21.68,21.91
20160223,21.88,22.02,21.75,21.80
