Date,Open,High,Low,Close
20151127,188.07,188.95,186.58,188.41
20151130,188.92,188.93,185.95,186.36
20151201,187.09,189.37,186.60,187.31
20151202,186.92,187.82,185.42,185.69
20151203,185.97,186.38,182.01,183.06
20151204,183.48,188.20,183.39,187.95
20151207,187.97,188.44,186.77,187.99
20151208,186.56,188.92,185.96,188.00
20151209,187.16,188.57,185.08,186.55
20151210,186.73,188.24,186.68,187.46
20151211,185.60,187.11,185.06,186.02
20151214,186.62,188.50,185.24,187.07
20151215,188.03,189.75,187.61,187.84
20151216,189.79,191.00,187.31,189.75
20151217,189.91,190.50,188.29,188.31
20151218,187.51,187.51,184.41,184.86
20151221,186.00,189.07,185.50,189.01
20151222,189.92,190.67,187.70,189.37
20151223,190.41,190.41,189.36,190.00
20151224,189.40,190.98,189.27,190.11
20151228,189.94,190.28,188.64,189.98
20151229,190.82,191.82,190.56,191.48
20151230,191.40,191.87,189.81,190.08
20151231,189.46,190.65,187.55,188.81
20160104,185.98,187.60,185.31,187.51
20160105,187.85,192.86,187.85,192.39
20160106,190.16,193.20,190.00,190.47
20160107,187.90,189.68,186.01,188.11
20160108,188.79,189.74,185.90,186.07
20160111,187.48,188.71,185.51,188.11
20160112,189.06,189.47,187.53,188.92
20160113,189.00,189.44,184.57,184.86
20160114,184.86,186.51,182.87,185.55
20160115,181.00,185.10,180.32,184.21
20160119,186.37,187.28,183.56,186.75
20160120,183.84,185.17,178.98,182.56
20160121,183.47,184.13,180.96,181.22
20160122,183.23,184.45,182.01,184.11
20160125,184.09,184.60,181.62,181.83
20160126,181.47,182.74,178.87,182.50
20160127,181.43,182.49,177.83,178.19
20160128,176.40,181.19,175.00,180.15
20160129,181.43,185.34,180.03,185.06
20160201,186.38,189.75,184.63,188.64
20160202,186.93,189.18,186.45,187.44
20160203,188.61,190.05,186.86,189.77
20160204,188.80,189.90,185.31,186.35
20160205,186.72,188.59,185.34,186.49
20160208,184.74,187.93,184.00,185.62
20160209,184.17,188.39,184.01,187.32
20160210,187.74,189.52,187.22,188.33
20160211,185.12,186.57,180.10,183.91
20160212,184.56,185.57,180.46,181.25
20160216,182.40,185.89,180.15,184.22
20160217,185.61,191.13,184.45,190.06
20160218,190.70,193.75,190.01,192.68
20160219,192.16,192.64,190.06,190.68
20160222,190.78,193.41,190.67,192.27
20160223,192.03,193.32,190.75,191.31
20160224,190.76,190.92,188.06,190.02
20160225,190.05,192.96,189.42,192.93
20160226,193.00,193.68,191.94,192.22
20160229,191.99,194.80,191.34,192.22
20160301,193.34,194.68,192.43,193.88
20160302,193.66,194.70,191.83,193.32
20160303,192.83,193.53,189.32,192.12
20160304,191.62,192.44,190.05,191.07
20160307,190.09,191.16,186.35,186.68
20160308,185.43,187.67,185.08,186.86
20160309,188.26,188.34,186.49,186.74
20160310,187.09,189.00,186.41,186.75
20160311,188.90,191.25,188.16,189.89
20160314,189.17,190.15,187.70,188.57
20160315,188.04,191.95,187.52,191.67
20160316,190.54,192.43,190.00,191.57
20160317,191.60,192.28,190.16,190.91
