Date,Open,High,Low,Close
20151127,30.77,30.90,30.59,30.69
20151130,30.73,30.98,30.61,30.66
20151201,30.29,31.00,30.22,30.97
20151202,30.85,31.13,30.70,30.93
20151203,31.02,31.03,30.38,30.86
20151204,30.89,31.31,30.62,31.28
20151207,31.30,31.64,31.20,31.53
20151208,31.25,31.39,31.01,31.08
20151209,31.02,31.18,30.02,30.12
20151210,30.12,30.50,29.85,30.19
20151211,29.54,29.71,28.94,29.06
20151214,29.37,29.37,28.30,28.67
20151215,28.92,29.01,28.52,28.57
20151216,28.58,29.28,28.53,28.94
20151217,29.06,29.06,28.08,28.30
20151218,28.09,28.27,27.41,27.60
20151221,27.84,27.84,27.44,27.60
20151222,25.66,26.80,25.21,26.23
20151223,26.32,26.91,26.28,26.52
20151224,26.66,27.16,26.46,26.52
20151228,26.49,26.77,26.17,26.57
20151229,26.64,26.97,26.50,26.88
20151230,26.78,27.01,26.78,26.87
20151231,26.82,26.87,26.53,26.53
20160104,26.16,26.24,25.81,26.02
20160105,26.09,26.18,25.36,25.40
20160106,24.80,25.10,24.61,24.69
20160107,24.15,24.46,23.15,23.37
20160108,23.46,23.57,22.93,23.00
20160111,23.20,23.21,22.47,22.98
20160112,23.20,23.30,22.30,22.60
20160113,22.76,23.31,22.38,22.52
20160114,22.65,23.43,22.64,23.22
20160115,22.33,22.51,21.46,22.25
20160119,22.56,22.58,21.29,21.45
20160120,21.17,21.56,20.66,21.35
20160121,21.47,21.81,21.11,21.35
20160122,21.79,22.14,21.34,21.51
20160125,21.56,21.58,21.18,21.22
20160126,21.26,22.07,21.25,22.03
20160127,21.93,22.24,21.24,21.31
20160128,21.52,21.62,21.25,21.48
20160129,21.66,22.38,21.39,21.93
20160201,21.69,21.90,21.38,21.86
20160202,21.69,21.96,21.51,21.56
20160203,22.14,22.36,21.32,22.20
20160204,21.76,23.15,21.47,22.58
20160205,22.57,23.08,22.44,22.64
20160208,22.33,22.59,22.03,22.35
20160209,22.07,22.64,22.00,22.04
20160210,22.26,22.87,22.10,22.38
20160211,21.96,22.04,21.22,21.73
20160212,21.18,22.06,20.89,21.89
20160216,22.08,23.14,21.88,23.09
20160217,23.21,23.66,23.16,23.55
20160218,22.97,24.33,22.90,23.93
20160219,23.91,24.80,23.70,24.64
20160222,24.87,25.46,24.87,24.97
20160223,24.76,24.89,24.29,24.32
20160224,24.14,25.05,23.88,24.99
20160225,24.97,24.97,24.44,24.63
20160226,24.88,25.56,24.38,25.12
20160229,25.04,25.14,24.80,24.84
20160301,25.04,25.79,24.89,25.54
20160302,25.48,25.85,25.18,25.69
20160303,25.76,26.17,25.43,26.07
20160304,26.14,26.37,25.72,26.00
20160307,25.82,27.25,25.56,26.87
20160308,26.59,26.73,25.88,25.95
20160309,26.15,26.57,26.09,26.17
20160310,25.77,26.59,25.77,26.33
20160311,26.62,27.07,26.19,27.06
20160314,26.78,27.08,26.37,26.61
20160315,26.49,26.54,25.66,25.83
20160316,25.68,26.37,25.46,26.29
20160317,26.38,26.76,26.27,26.66
20160318,26.78,27.51,26.52,27.24
20160321,26.58,27.00,26.52,26.79
20160322,26.57,27.27,26.52,27.15
20160323,27.19,27.20,26.27,26.38
20160324,26.26,26.44,25.66,26.34
20160328,26.39,26.75,26.35,26.48
20160329,26.35,27.30,26.10,27.26
20160330,27.36,27.50,26.39,26.66
20160331,26.71,27.30,26.66,27.29
20160401,26.99,27.19,26.59,26.97
20160404,26.89,26.89,26.53,26.62
20160405,26.50,26.83,26.22,26.63
20160406,26.50,26.60,25.93,26.56
20160407,26.35,26.53,25.54,25.72
20160408,25.97,26.40,25.71,25.81
20160411,25.91,26.57,25.64,26.12
20160412,26.13,26.30,25.70,26.13
20160413,26.32,26.70,26.24,26.70
20160414,26.29,26.29,25.22,25.64
20160415,25.64,25.64,25.06,25.12
20160418,24.55,24.83,24.32,24.78
20160419,24.93,25.12,24.39,24.44
20160420,24.30,24.38,23.44,24.12
20160421,24.17,24.30,24.09,24.11
20160422,24.14,24.69,24.09,24.24
20160425,24.11,24.60,24.10,24.52
20160426,24.54,24.76,24.46,24.53
20160427,24.46,24.75,24.36,24.73
20160428,24.65,24.69,24.28,24.31
20160429,24.17,24.17,23.38,23.64
20160502,23.69,23.79,23.20,23.30
20160503,23.16,23.16,22.76,23.00
20160504,22.87,23.03,22.75,22.90
20160505,22.98,23.10,22.77,22.82
20160506,22.70,23.24,22.50,23.15
20160509,23.19,23.21,22.92,23.01
20160510,23.16,23.47,23.01,23.47
20160511,23.46,23.60,23.23,23.33
20160512,23.47,23.54,22.83,22.99
20160513,22.88,23.34,22.75,23.04
