Date,Open,High,Low,Close
20151127,1675.57,1696.80,1668.12,1684.95
20151130,1687.75,1699.30,1670.94,1682.48
20151201,1683.00,1705.34,1672.12,1702.92
20151202,1708.77,1711.25,1665.55,1677.37
20151203,1676.00,1681.80,1639.26,1662.92
20151204,1665.00,1719.19,1665.00,1705.75
20151207,1709.36,1721.95,1688.51,1720.00
20151208,1710.00,1710.00,1678.50,1690.49
20151209,1681.50,1688.69,1617.55,1632.99
20151210,1635.41,1669.00,1620.01,1661.07
20151211,1648.45,1666.05,1635.00,1660.00
20151214,1660.00,1667.97,1646.34,1667.00
20151215,1661.02,1669.99,1627.00,1658.69
20151216,1672.00,1679.80,1643.30,1666.23
20151217,1663.70,1663.70,1635.00,1653.99
20151218,1647.00,1659.50,1635.99,1656.56
20151221,1654.73,1665.79,1643.52,1650.00
20151222,1654.00,1660.00,1646.08,1658.13
20151223,1662.50,1669.90,1646.23,1657.83
20151224,1658.95,1664.97,1649.01,1654.91
20151228,1650.79,1655.00,1640.01,1649.92
20151229,1661.20,1667.50,1646.00,1650.00
20151230,1650.00,1660.00,1645.45,1649.54
20151231,1646.10,1650.00,1634.03,1643.00
20160104,1629.89,1634.75,1547.59,1555.66
20160105,1575.00,1598.03,1556.20,1594.09
20160106,1589.75,1601.00,1576.00,1587.06
20160107,1565.01,1589.99,1541.13,1552.32
20160108,1558.00,1573.79,1536.07,1541.42
20160111,1541.00,1548.02,1525.00,1543.37
20160112,1555.00,1578.42,1540.00,1576.82
20160113,1585.00,1586.70,1510.37,1526.74
20160114,1528.60,1529.99,1496.35,1515.00
20160115,1498.44,1522.00,1473.91,1512.02
20160119,1513.29,1534.52,1497.67,1519.66
20160120,1506.25,1529.90,1462.02,1519.00
20160121,1520.02,1543.59,1484.99,1525.41
20160122,1540.00,1568.02,1527.88,1544.51
20160125,1539.40,1564.72,1513.61,1561.09
20160126,1585.00,1650.00,1577.29,1630.00
20160127,1636.99,1649.98,1615.07,1621.86
20160128,1628.00,1660.00,1611.40,1627.95
20160129,1643.80,1656.24,1612.97,1651.00
20160201,1643.90,1665.00,1640.66,1647.67
20160202,1642.80,1642.80,1610.34,1629.24
20160203,1630.35,1659.00,1600.00,1611.86
20160204,1612.22,1634.16,1576.63,1614.85
20160205,1617.71,1620.70,1570.01,1585.12
20160208,1565.00,1605.90,1522.00,1554.06
20160209,1536.00,1568.04,1523.00,1550.13
20160210,1557.99,1585.11,1539.36,1558.10
20160211,1544.80,1550.61,1503.05,1520.99
20160212,1535.00,1546.99,1511.61,1535.00
20160216,1544.44,1556.17,1528.03,1546.50
20160217,1554.00,1586.53,1543.55,1581.65
20160218,1587.89,1587.89,1556.50,1579.40
20160219,1577.93,1591.70,1557.91,1591.62
20160222,1608.90,1612.37,1556.01,1576.98
20160223,1577.76,1594.99,1561.37,1585.98
20160224,1574.90,1590.15,1557.59,1583.00
20160225,1585.00,1617.80,1553.83,1610.45
20160226,1611.00,1640.98,1590.00,1626.39
20160229,1627.00,1639.50,1619.28,1637.00
20160301,1648.84,1673.56,1642.25,1648.00
20160302,1648.00,1654.99,1610.55,1635.44
20160303,1635.44,1658.15,1612.35,1655.06
20160304,1661.13,1661.13,1630.25,1654.50
20160307,1646.05,1652.96,1626.21,1638.82
20160308,1630.00,1639.98,1600.60,1639.98
20160309,1649.99,1665.92,1632.50,1644.50
20160310,1651.84,1654.00,1628.47,1647.31
20160311,1656.98,1675.00,1648.47,1672.01
20160314,1665.95,1672.00,1644.52,1655.50
20160315,1640.20,1674.97,1635.04,1661.71
20160316,1665.63,1693.89,1642.50,1690.00
20160317,1683.18,1716.63,1673.47,1709.80
20160318,1703.00,1758.93,1703.00,1730.00
20160321,1729.00,1747.00,1710.00,1724.00
20160322,1721.97,1749.80,1707.34,1724.32
20160323,1724.32,1748.84,1708.62,1729.11
20160324,1730.89,1742.01,1710.27,1726.00
20160328,1719.00,1748.69,1715.27,1745.37
20160329,1745.00,1819.98,1734.59,1799.23
20160330,1801.00,1820.00,1754.00,1762.66
20160331,1760.24,1767.69,1715.33,1732.40
20160401,1732.58,1786.00,1720.34,1749.29
20160404,1761.80,1761.80,1704.10,1717.56
20160405,1714.70,1731.01,1697.73,1708.62
20160406,1708.85,1729.99,1690.55,1721.56
20160407,1714.01,1740.56,1711.31,1736.99
20160408,1740.00,1769.50,1725.20,1753.48
20160411,1756.00,1775.01,1753.00,1765.00
20160412,1761.47,1783.50,1757.00,1775.45
20160413,1778.42,1795.00,1776.00,1789.43
20160414,1792.00,1801.94,1772.37,1787.64
20160415,1785.79,1793.61,1755.02,1781.78
20160418,1772.49,1788.91,1750.05,1780.00
20160419,1780.00,1791.34,1732.61,1761.91
20160420,1760.00,1764.00,1720.66,1747.00
20160421,1730.00,1752.00,1641.62,1689.35
20160422,1696.89,1700.00,1659.65,1695.56
20160425,1693.57,1693.57,1657.07,1682.43
20160426,1686.50,1707.55,1664.80,1676.00
20160427,1675.00,1699.48,1664.00,1695.44
20160428,1684.00,1694.45,1644.88,1665.30
20160429,1664.00,1668.59,1641.01,1661.29
20160502,1669.74,1696.62,1650.00,1680.00
20160503,1669.40,1674.89,1627.62,1651.01
20160504,1645.72,1661.14,1630.50,1651.37
20160505,1646.00,1655.00,1631.93,1645.50
20160506,1621.00,1651.02,1606.75,1636.00
20160509,1640.44,1651.99,1621.00,1646.75
20160510,1652.00,1661.47,1630.50,1656.13
20160511,1659.45,1666.22,1633.99,1642.88
20160512,1640.30,1654.99,1636.55,1652.00
20160513,1646.00,1660.99,1631.00,1641.80
20160516,1642.25,1677.98,1638.79,1669.81
20160517,1673.99,1705.51,1673.80,1703.64
20160518,1698.27,1709.00,1674.15,1680.00
20160519,1677.90,1677.90,1650.01,1675.00
20160520,1689.89,1707.25,1681.78,1694.97
20160523,1696.02,1705.57,1667.51,1684.00
20160524,1694.55,1734.00,1689.00,1734.00
20160525,1741.00,1745.53,1687.81,1704.22
20160526,1705.02,1723.95,1685.40,1717.95
20160527,1716.23,1740.00,1711.89,1737.79
20160531,1739.80,1747.99,1715.00,1733.00
20160601,1733.00,1749.80,1713.29,1725.53
20160602,1724.51,1738.00,1706.56,1717.14
20160603,1714.90,1723.68,1696.79,1717.14
20160606,1717.40,1735.00,1705.99,1725.41
20160607,1722.02,1750.00,1711.15,1732.00
20160608,1730.00,1749.99,1716.00,1745.00
20160609,1742.00,1750.00,1729.72,1738.10
20160610,1730.32,1736.00,1713.00,1721.77
20160613,1715.35,1733.39,1704.00,1715.55
20160614,1717.00,1720.00,1690.00,1705.64
20160615,1718.98,1718.98,1688.10,1708.00
20160616,1703.00,1724.08,1696.53,1722.66
20160617,1720.00,1734.95,1704.11,1705.00
20160620,1715.00,1728.00,1711.04,1726.98
20160621,1735.00,1735.00,1706.75,1723.96
20160622,1722.75,1728.67,1697.50,1703.13
20160623,1708.00,1727.62,1701.00,1727.62
20160624,1690.01,1714.38,1675.73,1695.62
20160627,1681.00,1692.24,1662.00,1675.07
20160628,1690.85,1705.49,1671.00,1684.00
20160629,1698.85,1745.10,1690.14,1734.00
20160630,1735.74,1789.49,1721.01,1780.34
20160701,1779.95,1798.30,1768.00,1782.83
20160705,1778.00,1785.41,1761.01,1770.00
20160706,1770.00,1793.80,1758.00,1790.00
20160707,1795.56,1799.65,1776.01,1788.20
20160708,1761.72,1845.37,1761.72,1830.00
20160711,1835.20,1845.00,1820.98,1820.98
20160712,1826.05,1830.30,1793.43,1803.57
20160713,1801.69,1804.11,1777.10,1797.00
20160714,1811.60,1811.60,1766.04,1774.97
20160715,1770.33,1787.99,1761.19,1761.19
20160718,1760.20,1769.17,1746.00,1750.00
20160719,1759.00,1764.99,1746.31,1751.69
20160720,1752.55,1765.00,1740.15,1752.47
20160721,1738.00,1755.90,1676.08,1742.47
20160722,1741.00,1754.49,1723.14,1730.00
20160725,1726.80,1747.94,1715.55,1721.51
20160726,1722.25,1737.80,1716.28,1723.28
20160727,1721.29,1724.87,1689.42,1700.00
20160728,1700.00,1729.94,1678.10,1720.00
20160729,1721.69,1728.25,1695.00,1705.00
20160801,1691.00,1701.05,1678.10,1698.00
20160802,1688.40,1698.63,1668.00,1674.43
20160803,1669.24,1684.00,1665.85,1681.95
20160804,1677.10,1695.95,1655.00,1688.32
20160805,1683.78,1714.00,1678.00,1710.00
20160808,1712.12,1720.94,1700.09,1705.00
20160809,1704.50,1711.09,1694.74,1705.00
20160810,1707.21,1707.21,1688.30,1702.00
20160811,1707.04,1711.85,1695.00,1709.26
20160812,1707.00,1711.99,1694.00,1698.93
20160815,1699.00,1710.04,1695.75,1704.88
20160816,1695.01,1704.46,1685.35,1700.00
20160817,1694.60,1699.80,1676.38,1678.00
20160818,1679.20,1691.70,1657.71,1680.36
20160819,1673.20,1688.61,1665.61,1682.00
20160822,1684.00,1690.00,1670.55,1680.49
20160823,1683.96,1707.35,1681.34,1696.86
20160824,1694.29,1694.29,1676.34,1687.99
20160825,1686.37,1699.50,1682.43,1688.10
20160826,1689.10,1693.90,1661.95,1676.51
20160829,1679.10,1687.48,1668.81,1680.75
20160830,1679.83,1687.66,1661.02,1686.93
20160831,1686.00,1699.98,1673.19,1686.80
20160901,1690.97,1694.70,1680.73,1690.00
20160902,1697.03,1698.00,1687.20,1696.00
20160906,1700.34,1712.81,1689.40,1699.50
20160907,1697.23,1709.00,1690.52,1704.64
20160908,1698.80,1709.98,1688.01,1692.89
20160909,1675.20,1679.85,1658.49,1665.10
20160912,1663.39,1678.90,1655.55,1670.63
20160913,1659.01,1672.00,1646.25,1656.00
20160914,1655.44,1672.55,1641.93,1660.19
20160915,1660.43,1669.57,1648.55,1664.52
20160916,1653.10,1667.37,1645.77,1657.00
20160919,1660.47,1678.00,1650.05,1658.08
20160920,1652.25,1655.29,1634.50,1646.00
