Date,Open,High,Low,Close
20151127,44.51,44.76,44.40,44.62
20151130,44.57,44.71,44.25,44.66
20151201,44.83,45.54,44.67,45.51
20151202,45.50,45.58,44.45,44.64
20151203,44.90,44.90,43.52,43.80
20151204,43.98,44.89,43.85,44.83
20151207,44.67,50.90,43.95,48.16
20151208,48.24,48.38,45.53,46.95
20151209,46.57,47.54,45.80,46.52
20151210,46.58,48.18,46.48,47.22
20151211,46.69,46.69,45.08,45.28
20151214,41.63,43.55,40.12,42.15
20151215,42.61,44.48,42.40,44.13
20151216,44.98,45.87,43.91,45.18
20151217,45.33,45.43,44.04,44.82
20151218,44.57,45.03,44.11,44.71
20151221,44.94,45.09,44.43,44.80
20151222,44.83,44.94,43.47,44.43
20151223,44.67,44.76,43.68,44.27
20151224,44.15,44.31,43.53,43.61
20151228,43.61,44.40,43.17,44.37
20151229,44.58,44.76,43.91,44.24
20151230,44.29,44.29,43.74,43.75
20151231,43.63,44.63,43.42,44.08
20160104,43.31,43.57,42.47,43.44
20160105,43.46,43.83,43.03,43.42
20160106,42.77,42.97,41.78,42.22
20160107,41.62,41.62,40.15,40.33
20160108,40.79,40.79,39.28,39.38
20160111,39.41,39.74,38.43,39.35
20160112,39.81,40.05,38.87,39.97
20160113,40.15,40.78,37.93,37.97
20160114,37.61,38.04,36.88,37.48
20160115,36.37,37.19,36.10,37.13
20160119,37.68,37.84,35.63,36.20
20160120,35.58,36.43,34.50,36.07
20160121,36.18,37.49,35.63,36.85
20160122,37.39,37.80,36.59,36.97
20160125,36.80,37.48,36.67,37.13
20160126,37.22,38.24,37.11,38.18
20160127,37.92,38.31,36.96,37.15
20160128,37.35,37.77,36.52,37.51
20160129,37.24,38.84,37.00,38.78
20160201,39.18,39.42,38.48,39.01
20160202,38.38,38.51,37.06,37.25
20160203,37.65,37.71,35.47,36.23
20160204,36.21,37.57,36.05,37.52
20160205,37.31,37.61,36.39,36.43
20160208,36.05,36.12,33.77,34.26
20160209,33.92,34.70,33.43,34.27
20160210,34.55,35.24,34.30,34.87
20160211,34.02,34.52,33.26,33.76
20160212,33.76,34.81,33.42,34.79
20160216,35.27,36.10,34.84,36.00
20160217,36.13,37.80,36.03,37.43
20160218,37.30,37.55,36.89,37.50
20160219,37.44,37.58,36.85,37.46
20160222,37.97,38.80,37.89,38.11
20160223,37.82,38.10,37.52,37.87
20160224,37.50,37.86,37.08,37.74
20160225,37.53,38.04,36.72,37.87
20160226,37.93,39.18,37.90,38.67
20160229,38.52,38.92,37.83,38.01
20160301,38.33,39.68,37.96,39.51
20160302,39.42,40.40,39.16,40.31
20160303,40.37,41.30,40.06,41.28
20160304,41.30,42.09,40.80,40.98
20160307,40.91,40.91,39.39,39.59
20160308,39.23,39.23,38.14,38.70
20160309,38.98,39.87,38.82,39.85
20160310,40.16,40.16,39.05,39.80
20160311,40.25,41.21,40.06,41.16
20160314,40.97,41.33,40.70,41.27
20160315,40.97,41.54,40.70,41.37
20160316,41.19,42.39,41.04,42.16
20160317,42.13,42.97,41.79,42.63
20160318,42.68,44.06,42.58,42.98
20160321,43.02,43.54,42.58,43.17
20160322,42.84,43.61,42.69,43.27
20160323,43.06,43.36,42.81,43.09
20160324,42.80,43.47,42.72,42.98
20160328,42.96,43.83,42.79,43.81
20160329,43.94,44.98,43.76,44.95
20160330,45.08,45.57,44.30,44.37
20160331,44.44,44.60,44.16,44.29
20160401,43.86,45.57,43.76,45.54
20160404,45.54,45.57,45.07,45.36
20160405,44.91,45.19,44.58,44.77
20160406,44.87,44.98,44.47,44.63
20160407,44.25,44.27,43.41,43.84
20160408,44.24,44.74,43.57,43.84
20160411,43.97,44.58,43.74,43.76
20160412,43.94,43.98,43.11,43.81
20160413,44.24,44.67,43.97,44.55
20160414,44.42,44.65,43.89,44.19
20160415,44.25,44.74,43.67,44.33
20160418,44.00,45.19,44.00,44.85
20160419,44.95,45.11,44.16,44.87
20160420,44.92,45.00,44.43,44.62
20160421,44.60,44.87,44.33,44.48
20160422,44.28,45.00,44.06,44.36
20160425,44.36,44.43,43.90,44.04
20160426,44.08,44.63,43.99,44.39
20160427,44.46,44.72,44.11,44.57
20160428,44.24,44.32,43.20,43.42
20160429,45.89,46.90,44.96,45.54
20160502,46.21,47.40,45.84,47.18
20160503,46.81,47.11,46.48,46.61
20160504,46.34,46.81,46.07,46.68
20160505,46.63,47.20,46.41,46.91
20160506,46.75,47.06,46.41,47.04
20160509,47.19,47.99,47.19,47.82
20160510,47.98,49.18,47.82,49.17
20160511,49.09,49.09,48.29,48.41
20160512,48.60,48.74,48.26,48.54
20160513,48.55,48.79,47.06,47.49
20160516,47.58,48.08,47.41,47.94
20160517,47.95,48.21,47.29,47.50
20160518,47.26,47.46,46.57,47.12
20160519,46.96,47.23,46.50,47.17
20160520,47.50,47.67,47.02,47.14
20160523,46.95,47.75,46.85,47.50
20160524,47.72,48.30,47.68,47.89
20160525,47.85,48.19,47.78,47.88
20160526,47.90,48.00,47.52,47.72
20160527,47.73,48.00,47.51,47.76
20160531,47.69,48.15,47.17,47.69
20160601,47.69,48.00,47.30,47.93
20160602,47.90,48.00,47.58,48.00
20160603,47.88,48.01,46.95,47.96
20160606,48.01,48.16,47.87,48.06
20160607,48.21,49.20,48.21,48.86
20160608,49.04,49.46,48.77,48.98
20160609,48.65,49.03,48.44,48.96
20160610,48.59,48.67,47.94,47.95
20160613,47.72,48.03,47.47,47.73
20160614,47.61,48.12,47.36,48.06
20160615,48.31,49.08,47.95,48.46
20160616,48.26,48.78,47.89,48.72
20160617,48.70,48.92,48.27,48.37
20160620,48.85,49.21,48.51,48.61
20160621,48.88,48.96,48.23,48.51
20160622,48.51,49.06,48.43,48.58
20160623,49.02,49.49,48.99,49.46
20160624,47.10,48.16,46.27,46.51
20160627,45.85,45.96,44.83,45.08
20160628,45.67,46.96,45.57,46.96
20160629,47.53,48.19,47.53,47.84
20160630,47.88,48.70,47.60,48.57
20160701,48.57,49.26,48.47,48.78
20160705,48.41,48.69,47.51,48.02
20160706,47.76,48.20,47.07,48.17
20160707,48.19,48.62,47.68,48.11
20160708,48.52,49.20,48.43,48.86
20160711,48.93,49.33,48.56,48.59
20160712,49.09,49.42,48.88,49.29
20160713,49.29,49.41,48.61,48.97
20160714,49.24,49.50,48.64,48.72
20160715,48.80,48.96,48.55,48.69
20160718,48.61,48.84,48.13,48.31
20160719,48.09,48.39,47.41,48.04
20160720,48.24,48.89,48.07,48.83
20160721,48.71,48.83,48.45,48.62
20160722,48.74,49.08,48.68,48.98
20160725,48.75,49.00,48.42,48.97
20160726,49.09,49.63,49.01,49.56
20160727,49.58,49.93,48.99,49.16
20160728,49.09,49.51,48.78,49.39
20160729,51.82,53.75,51.82,52.46
20160801,52.58,54.53,52.41,53.97
20160802,53.93,54.06,53.09,53.82
20160803,53.55,53.58,53.09,53.51
20160804,53.51,53.78,53.25,53.28
20160805,53.43,53.99,53.31,53.75
20160808,54.09,54.41,53.59,54.16
20160809,54.27,54.46,53.99,54.15
20160810,54.32,54.56,53.97,54.19
20160811,54.30,54.71,54.23,54.47
20160812,54.31,54.98,54.26,54.89
20160815,55.00,55.45,54.82,54.89
20160816,54.87,54.95,54.14,54.39
