Date,Open,High,Low,Close
20151127,14.61,14.66,14.32,14.37
20151130,14.39,14.52,14.29,14.46
20151201,14.56,14.80,14.51,14.78
20151202,14.77,14.80,14.55,14.61
20151203,14.61,14.69,13.83,14.04
20151204,14.08,14.33,13.96,14.31
20151207,14.26,14.31,14.10,14.17
20151208,13.99,14.03,13.76,13.79
20151209,13.71,14.07,13.69,13.82
20151210,13.78,14.22,13.78,14.11
20151211,13.87,13.95,13.60,13.66
20151214,13.72,13.75,13.48,13.64
20151215,13.77,14.00,13.68,13.81
20151216,13.89,14.17,13.83,14.08
20151217,14.10,14.16,13.75,13.75
20151218,13.68,13.79,13.55,13.62
20151221,13.71,13.85,13.56,13.83
20151222,13.89,13.94,13.71,13.85
20151223,13.98,14.31,13.94,14.25
20151224,14.26,14.45,14.22,14.23
20151228,14.14,14.45,13.88,14.06
20151229,14.14,14.34,14.14,14.29
20151230,14.22,14.37,14.06,14.10
20151231,14.03,14.10,13.94,13.96
20160104,13.71,13.73,13.55,13.67
20160105,13.66,13.71,13.06,13.11
20160106,12.90,13.32,12.82,13.23
20160107,12.96,13.13,12.90,13.01
20160108,13.12,13.15,12.90,13.01
20160111,13.07,13.10,12.50,12.66
20160112,12.79,12.90,12.64,12.83
20160113,12.88,12.95,12.46,12.53
20160114,12.58,13.17,12.54,13.09
20160115,12.69,13.04,12.61,12.81
20160119,12.97,12.97,12.49,12.73
20160120,12.55,12.63,12.13,12.48
20160121,12.51,12.91,12.39,12.72
20160122,12.96,13.07,12.87,13.04
20160125,12.97,13.05,12.78,12.83
20160126,12.91,13.18,12.78,13.16
20160127,13.10,13.33,12.99,13.06
20160128,13.22,13.30,12.90,13.18
20160129,13.25,13.39,13.19,13.35
20160201,13.19,13.33,12.88,13.12
20160202,12.98,12.98,12.50,12.57
20160203,12.70,12.85,12.35,12.69
20160204,12.66,12.99,12.66,12.78
20160205,12.36,12.36,11.51,11.92
20160208,11.73,11.81,10.96,11.26
20160209,11.08,11.29,10.96,11.09
20160210,11.12,11.41,11.11,11.13
20160211,11.12,11.12,10.74,10.89
20160212,11.04,11.29,11.03,11.27
20160216,11.46,11.66,11.31,11.54
20160217,11.68,11.84,11.51,11.60
20160218,11.64,11.64,11.43,11.45
20160219,11.45,11.68,11.33,11.59
20160222,11.74,11.82,11.64,11.75
20160223,11.68,11.84,11.60,11.62
20160224,11.44,11.57,11.38,11.55
20160225,11.57,11.59,11.30,11.49
20160226,11.57,11.66,11.46,11.58
20160229,11.58,11.63,11.41,11.41
20160301,11.49,11.53,11.30,11.40
20160302,11.36,11.58,11.35,11.57
20160303,11.57,11.60,11.42,11.58
20160304,11.64,11.81,11.49,11.73
20160307,11.58,11.99,11.58,11.95
20160308,11.91,11.95,11.57,11.59
20160309,11.66,12.02,11.63,11.84
20160310,11.86,11.91,11.55,11.73
20160311,11.86,12.40,11.70,12.40
20160314,12.35,12.39,12.04,12.15
20160315,12.05,12.32,11.96,12.29
20160316,12.27,12.80,12.22,12.78
20160317,12.79,13.28,12.79,13.10
20160318,13.16,13.28,12.88,12.91
20160321,12.90,13.05,12.83,13.01
20160322,12.92,13.22,12.92,13.20
20160323,13.18,13.30,13.01,13.02
20160324,12.91,13.06,12.82,13.05
20160328,13.11,13.39,13.04,13.36
20160329,13.32,13.45,13.18,13.40
20160330,13.46,13.49,13.13,13.25
20160331,13.26,13.37,13.19,13.25
20160401,13.14,13.55,13.00,13.53
20160404,13.51,13.51,13.21,13.21
20160405,13.06,13.19,13.01,13.05
20160406,13.08,13.28,12.95,13.25
20160407,13.19,13.25,12.89,12.99
20160408,13.09,13.09,12.73,12.77
20160411,12.78,12.90,12.72,12.72
20160412,12.76,12.98,12.75,12.91
20160413,12.97,13.10,12.93,13.09
20160414,13.15,13.32,13.15,13.18
20160415,13.17,13.19,13.00,13.10
20160418,13.03,13.09,12.88,12.92
20160419,12.92,13.12,12.82,12.98
20160420,12.98,13.12,12.96,12.97
20160421,12.99,13.35,12.99,13.21
20160422,13.19,13.37,13.19,13.30
20160425,13.28,13.30,13.02,13.08
20160426,13.08,13.33,13.02,13.27
20160427,13.26,13.39,13.09,13.19
20160428,13.09,13.31,13.01,13.07
20160429,13.03,13.09,12.76,12.96
20160502,12.98,13.25,12.94,13.18
20160503,13.05,13.11,12.77,12.83
20160504,12.75,12.83,12.64,12.69
20160505,12.77,12.77,12.62,12.73
20160506,12.73,13.18,12.41,13.16
20160509,13.10,13.14,12.57,12.72
20160510,12.79,12.80,12.62,12.77
20160511,12.67,12.74,12.52,12.63
20160512,12.66,12.68,12.31,12.35
20160513,12.31,12.42,12.04,12.05
20160516,12.10,12.21,12.05,12.18
20160517,12.12,12.33,12.08,12.09
20160518,12.03,12.10,11.77,12.00
20160519,11.95,12.03,11.90,11.94
20160520,12.00,12.32,11.83,12.25
20160523,12.27,12.38,12.10,12.12
20160524,12.18,12.24,12.11,12.22
20160525,12.25,12.47,12.25,12.41
20160526,12.40,12.46,12.23,12.24
20160527,12.24,12.33,12.19,12.30
20160531,12.30,12.35,12.20,12.34
20160601,12.30,12.43,12.21,12.39
20160602,12.38,12.45,12.29,12.45
20160603,12.40,12.45,12.14,12.33
20160606,12.35,12.56,12.35,12.52
20160607,12.52,12.52,12.18,12.23
20160608,12.22,12.32,12.16,12.23
20160609,12.19,12.21,12.02,12.13
20160610,12.00,12.05,11.70,11.84
20160613,11.79,12.07,11.79,11.90
20160614,11.87,11.95,11.63,11.78
20160615,11.80,12.19,11.80,11.99
20160616,11.96,11.96,11.64,11.72
20160617,11.73,11.74,11.56,11.62
20160620,11.78,11.89,11.70,11.77
20160621,11.78,11.89,11.62,11.86
20160622,11.86,12.15,11.84,12.06
20160623,12.20,12.40,12.11,12.20
20160624,11.70,11.70,11.46,11.50
20160627,11.33,11.36,10.90,10.94
20160628,11.01,11.12,10.93,11.02
20160629,11.15,11.52,10.94,11.52
20160630,11.56,11.72,11.52,11.67
20160701,11.70,11.92,11.64,11.77
20160705,11.72,11.79,11.52,11.65
20160706,11.64,11.70,11.50,11.68
20160707,11.69,11.91,11.69,11.78
20160708,11.94,12.14,11.92,12.04
20160711,12.07,12.29,12.07,12.25
20160712,12.45,12.63,12.36,12.60
20160713,12.68,12.75,12.59,12.74
20160714,12.89,13.00,12.69,12.83
20160715,12.90,12.90,12.45,12.80
20160718,12.83,13.04,12.77,12.93
20160719,12.93,13.01,12.81,12.98
20160720,13.02,13.11,12.92,13.03
20160721,13.03,13.06,12.85,12.90
20160722,12.95,13.09,12.95,13.03
20160725,13.05,13.13,12.94,13.06
20160726,13.09,13.30,13.09,13.24
20160727,13.23,13.31,13.04,13.16
20160728,13.16,13.22,13.07,13.16
20160729,13.17,13.48,13.16,13.44
20160801,13.43,13.49,13.25,13.31
20160802,13.27,13.27,13.03,13.14
20160803,13.09,13.21,13.05,13.11
20160804,13.08,13.23,13.08,13.20
20160805,13.33,13.49,13.23,13.28
20160808,13.30,13.37,13.20,13.24
20160809,13.28,13.88,13.12,13.77
20160810,13.76,13.80,13.54,13.73
20160811,13.78,14.00,13.61,13.89
20160812,13.92,14.05,13.92,14.04
20160815,14.15,14.23,14.11,14.17
20160816,14.09,14.23,14.06,14.16
20160817,14.15,14.23,14.13,14.18
20160818,14.20,14.29,14.09,14.15
20160819,14.10,14.16,14.03,14.11
20160822,14.14,14.23,13.98,14.23
20160823,14.30,14.35,14.18,14.22
20160824,14.21,14.30,14.20,14.21
20160825,14.15,14.30,14.08,14.23
20160826,14.31,14.46,14.18,14.34
20160829,14.40,14.47,14.31,14.38
20160830,14.34,14.41,14.23,14.35
20160831,14.34,14.44,14.18,14.43
20160901,14.50,14.50,14.17,14.31
20160902,14.38,14.40,14.13,14.25
20160906,14.31,14.65,13.96,14.04
20160907,14.05,14.12,13.99,14.09
20160908,14.00,14.41,14.00,14.17
20160909,14.14,14.14,13.74,13.74
20160912,13.49,14.51,13.49,14.50
20160913,14.30,14.37,14.14,14.25
20160914,14.34,14.36,14.16,14.34
20160915,14.36,14.37,14.12,14.17
20160916,14.07,14.17,13.97,14.00
20160919,14.00,14.12,13.94,14.00
20160920,14.12,14.15,14.00,14.07
20160921,14.14,14.33,14.06,14.28
20160922,14.38,14.56,14.32,14.53
20160923,14.53,14.64,14.47,14.47
20160926,14.34,14.38,14.14,14.19
20160927,14.19,14.32,14.14,14.32
20160928,14.29,14.40,14.20,14.27
20160929,14.25,14.40,14.06,14.13
20160930,14.19,14.37,14.17,14.22
20161003,14.13,15.01,14.13,14.93
20161004,14.88,14.99,14.66,14.69
20161005,14.67,15.22,14.63,15.17
20161006,15.06,15.18,14.73,15.08
20161007,15.09,15.10,14.45,14.52
20161010,14.50,14.75,14.15,14.25
20161011,14.30,14.30,13.85,14.00
20161012,13.95,14.05,13.75,13.75
20161013,13.70,13.95,13.58,13.85
20161014,14.30,14.30,13.65,13.75
20161017,13.75,13.80,13.63,13.80
20161018,14.00,14.05,13.65,13.90
20161019,14.00,14.10,13.80,14.00
20161020,14.25,14.25,13.50,13.80
20161021,13.60,13.85,13.55,13.70
20161024,13.75,13.85,13.20,13.20
20161025,13.30,13.70,12.90,13.00
20161026,12.90,13.25,12.90,13.15
20161027,13.00,13.00,12.43,12.60
20161028,12.60,12.80,12.45,12.50
20161031,12.50,12.70,12.40,12.40
20161101,12.50,12.70,12.20,12.40
20161102,12.40,12.45,12.05,12.10
20161103,12.10,12.40,12.05,12.15
20161104,12.25,12.40,12.10,12.15
20161107,12.30,12.60,12.20,12.50
20161108,11.50,12.20,11.25,12.10
20161109,12.00,12.55,11.85,12.35
20161110,12.35,12.55,12.05,12.35
20161111,12.20,12.45,12.15,12.35
20161114,12.35,12.70,12.25,12.50
20161115,12.45,12.60,12.30,12.35
20161116,12.25,12.45,12.05,12.35
20161117,12.35,12.50,12.25,12.35
20161118,12.30,12.40,12.15,12.20
20161121,12.20,12.25,12.00,12.05
20161122,12.00,12.15,11.90,12.00
20161123,12.05,12.15,11.95,12.10
20161125,12.20,12.33,12.10,12.10
20161128,12.15,12.33,12.05,12.10
20161129,12.05,12.15,11.75,11.90
20161130,11.90,12.03,11.78,11.95
20161201,11.95,12.15,11.85,12.00
20161202,12.05,12.15,12.00,12.05
20161205,12.05,12.15,11.95,12.05
20161206,12.05,12.15,11.95,12.05
20161207,12.05,12.25,12.00,12.15
20161208,12.15,12.35,12.10,12.20
20161209,12.20,12.50,12.20,12.40
20161212,12.30,12.45,12.30,12.30
20161213,12.35,12.55,12.15,12.25
20161214,12.25,12.43,12.15,12.20
20161215,12.25,12.40,11.98,12.05
20161216,12.10,12.20,11.85,12.00
20161219,12.00,12.15,11.95,12.15
20161220,12.15,12.20,11.90,11.95
20161221,12.00,12.13,11.85,12.05
20161222,12.05,12.15,11.95,12.05
20161223,12.10,12.15,12.00,12.05
20161227,12.10,12.25,12.10,12.25
20161228,12.25,12.30,12.00,12.05
20161229,12.00,12.10,11.85,12.05
20161230,12.15,12.15,11.75,11.80
20170103,11.95,12.25,11.90,12.05
20170104,12.05,12.30,12.05,12.25
20170105,12.20,12.35,12.18,12.25
20170106,12.25,12.40,12.10,12.25
20170109,12.25,12.45,12.25,12.40
20170110,12.35,12.50,12.28,12.50
20170111,12.45,12.55,12.33,12.55
20170112,12.50,12.60,12.30,12.45
20170113,12.45,12.58,12.40,12.45
20170117,12.40,12.73,12.30,12.70
20170118,12.70,12.70,12.40,12.55
20170119,12.55,12.60,12.40,12.45
20170120,12.45,12.55,12.35,12.35
20170123,12.35,12.45,12.30,12.40
20170124,12.35,12.63,12.30,12.60
20170125,12.60,12.80,12.55,12.70
20170126,12.75,12.80,12.50,12.55
20170127,12.55,12.70,12.50,12.65
20170130,12.70,12.70,12.45,12.70
20170131,12.70,12.70,12.40,12.65
20170201,12.65,12.75,12.50,12.70
20170202,12.70,12.70,12.50,12.60
20170203,12.60,12.65,12.50,12.60
20170206,12.60,12.70,12.55,12.55
20170207,12.55,12.60,12.40,12.55
20170208,12.55,12.55,12.35,12.45
20170209,12.40,12.75,12.40,12.75
20170210,12.50,13.75,12.50,13.60
20170213,13.70,13.80,13.35,13.35
20170214,13.40,13.50,13.25,13.35
20170215,13.20,13.53,13.20,13.45
20170216,13.45,13.50,13.28,13.40
20170217,13.40,13.55,13.20,13.50
20170221,13.50,13.80,13.40,13.65
20170222,13.65,13.65,13.40,13.60
20170223,13.65,13.65,13.38,13.50
20170224,13.50,13.50,13.23,13.40
20170227,13.40,13.50,13.30,13.40
20170228,13.35,13.40,13.10,13.20
20170301,13.30,13.50,13.25,13.40
20170302,13.40,13.45,13.15,13.25
20170303,13.25,13.25,13.10,13.25
20170306,13.15,13.30,13.10,13.25
20170307,13.20,13.40,12.90,13.00
20170308,12.90,13.05,12.78,12.80
20170309,12.90,12.90,12.66,12.80
20170310,12.85,12.90,12.55,12.80
20170313,12.70,12.75,12.53,12.55
20170314,12.55,12.70,12.50,12.70
20170315,12.75,12.95,12.60,12.90
20170316,12.80,12.98,12.80,12.90
20170317,12.95,13.05,12.85,12.95
20170320,13.00,13.00,12.83,12.90
20170321,13.00,13.05,12.80,12.85
20170322,12.95,12.95,12.75,12.95
20170323,12.95,13.03,12.85,12.95
20170324,13.00,13.08,12.88,12.95
20170327,12.90,13.05,12.85,12.95
20170328,12.95,13.30,12.95,13.25
20170329,13.25,13.50,13.20,13.45
20170330,13.50,13.80,13.40,13.70
20170331,13.70,13.70,13.33,13.50
20170403,13.55,13.55,13.20,13.25
20170404,13.25,13.35,13.10,13.15
20170405,13.15,13.20,12.93,13.05
20170406,13.00,13.09,12.85,12.95
20170407,12.90,12.95,12.85,12.90
20170410,12.90,13.05,12.85,12.90
20170411,12.85,12.95,12.80,12.85
20170412,12.90,13.00,12.83,12.95
20170413,12.85,12.95,12.70,12.70
20170417,12.80,12.90,12.70,12.85
20170418,12.85,12.85,12.60,12.70
20170419,12.75,12.95,12.75,12.85
20170420,12.85,13.45,12.85,13.35
20170421,13.30,13.40,13.13,13.30
20170424,13.40,13.45,13.30,13.35
20170425,13.40,13.50,13.35,13.45
20170426,13.40,13.50,13.25,13.25
20170427,13.30,13.38,13.20,13.20
20170428,13.25,13.25,12.90,13.00
20170501,13.05,13.10,12.92,13.00
20170502,13.00,13.05,12.90,12.90
20170503,12.85,12.95,12.75,12.85
20170504,12.90,12.90,12.75,12.85
20170505,12.80,13.00,12.80,13.00
20170508,12.95,13.10,12.95,13.10
20170509,13.15,13.40,13.10,13.40
20170510,12.95,13.60,12.65,13.05
20170511,13.05,13.15,12.88,13.00
20170512,13.00,13.10,12.95,13.05
20170515,13.05,13.33,13.05,13.30
20170516,13.25,13.35,13.20,13.30
20170517,13.20,13.25,13.02,13.05
20170518,13.10,13.18,12.97,13.05
20170519,13.05,13.23,13.00,13.20
20170522,13.20,13.55,13.20,13.55
20170523,13.55,13.68,13.40,13.50
20170524,13.55,13.65,13.50,13.65
20170525,13.65,13.70,13.55,13.60
20170526,13.60,13.80,13.60,13.80
20170530,13.80,13.80,13.55,13.65
20170531,13.70,13.75,13.48,13.70
20170601,13.70,14.00,13.70,14.00
20170602,13.95,14.05,13.80,13.95
20170605,13.95,14.05,13.80,13.80
20170606,13.85,13.95,13.70,13.90
20170607,14.00,14.00,13.75,13.80
20170608,13.75,13.95,13.55,13.95
20170609,13.95,14.10,13.83,14.10
20170612,14.05,14.25,14.00,14.05
20170613,14.05,14.13,13.93,13.95
20170614,14.05,14.10,13.90,14.00
20170615,14.00,14.08,13.90,14.05
20170616,14.10,14.25,14.00,14.15
20170619,14.15,14.30,14.15,14.25
20170620,14.25,14.25,13.95,14.00
20170621,14.00,14.10,13.93,13.95
20170622,13.95,14.05,13.75,13.95
20170623,13.90,14.10,13.80,14.05
20170626,14.05,14.15,13.95,14.10
20170627,14.10,14.25,14.00,14.10
20170628,14.15,14.40,14.15,14.30
20170629,14.30,14.40,13.83,14.05
20170630,14.10,14.20,14.00,14.15
20170703,14.30,14.35,14.10,14.30
20170705,14.30,14.30,14.10,14.15
20170706,14.10,14.10,13.65,13.65
20170707,13.70,13.85,13.60,13.75
20170710,13.70,13.85,13.53,13.55
20170711,13.65,13.78,13.50,13.75
20170712,13.80,13.85,13.60,13.60
20170713,13.60,13.75,13.60,13.70
20170714,13.70,14.05,13.68,14.00
20170717,14.00,14.25,13.95,14.10
20170718,14.05,14.13,13.95,14.05
20170719,14.10,14.43,14.10,14.35
20170720,14.40,14.55,14.30,14.35
20170721,14.25,14.55,14.25,14.45
20170724,14.40,14.50,14.35,14.45
20170725,14.55,14.60,14.25,14.55
20170726,14.65,14.75,14.60,14.60
20170727,14.65,14.80,14.65,14.70
20170728,14.65,14.90,14.65,14.80
20170731,14.80,14.85,14.65,14.70
20170801,14.80,14.90,14.70,14.85
20170802,14.80,14.80,14.60,14.75
20170803,14.75,14.80,14.45,14.65
20170804,14.65,14.70,14.50,14.60
20170807,14.55,14.85,14.55,14.80
20170808,14.75,14.75,14.50,14.60
20170809,14.60,14.65,14.40,14.55
20170810,14.55,14.55,13.95,14.00
20170811,14.25,14.40,13.78,13.80
20170814,13.95,14.00,13.70,13.80
20170815,13.90,13.90,13.65,13.70
20170816,13.75,13.85,13.60,13.65
20170817,13.65,13.88,13.60,13.65
20170818,13.60,13.85,13.48,13.75
20170821,13.70,13.80,13.60,13.75
20170822,13.75,13.85,13.70,13.80
20170823,13.70,13.73,13.50,13.50
20170824,13.60,13.60,13.45,13.60
20170825,13.65,13.85,13.55,13.75
20170828,13.80,13.85,13.65,13.80
