Date,Open,High,Low,Close
20151127,49.39,50.06,49.38,50.03
20151130,50.13,50.49,49.42,49.62
20151201,49.99,50.68,49.79,50.62
20151202,50.19,50.47,49.54,49.61
20151203,49.42,49.64,48.62,48.78
20151204,49.07,50.08,49.00,50.01
20151207,49.99,50.46,49.81,50.27
20151208,50.19,50.49,50.01,50.14
20151209,49.74,50.11,49.34,49.62
20151210,49.57,49.92,48.92,48.94
20151211,48.63,49.02,48.37,48.65
20151214,48.57,49.38,48.51,49.34
20151215,49.78,50.38,49.63,49.94
20151216,50.20,51.26,50.10,51.23
20151217,51.21,51.28,50.85,51.00
20151218,50.91,51.81,50.75,51.08
20151221,51.58,51.58,50.75,51.08
20151222,51.32,51.78,51.16,51.18
20151223,51.25,51.55,51.17,51.51
20151224,51.43,51.51,51.12,51.30
20151228,51.26,51.76,51.08,51.75
20151229,51.92,52.25,51.73,52.18
20151230,52.08,52.41,51.85,51.92
20151231,52.00,52.15,51.54,51.63
20160104,51.14,51.42,50.47,51.18
20160105,51.39,52.43,51.21,52.29
20160106,51.86,52.60,51.86,52.60
20160107,51.68,52.49,50.64,51.69
20160108,51.76,52.13,51.10,51.17
20160111,51.39,52.54,51.30,52.27
20160112,52.52,52.59,51.76,52.43
20160113,52.45,53.17,51.70,51.84
20160114,51.98,52.78,51.65,52.25
20160115,51.68,52.29,51.09,52.19
20160119,52.51,53.28,52.30,53.01
20160120,52.71,52.84,50.96,51.87
20160121,52.29,53.30,51.72,52.52
20160122,52.99,54.20,52.88,54.04
20160125,54.12,54.72,53.61,53.89
20160126,54.05,55.36,54.05,55.20
20160127,54.99,55.74,54.43,55.08
20160128,54.85,55.52,54.62,54.87
20160129,55.30,55.88,55.01,55.79
20160201,55.56,57.20,55.19,56.65
20160202,56.73,57.42,56.32,57.22
20160203,57.41,58.18,57.14,57.35
20160204,57.21,57.90,56.86,57.48
20160205,57.06,57.25,55.51,55.89
20160208,55.71,56.30,54.82,56.17
20160209,56.00,56.75,55.63,56.36
20160210,56.50,57.50,56.48,56.78
20160211,56.71,60.22,56.69,60.12
20160212,59.90,61.26,59.65,60.48
20160216,60.33,60.41,58.76,59.82
20160217,60.00,60.57,59.36,59.81
20160218,59.80,60.71,59.52,60.45
20160219,60.26,61.34,60.05,60.22
20160222,60.56,60.69,59.47,59.72
20160223,59.78,60.08,59.11,59.71
20160224,59.53,60.26,59.27,59.53
20160225,59.76,60.63,59.66,60.12
20160226,59.86,59.86,58.51,58.63
20160229,58.51,59.22,58.15,58.54
20160301,58.92,59.33,58.25,58.83
20160302,58.47,59.10,58.16,59.04
20160303,59.14,59.34,58.29,59.02
20160304,58.98,58.98,57.81,58.16
20160307,58.10,58.16,57.48,57.75
20160308,57.75,59.05,57.50,58.64
20160309,58.51,59.57,58.38,58.93
20160310,59.26,59.53,58.72,59.25
20160311,59.78,59.89,59.06,59.63
20160314,59.36,59.82,59.27,59.75
20160315,59.70,60.29,59.51,59.86
20160316,59.67,61.00,58.90,60.88
20160317,60.91,61.85,60.50,61.57
20160318,61.46,61.52,60.76,61.24
20160321,60.95,60.99,60.17,60.77
20160322,60.75,61.50,60.62,60.88
20160323,60.64,61.78,60.64,61.41
