Date,Open,High,Low,Close
20151127,42.96,43.63,42.83,43.59
20151130,43.47,43.67,42.35,42.47
20151201,42.59,42.61,41.62,42.21
20151202,40.70,42.44,40.29,41.97
20151203,41.99,42.51,41.52,41.75
20151204,41.77,42.05,41.23,42.01
20151207,42.01,42.26,40.99,41.28
20151208,41.09,41.29,40.17,40.57
20151209,40.33,41.27,40.00,40.68
20151210,40.79,41.22,40.59,40.75
20151211,40.39,40.55,39.15,39.36
20151214,39.30,39.51,38.47,38.87
20151215,39.33,39.69,38.85,39.49
20151216,39.67,40.81,39.67,40.72
20151217,40.67,41.03,40.05,40.07
20151218,39.55,39.62,37.97,38.17
20151221,38.16,38.57,37.87,38.31
20151222,38.56,39.27,38.39,39.15
20151223,39.13,39.63,38.97,39.19
20151224,39.01,39.25,38.90,39.14
20151228,39.11,39.29,38.54,39.13
20151229,39.37,39.66,39.19,39.44
20151230,39.11,39.50,39.04,39.13
20151231,38.87,39.82,38.80,39.38
20160104,38.87,38.97,38.22,38.95
20160105,38.97,39.44,38.73,39.29
20160106,38.63,39.17,38.27,38.35
20160107,37.02,37.53,36.62,36.87
20160108,37.07,37.78,36.53,36.60
20160111,36.63,36.77,35.94,36.33
20160112,36.59,37.29,35.93,36.91
20160113,36.95,37.25,34.97,35.33
20160114,35.64,35.64,34.28,35.26
20160115,34.23,34.78,33.64,34.67
20160119,35.12,35.37,33.78,33.95
20160120,33.45,34.04,32.61,33.73
20160121,33.35,34.73,33.06,34.27
20160122,34.68,35.31,34.65,35.07
20160125,35.01,35.23,34.08,34.22
20160126,34.47,36.05,34.22,35.49
20160127,35.38,36.15,34.92,35.09
20160128,35.35,35.65,34.48,34.83
20160129,34.89,36.61,34.89,36.55
20160201,36.37,37.83,35.83,37.78
20160202,37.40,37.98,36.66,36.88
20160203,37.03,37.43,36.23,36.93
20160204,36.03,40.36,34.88,40.04
20160205,40.02,40.13,38.88,39.70
20160208,39.33,39.95,38.17,39.92
20160209,39.41,40.87,38.88,40.67
