Date,Open,High,Low,Close
20151127,29.94,30.43,29.41,29.46
20151130,29.63,29.87,29.16,29.48
20151201,29.41,29.89,28.90,29.21
20151202,28.81,28.88,26.92,26.99
20151203,27.21,27.42,26.50,26.79
20151204,26.65,26.90,24.60,24.80
20151207,23.97,23.97,21.09,21.62
20151208,21.11,22.30,20.91,21.46
20151209,21.85,22.99,21.54,22.20
20151210,22.17,22.92,21.80,22.30
20151211,21.92,21.97,20.01,20.31
20151214,20.11,20.61,19.68,20.60
20151215,20.83,21.56,20.79,21.34
20151216,21.08,21.62,20.56,20.88
20151217,20.81,21.00,19.12,19.86
20151218,19.81,20.13,18.84,18.93
20151221,19.41,21.87,19.34,21.85
20151222,21.77,23.66,21.48,23.12
20151223,23.78,24.97,23.12,24.29
20151224,24.35,24.72,23.88,24.12
20151228,24.00,24.19,23.23,24.12
20151229,24.50,24.88,23.65,24.05
20151230,23.94,24.47,23.35,23.44
20151231,23.86,24.79,23.32,24.66
20160104,24.66,25.56,24.48,25.35
20160105,25.31,25.66,24.97,25.37
20160106,24.61,24.63,23.43,24.22
20160107,23.75,24.13,22.67,22.78
20160108,23.00,23.65,22.39,23.05
20160111,23.71,23.82,22.20,22.61
20160112,23.94,23.94,20.64,21.85
20160113,22.05,22.25,20.37,20.97
20160114,21.10,22.87,20.73,22.78
20160115,21.29,22.20,20.98,21.94
20160119,22.23,22.42,20.23,20.79
20160120,20.81,21.13,18.98,20.04
20160121,20.16,23.08,20.02,22.62
20160122,23.65,25.15,23.25,25.10
20160125,24.41,25.96,23.61,23.62
20160126,24.26,24.79,23.42,24.30
20160127,24.27,24.50,22.91,23.13
20160128,23.42,24.19,23.18,23.91
20160129,24.11,25.03,23.84,24.91
20160201,24.11,24.16,22.85,23.44
20160202,22.73,23.58,22.44,23.12
20160203,23.74,24.75,22.65,24.64
20160204,24.78,25.99,24.63,25.49
20160205,25.10,25.72,24.54,25.54
20160208,24.30,24.45,21.79,23.16
20160209,21.81,22.14,19.86,20.63
20160210,20.67,21.50,19.80,20.91
20160211,20.10,20.77,18.88,19.62
20160212,20.27,20.45,19.30,20.18
20160216,20.48,21.15,20.26,21.03
20160217,21.60,22.22,20.69,21.73
20160218,22.13,22.20,20.50,21.19
20160219,20.70,20.86,20.11,20.66
20160222,21.15,21.75,21.07,21.40
20160223,21.32,21.64,20.55,21.31
20160224,20.70,21.71,19.94,21.52
20160225,21.32,21.62,20.50,21.37
20160226,21.98,23.68,21.78,23.01
20160229,23.11,24.37,22.83,24.00
20160301,24.23,24.50,23.34,24.20
20160302,24.00,25.59,23.80,25.57
20160303,25.33,26.90,25.32,26.60
20160304,26.95,28.03,25.61,26.36
20160307,26.37,28.17,26.37,27.63
20160308,27.43,27.52,26.02,26.22
20160309,26.72,27.11,25.72,26.47
20160310,26.25,27.67,26.02,27.43
20160311,27.78,28.57,27.67,28.31
20160314,27.85,28.43,27.52,28.18
20160315,27.60,27.74,26.79,27.72
20160316,27.94,29.56,27.90,29.51
20160317,29.70,30.48,29.22,30.22
20160318,30.56,30.99,29.69,30.82
20160321,30.78,30.82,29.32,29.69
20160322,29.23,30.45,29.05,30.21
20160323,29.79,30.00,28.41,28.44
20160324,27.91,28.73,27.47,28.68
20160328,28.40,28.79,28.06,28.33
20160329,27.76,28.64,27.35,28.46
20160330,28.85,29.48,28.52,29.04
20160331,29.01,29.93,28.85,29.86
20160401,29.08,29.46,28.50,28.73
20160404,28.60,29.41,28.30,28.37
20160405,28.10,29.07,27.91,28.43
20160406,28.76,29.57,28.62,29.22
20160407,28.89,29.64,28.56,28.95
20160408,29.68,30.54,29.63,29.99
20160411,30.35,30.80,29.82,30.05
20160412,30.41,32.66,30.20,32.35
20160413,32.49,32.58,31.74,31.86
20160414,31.86,32.09,31.38,31.73
20160415,31.51,32.02,31.04,31.67
20160418,30.57,32.81,30.44,32.16
20160419,32.56,34.41,32.56,34.39
20160420,34.02,35.21,33.87,34.80
20160421,34.85,35.60,34.37,34.81
20160422,34.76,36.03,34.76,35.81
20160425,35.80,36.06,34.93,35.38
20160426,35.78,36.42,35.51,36.24
20160427,36.53,38.44,36.52,37.07
20160428,36.33,36.51,35.33,35.56
20160429,35.78,36.72,35.58,36.15
20160502,35.96,36.10,34.89,35.98
20160503,35.03,35.90,34.56,35.79
20160504,36.46,38.80,36.23,38.17
20160505,38.74,39.75,38.50,38.96
20160506,38.63,39.96,38.51,39.77
20160509,40.00,40.53,38.57,39.24
20160510,39.71,40.66,39.49,40.08
20160511,40.08,40.79,39.28,40.07
20160512,40.68,41.13,39.69,40.29
20160513,40.14,41.78,40.10,41.04
20160516,41.73,42.18,41.29,41.81
20160517,41.68,42.57,41.46,42.02
20160518,41.60,41.69,39.85,40.13
20160519,39.56,41.71,39.22,41.54
20160520,41.61,42.07,40.67,42.04
20160523,41.51,42.20,41.15,41.67
20160524,41.54,41.93,41.11,41.70
20160525,42.00,43.42,41.81,43.07
20160526,43.48,43.51,42.32,42.57
20160527,42.26,43.02,41.88,42.73
20160531,42.93,44.29,42.75,43.25
20160601,43.25,43.88,42.45,43.77
20160602,43.11,43.87,42.70,43.73
20160603,43.78,44.28,43.61,44.03
20160606,44.42,45.74,44.33,45.10
20160607,45.37,46.06,45.03,45.76
20160608,45.88,46.03,45.26,45.66
20160609,44.83,46.79,44.64,46.53
20160610,45.65,46.06,44.79,45.19
20160613,44.80,45.52,44.35,44.98
20160614,44.86,45.73,44.38,45.68
20160615,45.48,45.69,44.50,45.02
20160616,44.60,45.14,43.73,44.90
20160617,44.96,45.86,44.58,45.57
20160620,46.30,46.66,45.89,46.04
20160621,45.96,47.26,45.25,46.81
20160622,47.22,47.34,46.35,46.40
20160623,47.05,47.08,46.13,46.86
20160624,44.87,47.13,44.86,45.82
20160627,45.54,46.58,44.14,44.62
20160628,45.62,46.47,44.51,45.89
20160629,46.47,47.63,46.05,47.33
20160630,47.28,47.49,46.31,47.45
20160701,47.49,47.76,47.26,47.57
20160705,47.11,47.27,46.16,47.13
20160706,46.98,47.45,46.00,47.41
20160707,47.81,48.78,46.49,46.99
20160708,47.52,47.81,47.01,47.36
20160711,47.47,48.26,47.43,47.44
20160712,47.94,49.09,47.94,48.52
20160713,48.30,48.74,47.12,47.34
20160714,47.81,48.05,47.11,47.49
20160715,47.75,48.35,47.60,48.12
20160718,47.82,47.95,47.33,47.70
20160719,47.76,47.80,47.04,47.51
20160720,47.31,47.59,46.03,47.24
20160721,47.25,47.82,46.15,46.28
20160722,46.64,46.99,45.57,46.05
20160725,45.53,45.96,44.85,45.43
20160726,45.22,45.74,45.00,45.32
20160727,45.31,45.84,43.61,43.96
20160728,43.89,44.41,43.37,44.08
20160729,43.78,44.94,43.53,44.79
20160801,44.39,44.69,42.79,42.99
20160802,43.49,44.14,42.86,43.94
20160803,44.50,45.88,42.87,45.85
20160804,44.58,45.47,44.45,45.00
20160805,44.78,45.17,44.27,44.91
20160808,45.33,46.36,45.15,45.58
20160809,45.83,46.05,45.16,45.26
20160810,45.57,46.00,44.82,44.99
20160811,45.38,46.59,44.98,46.11
20160812,46.40,47.67,46.18,46.85
20160815,47.10,47.59,46.73,46.77
20160816,46.78,47.66,46.49,47.11
20160817,46.99,47.98,46.62,47.95
20160818,48.21,49.63,48.13,49.62
20160819,49.44,49.86,48.94,49.71
20160822,49.03,49.03,47.91,48.07
20160823,47.99,48.66,47.99,48.28
20160824,47.99,48.01,46.98,47.12
20160825,47.19,47.32,46.74,47.02
20160826,47.22,47.92,46.59,46.98
20160829,46.98,47.42,46.56,47.36
20160830,47.60,47.87,46.93,47.16
20160831,46.86,47.39,46.56,46.89
20160901,46.73,47.23,46.26,47.21
20160902,47.80,48.87,47.73,48.26
20160906,48.56,49.46,48.55,49.26
20160907,49.32,50.14,49.22,49.92
20160908,50.46,51.13,50.21,51.00
20160909,50.23,50.30,48.70,48.81
20160912,48.28,49.86,47.50,49.30
20160913,48.51,48.63,46.47,46.95
20160914,46.78,48.21,46.49,46.70
20160915,46.91,47.60,46.67,46.83
20160916,46.24,46.54,45.89,46.08
20160919,46.54,47.86,46.37,47.39
20160920,47.42,47.89,46.99,47.02
20160921,47.70,48.99,47.56,48.94
20160922,49.70,50.12,49.23,49.64
20160923,49.39,50.03,48.46,48.62
20160926,48.86,49.43,48.45,48.84
20160927,48.14,48.88,47.50,48.80
20160928,49.27,51.72,48.82,51.24
20160929,51.00,51.56,50.37,50.94
20160930,51.49,51.60,50.85,51.39
20161003,51.43,51.62,50.41,51.11
20161004,50.48,50.98,49.05,49.54
20161005,50.05,50.45,49.35,49.58
20161006,49.77,50.20,49.12,49.67
20161007,49.97,50.08,49.04,49.36
20161010,50.00,50.90,49.92,50.35
20161011,50.34,50.52,49.27,49.82
20161012,49.50,50.32,49.17,50.21
20161013,49.69,50.13,48.96,49.80
20161014,50.05,50.68,49.97,50.13
20161017,50.03,50.29,49.40,49.45
20161018,50.17,50.25,49.23,50.03
20161019,50.64,51.67,50.53,51.04
20161020,50.55,50.99,50.05,50.91
20161021,50.50,50.73,50.31,50.63
20161024,50.63,51.20,49.57,50.37
20161025,50.38,50.54,49.11,49.17
20161026,48.68,49.39,48.15,49.23
20161027,48.91,49.33,48.46,48.51
20161028,48.52,49.16,47.78,48.18
20161031,47.96,48.63,47.67,48.43
20161101,48.98,49.05,47.79,48.56
20161102,47.61,48.00,45.41,46.59
20161103,46.88,46.95,46.26,46.44
20161104,46.35,47.24,46.04,46.65
20161107,47.47,48.12,47.34,48.08
20161108,48.00,49.77,47.88,49.50
20161109,49.04,49.95,48.31,49.39
20161110,49.52,49.56,48.18,49.05
20161111,48.79,48.99,47.43,47.92
20161114,47.79,48.06,46.82,47.81
20161115,48.71,50.20,48.49,49.93
20161116,49.67,50.10,49.24,49.69
