Date,Open,High,Low,Close
20151127,39.14,39.34,39.08,39.18
20151130,39.11,39.29,38.97,38.97
20151201,39.09,39.28,38.91,39.23
20151202,39.15,39.39,38.65,38.70
20151203,38.96,38.96,37.75,37.81
20151204,38.02,39.24,37.88,39.16
20151207,39.16,39.24,38.50,38.82
20151208,38.29,38.87,38.26,38.73
20151209,38.63,39.35,38.33,38.58
20151210,38.61,38.82,38.11,38.19
20151211,37.62,37.85,37.03,37.21
20151214,37.15,37.68,36.85,37.65
20151215,38.10,38.53,37.95,38.21
20151216,38.67,39.14,38.35,38.91
20151217,38.09,38.20,36.54,36.93
20151218,36.89,37.08,36.31,36.35
20151221,36.72,36.84,36.10,36.42
20151222,36.39,36.71,36.25,36.59
20151223,36.66,37.22,36.65,36.93
20151224,36.73,37.23,36.73,37.01
20151228,36.83,36.86,36.47,36.79
20151229,37.02,37.21,36.98,37.04
20151230,37.08,37.16,36.83,36.92
20151231,36.84,36.95,36.43,36.53
20160104,36.01,36.01,35.36,35.75
20160105,35.86,36.12,35.49,35.64
20160106,35.50,36.14,35.36,35.82
20160107,35.25,35.68,34.88,35.04
20160108,35.13,35.28,34.61,34.65
20160111,34.75,35.12,34.52,34.94
20160112,35.32,35.55,34.99,35.37
20160113,35.19,35.40,33.87,34.08
20160114,34.19,35.09,34.01,34.79
20160115,33.80,34.51,33.66,34.12
20160119,34.54,34.75,34.24,34.55
20160120,33.88,34.23,33.13,33.94
20160121,33.91,34.56,33.59,34.12
20160122,34.55,34.99,34.53,34.80
20160125,34.58,34.94,34.30,34.34
20160126,34.32,35.23,34.12,35.23
20160127,35.03,35.55,34.73,34.91
20160128,35.17,35.55,34.94,35.33
20160129,35.65,36.31,35.51,36.31
20160201,35.90,36.54,35.85,36.32
20160202,35.85,35.94,35.25,35.35
20160203,35.56,35.79,34.94,35.69
20160204,35.70,36.54,35.66,36.45
20160205,36.13,36.24,35.37,35.70
20160208,35.13,35.70,34.48,35.61
20160209,35.13,35.61,34.62,35.08
20160210,35.42,36.14,35.14,35.20
20160211,34.59,35.11,34.47,34.84
20160212,35.24,35.55,34.91,35.54
20160216,35.76,35.91,35.42,35.70
20160217,35.97,36.77,35.97,36.63
20160218,36.71,36.87,36.40,36.63
20160219,36.52,36.79,36.42,36.78
20160222,37.11,37.49,36.90,37.11
20160223,37.11,37.11,36.38,36.55
20160224,36.09,36.73,35.77,36.63
20160225,36.79,37.30,36.50,37.29
20160226,37.43,37.65,36.84,36.96
20160229,37.00,37.33,36.63,36.78
20160301,37.15,37.99,37.04,37.99
20160302,37.76,37.89,37.43,37.76
20160303,37.61,37.91,37.40,37.89
20160304,38.00,38.16,37.77,37.89
20160307,37.54,38.45,37.52,38.36
20160308,38.11,38.45,37.94,38.15
20160309,38.43,38.61,38.12,38.48
20160310,38.77,38.77,37.51,38.05
20160311,38.45,38.97,38.28,38.95
20160314,38.91,38.94,38.55,38.70
20160315,38.35,38.87,38.13,38.74
20160316,39.55,40.95,39.53,40.22
20160317,40.15,40.96,40.07,40.61
20160318,40.87,41.49,40.65,41.48
20160321,41.42,42.00,41.37,41.61
20160322,41.32,41.75,41.19,41.38
20160323,41.30,41.35,40.57,40.75
20160324,40.60,41.07,40.34,40.97
20160328,41.11,41.11,40.56,40.62
20160329,40.41,40.80,40.37,40.70
20160330,40.96,41.11,40.85,40.97
20160331,41.13,41.24,40.80,40.91
20160401,40.68,41.22,40.62,41.16
20160404,41.15,41.28,40.90,41.07
20160405,40.85,41.06,40.46,40.53
20160406,40.40,40.79,40.19,40.75
20160407,40.59,40.59,39.81,39.97
20160408,40.13,40.54,40.13,40.36
20160411,40.59,41.08,40.38,40.39
20160412,40.31,40.52,39.99,40.42
20160413,40.82,41.39,40.63,41.31
20160414,41.31,41.46,41.18,41.24
20160415,41.12,41.38,41.02,41.02
20160418,40.84,41.25,40.80,41.24
20160419,41.41,41.49,40.97,41.06
20160420,41.19,41.39,41.08,41.10
20160421,41.03,41.30,40.88,40.99
20160422,40.79,41.43,40.67,40.70
20160425,40.59,40.83,40.47,40.78
20160426,40.82,40.85,40.43,40.65
20160427,40.51,41.00,40.51,40.85
20160428,40.36,40.97,40.17,40.33
20160429,40.17,40.17,39.37,39.86
20160502,39.90,40.43,39.83,40.30
20160503,40.03,40.11,39.53,39.68
20160504,39.39,39.57,39.13,39.29
20160505,39.44,39.46,39.13,39.23
20160506,38.97,39.42,38.97,39.41
20160509,39.34,39.73,39.22,39.36
20160510,39.58,40.06,39.58,40.02
20160511,39.86,40.08,39.64,39.65
20160512,39.89,40.03,39.59,39.82
20160513,39.78,40.08,39.51,39.61
20160516,39.77,40.10,39.46,39.97
20160517,39.80,40.02,39.47,39.60
20160518,39.59,39.80,39.16,39.47
20160519,39.16,39.24,38.56,38.84
20160520,39.08,39.58,38.95,39.41
20160523,39.31,39.44,39.14,39.18
20160524,39.42,40.08,39.25,39.90
20160525,40.05,40.29,40.05,40.13
20160526,40.11,40.20,39.92,39.95
20160527,39.83,40.08,39.80,40.07
