Date,Open,High,Low,Close
20151127,268.72,269.95,267.43,268.10
20151130,267.20,269.29,263.50,263.87
20151201,264.96,267.19,261.02,262.33
20151202,262.45,263.58,261.25,261.70
20151203,261.73,263.23,252.63,253.37
20151204,253.48,259.01,253.42,258.61
20151207,258.91,259.68,255.45,256.90
20151208,253.76,259.67,253.36,258.75
20151209,256.76,262.27,255.90,257.72
20151210,257.44,259.99,256.04,256.43
20151211,253.33,255.29,248.40,248.93
20151214,249.65,252.23,246.88,251.73
20151215,253.50,253.81,247.45,250.77
20151216,252.47,258.39,251.90,257.64
20151217,259.88,259.88,254.28,254.35
20151218,253.41,253.74,250.16,251.38
20151221,252.30,254.67,250.92,253.73
20151222,254.83,255.65,252.37,253.75
20151223,253.82,254.51,252.01,254.15
20151224,254.08,254.77,252.96,253.42
20151228,252.56,256.00,251.99,255.94
20151229,257.26,260.45,256.44,258.50
20151230,258.41,259.60,257.18,257.66
20151231,255.95,257.41,253.42,253.42
20160104,248.45,250.96,243.71,246.11
20160105,246.86,249.49,245.25,247.96
20160106,243.63,244.54,238.57,241.07
20160107,237.10,244.30,236.00,240.17
20160108,239.75,241.50,234.00,234.66
20160111,235.77,239.71,234.51,237.94
20160112,237.94,243.87,236.09,243.13
20160113,244.62,244.75,235.14,235.68
20160114,235.49,238.34,233.29,235.99
20160115,229.50,235.91,225.12,232.16
20160119,235.91,236.90,232.31,235.69
20160120,232.33,239.90,228.01,236.63
20160121,236.43,239.47,233.48,236.71
20160122,239.55,240.54,236.90,239.44
20160125,243.68,247.00,240.39,243.89
20160126,244.75,250.11,244.64,249.85
20160127,250.25,251.86,244.65,246.42
20160128,248.07,257.75,246.39,256.34
20160129,257.59,261.27,255.40,260.90
20160201,260.32,266.19,258.43,265.25
20160202,263.60,266.23,254.77,259.49
20160203,261.27,261.51,250.50,253.62
20160204,253.24,253.60,247.05,250.88
20160205,250.88,251.44,241.05,242.07
20160208,238.91,239.37,226.51,233.53
20160209,231.90,240.00,230.17,236.29
20160210,240.01,242.93,235.86,236.70
20160211,242.00,253.49,238.48,249.53
20160212,254.47,255.96,248.30,253.02
20160216,255.14,259.50,253.03,255.76
20160217,257.91,260.03,251.74,254.62
20160218,254.27,255.72,251.51,253.41
20160219,252.82,259.55,249.04,257.84
20160222,259.26,261.74,257.68,259.54
