Date,Open,High,Low,Close
20151127,74.42,75.13,74.37,75.06
20151130,75.13,76.27,74.68,75.46
20151201,75.55,76.62,74.88,76.56
20151202,75.87,77.04,74.87,75.18
20151203,75.58,75.70,71.81,72.31
20151204,71.29,72.49,69.52,71.60
20151207,69.82,70.52,68.16,69.20
20151208,66.49,67.80,65.82,67.19
20151209,67.30,69.10,67.17,67.83
20151210,67.54,69.20,67.24,68.30
20151211,67.20,67.35,65.53,65.92
20151214,65.39,66.66,64.78,66.54
20151215,67.33,68.70,67.20,68.32
20151216,68.32,69.50,67.41,68.75
20151217,68.11,68.48,65.54,66.31
20151218,66.31,66.91,65.72,65.85
20151221,66.23,66.83,65.11,66.03
20151222,66.20,68.03,65.63,66.87
20151223,68.16,69.22,67.77,69.09
20151224,69.09,69.51,68.53,69.08
20151228,67.71,68.35,67.36,67.87
20151229,69.16,69.38,67.53,68.07
20151230,67.15,68.39,66.77,66.91
20151231,66.31,67.88,66.31,67.50
20160104,66.98,67.76,66.26,67.30
20160105,67.07,68.59,66.67,68.41
20160106,66.64,67.00,64.65,65.33
20160107,63.96,65.57,63.58,64.15
20160108,64.65,64.84,62.83,63.06
20160111,62.85,63.31,59.87,61.12
20160112,61.32,61.77,58.72,60.87
20160113,61.65,62.69,59.93,60.30
20160114,60.65,64.70,60.09,63.89
20160115,61.22,62.94,60.86,62.68
20160119,63.39,63.54,60.24,61.36
20160120,60.16,60.77,58.14,59.52
20160121,59.01,61.07,58.66,60.75
20160122,63.42,64.28,61.34,63.69
20160125,62.90,64.19,61.63,61.68
20160126,62.98,63.50,62.03,63.12
20160127,62.69,65.76,62.17,64.05
20160128,66.04,66.64,63.97,65.76
20160129,65.88,68.71,65.77,68.71
20160201,67.43,67.66,65.72,66.45
20160202,64.23,66.19,63.92,65.37
20160203,66.48,68.07,64.64,68.01
20160204,68.78,70.37,66.67,66.87
20160205,66.29,66.54,64.64,65.36
20160208,63.57,66.59,63.13,66.08
20160209,65.02,66.06,63.94,65.11
20160210,65.02,66.89,64.18,65.55
20160211,64.28,66.41,64.01,66.09
20160212,66.89,67.66,66.33,66.95
20160216,68.13,68.20,67.04,67.89
20160217,69.22,71.18,68.59,70.51
20160218,71.21,71.34,69.69,70.17
20160219,69.72,70.25,68.81,70.14
20160222,71.78,72.07,70.98,71.56
20160223,71.25,71.65,68.46,68.88
20160224,67.59,69.49,67.29,69.35
20160225,69.55,69.93,68.47,69.65
20160226,71.23,71.23,69.75,69.80
20160229,70.31,70.53,68.52,68.82
20160301,69.25,70.60,68.57,70.45
20160302,70.08,71.66,69.57,71.61
20160303,71.59,71.62,69.38,70.49
20160304,70.70,71.00,69.15,69.72
20160307,70.07,70.74,68.32,70.35
20160308,69.12,69.18,66.20,66.40
20160309,67.23,69.25,66.30,68.43
20160310,68.27,68.73,67.53,68.44
20160311,69.67,70.21,69.11,69.95
20160314,69.13,69.67,68.65,69.05
20160315,68.06,68.36,67.48,68.33
20160316,68.74,69.74,68.07,69.42
20160317,70.33,71.17,69.45,70.66
20160318,71.24,71.57,70.10,71.30
20160321,70.89,71.36,70.07,70.67
20160322,70.03,70.57,69.37,69.61
20160323,68.89,69.40,68.03,68.29
20160324,67.27,68.74,67.25,68.51
20160328,68.66,68.72,67.76,68.03
20160329,66.95,68.04,66.90,67.93
20160330,68.91,69.31,68.22,68.60
20160331,68.24,69.42,68.15,68.43
20160401,67.23,68.42,66.98,68.20
20160404,68.68,69.12,67.77,68.19
20160405,67.48,68.08,66.94,67.42
20160406,67.94,70.24,67.40,70.12
20160407,69.55,70.40,69.00,69.38
20160408,70.71,71.14,70.22,70.60
20160411,70.81,71.58,70.77,70.79
