Date,Open,High,Low,Close
20151127,16.66,16.72,16.55,16.70
20151130,16.73,16.77,16.58,16.75
20151201,16.85,16.91,16.65,16.85
20151202,16.86,16.91,16.63,16.65
20151203,16.68,16.74,16.44,16.47
20151204,16.50,16.93,16.45,16.82
20151207,16.75,16.78,16.41,16.49
20151208,16.36,16.57,16.17,16.24
20151209,16.20,16.50,16.09,16.18
20151210,16.14,16.38,16.10,16.23
20151211,16.04,16.12,15.88,15.99
20151214,16.08,16.10,15.84,15.99
20151215,16.12,16.44,16.10,16.32
20151216,16.43,16.59,16.25,16.53
20151217,16.56,16.58,16.22,16.26
20151218,16.28,16.56,15.85,15.90
20151221,15.99,16.08,15.86,16.02
20151222,16.10,16.21,15.85,16.18
20151223,16.26,16.35,16.22,16.32
20151224,16.29,16.41,16.25,16.35
20151228,16.26,16.36,16.12,16.34
20151229,16.41,16.56,16.36,16.52
20151230,16.52,16.54,16.33,16.35
20151231,16.25,16.36,16.14,16.15
20160104,15.85,15.94,15.64,15.77
20160105,15.80,15.88,15.64,15.76
20160106,15.55,15.70,15.49,15.61
20160107,15.31,15.48,15.19,15.25
20160108,15.37,15.39,14.92,14.95
20160111,15.04,15.11,14.83,14.99
20160112,15.16,15.17,14.81,15.02
20160113,15.12,15.17,14.47,14.49
20160114,14.57,15.02,14.40,14.81
20160115,14.42,14.80,14.11,14.48
20160119,14.67,14.69,14.35,14.46
20160120,14.23,14.62,13.98,14.44
20160121,14.51,14.68,14.24,14.33
20160122,14.35,14.48,13.78,13.94
20160125,13.90,13.90,13.62,13.64
20160126,13.64,14.16,13.64,14.11
20160127,14.10,14.48,14.02,14.13
20160128,14.01,14.23,13.97,14.04
20160129,14.04,14.37,14.00,14.37
20160201,14.36,14.45,14.09,14.33
20160202,14.18,14.31,14.00,14.07
20160203,14.16,14.25,13.78,14.17
20160204,14.07,14.53,14.07,14.33
20160205,14.37,14.52,14.24,14.25
20160208,14.03,14.45,13.94,14.36
20160209,14.15,14.72,14.15,14.54
20160210,14.61,14.74,14.15,14.20
20160211,13.89,14.35,13.70,13.85
20160212,14.08,14.47,14.03,14.36
20160216,14.48,14.98,14.36,14.83
20160217,14.78,14.95,14.56,14.68
20160218,14.72,14.73,14.40,14.50
20160219,14.49,14.75,14.34,14.67
20160222,14.82,14.93,14.76,14.86
20160223,14.83,14.87,14.56,14.70
20160224,14.46,14.58,14.24,14.56
20160225,14.64,14.80,14.51,14.78
20160226,14.92,14.99,14.75,14.91
20160229,14.89,14.91,14.61,14.61
20160301,14.70,15.13,14.69,15.13
20160302,15.08,15.30,15.00,15.29
20160303,15.24,15.53,15.19,15.53
20160304,15.53,15.71,15.48,15.61
20160307,15.49,15.69,15.43,15.63
20160308,15.55,15.66,15.46,15.48
20160309,14.84,15.58,14.84,15.41
20160310,15.56,15.79,15.42,15.72
20160311,15.84,15.95,15.69,15.94
20160314,15.87,15.99,15.70,15.90
20160315,15.76,15.92,15.73,15.88
20160316,15.80,16.02,15.66,15.84
20160317,15.84,15.99,15.59,15.94
20160318,15.99,16.23,15.77,16.02
20160321,15.82,16.13,15.82,16.13
20160322,16.01,16.27,15.99,16.17
20160323,16.14,16.17,15.96,15.96
20160324,15.90,15.94,15.73,15.86
20160328,15.95,15.99,15.80,15.85
20160329,15.81,15.96,15.67,15.92
20160330,15.97,16.22,15.90,16.09
20160331,16.09,16.12,15.84,15.93
20160401,15.83,16.13,15.77,16.13
20160404,16.14,16.14,15.96,16.05
20160405,15.51,15.86,15.51,15.64
20160406,15.65,15.72,15.50,15.72
20160407,15.63,15.68,15.24,15.31
20160408,15.46,15.61,15.34,15.38
20160411,15.45,15.67,15.43,15.46
20160412,15.56,15.68,15.38,15.65
20160413,15.76,16.05,15.75,16.03
20160414,16.00,16.32,15.97,16.13
20160415,16.17,16.22,16.01,16.07
20160418,16.03,16.20,15.95,16.19
20160419,16.22,16.36,16.18,16.35
20160420,16.38,16.50,16.25,16.48
20160421,16.65,16.68,15.80,15.87
20160422,15.67,16.13,15.64,16.09
20160425,16.15,16.15,15.87,16.04
20160426,16.03,16.15,15.97,16.15
20160427,15.98,16.14,15.70,15.81
20160428,15.67,15.76,15.45,15.53
20160429,15.52,15.58,15.38,15.50
20160502,15.53,15.60,15.42,15.55
20160503,15.38,15.49,15.20,15.30
20160504,15.23,15.29,14.93,15.06
20160505,15.14,15.20,14.94,15.00
20160506,14.94,15.05,14.88,15.04
20160509,15.00,15.14,14.93,15.13
20160510,15.18,15.28,15.09,15.21
20160511,15.23,15.43,15.18,15.24
20160512,15.27,15.36,15.14,15.28
20160513,15.27,15.38,15.01,15.04
