Date,Open,High,Low,Close
20151127,39.01,39.35,39.00,39.12
20151130,39.14,39.49,39.06,39.10
20151201,39.31,39.65,39.17,39.62
20151202,39.48,39.64,38.41,38.46
20151203,38.24,38.60,37.92,38.16
20151204,38.25,38.85,38.24,38.63
20151207,38.29,38.51,37.67,38.07
20151208,37.99,38.17,37.60,37.98
20151209,37.91,38.60,37.68,38.20
20151210,38.19,38.27,37.41,37.43
20151211,37.38,37.74,36.98,37.02
20151214,37.16,37.51,36.80,37.46
20151215,37.50,37.56,36.97,37.11
20151216,37.38,38.47,37.26,38.30
20151217,38.27,38.44,37.84,38.11
20151218,37.95,38.04,37.34,37.48
20151221,37.68,37.95,37.52,37.73
20151222,37.83,38.06,37.29,37.94
20151223,38.01,38.80,38.01,38.66
20151224,38.53,38.72,38.53,38.60
20151228,38.59,38.80,38.36,38.71
20151229,38.84,39.09,38.59,39.05
20151230,39.03,39.19,38.92,38.99
20151231,38.91,38.95,38.18,38.69
20160104,38.28,38.74,37.85,38.70
20160105,38.73,38.99,38.04,38.93
20160106,38.64,38.85,38.44,38.61
20160107,38.16,38.92,38.02,38.81
20160108,38.85,39.11,38.34,38.42
20160111,38.43,38.87,38.32,38.60
20160112,38.72,38.81,38.03,38.60
20160113,38.63,39.31,38.40,38.78
20160114,38.70,40.00,38.70,39.74
20160115,39.22,39.67,38.93,39.60
20160119,39.89,40.27,39.60,39.83
20160120,39.65,39.89,38.14,38.97
20160121,38.96,39.31,38.58,39.09
20160122,39.47,40.17,39.10,39.87
20160125,39.88,39.96,38.75,38.98
20160126,39.06,39.70,38.94,39.38
20160127,39.43,39.90,39.15,39.60
20160128,39.71,40.68,39.36,40.37
20160129,40.75,41.44,40.72,41.30
20160201,41.16,41.58,40.89,41.38
20160202,41.13,41.48,40.78,41.45
20160203,41.69,42.42,41.56,42.15
20160204,42.19,42.83,42.06,42.42
20160205,42.09,43.06,41.78,42.91
20160208,42.89,43.40,41.82,41.99
20160209,41.81,42.66,41.58,42.38
20160210,42.20,42.94,41.81,42.64
20160211,42.46,42.82,41.78,41.89
20160212,41.93,42.07,41.41,41.89
20160216,42.08,42.12,41.57,42.07
20160217,42.10,42.20,41.52,41.88
20160218,41.94,43.05,41.66,42.84
20160219,42.90,43.24,42.38,42.97
20160222,43.12,43.94,43.02,43.84
20160223,43.62,43.78,43.18,43.59
20160224,43.50,44.04,42.95,43.40
20160225,43.50,43.75,43.28,43.74
20160226,43.62,43.80,42.43,42.55
20160229,42.55,43.15,42.39,42.66
20160301,42.95,43.23,42.44,42.62
20160302,42.52,43.12,41.44,43.08
20160303,43.16,43.95,42.60,43.86
20160304,43.68,44.71,43.41,44.60
20160307,44.52,44.88,44.28,44.62
20160308,44.27,44.86,43.97,44.84
20160309,44.70,45.17,44.55,44.95
20160310,44.90,45.11,44.44,45.02
20160311,45.30,45.46,44.26,44.33
20160314,44.37,44.70,44.35,44.61
20160315,44.41,44.82,44.33,44.74
20160316,44.65,45.22,44.21,45.15
20160317,45.44,46.15,45.21,46.05
20160318,46.25,46.26,45.63,45.65
20160321,45.44,45.99,45.26,45.71
20160322,45.86,46.09,45.55,45.83
20160323,45.72,46.45,45.58,46.21
20160324,46.07,46.28,45.80,46.04
20160328,46.25,46.53,45.92,46.08
20160329,46.16,46.58,45.79,46.58
20160330,46.58,46.85,46.22,46.54
20160331,46.67,47.22,46.54,47.14
20160401,46.91,47.41,46.75,47.32
20160404,47.32,47.37,46.65,46.94
20160405,46.92,47.04,46.04,46.20
20160406,46.12,46.28,45.85,46.11
20160407,46.00,46.38,45.80,45.90
20160408,45.95,46.39,45.84,45.98
20160411,45.96,46.31,45.55,45.63
20160412,45.71,46.33,45.50,46.26
20160413,46.34,46.34,45.56,45.77
20160414,45.75,46.01,45.54,45.86
20160415,45.82,46.48,45.68,46.40
20160418,46.40,46.75,45.98,46.74
20160419,46.71,47.19,46.58,47.12
20160420,47.23,47.28,45.97,46.00
20160421,45.82,45.97,44.63,44.89
20160422,45.11,45.41,44.91,45.21
20160425,45.19,45.36,45.03,45.24
20160426,45.26,45.63,45.16,45.46
20160427,45.59,46.29,45.37,46.06
20160428,45.69,46.28,45.57,46.28
20160429,45.34,46.43,44.32,46.13
20160502,46.26,46.69,45.96,46.17
20160503,46.25,46.77,45.80,46.09
20160504,46.02,47.07,45.91,46.64
20160505,46.70,47.11,46.24,46.45
20160506,46.42,46.42,45.32,45.71
20160509,45.85,46.33,45.63,46.20
20160510,46.26,46.49,46.10,46.25
20160511,46.26,46.49,45.85,46.37
20160512,46.33,46.61,46.09,46.36
20160513,46.36,46.36,45.75,45.87
20160516,45.81,46.00,45.53,45.94
20160517,45.77,45.97,44.85,45.17
20160518,44.93,45.14,44.15,44.33
20160519,44.11,44.80,43.82,44.79
20160520,44.93,45.08,44.49,44.97
20160523,44.97,45.10,44.49,44.52
20160524,44.55,45.12,44.48,45.00
20160525,43.92,44.15,42.77,43.79
20160526,43.77,44.47,43.77,44.26
20160527,44.30,44.58,44.28,44.54
20160531,44.51,44.90,44.31,44.75
20160601,44.74,45.13,44.54,45.04
20160602,44.90,45.13,44.49,44.85
20160603,45.16,45.67,45.16,45.36
20160606,45.42,45.67,45.18,45.30
20160607,44.29,44.84,44.05,44.18
20160608,44.15,44.38,43.94,44.29
20160609,44.28,44.74,44.28,44.62
20160610,44.55,44.84,44.18,44.36
20160613,44.39,44.79,44.36,44.52
20160614,44.57,44.63,44.12,44.49
20160615,44.59,44.61,44.18,44.31
20160616,44.32,44.71,44.23,44.58
20160617,44.48,44.83,44.14,44.81
20160620,44.80,45.00,44.14,44.37
20160621,44.39,44.65,44.13,44.27
20160622,44.34,44.41,44.04,44.09
20160623,44.10,44.31,43.82,44.30
20160624,43.76,44.65,43.76,44.09
