Date,Open,High,Low,Close
20151127,31.23,31.31,31.00,31.11
20151130,31.22,31.22,30.86,31.09
20151201,31.31,32.00,31.12,31.90
20151202,31.94,32.10,31.11,31.21
20151203,31.23,31.31,30.70,30.73
20151204,30.83,31.20,30.75,31.12
20151207,31.06,31.20,30.79,30.99
20151208,30.69,31.06,30.64,30.86
20151209,30.76,30.98,30.47,30.64
20151210,30.77,31.04,30.59,30.70
20151211,30.46,30.58,30.33,30.42
20151214,30.35,30.56,30.21,30.53
20151215,30.95,31.14,30.52,30.61
20151216,30.77,31.00,30.35,30.91
20151217,30.89,31.00,30.65,30.67
20151218,30.60,30.79,30.31,30.35
20151221,30.52,30.80,30.37,30.80
20151222,30.95,30.95,30.70,30.85
20151223,30.91,31.06,30.86,30.89
20151224,30.83,31.04,30.83,30.95
20151228,30.93,30.98,30.71,30.76
20151229,30.90,31.22,30.86,31.15
20151230,31.06,31.20,30.98,31.07
20151231,30.81,30.91,30.62,30.63
20160104,30.22,30.39,29.95,30.31
20160105,30.53,30.59,30.29,30.53
20160106,30.10,30.27,29.81,29.99
20160107,29.56,30.18,29.54,29.79
20160108,29.93,30.01,29.34,29.41
20160111,29.55,29.60,29.07,29.48
20160112,29.77,29.89,29.15,29.41
20160113,29.50,29.68,28.72,28.81
20160114,28.83,29.81,28.83,29.52
20160115,28.67,29.24,28.65,29.23
20160119,29.53,29.63,28.78,29.12
20160120,28.66,29.48,28.52,29.09
20160121,29.04,29.32,28.95,29.01
20160122,29.41,29.65,29.10,29.14
20160125,29.25,29.33,28.86,28.94
20160126,28.97,29.17,28.79,29.10
20160127,29.14,29.42,28.77,28.96
20160128,29.13,29.14,28.07,28.65
20160129,28.82,28.93,28.39,28.93
20160201,28.79,28.84,28.28,28.62
20160202,28.62,28.79,28.04,28.60
20160203,28.38,28.53,27.65,28.15
20160204,27.98,28.07,27.27,27.51
20160205,27.53,27.91,27.36,27.54
20160208,27.21,27.50,26.80,27.10
20160209,27.01,27.70,26.89,27.61
20160210,27.83,28.37,27.81,27.98
20160211,27.52,27.84,27.41,27.64
20160212,27.75,27.87,27.50,27.86
20160216,28.04,28.31,27.94,28.28
20160217,28.46,28.53,28.07,28.11
20160218,28.29,28.50,27.95,28.04
20160219,28.08,28.13,27.69,27.98
20160222,28.23,28.53,28.13,28.51
20160223,28.52,28.82,28.42,28.43
20160224,28.28,28.54,28.01,28.48
20160225,28.56,29.12,28.48,29.02
20160226,29.20,29.32,28.48,28.68
20160229,28.55,28.63,28.06,28.15
20160301,28.26,28.55,28.10,28.50
20160302,28.57,28.61,28.23,28.44
20160303,28.35,28.46,28.06,28.36
20160304,28.32,28.41,28.02,28.19
20160307,28.04,28.28,27.82,28.26
20160308,28.23,28.23,27.86,27.86
20160309,28.20,28.32,27.91,28.22
20160310,28.37,28.39,28.02,28.07
20160311,28.25,28.94,28.21,28.94
20160314,28.72,28.79,28.42,28.56
20160315,28.35,28.40,27.80,28.03
20160316,28.01,28.01,27.39,27.55
20160317,27.63,28.06,27.27,27.84
20160318,27.99,28.13,27.68,27.94
20160321,27.94,28.58,27.93,28.53
20160322,28.49,28.99,28.36,28.82
20160323,28.87,29.04,28.56,28.64
20160324,28.58,28.73,28.35,28.54
20160328,28.55,28.67,28.22,28.25
20160329,28.29,28.64,28.19,28.51
20160330,28.61,28.66,28.47,28.53
20160331,28.52,28.62,28.00,28.12
20160401,27.93,28.62,27.90,28.50
20160404,28.55,29.17,28.52,29.15
20160405,29.61,30.12,29.01,29.75
20160406,29.92,31.31,29.91,31.24
20160407,30.88,31.39,30.83,31.08
20160408,31.15,31.21,30.63,30.83
20160411,30.85,30.90,30.24,30.26
20160412,30.27,30.49,30.17,30.32
20160413,30.32,30.94,30.32,30.87
20160414,30.82,31.10,30.67,30.98
20160415,30.98,31.10,30.65,30.83
20160418,30.83,31.18,30.64,30.94
20160419,31.12,31.50,31.06,31.20
20160420,31.17,31.69,31.17,31.53
20160421,31.37,31.76,31.35,31.54
20160422,31.55,31.78,31.38,31.57
20160425,31.43,31.57,31.31,31.51
20160426,31.50,31.62,31.23,31.36
20160427,31.29,31.51,31.21,31.31
20160428,31.28,31.48,31.07,31.22
20160429,31.19,31.26,30.77,31.03
20160502,30.89,31.31,30.83,31.12
20160503,31.93,32.23,31.55,31.97
20160504,31.94,32.16,31.62,31.69
20160505,31.66,32.00,31.59,31.85
20160506,31.67,31.87,31.50,31.86
20160509,31.82,32.22,31.80,32.09
20160510,32.10,32.13,31.76,32.07
