Date,Open,High,Low,Close
20151127,67.74,68.21,67.17,68.00
20151130,67.97,68.49,67.73,67.99
20151201,68.12,69.13,68.01,68.85
20151202,68.62,68.81,67.36,67.46
20151203,67.75,67.90,66.23,66.77
20151204,66.80,67.46,66.46,67.07
20151207,66.70,67.03,66.00,66.93
20151208,66.00,66.25,65.42,65.65
20151209,65.06,66.70,65.00,65.79
20151210,65.73,66.36,65.00,65.25
20151211,64.96,65.68,64.46,65.09
20151214,65.18,65.22,63.31,63.79
20151215,64.40,64.69,63.59,64.22
20151216,64.76,65.34,64.28,65.06
20151217,64.63,65.29,61.84,61.96
20151218,61.50,61.85,59.75,59.86
20151221,60.44,61.15,59.77,60.92
20151222,60.83,62.78,60.75,62.70
20151223,62.37,63.89,62.06,63.84
20151224,63.75,64.60,63.45,64.30
20151228,64.27,64.41,63.47,64.37
20151229,64.92,65.00,63.80,63.94
20151230,63.78,64.49,63.50,64.00
20151231,63.62,64.25,62.86,63.05
20160104,62.01,62.55,61.45,62.35
20160105,62.35,62.67,61.80,62.29
20160106,61.31,61.80,60.40,60.93
20160107,59.76,60.54,59.06,59.49
20160108,60.31,60.97,58.22,58.24
20160111,58.55,60.08,58.43,59.50
20160112,60.23,60.87,58.41,59.50
20160113,59.62,60.13,57.61,57.65
20160114,57.98,58.57,56.84,58.16
20160115,56.48,59.08,56.41,58.46
20160119,59.13,59.25,56.57,57.34
20160120,56.41,57.62,54.00,56.98
20160121,56.90,57.76,55.83,55.95
20160122,57.08,58.15,56.55,57.66
20160125,53.37,53.82,49.90,50.19
20160126,49.87,52.25,48.73,49.70
20160127,49.47,51.14,49.27,49.80
20160128,50.39,50.54,48.53,48.88
20160129,49.01,50.83,48.29,50.83
20160201,50.15,51.22,48.93,51.01
20160202,50.28,50.31,49.22,49.91
20160203,50.44,50.89,48.19,49.42
20160204,49.29,50.55,48.93,50.44
20160205,50.44,51.17,50.00,50.64
20160208,50.01,50.06,48.90,49.73
20160209,49.11,50.08,48.62,49.84
20160210,49.50,50.21,48.36,48.82
20160211,47.96,48.42,45.84,46.07
20160212,46.86,47.43,46.36,46.60
20160216,47.14,47.77,46.72,47.39
20160217,47.83,48.52,47.70,47.96
20160218,48.24,48.41,46.78,47.16
20160219,47.04,47.04,44.32,45.15
20160222,45.86,46.04,45.23,45.72
20160223,45.53,45.90,44.92,45.82
20160224,45.38,47.40,45.04,47.29
20160225,47.32,47.80,46.75,47.46
20160226,47.89,48.80,47.71,48.33
20160229,48.42,49.02,47.81,48.50
20160301,49.02,50.48,48.73,50.48
20160302,50.22,51.55,50.03,50.72
20160303,50.70,52.52,50.51,52.44
20160304,52.16,53.31,52.15,52.69
20160307,52.48,53.52,52.27,53.43
20160308,52.95,53.04,51.75,52.62
20160309,52.73,55.11,52.51,55.01
20160310,55.37,55.37,53.39,54.36
20160311,54.26,55.94,53.87,55.42
20160314,55.15,55.96,55.09,55.11
20160315,54.99,55.36,53.70,54.29
20160316,54.29,56.16,54.24,55.90
20160317,56.00,57.58,55.88,57.29
20160318,57.28,57.83,56.45,57.20
20160321,57.01,58.50,57.01,58.26
20160322,57.82,59.01,57.71,58.98
20160323,58.82,59.46,58.33,58.39
20160324,57.86,58.83,57.27,58.71
20160328,58.91,59.29,58.19,58.94
20160329,58.62,60.39,58.45,60.19
20160330,60.26,60.49,59.10,59.44
20160331,59.38,61.00,59.05,60.40
20160401,60.01,60.74,59.38,60.73
20160404,60.68,60.94,60.34,60.45
20160405,59.75,60.07,58.44,58.89
20160406,58.88,59.92,58.49,59.83
20160407,59.20,59.70,58.65,58.99
20160408,59.56,60.65,59.49,60.18
20160411,60.12,60.70,59.67,60.06
20160412,59.96,60.94,59.49,60.68
20160413,61.21,61.84,60.65,61.77
20160414,61.74,61.76,60.60,61.19
20160415,60.98,62.34,60.38,62.27
20160418,61.91,62.85,61.80,62.58
20160419,62.85,63.53,62.29,63.09
20160420,62.92,63.47,62.65,62.70
20160421,64.50,67.00,63.75,63.85
20160422,64.25,65.88,64.05,65.68
20160425,66.13,66.67,64.69,65.11
20160426,65.45,66.52,65.23,65.93
20160427,66.14,66.93,65.60,66.16
20160428,65.52,66.78,65.10,65.85
20160429,65.79,66.40,64.70,64.88
20160502,65.26,66.13,64.78,66.12
20160503,65.45,65.71,64.71,65.38
20160504,65.05,65.77,64.13,64.75
20160505,64.88,65.34,64.37,64.95
