Date,Open,High,Low,Close
20151127,53.22,53.76,53.07,53.58
20151130,53.50,53.73,53.14,53.16
20151201,53.46,53.69,53.01,53.66
20151202,53.52,53.66,52.49,52.56
20151203,51.41,51.91,50.58,50.89
20151204,51.05,52.29,51.05,52.25
20151207,52.03,52.22,51.19,51.41
20151208,49.67,51.01,49.40,50.69
20151209,50.45,51.05,49.99,50.25
20151210,50.11,50.58,49.88,50.38
20151211,49.73,50.60,49.50,50.28
20151214,50.32,51.05,50.27,51.01
20151215,51.50,51.80,51.30,51.39
20151216,51.75,52.80,51.60,52.62
20151217,52.65,52.82,51.93,51.94
20151218,51.69,51.69,50.70,50.87
20151221,51.47,52.02,51.30,51.55
20151222,51.81,52.85,51.54,52.63
20151223,52.82,53.19,52.57,53.06
20151224,53.05,53.56,53.03,53.44
20151228,53.30,53.56,52.95,53.54
20151229,53.75,54.52,53.74,54.36
20151230,54.25,54.31,53.92,53.93
20151231,53.78,54.26,53.56,53.57
20160104,52.79,52.81,51.72,52.43
20160105,52.72,53.26,52.49,53.01
20160106,52.10,52.86,52.02,52.25
20160107,51.00,51.41,49.85,50.06
20160108,50.27,50.75,49.27,49.32
20160111,49.55,49.76,47.25,47.75
20160112,48.17,48.68,47.75,48.55
20160113,48.67,48.76,46.84,47.09
20160114,47.36,48.49,47.04,48.10
20160115,46.78,47.50,46.78,47.41
20160119,48.12,48.12,46.92,47.77
20160120,47.00,48.68,46.57,48.16
20160121,48.21,48.24,47.27,47.52
20160122,48.12,49.15,47.75,49.13
20160125,48.85,49.13,48.24,48.39
20160126,48.51,48.97,47.80,48.93
20160127,48.85,49.65,48.22,48.61
20160128,48.59,48.59,46.60,46.97
20160129,47.17,48.34,47.06,48.32
20160201,48.11,48.51,47.28,48.23
20160202,47.68,47.93,47.18,47.53
20160203,47.71,47.71,45.75,46.80
20160204,46.71,47.43,46.18,46.58
20160205,42.46,45.20,39.50,43.26
20160208,42.65,42.98,41.02,41.45
20160209,40.91,43.19,40.41,42.47
20160210,42.85,44.97,42.68,43.99
20160211,43.18,43.68,42.81,43.41
20160212,44.40,44.59,43.59,44.41
20160216,44.98,46.09,44.81,45.67
20160217,45.90,46.26,45.60,45.70
20160218,45.69,46.57,45.49,45.68
20160219,45.57,47.04,45.43,46.97
20160222,47.40,47.99,47.03,47.79
20160223,47.54,48.14,47.00,47.20
20160224,46.75,47.67,46.59,47.37
20160225,47.28,47.94,47.12,47.62
20160226,47.73,48.30,47.65,47.95
20160229,47.84,48.20,47.26,47.26
20160301,47.31,47.97,47.27,47.96
20160302,47.91,49.45,47.72,49.16
20160303,49.20,49.25,48.43,48.94
20160304,48.96,49.24,48.71,48.82
20160307,48.49,49.41,48.37,48.87
20160308,48.65,48.73,47.53,47.63
20160309,47.96,48.03,47.56,47.79
20160310,48.02,48.23,47.30,47.64
20160311,48.19,48.73,47.77,48.71
20160314,48.49,48.75,48.11,48.52
20160315,48.11,48.31,47.58,47.70
20160316,47.61,47.99,47.23,47.95
20160317,48.00,48.13,47.08,47.51
20160318,47.59,49.44,47.47,48.93
20160321,48.74,48.98,48.44,48.45
20160322,48.10,48.97,47.99,48.68
20160323,48.79,49.07,48.60,48.65
20160324,48.49,48.71,47.99,48.42
20160328,48.56,48.67,47.80,48.30
20160329,48.36,49.39,48.19,49.33
