Date,Open,High,Low,Close
20151127,43.09,43.61,43.09,43.60
20151130,43.63,43.66,42.69,42.75
20151201,42.91,43.69,42.91,43.67
20151202,43.49,43.49,42.19,42.35
20151203,42.29,42.73,41.29,41.48
20151204,41.76,42.72,41.63,42.70
20151207,42.66,42.83,42.37,42.66
20151208,42.56,42.85,42.12,42.44
20151209,42.04,42.63,41.92,42.13
20151210,42.24,42.52,41.88,41.99
20151211,41.37,41.86,41.09,41.41
20151214,40.92,41.43,40.47,41.29
20151215,41.60,41.90,41.13,41.56
20151216,41.86,42.47,41.63,42.32
20151217,42.36,42.39,41.82,42.00
20151218,41.72,42.09,41.62,41.69
20151221,42.14,42.20,41.59,41.90
20151222,42.08,42.45,42.02,42.07
20151223,42.39,42.46,42.08,42.39
20151224,42.40,42.69,42.10,42.46
20151228,42.41,42.92,42.24,42.91
20151229,43.14,43.60,43.11,43.57
20151230,43.47,43.51,43.13,43.24
20151231,42.99,43.28,42.77,42.92
20160104,42.36,42.42,41.46,41.90
20160105,41.99,42.94,41.94,42.78
20160106,42.12,42.65,42.11,42.55
20160107,41.72,42.08,41.37,41.44
20160108,41.57,41.87,41.00,41.07
20160111,41.22,41.43,40.72,41.02
20160112,41.46,41.46,40.33,40.69
20160113,40.87,41.45,40.41,40.50
20160114,40.59,40.64,39.54,39.65
20160115,38.83,39.36,38.54,38.81
20160119,39.29,39.52,38.89,39.04
20160120,38.61,38.73,36.68,37.41
20160121,37.59,38.03,37.28,37.73
20160122,38.14,38.83,38.09,38.59
20160125,38.64,39.01,38.08,38.22
20160126,38.50,39.86,38.42,39.85
20160127,39.57,39.97,39.21,39.47
20160128,39.82,39.88,38.79,38.88
20160129,39.52,40.12,38.86,39.47
20160201,39.18,39.78,39.09,39.47
20160202,39.30,39.50,38.97,39.27
20160203,39.60,39.71,39.06,39.52
20160204,39.36,39.79,39.16,39.58
20160205,39.24,39.41,39.11,39.24
20160208,39.02,39.02,37.31,37.65
20160209,37.27,37.64,36.95,37.40
20160210,37.60,38.14,37.27,37.30
20160211,36.67,36.84,35.25,35.57
20160212,35.96,36.12,35.57,36.07
20160216,36.42,37.20,36.18,37.16
20160217,37.37,37.70,37.19,37.46
20160218,37.43,37.81,37.05,37.67
20160219,37.42,37.72,37.02,37.33
20160222,37.84,38.16,37.59,37.71
20160223,37.48,38.26,37.48,37.91
20160224,37.66,38.28,37.49,38.17
20160225,38.46,39.41,38.46,39.07
20160226,39.07,39.27,38.59,38.61
20160229,38.54,39.12,38.33,38.46
20160301,38.88,40.29,38.67,40.28
20160302,40.12,40.49,39.81,40.47
20160303,40.47,41.05,40.33,41.02
20160304,40.94,41.53,40.91,41.49
20160307,41.19,41.67,41.00,41.60
20160308,41.51,41.79,41.27,41.34
20160309,41.47,41.87,41.47,41.72
20160310,41.76,42.20,40.88,41.40
20160311,41.97,42.52,41.75,42.49
20160314,42.29,42.46,41.95,42.39
20160315,42.17,42.50,41.92,42.35
20160316,41.77,42.50,41.71,42.33
20160317,42.46,43.30,42.33,42.97
20160318,43.06,43.07,42.74,42.75
20160321,42.61,42.90,42.25,42.61
20160322,42.43,42.77,42.23,42.56
20160323,42.59,42.80,42.18,42.18
20160324,41.90,42.40,41.67,42.32
20160328,42.58,43.00,42.19,42.95
20160329,42.96,43.87,42.87,43.84
20160330,43.93,44.04,43.48,43.67
20160331,43.67,44.26,43.57,44.18
20160401,43.98,44.70,43.95,44.62
20160404,44.69,44.78,44.23,44.39
20160405,44.03,44.31,43.94,44.12
20160406,44.11,44.41,43.89,44.05
20160407,43.89,44.07,43.45,43.65
20160408,43.87,44.57,43.86,44.12
20160411,44.20,44.53,43.96,43.97
20160412,44.12,44.26,43.76,43.97
20160413,44.31,44.56,43.73,44.53
20160414,44.52,44.62,44.27,44.40
20160415,44.47,45.15,44.38,44.83
20160418,44.75,45.14,44.67,45.12
20160419,45.20,45.80,44.61,45.78
20160420,45.93,45.97,44.88,45.03
20160421,44.82,45.07,43.96,44.24
20160422,44.55,45.01,44.36,44.90
20160425,44.68,45.79,44.57,45.79
20160426,45.88,45.98,45.49,45.80
20160427,45.73,46.09,45.52,46.00
20160428,45.57,45.96,45.11,45.65
20160429,45.33,45.53,44.79,45.41
20160502,45.47,46.09,45.47,46.01
20160503,45.81,46.00,45.52,45.65
20160504,45.22,45.98,44.77,45.88
20160505,45.82,46.33,45.67,46.11
20160506,45.82,46.63,45.69,46.60
20160509,46.83,47.37,46.80,47.29
20160510,47.52,47.80,47.34,47.75
20160511,47.68,47.68,46.89,46.96
20160512,47.11,47.58,46.87,47.45
20160513,47.30,47.66,47.00,47.44
20160516,47.46,48.18,47.42,48.09
20160517,48.11,48.20,47.34,47.50
20160518,47.13,47.23,46.20,46.86
20160519,46.33,46.75,46.11,46.52
20160520,46.78,47.02,46.51,46.84
20160523,46.75,47.06,46.45,46.54
20160524,46.94,47.41,46.63,47.26
20160525,47.33,47.48,46.94,47.09
20160526,47.08,47.27,46.92,47.11
20160527,47.21,47.61,47.11,47.58
20160531,47.80,47.80,47.29,47.53
20160601,47.41,47.83,47.35,47.79
20160602,47.56,48.01,47.33,48.01
20160603,48.26,48.75,48.15,48.46
