Date,Open,High,Low,Close
20151127,94.97,95.63,94.33,95.48
20151130,95.49,96.02,95.11,95.51
20151201,96.16,96.66,95.29,96.35
20151202,96.28,96.68,95.00,95.22
20151203,95.53,95.93,93.63,93.85
20151204,94.31,97.25,93.95,97.19
20151207,96.84,97.31,95.87,96.49
20151208,95.46,95.98,94.50,94.86
20151209,94.17,95.36,92.99,93.56
20151210,93.58,95.40,93.06,94.35
20151211,92.75,93.52,91.85,92.37
20151214,92.73,93.48,91.45,92.77
20151215,93.73,95.71,93.73,94.84
20151216,95.59,97.18,94.40,97.00
20151217,97.39,97.50,95.65,95.68
20151218,94.91,95.25,93.63,93.75
20151221,94.47,95.31,93.33,94.46
20151222,94.71,94.94,93.04,94.57
20151223,95.29,96.27,94.87,96.17
20151224,95.91,96.80,95.88,96.24
20151228,95.74,95.99,94.78,95.94
20151229,96.53,97.31,96.04,96.95
20151230,96.96,96.99,95.95,96.10
20151231,95.52,96.46,95.20,95.31
20160104,94.00,94.26,92.26,93.16
20160105,93.23,93.73,92.27,93.29
20160106,91.34,92.75,91.21,91.60
20160107,90.01,90.85,88.88,89.28
20160108,89.95,90.39,87.67,87.96
20160111,88.38,88.85,87.37,88.28
20160112,89.16,89.40,87.66,89.00
20160113,89.32,89.84,85.83,86.41
20160114,85.82,87.15,85.45,86.87
20160115,84.57,86.67,82.84,86.33
20160119,87.14,87.78,84.58,85.33
20160120,83.80,85.11,82.54,84.17
20160121,84.54,86.12,83.87,84.13
20160122,85.79,86.27,84.78,85.74
20160125,85.67,85.81,82.54,82.73
20160126,83.36,84.58,82.93,84.45
20160127,84.45,87.04,84.20,85.05
20160128,85.62,86.18,84.56,84.91
20160129,85.56,86.66,84.92,86.65
20160201,86.65,86.81,85.46,86.09
20160202,84.86,85.38,83.43,83.80
20160203,84.07,84.26,81.38,83.85
20160204,83.26,85.12,83.12,84.89
20160205,85.19,85.71,83.24,83.57
20160208,82.45,82.52,80.72,81.77
20160209,80.48,82.68,80.28,82.20
20160210,82.74,83.49,81.47,81.51
20160211,79.20,80.22,77.67,78.17
20160212,79.71,81.19,79.44,80.93
20160216,82.36,84.21,81.51,83.27
20160217,84.14,84.65,83.86,84.06
20160218,84.05,84.20,82.24,82.58
20160219,81.83,82.99,81.32,82.82
20160222,82.82,84.51,82.82,84.45
20160223,83.94,84.27,81.78,82.81
20160224,81.55,82.41,80.57,82.30
20160225,82.57,82.96,82.12,82.94
20160226,83.83,84.91,83.08,83.97
20160229,83.70,83.75,81.30,81.31
20160301,81.82,84.48,81.62,84.48
20160302,84.60,85.65,84.23,85.64
20160303,85.63,86.58,85.25,86.58
20160304,87.19,87.96,86.73,87.30
20160307,86.52,87.28,86.24,86.96
20160308,86.08,86.48,85.00,85.07
20160309,85.75,85.94,84.42,84.62
20160310,85.39,86.24,84.00,85.14
20160311,86.24,86.55,85.62,86.40
20160314,85.95,86.13,85.19,85.82
20160315,85.06,85.87,84.87,85.79
20160316,85.60,86.33,84.38,84.69
20160317,84.59,85.52,83.82,85.20
20160318,85.64,87.02,85.47,86.16
20160321,86.15,86.72,85.63,86.20
20160322,85.59,86.49,85.26,85.85
20160323,85.96,86.08,85.16,85.35
20160324,84.72,84.87,83.82,84.80
20160328,85.38,85.44,84.54,84.88
20160329,84.35,84.66,83.46,84.47
20160330,85.00,86.13,84.85,85.35
20160331,85.20,85.57,84.31,84.57
20160401,84.65,85.41,83.70,85.29
20160404,85.09,85.99,84.70,85.32
20160405,84.39,84.68,82.86,82.94
20160406,82.80,83.83,82.30,83.80
20160407,82.97,83.10,81.06,81.47
20160408,81.96,82.97,81.55,81.82
20160411,82.36,83.08,81.92,81.92
20160412,81.94,82.97,81.44,82.86
20160413,83.32,85.51,83.24,85.17
20160414,83.00,85.89,82.69,84.69
20160415,84.59,85.15,83.66,84.16
20160418,83.48,85.10,83.38,85.01
20160419,85.37,86.43,85.10,86.27
20160420,86.69,87.98,86.13,87.74
20160421,87.67,88.56,87.26,87.51
20160422,87.77,88.45,87.36,88.09
20160425,87.55,87.81,86.94,87.71
20160426,87.87,88.96,87.46,88.88
20160427,88.74,89.77,88.22,88.99
20160428,88.00,89.00,87.68,88.19
20160429,87.69,88.13,87.10,87.78
20160502,88.52,88.55,87.63,87.91
20160503,86.65,87.13,86.00,86.87
20160504,86.00,86.47,84.57,85.37
20160505,85.45,86.10,85.03,85.35
20160506,84.90,85.74,84.70,85.61
20160509,84.86,86.04,84.61,84.99
20160510,85.79,87.02,85.52,86.59
20160511,86.29,87.28,86.23,86.34
20160512,86.65,87.34,85.62,86.18
20160513,85.94,86.76,84.39,84.74
20160516,84.46,85.80,84.46,85.45
20160517,85.12,86.14,84.40,85.23
20160518,85.30,88.38,85.27,88.38
20160519,87.86,88.86,87.02,87.88
20160520,88.33,88.92,87.89,88.19
20160523,88.19,88.48,87.31,87.82
20160524,88.40,89.46,88.12,89.03
20160525,89.48,90.85,89.37,90.23
20160526,90.34,90.35,89.41,89.49
20160527,89.84,90.26,89.44,90.24
20160531,90.78,90.80,89.33,89.74
20160601,88.91,89.96,88.41,89.74
20160602,89.59,90.10,89.20,90.01
20160603,88.61,88.82,87.11,88.57
20160606,88.81,90.43,88.73,89.93
20160607,89.90,90.30,89.07,89.10
