Date,Open,High,Low,Close
20151127,37.57,38.03,37.43,37.87
20151130,37.81,38.23,37.58,38.08
20151201,38.25,38.76,37.89,38.33
20151202,38.15,38.30,37.47,37.62
20151203,37.39,37.78,37.21,37.49
20151204,37.54,37.90,37.20,37.49
20151207,37.31,37.44,36.79,36.92
20151208,36.42,36.67,35.19,35.34
20151209,35.13,35.79,34.97,35.26
20151210,35.40,36.10,35.18,35.78
20151211,35.26,35.29,34.59,34.74
20151214,34.67,35.12,34.35,35.09
20151215,35.33,35.43,34.10,34.14
20151216,34.49,34.97,34.26,34.78
20151217,34.79,35.11,33.30,33.30
20151218,33.02,33.28,32.33,32.38
20151221,32.59,33.12,32.38,32.67
20151222,32.77,33.16,32.48,33.08
20151223,33.28,33.93,33.20,33.84
20151224,33.82,34.03,33.66,33.77
20151228,33.59,33.72,33.19,33.31
20151229,33.58,34.00,33.36,33.90
20151230,33.69,34.03,33.49,33.58
20151231,33.39,33.61,33.23,33.26
20160104,32.66,33.14,32.36,33.10
20160105,33.03,33.28,32.39,32.81
20160106,32.15,32.59,31.69,32.06
20160107,31.34,31.74,31.07,31.22
20160108,31.41,31.56,30.61,30.65
20160111,31.01,31.08,30.11,30.56
20160112,30.99,31.07,30.28,30.97
20160113,31.12,31.56,30.20,30.27
20160114,30.42,30.89,29.89,30.56
20160115,29.73,30.26,29.54,29.97
20160119,30.44,30.73,29.24,29.60
20160120,29.05,29.23,28.21,28.87
20160121,29.03,29.34,28.56,29.13
20160122,29.72,30.40,29.12,29.62
20160125,29.54,29.82,29.22,29.27
20160126,29.62,30.58,29.41,30.43
20160127,30.01,31.07,29.99,30.30
20160128,30.96,31.11,29.99,30.54
20160129,30.70,31.65,30.54,31.65
20160201,31.28,31.53,30.86,31.32
20160202,30.54,31.05,29.57,29.95
20160203,30.38,30.58,29.36,30.52
20160204,30.57,32.30,30.57,31.44
20160205,31.27,31.55,30.74,31.06
20160208,30.71,30.93,30.07,30.64
20160209,30.22,31.01,30.14,30.36
20160210,30.11,30.21,28.79,28.80
20160211,28.33,29.25,27.92,28.93
20160212,29.36,30.22,29.11,29.82
20160216,30.15,30.87,29.93,30.72
20160217,31.29,31.98,30.84,31.89
20160218,31.82,32.59,31.65,32.42
20160219,32.15,32.43,31.91,32.24
20160222,32.77,33.30,32.73,33.00
20160223,32.81,33.23,32.03,32.06
20160224,31.72,32.21,31.24,32.16
20160225,32.14,32.42,31.30,32.17
20160226,32.38,32.82,32.20,32.60
20160229,32.73,32.86,32.04,32.04
20160301,32.42,33.11,32.12,33.02
20160302,32.90,34.01,32.75,33.99
20160303,33.98,34.33,33.74,34.17
20160304,34.12,34.42,33.73,33.94
20160307,33.80,34.96,33.75,34.84
20160308,34.37,34.53,33.46,33.53
20160309,33.73,33.94,33.44,33.71
20160310,33.78,34.16,32.82,33.23
20160311,33.67,34.11,33.34,33.85
20160314,33.65,34.37,33.63,33.97
20160315,33.57,33.85,33.11,33.75
20160316,33.73,34.93,33.65,34.75
20160317,34.92,36.18,34.70,36.14
20160318,36.35,36.53,36.03,36.13
20160321,36.01,36.46,35.92,36.31
20160322,36.08,36.48,35.91,36.23
20160323,36.12,36.12,35.46,35.55
20160324,35.22,35.42,34.78,35.36
20160328,35.37,35.51,34.94,35.36
20160329,35.12,35.88,34.85,35.87
20160330,36.12,36.36,35.94,36.31
20160331,36.33,36.63,36.27,36.44
20160401,36.02,36.21,35.51,35.96
20160404,35.92,36.02,35.51,35.68
20160405,35.45,35.45,34.45,34.49
20160406,34.53,35.08,33.83,34.37
20160407,34.37,34.46,33.99,34.05
20160408,34.55,35.04,34.51,34.59
20160411,34.84,35.15,34.65,34.72
20160412,34.88,35.80,34.88,35.67
20160413,36.06,36.99,35.95,36.95
20160414,37.18,37.38,36.79,37.15
20160415,37.09,37.18,36.89,37.01
20160418,36.69,37.24,36.57,37.05
20160419,37.37,37.92,37.13,37.78
20160420,37.49,38.05,37.35,37.87
20160421,37.87,38.17,37.62,37.90
20160422,37.97,38.57,37.97,38.47
20160425,38.24,38.45,37.56,37.70
20160426,38.53,39.17,37.09,39.15
20160427,40.24,41.69,39.56,40.26
20160428,39.85,40.11,39.29,39.42
20160429,39.34,39.70,38.84,39.01
20160502,38.78,39.72,38.58,39.62
20160503,39.15,39.16,38.74,38.95
20160504,38.70,38.99,37.94,38.20
20160505,38.50,38.69,38.09,38.21
20160506,38.10,39.05,37.93,39.05
20160509,38.93,39.08,38.50,38.63
20160510,38.86,39.23,38.70,39.16
20160511,39.23,39.89,38.91,39.56
20160512,39.83,40.19,39.32,39.77
20160513,39.72,39.99,38.64,38.72
20160516,38.82,39.70,38.72,39.34
20160517,39.17,39.68,38.95,39.07
20160518,38.89,39.91,38.70,39.81
20160519,39.40,39.47,38.73,39.19
20160520,39.46,39.94,39.15,39.27
20160523,39.22,39.97,39.01,39.83
20160524,40.08,40.51,39.86,40.35
20160525,40.66,41.25,40.56,41.20
20160526,41.34,41.73,40.81,40.86
20160527,40.85,40.91,40.46,40.71
20160531,40.73,40.91,40.30,40.46
20160601,40.11,40.44,39.62,40.42
20160602,40.38,42.57,40.09,40.80
20160603,40.75,40.76,40.11,40.30
20160606,40.55,40.84,40.21,40.78
20160607,40.93,41.32,40.70,41.01
20160608,41.17,41.48,40.80,40.93
20160609,40.65,40.67,40.20,40.40
20160610,40.37,40.68,39.58,39.88
20160613,39.64,39.77,39.27,39.31
20160614,39.08,39.81,39.01,39.74
20160615,39.97,40.42,39.69,40.16
20160616,39.74,40.54,39.50,40.48
20160617,40.61,41.12,40.41,41.10
20160620,41.81,42.11,41.66,41.83
20160621,41.73,41.79,41.22,41.30
20160622,41.41,41.47,40.68,40.71
20160623,41.29,41.39,41.08,41.31
20160624,39.22,39.79,38.69,38.84
20160627,38.29,38.31,37.29,37.80
20160628,38.44,38.47,37.70,37.90
20160629,38.46,38.95,38.10,38.75
20160630,38.90,39.15,38.49,39.15
20160701,39.22,39.63,39.19,39.51
20160705,39.42,39.45,38.60,38.89
20160706,38.76,39.46,38.42,39.45
20160707,39.80,40.21,39.58,39.84
20160708,40.30,41.33,40.11,41.26
20160711,41.52,41.86,41.31,41.77
20160712,42.21,42.84,42.07,42.71
20160713,42.95,42.95,42.26,42.47
20160714,42.98,43.00,42.57,42.59
20160715,42.83,43.00,42.20,42.69
20160718,42.52,42.68,42.07,42.29
20160719,42.03,42.20,41.74,41.98
20160720,41.73,41.97,41.36,41.91
20160721,41.80,42.23,41.50,41.63
20160722,41.50,42.15,41.24,42.05
20160725,42.01,42.04,41.47,41.68
20160726,41.79,42.51,41.75,42.50
20160727,42.61,42.85,42.21,42.83
20160728,42.46,43.08,41.89,42.90
20160729,42.73,43.19,42.42,42.86
