Date,Open,High,Low,Close
20151127,62.73,63.10,62.65,62.95
20151130,63.02,63.96,62.98,63.36
20151201,63.33,63.99,63.17,63.52
20151202,63.40,63.56,61.95,62.06
20151203,61.62,61.94,60.93,61.11
20151204,61.36,62.51,61.22,62.38
20151207,62.27,63.17,62.09,63.13
20151208,62.98,63.62,62.31,63.55
20151209,63.22,63.99,62.89,63.12
20151210,62.96,62.96,60.99,61.21
20151211,60.90,61.81,60.70,61.53
20151214,61.52,61.68,60.85,61.45
20151215,61.57,62.75,61.57,62.06
20151216,62.36,63.75,62.36,63.62
20151217,63.57,64.12,63.37,63.59
20151218,63.34,63.49,62.33,62.85
20151221,63.19,63.43,62.45,62.96
20151222,62.98,63.67,62.28,63.50
20151223,63.62,64.61,63.62,64.43
20151224,64.44,64.54,63.95,64.29
20151228,64.12,64.92,63.97,64.84
20151229,64.92,65.51,64.92,65.19
20151230,65.03,65.51,65.03,65.23
20151231,65.05,65.10,63.78,64.48
20160104,64.31,64.49,63.45,64.08
20160105,63.96,64.54,62.94,64.40
20160106,63.92,64.68,63.76,64.49
20160107,63.88,64.62,63.70,64.47
20160108,64.51,65.02,63.93,64.02
20160111,64.19,65.15,64.19,64.78
20160112,63.10,64.56,62.85,63.70
20160113,63.80,64.75,63.56,63.87
20160114,63.84,65.28,63.64,64.81
20160115,64.81,64.82,63.13,64.01
20160119,64.57,65.14,63.94,64.88
20160120,64.77,64.98,62.52,63.62
20160121,63.90,64.17,62.72,63.26
20160122,63.46,64.23,62.98,64.10
20160125,64.13,64.31,63.50,63.75
20160126,63.39,64.78,62.51,64.00
20160127,63.99,64.63,63.52,64.03
20160128,64.45,65.11,62.82,64.67
20160129,65.10,66.49,65.06,66.31
20160201,66.24,67.59,66.02,67.27
20160202,66.97,68.46,66.66,68.28
20160203,68.69,70.00,68.69,69.71
20160204,69.65,69.83,68.61,68.83
20160205,68.55,69.19,67.81,68.52
20160208,68.98,69.72,67.64,68.49
20160209,68.42,69.00,67.91,68.48
20160210,68.35,69.25,67.51,68.75
20160211,68.43,68.99,67.54,67.58
20160212,67.44,67.91,66.42,67.22
20160216,67.35,67.44,66.67,67.25
20160217,67.18,67.18,66.22,66.83
20160218,66.94,68.02,66.56,67.47
20160219,67.54,68.65,66.62,68.25
20160222,68.93,69.85,68.32,69.55
20160223,69.17,70.07,68.52,69.89
20160224,69.90,70.54,69.32,70.15
20160225,70.55,71.40,70.12,71.21
20160226,70.71,70.79,68.49,68.54
20160229,68.41,69.26,67.90,68.83
20160301,69.20,69.44,67.83,67.92
20160302,67.72,68.50,66.35,68.49
20160303,68.59,68.59,67.55,68.48
20160304,68.08,69.33,67.80,69.00
20160307,68.89,69.60,68.77,69.18
20160308,69.36,70.28,68.96,70.12
20160309,69.94,70.95,69.80,70.74
20160310,70.74,71.81,69.91,71.37
20160311,71.61,71.92,70.90,71.18
20160314,71.00,71.77,70.45,71.50
20160315,71.33,71.99,71.33,71.82
20160316,71.55,72.62,70.85,72.51
20160317,72.55,73.50,72.26,73.39
20160318,73.53,73.53,72.59,72.70
20160321,72.44,73.08,71.75,72.86
20160322,72.93,73.34,72.47,72.63
20160323,72.54,73.53,72.24,73.29
20160324,73.04,73.70,72.72,73.49
20160328,73.56,74.08,73.16,73.43
20160329,73.60,74.69,73.43,74.64
20160330,74.57,74.84,74.07,74.69
20160331,74.68,75.15,74.49,75.07
20160401,75.02,75.57,74.72,75.49
20160404,75.60,75.81,74.88,75.37
20160405,75.20,75.47,74.22,74.29
20160406,73.92,74.31,73.67,74.16
20160407,73.98,74.60,73.57,74.11
20160408,74.39,74.81,74.13,74.36
20160411,74.45,74.80,73.91,74.10
20160412,74.26,74.69,73.97,74.64
20160413,74.83,74.83,73.77,74.24
20160414,74.01,74.38,73.63,73.76
20160415,73.80,74.54,73.72,74.34
20160418,74.33,74.73,73.87,74.73
20160419,74.93,74.99,74.33,74.85
20160420,74.90,74.99,72.79,72.91
20160421,72.68,72.95,70.81,71.07
20160422,71.32,71.72,71.15,71.46
20160425,71.32,71.66,71.08,71.61
20160426,71.50,71.94,71.13,71.27
20160427,71.56,72.58,71.11,72.16
20160428,70.89,71.90,70.75,71.58
20160429,70.61,72.81,70.23,72.65
20160502,72.78,74.27,72.43,73.35
20160503,73.28,73.64,72.66,72.98
20160504,72.78,74.19,72.32,73.73
20160505,73.52,74.33,72.92,73.22
20160506,73.15,73.15,72.21,72.98
20160509,73.09,73.77,72.87,73.57
20160510,73.69,74.09,73.12,73.56
20160511,73.71,73.89,73.09,73.74
20160512,73.72,74.65,73.39,74.44
20160513,74.25,74.44,73.61,74.21
20160516,74.24,74.58,73.72,74.57
20160517,74.27,74.41,72.59,72.88
20160518,72.41,72.62,70.57,70.75
20160519,70.50,71.46,70.11,71.41
20160520,71.67,71.67,70.81,71.56
20160523,71.63,71.76,71.04,71.08
20160524,71.40,72.24,71.05,72.07
20160525,71.91,72.10,71.31,71.97
20160526,72.10,73.03,71.74,72.87
20160527,73.03,73.27,72.51,73.19
20160531,73.15,73.70,72.60,73.59
20160601,73.38,74.35,73.07,74.33
20160602,74.16,74.30,73.40,74.26
20160603,74.99,76.26,74.99,75.76
20160606,75.77,75.98,74.95,75.26
20160607,75.27,75.85,74.96,75.54
20160608,75.51,76.00,75.44,76.00
20160609,76.00,77.28,76.00,77.17
20160610,76.94,77.54,76.50,76.73
20160613,76.83,77.05,76.36,76.66
20160614,76.66,77.43,76.21,77.41
20160615,77.43,77.43,76.45,76.73
20160616,76.85,77.69,76.82,77.51
20160617,77.56,77.81,76.86,77.78
20160620,77.76,77.93,76.60,77.48
20160621,77.52,77.93,77.01,77.50
20160622,77.65,77.70,77.05,77.08
20160623,77.20,77.31,76.66,77.31
20160624,76.78,78.59,76.65,77.95
20160627,77.95,79.42,77.94,79.13
20160628,79.19,79.34,78.25,79.05
20160629,79.72,79.72,78.86,79.14
20160630,79.30,81.08,79.03,81.06
20160701,81.56,81.59,80.27,81.08
20160705,81.22,82.61,80.83,82.56
20160706,82.38,82.78,81.66,82.54
20160707,82.32,82.32,80.69,80.95
20160708,80.69,81.19,79.97,81.17
20160711,80.93,81.15,80.02,81.08
20160712,80.47,80.84,79.38,79.44
20160713,80.10,80.17,79.67,80.01
20160714,79.33,79.87,79.12,79.35
20160715,79.48,79.94,79.19,79.53
20160718,79.25,80.20,79.24,79.81
20160719,78.23,79.95,78.23,79.68
20160720,77.96,79.80,77.96,79.15
20160721,78.88,79.78,78.58,79.66
20160722,79.58,80.74,79.41,80.59
20160725,80.61,80.85,79.98,80.47
20160726,80.38,80.38,79.18,79.48
20160727,79.29,79.29,78.02,78.66
20160728,78.04,78.64,77.79,78.49
20160729,78.55,79.17,78.40,78.87
20160801,78.67,79.54,78.61,79.50
20160802,78.88,79.19,78.32,78.78
20160803,78.77,78.95,77.87,78.15
20160804,78.09,78.85,77.85,78.15
20160805,77.98,77.99,77.00,77.17
20160808,77.25,78.05,76.79,77.29
20160809,77.33,77.84,77.08,77.44
20160810,77.53,77.65,77.39,77.59
20160811,77.73,77.89,77.42,77.70
20160812,77.85,78.46,77.85,77.92
20160815,77.94,77.96,76.44,76.45
20160816,76.33,76.33,75.47,75.54
20160817,75.28,76.72,74.82,76.56
20160818,76.44,77.69,76.44,77.69
20160819,77.35,77.61,76.23,76.65
20160822,76.76,77.42,76.50,77.11
20160823,77.11,77.57,76.84,76.85
20160824,76.61,76.82,76.11,76.66
20160825,76.62,77.05,76.56,76.73
20160826,76.87,77.35,74.75,74.83
20160829,75.04,75.81,75.04,75.40
20160830,75.40,75.69,74.53,74.63
20160831,74.46,75.07,74.28,75.04
20160901,74.91,75.34,74.58,74.81
20160902,74.88,76.12,74.77,76.07
20160906,76.57,77.19,76.23,77.08
20160907,76.98,77.23,76.45,76.95
20160908,76.70,77.32,76.48,76.85
20160909,76.11,76.11,73.94,73.95
20160912,74.07,75.45,73.98,75.24
20160913,75.11,75.17,73.94,74.41
20160914,74.54,75.29,74.18,74.57
20160915,74.44,75.41,74.32,75.33
20160916,75.02,76.41,74.70,76.29
20160919,76.34,76.97,76.22,76.88
20160920,77.17,77.43,76.82,76.83
20160921,76.75,78.34,76.75,78.31
20160922,78.80,79.15,78.40,79.09
20160923,79.06,79.70,78.56,79.39
20160926,79.50,79.72,78.98,79.38
20160927,79.74,80.19,78.41,78.51
20160928,78.69,78.69,77.19,77.87
20160929,77.66,77.66,76.33,76.76
20160930,77.16,77.45,75.56,75.99
20161003,75.81,75.81,74.44,74.98
20161004,74.82,74.82,72.61,73.00
20161005,73.16,73.92,72.56,72.81
20161006,72.55,73.21,72.07,72.97
20161007,73.46,74.29,72.66,72.69
20161010,73.21,73.87,72.90,73.78
20161011,73.53,73.63,72.84,72.90
20161012,72.94,73.80,72.94,73.61
20161013,73.64,74.89,73.52,74.31
20161014,73.97,74.55,73.63,73.66
20161017,73.87,74.49,73.78,74.24
20161018,74.65,75.31,73.91,75.12
20161019,75.12,75.20,74.55,74.96
20161020,75.13,75.46,74.61,74.75
20161021,74.63,74.66,73.60,74.08
20161024,74.44,74.90,74.04,74.75
20161025,74.40,75.22,74.38,75.20
20161026,75.14,75.35,74.55,75.16
20161027,74.78,75.27,74.56,74.88
20161028,74.47,75.08,74.11,74.60
20161031,74.96,76.59,74.80,76.13
20161101,76.21,76.21,74.60,74.79
20161102,74.65,74.76,73.48,74.51
20161103,73.76,75.00,73.76,74.22
20161104,74.65,75.51,73.99,74.11
20161107,74.56,75.06,73.44,75.05
20161108,75.23,76.15,75.09,75.74
20161109,74.71,75.05,73.34,73.98
20161110,73.76,73.80,70.86,72.82
20161111,72.85,74.39,72.85,73.44
20161114,72.98,73.43,72.15,73.08
20161115,73.40,74.29,73.38,74.06
20161116,74.22,74.44,73.31,73.75
20161117,73.48,74.36,73.44,73.75
20161118,73.67,74.31,72.92,73.26
20161121,73.50,74.27,73.49,74.10
20161122,74.79,75.35,74.14,75.06
20161123,74.27,75.02,73.83,73.96
20161125,74.22,75.47,74.03,75.34
20161128,75.53,77.01,75.53,76.63
20161129,76.37,77.34,76.37,76.68
20161130,75.52,75.58,73.90,73.93
20161201,73.64,73.77,72.62,73.13
20161202,73.56,74.39,73.18,73.54
20161205,73.25,73.82,72.61,73.82
20161206,74.12,74.61,73.74,74.56
20161207,74.74,75.14,74.50,75.11
20161208,74.61,75.23,74.07,75.14
20161209,75.18,76.27,75.16,76.19
20161212,75.77,77.21,75.64,77.14
20161213,77.33,78.23,77.33,78.17
20161214,78.57,78.97,75.93,75.97
20161215,75.59,75.90,74.46,75.85
20161216,76.01,77.29,75.75,76.67
20161219,77.07,77.28,76.34,77.10
20161220,76.80,77.30,76.45,77.14
20161221,77.00,77.65,77.00,77.06
20161222,77.06,77.83,76.76,77.60
20161223,77.65,77.85,77.30,77.66
20161227,77.60,78.10,77.19,77.85
20161228,77.86,77.86,76.71,76.93
20161229,77.30,78.38,77.03,78.25
20161230,78.26,78.51,77.77,78.03
20170103,77.99,78.02,76.97,77.32
20170104,77.49,78.00,77.27,77.75
20170105,77.95,78.59,77.09,78.39
20170106,78.13,78.80,77.80,78.49
20170109,78.54,78.80,77.18,77.23
20170110,77.34,77.74,76.84,77.13
20170111,76.92,77.86,76.92,77.72
20170112,77.63,78.30,77.14,77.50
20170113,77.37,77.60,76.88,77.26
20170117,77.83,78.40,77.50,78.00
20170118,77.96,78.29,77.43,77.89
20170119,76.85,77.89,76.85,77.05
20170120,77.19,77.71,76.64,77.02
20170123,77.20,77.41,76.99,77.20
20170124,77.35,77.74,76.86,77.44
20170125,77.15,77.47,76.85,77.14
20170126,77.07,77.63,76.60,76.98
20170127,77.06,77.38,76.68,76.77
20170130,76.23,76.53,75.79,76.44
20170131,76.50,77.65,76.24,77.63
20170201,76.98,77.74,76.47,76.69
20170202,76.73,77.98,76.73,77.79
20170203,78.01,78.46,77.84,78.03
20170206,78.25,78.49,77.80,77.85
20170207,77.87,78.31,77.66,77.92
20170208,78.00,78.87,78.00,78.57
20170209,78.57,78.93,78.04,78.13
20170210,77.78,78.73,77.78,78.67
20170213,78.65,78.91,78.17,78.72
20170214,78.61,78.61,77.57,78.09
20170215,77.52,78.00,76.89,78.00
20170216,78.00,78.56,77.80,78.55
20170217,78.70,78.83,78.09,78.70
20170221,78.37,79.91,78.32,79.77
20170222,79.65,79.93,79.21,79.72
20170223,80.00,80.87,79.80,80.50
20170224,80.80,81.84,80.63,81.44
20170227,81.45,81.51,81.03,81.18
20170228,81.13,82.50,81.08,82.19
20170301,81.37,82.56,80.76,82.40
20170302,82.20,83.77,81.92,83.32
20170303,83.47,83.47,82.35,83.03
20170306,82.89,83.44,82.70,82.96
20170307,82.52,83.09,82.23,82.54
20170308,81.62,81.99,80.78,80.94
20170309,80.78,81.41,80.60,80.87
20170310,81.46,81.68,81.00,81.61
20170313,81.54,81.84,81.35,81.68
20170314,81.62,81.92,81.30,81.88
20170315,82.07,83.92,81.79,83.60
20170316,83.37,83.38,82.37,82.55
20170317,82.88,83.71,82.73,83.23
20170320,83.35,83.66,82.23,82.53
20170321,82.54,83.78,82.42,83.69
20170322,84.00,84.43,83.49,83.66
20170323,83.60,84.44,83.09,83.59
20170324,83.58,84.48,83.49,84.12
20170327,84.53,84.72,83.67,84.14
20170328,83.95,84.41,83.77,84.20
20170329,84.00,84.00,83.36,83.52
20170330,83.39,83.62,82.84,83.28
20170331,83.23,83.87,83.00,83.38
20170403,83.41,83.54,82.62,83.51
20170404,83.30,84.00,83.10,83.74
20170405,83.74,84.15,83.42,84.02
20170406,83.74,84.66,83.38,84.48
20170407,84.66,85.01,84.10,84.26
20170410,84.34,84.91,83.98,84.78
20170411,84.36,85.15,84.18,84.79
20170412,84.79,85.50,84.35,85.37
20170413,85.39,85.53,84.28,85.23
20170417,85.49,85.80,85.26,85.74
20170418,85.81,86.25,85.70,86.18
20170419,86.14,86.25,85.16,85.61
20170420,85.61,85.61,84.52,85.32
20170421,85.27,85.92,85.27,85.83
20170424,85.86,86.21,85.19,86.18
20170425,85.84,86.41,85.39,86.36
20170426,86.16,86.63,85.91,86.25
20170427,85.37,86.35,85.37,86.10
20170428,85.91,86.06,84.72,85.09
20170501,85.11,85.20,83.81,84.06
20170502,84.97,84.99,84.03,84.70
20170503,84.39,84.83,83.95,84.36
20170504,84.11,84.58,83.84,84.45
20170505,84.85,85.35,84.45,84.87
20170508,84.99,85.09,84.19,84.91
20170509,84.79,84.79,83.96,84.14
