Date,Open,High,Low,Close
20151127,106.28,106.68,105.54,106.21
20151130,106.36,106.49,105.12,105.74
20151201,106.39,106.87,105.82,106.76
20151202,106.20,106.74,105.08,105.34
20151203,105.40,105.99,103.92,104.30
20151204,104.51,106.37,104.37,105.96
20151207,105.27,105.86,104.28,104.99
20151208,103.92,104.53,102.66,102.75
20151209,102.75,103.58,100.59,101.55
20151210,101.33,101.74,100.51,100.88
20151211,100.88,100.88,98.41,98.73
20151214,98.56,98.96,96.88,97.73
20151215,98.72,99.42,98.47,98.55
20151216,99.18,100.33,98.53,100.22
20151217,100.53,100.66,98.17,98.24
20151218,97.99,98.20,96.25,96.29
20151221,96.92,97.37,96.49,97.23
20151222,97.90,99.16,97.56,98.76
20151223,99.38,100.52,99.24,100.24
20151224,99.94,100.79,99.94,100.39
20151228,100.20,100.33,99.42,99.90
20151229,100.82,100.94,99.95,100.58
20151230,100.33,100.71,99.71,99.77
20151231,99.38,100.00,98.79,98.82
20160104,97.27,97.99,96.06,97.96
20160105,98.63,99.32,97.47,98.31
20160106,96.44,97.20,95.93,96.47
20160107,95.07,97.14,94.68,95.25
20160108,95.68,96.64,94.17,94.49
20160111,94.84,95.72,93.73,94.45
20160112,95.33,95.56,93.79,95.12
20160113,95.98,96.24,93.01,93.05
20160114,93.29,94.12,91.60,93.57
20160115,91.64,92.35,90.34,91.90
20160119,92.80,93.25,89.90,91.60
20160120,90.45,94.69,90.02,93.52
20160121,93.00,94.67,90.61,91.92
20160122,92.79,94.81,92.33,93.16
20160125,92.81,93.32,90.93,91.11
20160126,91.48,93.29,91.11,92.58
20160127,92.43,94.24,91.90,92.80
20160128,93.29,94.04,91.98,92.09
20160129,92.72,95.14,92.28,95.12
20160201,93.71,95.90,93.25,95.59
20160202,94.97,94.97,92.66,93.04
20160203,94.29,95.15,91.87,95.11
20160204,95.33,96.32,94.60,95.70
20160205,95.31,95.83,92.71,92.87
20160208,92.21,92.28,88.86,89.65
20160209,88.62,91.68,88.37,90.99
20160210,91.67,93.21,91.04,91.34
20160211,89.35,90.73,88.47,89.27
20160212,90.06,92.14,89.62,91.78
20160216,93.06,93.77,91.78,93.62
20160217,94.31,95.45,93.01,95.00
20160218,95.20,95.58,94.14,94.69
20160219,94.66,95.74,93.68,95.63
20160222,96.87,98.00,95.86,96.72
20160223,96.54,96.66,94.70,94.87
20160224,93.61,95.81,92.95,95.68
20160225,96.11,97.06,94.56,97.01
20160226,97.73,98.45,97.36,98.16
20160229,97.97,98.84,96.49,96.53
20160301,97.55,100.49,96.92,99.58
20160302,99.22,99.74,98.43,99.33
20160303,98.96,100.75,98.23,100.30
20160304,100.67,102.93,100.32,102.49
20160307,101.84,103.45,101.64,103.37
20160308,102.38,102.65,101.35,101.51
20160309,102.20,102.71,101.38,102.28
20160310,102.60,104.22,101.84,102.91
20160311,104.15,105.23,103.78,105.01
20160314,104.34,105.10,104.00,104.74
20160315,103.95,104.95,103.62,104.76
20160316,104.22,106.67,104.13,106.61
20160317,106.90,109.71,106.90,109.40
20160318,109.62,110.58,108.05,108.90
20160321,109.62,110.53,108.28,108.89
20160322,108.80,110.20,108.56,109.84
20160323,108.91,109.68,108.13,109.14
20160324,108.20,109.06,107.38,108.95
20160328,109.39,109.61,108.74,109.40
20160329,108.80,110.59,108.61,110.57
20160330,111.00,112.10,110.73,111.90
20160331,111.90,112.08,111.13,111.49
20160401,110.44,113.29,110.22,113.11
20160404,113.15,113.23,111.63,112.19
20160405,111.49,112.04,110.91,111.43
20160406,111.37,112.20,110.64,112.08
20160407,111.35,111.83,110.08,110.61
20160408,111.03,112.14,111.03,111.83
20160411,112.07,112.84,111.59,111.68
20160412,112.09,113.17,111.36,112.94
20160413,113.42,114.29,112.74,114.23
20160414,113.74,114.59,113.74,114.51
20160415,114.69,115.40,114.39,115.35
20160418,115.00,115.93,114.64,115.75
20160419,116.24,116.80,115.77,116.55
20160420,116.85,117.00,115.55,116.07
20160421,111.70,113.00,110.10,110.26
20160422,111.35,113.39,110.78,113.19
20160425,113.00,113.30,111.97,112.60
20160426,113.37,113.91,113.01,113.55
20160427,113.89,114.65,112.59,112.99
20160428,111.89,113.40,111.53,112.77
20160429,112.40,112.73,109.75,110.39
20160502,110.18,111.25,109.04,111.24
20160503,110.09,110.22,109.02,109.50
20160504,108.51,109.36,108.00,108.59
20160505,109.04,109.53,108.23,108.58
20160506,107.70,108.31,107.18,108.31
20160509,108.14,108.23,107.29,107.44
20160510,107.80,108.83,107.26,108.73
20160511,108.74,109.20,107.38,107.42
20160512,108.23,108.55,106.36,107.49
20160513,107.57,108.07,106.47,106.70
20160516,107.19,108.64,107.09,108.16
20160517,107.82,108.27,106.69,107.01
20160518,106.93,107.79,106.07,106.39
20160519,106.00,106.65,104.96,105.64
20160520,106.38,107.03,105.93,106.21
20160523,106.19,106.83,105.80,106.43
20160524,106.57,108.15,106.46,107.76
20160525,108.26,108.73,107.70,108.32
20160526,108.35,109.00,107.59,107.70
20160527,107.96,108.71,107.30,108.60
20160531,108.65,108.87,107.20,107.68
20160601,107.68,108.21,106.49,107.98
20160602,107.36,108.20,106.89,108.20
20160603,108.07,108.17,106.86,107.67
20160606,108.10,108.87,107.68,108.12
20160607,108.15,108.36,107.37,107.77
20160608,108.06,111.26,107.51,110.95
20160609,110.21,110.49,109.52,110.43
20160610,109.77,109.86,108.77,109.24
20160613,108.94,109.25,107.61,107.69
20160614,107.31,107.85,106.43,107.08
20160615,107.30,107.64,106.50,106.62
20160616,105.62,107.01,105.06,106.96
20160617,107.00,108.26,106.63,108.18
20160620,109.28,109.73,108.32,108.42
20160621,108.65,108.65,107.83,108.06
20160622,108.40,108.40,107.66,107.81
20160623,109.70,111.26,109.44,111.22
20160624,108.09,108.09,102.21,102.73
20160627,101.41,101.47,98.08,98.69
20160628,99.95,100.56,98.42,100.56
20160629,101.94,102.72,101.57,102.49
20160630,102.57,104.15,101.99,104.15
20160701,104.15,105.49,104.07,104.52
20160705,103.92,103.93,101.80,102.65
20160706,102.20,103.02,101.72,102.97
20160707,103.28,103.78,102.53,103.03
20160708,104.18,106.61,103.98,106.32
20160711,106.63,107.04,106.42,106.61
20160712,107.55,109.50,107.31,108.70
20160713,109.10,109.55,107.96,109.47
20160714,109.81,109.99,108.35,108.63
20160715,109.02,109.48,108.14,109.27
20160718,109.00,109.50,108.61,109.30
20160719,108.64,108.98,107.77,108.38
20160720,108.79,110.14,108.48,110.03
20160721,109.00,110.13,107.56,108.59
20160722,108.59,108.59,107.31,107.65
20160725,107.23,107.35,106.40,106.59
20160726,107.07,107.07,106.18,106.76
20160727,106.87,106.87,105.76,106.09
20160728,105.72,106.32,104.82,105.48
20160729,104.99,105.23,103.74,104.71
20160801,104.10,105.06,103.74,104.67
20160802,104.88,104.88,103.35,103.69
20160803,104.13,104.38,102.87,104.33
20160804,104.30,104.82,103.85,104.10
20160805,104.61,104.99,104.35,104.43
20160808,104.45,104.70,104.05,104.48
20160809,104.35,105.20,104.19,104.37
20160810,104.69,105.07,104.09,104.69
20160811,104.82,105.38,104.43,104.74
20160812,104.61,104.87,103.71,103.99
20160815,104.13,104.75,104.02,104.46
20160816,104.51,105.36,103.65,103.65
20160817,103.66,104.03,102.90,103.59
