Date,Open,High,Low,Close
20151127,150.87,151.00,149.77,150.49
20151130,151.03,151.45,149.01,149.39
20151201,150.79,150.88,147.28,149.21
20151202,149.45,150.91,147.53,147.86
20151203,148.24,148.53,143.61,145.59
20151204,145.99,148.34,145.05,147.69
20151207,147.50,148.16,145.61,147.34
20151208,146.37,149.19,146.30,148.39
20151209,148.46,150.27,147.69,148.16
20151210,149.53,149.65,148.05,148.89
20151211,147.99,148.26,145.65,147.19
20151214,148.33,149.37,146.82,148.99
20151215,150.91,150.95,148.43,149.31
20151216,149.27,150.67,146.20,149.45
20151217,151.05,151.65,145.56,146.26
20151218,146.15,146.40,144.26,144.33
20151221,144.75,144.75,142.51,144.28
20151222,144.93,146.13,144.29,145.27
20151223,145.55,148.33,145.51,147.70
20151224,148.21,148.47,147.51,147.54
20151228,147.78,147.79,144.80,145.84
20151229,146.50,146.99,145.55,146.59
20151230,146.52,146.99,144.86,145.24
20151231,144.89,145.65,144.28,144.70
20160104,142.01,143.42,141.13,142.50
20160105,143.12,145.60,141.26,142.68
20160106,141.21,144.98,141.00,144.28
20160107,142.30,145.19,142.10,144.31
20160108,144.53,145.01,140.20,140.69
20160111,146.21,146.21,138.74,143.61
20160112,144.95,147.35,143.94,146.57
20160113,147.37,147.66,142.52,143.08
20160114,143.31,146.69,140.32,145.41
20160115,141.91,145.26,141.34,145.01
20160119,145.84,147.00,144.24,146.50
20160120,144.60,147.41,140.74,145.84
20160121,146.29,147.92,143.91,146.79
20160122,147.68,152.36,147.43,148.58
20160125,149.09,151.18,148.43,149.06
20160126,149.59,151.50,148.28,148.94
20160127,148.14,148.89,143.04,144.52
20160128,145.18,145.41,140.05,143.23
20160129,143.63,145.66,142.64,144.58
20160201,143.14,144.27,142.57,143.70
20160202,142.83,144.08,141.62,144.01
20160203,145.02,146.29,142.20,145.68
20160204,145.42,147.58,142.25,144.11
20160205,142.76,145.32,142.28,143.88
20160208,142.27,142.46,135.87,137.82
20160209,136.91,140.37,136.32,138.77
20160210,138.91,139.65,136.82,137.46
20160211,136.60,137.26,133.23,135.07
20160212,135.07,138.92,133.81,138.60
20160216,139.29,141.71,138.51,141.21
20160217,141.41,146.16,141.41,145.17
20160218,134.95,136.82,128.66,130.40
20160219,129.16,130.20,125.68,129.34
20160222,127.62,128.61,122.62,124.08
20160223,123.96,126.61,123.70,124.85
20160224,123.78,127.31,123.61,126.26
20160225,126.66,129.26,125.36,129.15
20160226,129.90,130.71,128.20,129.23
20160229,128.71,129.58,126.16,126.25
20160301,127.07,127.14,124.72,126.21
20160302,126.19,126.31,123.85,125.81
20160303,125.91,126.79,125.08,126.42
20160304,126.30,128.48,125.02,126.61
20160307,125.81,129.42,125.80,129.08
20160308,128.92,130.94,128.60,129.06
20160309,129.88,131.52,129.39,131.41
20160310,132.16,134.33,131.28,133.88
20160311,134.08,136.44,133.93,136.00
20160314,136.80,140.65,136.21,140.14
20160315,139.34,139.55,132.66,134.37
20160316,134.34,135.27,132.39,133.07
20160317,133.81,133.86,128.22,131.21
20160318,131.88,132.20,127.28,128.46
