Date,Open,High,Low,Close
20151127,85.81,86.44,85.57,86.28
20151130,86.55,86.88,85.79,86.55
20151201,87.00,87.60,86.54,87.49
20151202,87.60,87.95,86.12,86.25
20151203,86.71,86.76,84.13,84.53
20151204,85.08,86.95,84.42,86.72
20151207,86.44,86.67,85.29,86.09
20151208,85.23,85.63,84.44,84.84
20151209,84.56,86.10,83.48,84.08
20151210,84.30,85.85,83.37,83.79
20151211,82.39,82.70,80.06,80.69
20151214,80.95,81.97,79.60,80.69
20151215,81.71,83.89,81.67,83.06
20151216,83.86,84.54,82.62,84.19
20151217,84.46,84.49,81.61,81.85
20151218,81.20,81.44,79.44,79.55
20151221,80.15,80.86,79.17,80.05
20151222,80.98,81.78,80.15,81.49
20151223,81.91,83.11,81.67,82.96
20151224,82.79,83.26,82.53,82.55
20151228,82.17,82.53,81.63,82.45
20151229,83.13,83.55,82.57,83.21
20151230,83.00,83.12,82.01,82.17
20151231,81.73,82.45,81.14,81.41
20160104,79.55,79.88,78.37,79.84
20160105,79.85,80.34,78.83,79.57
20160106,78.06,78.29,76.37,76.92
20160107,75.05,75.96,73.49,73.79
20160108,74.90,75.42,72.86,73.05
20160111,73.42,73.83,71.74,72.89
20160112,74.02,74.17,71.95,73.12
20160113,74.90,75.67,71.18,71.82
20160114,72.16,73.06,70.27,72.07
20160115,69.18,70.48,68.64,70.17
20160119,71.24,71.55,68.85,69.29
20160120,67.15,68.22,65.07,67.36
20160121,67.75,69.35,67.60,68.13
20160122,69.43,70.30,69.00,69.87
20160125,69.52,70.12,67.78,67.88
20160126,68.20,69.75,68.12,69.11
20160127,69.09,70.37,67.91,68.51
20160128,69.46,69.53,67.92,68.84
20160129,69.05,70.08,68.36,70.08
20160201,69.34,69.95,68.34,69.57
20160202,68.15,68.15,66.77,67.23
20160203,67.80,67.85,65.09,66.79
20160204,66.42,67.77,66.03,66.98
20160205,67.02,67.81,65.00,65.35
20160208,64.81,64.97,62.52,63.33
20160209,62.15,64.13,61.39,63.59
20160210,64.76,65.47,63.77,64.06
20160211,60.69,60.84,57.19,58.00
20160212,58.63,62.48,58.54,61.64
20160216,62.66,63.86,61.74,63.44
20160217,64.88,67.19,64.85,66.60
20160218,66.64,66.92,65.52,66.14
20160219,64.98,65.44,63.97,65.36
20160222,65.36,66.83,65.36,66.08
20160223,65.85,66.09,64.03,64.59
20160224,63.63,64.85,62.62,64.71
20160225,64.95,66.10,64.64,66.07
20160226,66.83,68.27,66.56,66.99
20160229,66.65,67.11,65.99,66.09
20160301,67.20,70.35,67.04,70.31
20160302,70.23,71.20,69.91,70.76
20160303,70.39,71.97,70.37,71.87
20160304,72.24,72.65,70.80,71.47
20160307,70.80,72.17,70.68,72.13
20160308,70.98,71.49,69.44,70.31
20160309,70.97,71.27,69.91,70.41
20160310,71.04,72.05,69.33,70.56
20160311,71.61,73.70,71.61,73.55
20160314,73.16,73.62,72.74,73.00
20160315,72.20,72.42,71.36,72.42
20160316,72.36,73.36,71.76,72.56
20160317,72.57,73.91,71.44,73.36
20160318,73.96,75.42,73.84,74.94
20160321,74.95,75.57,74.05,74.55
20160322,73.31,74.40,73.00,74.12
20160323,73.83,74.00,72.59,72.83
20160324,70.00,70.78,69.35,70.76
20160328,71.13,72.33,71.03,72.01
20160329,71.50,71.67,70.33,71.52
20160330,72.26,74.73,71.86,72.95
20160331,72.85,73.40,71.87,72.22
20160401,71.52,73.33,70.81,73.25
20160404,73.12,73.28,72.11,72.28
20160405,71.41,71.82,70.87,71.20
20160406,71.33,72.28,71.06,71.84
20160407,70.98,71.47,69.32,70.01
