Date,Open,High,Low,Close
20151127,92.85,93.42,91.42,93.07
20151130,92.39,92.60,90.79,91.29
20151201,91.24,94.19,91.02,92.22
20151202,92.33,94.88,92.01,93.38
20151203,92.29,92.47,82.81,83.02
20151204,82.82,83.86,80.33,81.82
20151207,81.17,81.17,79.05,80.48
20151208,79.44,80.81,78.88,79.75
20151209,78.92,80.46,77.85,78.57
20151210,78.38,78.87,77.06,77.21
20151211,76.31,77.22,75.71,76.17
20151214,76.20,77.07,75.45,76.21
20151215,77.00,77.67,76.08,76.35
20151216,77.01,77.69,75.01,75.84
20151217,75.97,76.04,73.38,74.09
20151218,74.05,74.52,72.70,73.29
20151221,73.54,74.08,72.35,72.89
20151222,73.00,73.45,71.99,73.12
20151223,73.69,74.42,73.06,73.87
20151224,73.87,73.87,72.42,72.79
20151228,72.80,73.38,72.34,72.92
20151229,73.63,74.70,73.21,74.30
20151230,74.06,74.29,73.02,73.15
20151231,72.97,74.77,72.74,73.65
20160104,72.72,74.21,72.10,73.49
20160105,73.95,74.83,73.10,74.50
20160106,73.32,74.37,71.68,72.79
20160107,71.68,73.23,70.98,71.44
20160108,71.91,72.11,70.21,70.34
20160111,70.48,71.46,69.02,69.77
20160112,70.98,72.40,69.18,70.07
20160113,70.56,71.68,69.86,69.95
20160114,69.93,69.93,67.66,68.78
20160115,66.96,69.18,66.41,68.35
20160119,68.63,69.14,65.92,66.41
20160120,65.50,66.93,64.16,66.44
20160121,66.52,69.82,65.87,68.68
20160122,69.75,70.46,68.67,69.83
20160125,69.51,69.73,67.26,67.58
20160126,68.19,70.54,67.92,69.57
20160127,69.20,71.19,68.85,69.45
20160128,70.48,71.02,68.43,69.30
20160129,69.66,73.42,69.27,73.38
20160201,72.37,74.16,71.32,73.17
20160202,79.09,79.11,74.68,75.15
20160203,76.06,79.68,75.69,79.26
20160204,78.17,78.17,76.15,77.42
20160205,76.77,77.61,74.64,74.92
20160208,74.10,74.10,70.39,71.88
20160209,71.16,72.14,68.96,71.09
20160210,71.74,72.48,71.38,71.58
20160211,70.86,71.50,69.33,70.46
20160212,71.47,73.56,70.57,73.35
