Date,Open,High,Low,Close
20151127,21.70,21.94,21.59,21.72
20151130,21.78,22.51,21.72,22.05
20151201,22.13,22.65,22.03,22.56
20151202,22.63,22.81,22.40,22.60
20151203,22.67,23.25,22.53,22.94
20151204,22.83,22.83,21.49,21.54
20151207,21.36,21.42,20.51,20.85
20151208,20.63,20.67,20.05,20.27
20151209,20.25,20.80,20.11,20.33
20151210,20.36,20.67,20.18,20.42
20151211,20.26,20.40,19.72,19.83
20151214,19.84,19.97,19.45,19.84
20151215,20.07,20.48,20.00,20.32
20151216,20.40,20.78,20.31,20.71
20151217,20.62,20.68,19.85,19.86
20151218,19.76,20.04,19.70,19.86
20151221,19.93,20.52,19.82,19.97
20151222,19.97,20.32,19.92,20.22
20151223,20.38,21.13,20.38,20.91
20151224,20.86,21.00,20.61,20.68
20151228,20.57,20.81,20.35,20.62
20151229,20.80,20.96,20.36,20.77
20151230,20.62,20.92,20.45,20.52
20151231,20.40,20.56,20.18,20.25
20160104,19.97,20.61,19.97,20.31
20160105,20.25,20.53,19.43,19.46
20160106,19.12,19.58,19.08,19.44
20160107,19.02,19.32,18.88,18.92
20160108,19.04,19.08,18.68,18.70
20160111,18.80,18.89,18.28,18.47
20160112,18.72,18.78,18.21,18.50
20160113,18.67,18.67,17.93,18.08
20160114,18.17,18.41,17.88,18.03
20160115,17.50,18.16,17.41,18.13
20160119,18.32,18.39,17.44,17.55
20160120,17.31,17.85,17.05,17.64
20160121,17.66,18.17,17.50,17.66
20160122,18.03,18.45,17.80,17.89
20160125,17.79,18.06,17.64,17.83
20160126,17.92,18.06,17.72,17.91
20160127,17.87,18.22,17.69,17.77
20160128,18.03,18.18,17.63,18.00
20160129,18.06,18.73,18.06,18.70
20160201,18.65,18.85,18.42,18.75
20160202,18.51,18.61,18.26,18.35
20160203,18.50,18.64,18.07,18.58
20160204,18.61,19.22,18.56,18.90
20160205,18.73,19.27,18.70,18.82
20160208,18.28,18.35,17.21,17.65
20160209,17.43,17.93,17.33,17.54
20160210,17.55,17.80,17.13,17.49
20160211,17.10,17.60,16.77,17.29
20160212,17.51,17.88,17.29,17.66
20160216,17.88,18.24,17.65,18.04
20160217,18.20,18.79,18.04,18.56
20160218,19.20,19.20,18.37,18.57
20160219,18.44,18.86,18.22,18.68
20160222,18.87,19.13,18.80,19.02
20160223,19.00,19.01,18.69,18.70
20160224,18.50,18.84,17.83,18.52
20160225,19.40,20.11,19.30,19.92
20160226,20.00,20.25,19.80,20.21
20160229,20.19,20.42,19.91,20.29
20160301,20.33,20.96,20.29,20.89
20160302,20.91,21.26,20.82,21.20
20160303,21.23,21.53,21.15,21.51
20160304,21.76,22.01,21.52,21.76
20160307,21.75,22.12,21.58,22.01
20160308,21.98,22.26,21.79,22.00
20160309,22.07,22.21,21.89,21.96
20160310,21.99,22.19,21.79,22.11
20160311,22.37,22.60,22.27,22.56
20160314,22.54,22.58,22.28,22.46
20160315,22.09,22.09,21.53,21.91
20160316,21.88,22.23,21.73,22.19
20160317,22.22,22.63,22.18,22.52
20160318,22.61,22.84,22.50,22.67
20160321,22.58,22.75,22.44,22.64
20160322,22.62,22.87,22.60,22.70
20160323,22.70,22.70,22.29,22.32
20160324,22.25,22.41,22.16,22.30
20160328,22.40,22.49,22.03,22.29
20160329,22.25,22.59,22.09,22.58
20160330,22.68,22.87,22.46,22.62
20160331,22.65,22.78,22.51,22.56
20160401,22.32,22.49,22.11,22.46
20160404,22.44,22.58,22.10,22.16
20160405,22.03,22.40,21.98,22.05
20160406,22.07,22.63,22.07,22.46
20160407,22.29,22.39,21.71,21.84
20160408,22.12,22.43,22.06,22.13
20160411,22.23,22.39,21.89,21.93
20160412,21.92,22.60,21.86,22.39
20160413,22.46,22.83,22.32,22.76
20160414,22.79,22.83,22.60,22.61
20160415,22.57,22.64,22.35,22.60
20160418,22.46,22.78,22.30,22.63
20160419,22.79,23.08,22.73,22.89
20160420,22.91,23.03,22.81,22.90
20160421,22.89,22.98,22.73,22.95
20160422,22.94,23.44,22.83,23.41
20160425,23.29,23.48,22.76,22.95
20160426,23.00,23.71,22.97,23.63
20160427,23.63,24.38,23.50,24.29
20160428,24.12,24.28,23.50,23.58
20160429,23.56,23.96,23.51,23.72
20160502,23.74,23.92,23.43,23.92
20160503,23.76,23.76,23.19,23.32
20160504,23.24,23.43,23.02,23.22
20160505,23.00,23.67,22.38,23.16
20160506,23.14,23.64,23.01,23.63
20160509,23.56,23.60,23.16,23.21
20160510,23.39,23.71,23.39,23.66
20160511,23.66,23.81,23.52,23.63
20160512,23.79,23.95,23.33,23.41
20160513,23.31,23.59,22.80,22.85
20160516,22.96,23.37,22.96,23.20
20160517,23.20,23.34,22.69,22.74
20160518,22.62,22.79,22.20,22.42
20160519,22.29,22.64,22.13,22.57
20160520,22.73,23.21,22.71,22.82
20160523,22.80,23.04,22.55,22.87
20160524,22.90,23.14,22.45,22.65
20160525,22.80,23.52,22.79,23.41
20160526,23.52,23.68,23.37,23.57
20160527,23.52,23.75,23.44,23.66
20160531,23.69,24.22,23.63,24.03
20160601,23.82,24.00,23.70,23.94
20160602,23.87,23.89,23.53,23.63
20160603,23.59,23.68,23.28,23.61
20160606,23.71,23.98,23.59,23.92
20160607,23.92,24.31,23.85,24.10
20160608,24.21,24.47,24.13,24.38
20160609,24.15,24.17,23.89,24.10
20160610,23.80,23.84,23.37,23.47
20160613,23.39,23.55,22.99,23.02
20160614,22.91,23.06,22.71,22.95
20160615,23.01,23.43,22.76,23.05
20160616,22.87,23.14,22.70,23.09
20160617,23.16,23.41,23.04,23.21
20160620,23.58,23.76,23.43,23.44
20160621,23.43,23.61,23.19,23.50
20160622,23.59,23.84,23.51,23.56
20160623,23.79,24.13,23.77,24.11
20160624,23.23,23.42,22.96,23.01
20160627,22.67,22.72,21.67,21.72
20160628,22.02,22.15,21.60,21.92
20160629,22.20,22.47,21.96,22.43
20160630,22.50,23.12,22.41,23.12
20160701,23.13,23.57,23.05,23.17
20160705,23.03,23.16,22.58,23.04
20160706,22.92,23.50,22.80,23.46
20160707,23.53,23.94,23.52,23.66
20160708,23.91,24.43,23.90,24.36
20160711,24.49,24.82,24.48,24.67
20160712,24.90,25.47,24.86,25.39
20160713,25.44,25.49,25.09,25.43
20160714,25.68,25.77,25.32,25.36
20160715,25.46,25.57,25.28,25.46
20160718,25.39,25.76,25.33,25.68
20160719,25.65,25.69,25.37,25.46
20160720,25.43,25.61,25.10,25.55
20160721,25.51,25.75,25.40,25.42
20160722,25.33,25.42,25.15,25.40
20160725,25.30,25.47,25.14,25.42
20160726,25.47,25.78,25.28,25.76
20160727,25.76,25.98,25.72,25.84
20160728,25.78,25.92,25.50,25.57
20160729,25.57,25.72,25.26,25.60
20160801,25.59,25.79,25.30,25.39
20160802,25.36,25.46,24.92,25.17
20160803,25.16,25.46,25.02,25.42
20160804,24.42,24.61,23.22,23.45
20160805,23.60,24.92,23.60,24.85
20160808,24.94,25.17,24.58,24.64
20160809,24.71,25.08,24.71,24.79
20160810,24.88,24.99,24.64,24.73
20160811,24.77,25.29,24.77,25.07
20160812,25.09,25.25,24.66,24.90
20160815,24.93,25.43,24.89,25.38
20160816,25.33,25.47,25.28,25.39
20160817,25.34,25.46,25.19,25.44
20160818,25.49,26.18,25.47,26.14
20160819,25.96,26.11,25.86,25.94
20160822,25.82,26.02,25.69,26.00
20160823,26.10,26.37,26.02,26.36
20160824,26.32,26.52,26.14,26.28
20160825,26.26,26.45,26.08,26.22
20160826,26.32,26.43,25.93,26.00
20160829,26.01,26.23,25.99,26.12
20160830,26.19,26.21,25.87,25.95
20160831,25.83,25.90,25.58,25.73
20160901,25.67,25.76,25.22,25.74
20160902,25.94,26.18,25.80,26.16
20160906,26.30,26.39,26.16,26.22
20160907,26.16,26.19,25.88,26.01
20160908,26.07,26.21,26.03,26.11
20160909,25.91,25.91,25.28,25.32
20160912,25.09,25.41,25.05,25.31
20160913,25.10,25.25,24.71,24.87
20160914,24.87,24.96,24.59,24.67
20160915,24.77,25.01,24.65,24.94
20160916,24.78,24.96,24.49,24.93
20160919,25.13,25.54,25.11,25.41
20160920,25.49,25.49,24.82,24.88
20160921,25.02,25.75,24.88,25.71
20160922,25.90,26.06,25.66,25.94
20160923,26.11,26.55,26.01,26.21
20160926,26.12,26.70,26.03,26.45
20160927,26.33,26.96,26.25,26.88
20160928,26.99,27.85,26.97,27.83
20160929,27.82,28.09,27.60,27.80
20160930,27.78,28.14,27.73,27.99
20161003,27.83,28.07,27.55,27.88
20161004,27.95,28.50,27.78,27.90
20161005,28.07,28.37,27.91,28.26
20161006,28.15,28.60,28.05,28.58
20161007,28.51,28.70,28.30,28.51
20161010,28.70,28.87,28.57,28.76
20161011,28.61,28.67,27.72,27.87
20161012,27.87,28.05,27.70,28.00
20161013,27.80,28.01,27.44,27.88
20161014,28.08,28.40,27.88,27.94
20161017,27.95,28.04,27.43,27.61
20161018,28.00,28.26,27.88,27.91
20161019,28.06,28.36,27.76,28.21
20161020,28.09,28.41,28.06,28.34
20161021,28.06,28.47,27.91,28.27
20161024,28.46,28.56,28.29,28.49
20161025,28.41,29.50,28.33,28.41
20161026,28.14,28.66,27.93,28.42
20161027,28.48,28.59,28.15,28.19
20161028,28.24,28.78,28.24,28.56
20161031,28.60,28.80,28.28,28.75
20161101,28.86,28.94,28.20,28.35
20161102,28.31,28.53,28.15,28.49
20161103,29.04,29.40,27.29,28.31
