Date,Open,High,Low,Close
20151127,145.42,147.00,144.09,144.63
20151130,145.02,146.42,143.55,144.75
20151201,145.98,149.40,145.98,149.25
20151202,148.17,148.62,142.84,143.82
20151203,145.25,147.28,143.82,145.18
20151204,142.96,147.32,141.28,146.10
20151207,141.50,141.50,133.08,137.51
20151208,133.74,141.04,132.17,140.35
20151209,141.27,146.71,140.05,143.10
20151210,142.31,149.70,141.47,145.39
20151211,143.14,143.24,139.87,139.99
20151214,138.75,142.92,138.17,141.11
20151215,143.63,145.24,140.94,144.58
20151216,144.89,145.05,134.01,134.40
20151217,134.51,135.44,126.11,130.51
20151218,130.51,130.97,121.26,121.28
20151221,121.28,121.28,114.40,115.71
20151222,115.70,119.69,115.16,116.55
20151223,119.96,126.11,119.56,125.84
20151224,125.90,126.20,123.04,125.02
20151228,122.50,122.99,120.55,121.58
20151229,123.75,125.07,121.55,124.46
20151230,121.90,125.28,121.90,124.47
20151231,123.42,126.49,123.31,125.38
20160104,125.19,127.09,122.04,124.35
20160105,124.35,126.09,122.84,125.17
20160106,115.30,117.46,114.97,116.15
20160107,115.54,118.51,115.00,116.42
20160108,117.25,117.67,115.35,115.84
20160111,116.89,117.17,112.02,113.51
20160112,115.94,116.64,108.46,113.24
20160113,114.99,117.21,111.92,114.20
20160114,115.12,118.79,113.45,115.96
20160115,109.21,113.97,108.50,113.14
20160119,114.55,115.00,109.04,111.62
20160120,109.37,110.99,103.50,109.04
20160121,108.92,115.00,106.73,111.80
20160122,117.30,117.90,112.43,113.50
20160125,110.45,113.33,107.60,107.75
20160126,110.36,114.29,107.97,113.54
20160127,112.85,117.27,111.73,113.90
20160128,119.10,120.69,116.35,120.01
20160129,121.00,124.10,119.84,123.95
20160201,121.79,123.49,120.00,122.29
20160202,118.26,123.97,117.84,121.52
20160203,123.66,127.39,119.45,127.32
20160204,129.33,133.79,123.82,124.49
20160205,123.21,123.27,118.00,118.80
20160208,117.19,117.44,112.04,115.19
20160209,113.01,115.86,108.65,111.29
20160210,109.58,113.60,108.27,108.79
20160211,107.33,114.45,105.22,110.75
20160212,113.60,117.25,111.86,115.36
20160216,116.54,117.80,115.03,115.45
20160217,117.70,125.08,116.14,124.55
20160218,124.86,126.54,120.85,121.36
