Date,Open,High,Low,Close
20151127,48.67,48.85,48.47,48.54
20151130,48.60,48.86,48.30,48.79
20151201,48.75,49.32,48.60,49.30
20151202,51.91,53.44,51.80,51.85
20151203,52.16,52.24,50.37,51.40
20151204,52.09,52.57,51.41,52.34
20151207,52.31,52.54,51.89,52.43
20151208,50.63,50.96,49.31,49.48
20151209,49.64,49.98,48.42,48.59
20151210,48.65,49.57,48.47,48.57
20151211,48.20,48.36,47.34,47.46
20151214,47.41,47.96,45.93,46.83
20151215,47.71,48.81,46.80,48.02
20151216,48.25,48.60,47.15,48.07
20151217,49.32,49.60,47.54,47.54
20151218,47.37,48.04,47.02,47.43
20151221,47.61,48.93,47.54,48.76
20151222,48.53,49.19,48.43,49.07
20151223,49.24,49.52,48.90,49.04
20151224,49.00,49.88,49.00,49.55
20151228,49.45,49.81,49.23,49.58
20151229,50.28,51.25,50.07,50.88
20151230,50.88,51.25,50.36,50.41
20151231,50.06,50.44,49.89,49.99
20160104,49.43,50.18,48.91,50.12
20160105,50.46,50.60,49.07,49.14
20160106,48.36,48.66,47.76,48.64
20160107,47.78,48.00,45.98,46.14
20160108,46.81,46.85,45.84,45.88
20160111,46.36,46.53,45.33,46.07
20160112,46.45,46.68,45.62,46.52
20160113,47.22,47.97,46.07,46.10
20160114,46.21,48.01,45.84,47.73
20160115,46.04,46.51,45.13,45.82
20160119,46.50,46.58,45.47,46.09
20160120,45.50,46.18,44.39,45.93
20160121,46.36,47.44,45.71,47.05
20160122,47.81,48.28,47.44,48.07
20160125,47.97,48.39,47.52,47.58
20160126,47.60,48.85,47.52,48.52
20160127,48.00,48.58,47.16,47.53
20160128,45.80,45.82,43.47,43.59
20160129,44.05,45.35,43.67,45.34
20160201,44.71,46.41,44.39,46.11
20160202,45.18,45.40,42.88,43.15
20160203,43.60,45.00,43.31,44.73
20160204,44.62,45.76,44.38,45.66
20160205,45.45,45.60,43.77,44.02
20160208,43.51,44.16,42.83,43.89
20160209,43.65,44.06,43.17,43.61
20160210,44.00,44.52,42.90,42.96
20160211,42.51,43.29,42.24,43.00
20160212,43.35,44.76,43.08,44.56
20160216,45.60,46.83,45.40,46.73
20160217,47.05,48.53,47.01,48.41
20160218,48.41,49.31,48.02,49.08
20160219,49.04,50.04,48.76,49.42
20160222,50.08,51.29,50.07,51.28
20160223,51.00,51.00,50.11,50.42
20160224,50.00,51.66,49.73,51.52
20160225,51.50,51.79,50.90,51.64
20160226,52.00,52.00,51.22,51.62
20160229,51.17,51.53,50.71,50.79
20160301,51.08,52.11,51.06,52.11
20160302,52.39,52.98,52.24,52.85
20160303,52.45,52.81,51.86,52.38
20160304,52.33,52.90,51.90,52.66
20160307,52.44,53.52,52.36,53.30
20160308,52.89,53.21,51.98,52.46
20160309,52.41,52.52,51.74,51.95
20160310,51.91,52.37,51.17,52.02
20160311,52.59,52.64,51.89,52.22
20160314,52.24,52.41,51.74,52.09
20160315,51.75,51.83,50.98,51.63
20160316,51.63,51.63,50.91,51.30
20160317,51.15,51.69,51.12,51.38
20160318,51.69,51.87,51.23,51.59
20160321,51.60,52.35,51.51,52.21
20160322,51.84,52.32,51.79,52.02
20160323,52.12,52.16,50.81,50.99
20160324,50.63,50.90,50.13,50.86
20160328,50.43,50.61,49.95,50.19
20160329,50.00,50.94,49.67,50.69
20160330,51.17,51.65,50.73,50.99
20160331,50.87,51.43,50.83,51.14
20160401,51.08,51.11,50.01,50.88
20160404,50.81,51.11,50.51,50.65
20160405,50.44,50.53,50.00,50.07
20160406,50.14,50.73,49.73,50.62
20160407,50.40,50.45,49.77,50.03
20160408,50.37,51.15,50.25,50.56
20160411,50.86,51.58,50.86,51.00
20160412,51.05,51.10,50.20,50.82
20160413,51.30,52.44,51.15,51.92
20160414,51.85,51.89,51.24,51.82
20160415,51.93,51.99,51.03,51.06
20160418,51.09,51.73,50.94,51.55
20160419,51.73,51.93,51.30,51.83
20160420,51.93,52.54,51.81,52.09
20160421,51.30,51.80,50.74,51.67
20160422,51.71,53.09,51.68,52.64
20160425,52.60,52.72,52.03,52.43
20160426,52.54,52.96,52.45,52.91
20160427,52.03,53.13,52.01,52.90
20160428,52.48,53.28,52.04,52.13
20160429,51.83,52.00,50.11,50.52
20160502,50.69,51.17,50.13,51.11
20160503,50.67,50.92,50.19,50.73
20160504,50.19,50.88,50.15,50.49
20160505,50.74,51.27,50.43,51.13
20160506,50.65,51.12,50.38,50.92
20160509,51.00,51.60,50.79,51.20
20160510,51.26,52.23,50.97,52.15
20160511,51.83,52.53,51.69,52.15
20160512,52.33,52.53,51.36,51.51
20160513,51.46,52.08,51.11,51.32
20160516,51.32,52.17,51.12,51.91
20160517,51.74,52.28,51.50,51.99
20160518,52.07,53.34,52.00,52.79
20160519,52.71,53.08,52.26,52.76
20160520,52.97,54.58,52.87,54.52
20160523,54.20,54.86,54.15,54.18
20160524,54.42,55.62,54.40,55.59
20160525,55.70,56.27,55.69,55.98
20160526,55.97,56.14,55.51,55.74
20160527,55.33,55.39,55.02,55.27
20160531,55.39,55.43,54.82,54.92
20160601,54.50,54.97,54.45,54.79
20160602,54.65,54.92,54.29,54.88
20160603,54.99,55.01,54.47,54.94
20160606,54.98,55.37,54.66,54.89
20160607,54.94,55.18,54.67,54.84
20160608,54.73,55.05,54.67,54.94
20160609,54.40,55.04,54.19,54.98
20160610,54.46,54.75,53.40,53.83
