Date,Open,High,Low,Close
20151127,57.43,57.73,56.51,57.51
20151130,57.65,58.43,56.82,58.07
20151201,58.31,59.79,57.25,58.04
20151202,58.10,59.43,57.86,58.48
20151203,59.30,60.00,57.87,58.09
20151204,58.05,59.95,57.77,59.54
20151207,59.28,59.40,57.45,57.63
20151208,57.00,57.64,56.02,57.28
20151209,57.03,57.52,54.86,56.15
20151210,56.20,57.97,55.88,57.50
20151211,56.67,57.65,55.96,56.19
20151214,56.06,56.49,52.11,52.48
20151215,52.40,53.23,50.56,51.69
20151216,52.23,53.61,50.21,53.23
20151217,53.47,54.09,52.11,52.75
20151218,52.50,53.27,51.32,51.63
20151221,51.87,53.40,50.14,53.35
20151222,53.50,53.70,51.63,52.41
20151223,52.59,54.79,52.26,54.41
20151224,54.29,54.86,54.17,54.21
20151228,54.00,54.09,52.03,52.89
20151229,53.18,53.72,51.40,52.99
20151230,52.96,53.28,51.60,51.66
20151231,51.41,51.83,49.48,50.90
20160104,49.68,50.80,48.72,50.72
20160105,50.76,50.97,47.36,47.53
20160106,46.66,46.69,44.16,44.62
20160107,44.50,47.11,44.11,45.64
20160108,43.05,45.32,42.40,44.49
20160111,44.66,44.86,42.80,44.22
20160112,44.37,45.77,44.01,44.78
20160113,40.74,42.25,38.90,40.39
20160114,40.56,40.64,38.96,39.42
20160115,37.92,38.05,35.16,36.60
20160119,37.21,37.48,35.72,36.29
20160120,35.54,37.94,35.31,37.05
20160121,37.45,38.40,36.60,37.84
20160122,38.81,41.15,38.26,41.06
20160125,40.77,40.81,39.48,39.76
20160126,40.20,40.50,39.03,39.76
20160127,39.31,39.42,36.80,37.02
20160128,37.09,37.71,36.13,36.67
20160129,37.26,39.98,37.18,39.60
20160201,39.45,40.55,38.34,39.97
20160202,39.25,39.35,37.07,37.15
20160203,37.24,37.59,35.52,37.06
20160204,37.39,38.94,37.09,38.78
20160205,36.60,38.20,34.90,37.25
20160208,36.61,37.22,35.43,36.42
20160209,35.65,37.06,35.03,35.14
20160210,35.28,36.67,34.60,35.36
20160211,34.54,34.90,33.30,34.53
20160212,35.20,37.73,34.82,37.55
20160216,38.12,41.23,37.51,40.78
20160217,41.23,44.72,41.04,41.59
20160218,41.60,42.30,39.92,40.41
20160219,40.12,42.11,40.11,41.85
20160222,42.79,43.00,41.23,41.96
20160223,41.73,42.32,40.95,41.49
20160224,40.98,42.47,40.54,42.17
20160225,42.31,43.06,41.43,42.67
20160226,43.08,44.14,42.72,43.46
20160229,43.50,46.64,43.47,45.08
20160301,45.52,48.24,45.50,47.36
20160302,46.66,48.29,46.65,47.65
20160303,47.73,49.13,47.23,49.11
20160304,49.56,50.82,48.59,49.90
20160307,49.50,50.07,48.38,49.06
20160308,48.91,49.10,46.86,47.09
20160309,47.54,48.68,46.23,48.18
20160310,48.20,48.93,46.68,47.40
20160311,48.07,49.11,47.51,48.64
20160314,48.31,49.13,47.59,48.73
20160315,49.36,49.90,48.10,49.27
20160316,48.93,50.17,48.14,48.99
20160317,48.69,49.43,48.24,49.20
20160318,49.39,51.15,49.16,50.69
20160321,50.65,51.20,50.03,50.64
20160322,50.35,51.85,50.18,51.75
20160323,51.72,51.78,49.50,49.52
20160324,49.23,49.47,48.58,49.24
20160328,49.66,49.67,48.85,49.10
20160329,48.80,50.69,48.21,50.58
20160330,51.00,51.95,50.78,51.23
20160331,51.01,51.25,50.37,50.41
20160401,50.15,51.27,49.55,50.82
20160404,50.93,51.25,50.34,50.62
20160405,50.03,50.62,49.68,49.86
20160406,49.97,50.58,48.44,50.50
20160407,49.85,50.49,48.64,48.73
20160408,49.43,49.80,48.78,49.24
20160411,49.41,49.47,47.95,47.99
20160412,47.96,48.34,47.16,47.68
20160413,48.10,50.16,47.82,50.04
20160414,49.41,49.90,48.80,49.63
20160415,49.29,49.79,47.61,47.74
20160418,47.30,47.52,46.66,47.16
20160419,46.98,47.00,44.87,45.24
20160420,45.06,46.28,44.58,45.94
20160421,45.86,46.33,44.65,45.35
20160422,45.26,46.35,45.24,45.70
20160425,45.52,45.70,44.52,45.05
20160426,45.42,46.93,45.18,46.30
20160427,44.30,47.38,44.30,46.62
20160428,46.23,46.88,45.64,45.83
20160429,45.67,46.49,43.97,45.03
20160502,45.07,45.12,44.00,44.71
20160503,44.32,45.19,44.32,45.04
20160504,44.48,45.43,43.79,44.51
20160505,47.90,48.95,46.51,46.66
20160506,46.65,46.83,45.02,46.11
20160509,46.27,46.58,45.40,45.62
20160510,45.86,46.88,45.06,46.64
20160511,46.40,46.88,45.97,45.99
20160512,46.19,46.54,44.52,45.18
20160513,45.24,46.38,44.52,44.99
20160516,45.03,46.41,45.00,45.56
20160517,45.54,46.70,45.27,45.83
20160518,45.63,47.68,45.35,47.22
20160519,46.71,48.07,46.37,47.17
20160520,47.66,49.45,47.40,49.40
20160523,50.00,51.56,50.00,50.40
20160524,50.74,51.53,50.06,50.98
20160525,50.97,51.45,50.24,50.65
20160526,50.73,51.04,50.21,50.53
20160527,50.38,50.67,49.80,50.53
20160531,50.75,51.43,50.25,50.97
20160601,50.65,52.34,50.50,52.14
20160602,52.00,53.74,51.99,53.49
20160603,54.00,54.67,52.73,53.67
20160606,53.81,55.11,53.81,54.81
20160607,54.92,55.90,54.69,55.49
20160608,55.56,56.14,54.95,56.04
20160609,56.01,56.50,55.20,56.07
20160610,55.40,55.40,53.88,54.03
20160613,53.51,54.46,53.40,53.69
20160614,53.57,54.55,53.40,54.43
20160615,54.72,55.26,53.76,54.94
20160616,54.21,54.86,53.50,54.81
20160617,54.75,54.83,53.55,54.50
20160620,55.52,56.75,54.93,55.98
20160621,56.32,56.58,55.58,56.33
20160622,56.26,57.04,55.56,55.64
20160623,56.15,58.30,56.00,58.28
20160624,56.20,56.99,54.09,54.94
20160627,53.99,54.05,50.25,50.69
20160628,51.81,53.38,51.26,52.75
20160629,53.10,54.88,52.88,54.65
20160630,54.79,55.26,53.84,55.26
20160701,54.40,54.75,52.94,54.50
20160705,53.75,54.00,50.63,51.82
20160706,51.49,52.68,50.45,52.57
20160707,53.46,54.94,53.45,54.37
20160708,54.84,56.25,54.70,56.02
20160711,56.94,58.68,56.43,57.73
20160712,58.21,58.65,57.58,58.00
20160713,58.44,58.50,56.65,56.67
20160714,57.54,59.48,57.06,59.31
20160715,59.50,59.60,58.68,59.42
20160718,59.79,60.98,59.54,60.66
20160719,60.31,60.62,60.10,60.40
20160720,60.72,61.17,59.81,60.80
20160721,61.23,61.42,59.76,60.10
20160722,59.40,61.00,58.47,60.56
20160725,60.77,61.13,60.34,60.62
20160726,61.13,61.75,60.08,60.38
20160727,64.20,64.80,62.18,63.01
20160728,63.00,64.38,62.52,63.10
20160729,63.00,63.44,61.79,63.23
20160801,63.50,64.48,63.10,63.47
20160802,63.34,63.34,61.10,61.45
20160803,55.50,56.51,54.05,55.12
20160804,55.47,55.50,52.46,53.41
20160805,53.79,55.27,53.33,55.05
20160808,55.09,55.44,54.06,54.30
20160809,54.38,55.20,54.38,54.49
20160810,54.86,54.88,54.06,54.14
20160811,54.49,54.87,54.13,54.48
20160812,54.57,54.87,54.25,54.59
20160815,54.54,56.45,54.54,55.77
20160816,55.41,55.62,54.86,55.28
20160817,55.01,55.64,54.33,54.56
20160818,54.72,55.67,54.57,55.20
20160819,55.06,56.52,54.91,56.23
20160822,56.05,56.45,55.57,55.98
20160823,56.28,56.63,55.94,56.03
20160824,56.12,57.92,56.08,57.31
20160825,57.13,58.39,57.02,57.94
20160826,57.84,58.53,56.70,57.62
20160829,57.64,58.13,57.53,57.87
20160830,57.50,58.03,57.29,57.69
20160831,57.46,57.75,56.75,57.43
20160901,57.46,57.85,56.34,57.75
20160902,57.95,58.33,57.15,57.60
20160906,57.85,57.85,55.45,56.02
20160907,54.96,56.26,54.96,55.93
20160908,55.71,56.10,55.32,55.43
20160909,55.00,55.31,52.43,52.48
20160912,52.00,53.80,51.19,53.76
20160913,54.01,54.57,53.33,53.92
20160914,53.86,55.42,53.58,55.11
20160915,55.37,56.86,55.24,56.53
20160916,56.67,56.67,54.98,55.76
20160919,55.75,56.64,55.56,56.33
20160920,56.47,56.54,54.62,54.75
20160921,54.93,56.09,54.73,56.07
20160922,56.37,56.97,56.19,56.52
20160923,56.48,56.65,54.84,54.87
20160926,54.44,54.69,53.55,53.99
20160927,53.84,54.73,53.30,54.60
20160928,54.89,55.60,54.18,54.62
20160929,54.30,54.83,52.82,53.68
20160930,54.11,56.21,53.86,55.74
20161003,55.40,56.14,54.10,54.15
20161004,54.32,54.94,54.06,54.25
20161005,54.56,55.70,54.30,54.50
20161006,54.72,55.44,53.85,55.34
20161007,55.57,56.87,55.24,56.64
20161010,56.69,57.23,55.75,56.02
20161011,55.92,56.10,54.95,55.52
20161012,55.48,55.61,54.63,55.21
20161013,54.79,54.99,52.71,52.91
20161014,53.03,54.28,52.91,53.00
20161017,52.93,53.38,52.60,52.65
20161018,53.18,54.06,53.17,53.59
20161019,53.32,54.38,52.99,54.35
20161020,54.37,55.16,54.20,54.88
20161021,54.54,54.91,53.80,54.70
20161024,55.30,57.49,55.00,57.29
20161025,57.18,57.43,56.15,56.33
20161026,55.82,56.80,55.42,56.65
20161027,57.08,57.29,55.26,55.59
20161028,55.80,56.20,54.10,54.18
20161031,54.55,55.95,54.46,55.65
20161101,55.66,56.65,55.16,56.01
