Date,Open,High,Low,Close
20151127,93.24,93.35,91.86,92.50
20151130,92.35,93.04,91.65,92.61
20151201,93.24,94.39,92.25,94.38
20151202,94.51,95.62,94.01,94.75
20151203,94.60,95.65,90.53,91.50
20151204,92.08,94.45,91.99,94.27
20151207,94.65,95.13,93.08,93.65
20151208,92.02,94.05,92.02,93.43
20151209,92.70,94.63,92.12,92.85
20151210,93.11,94.79,92.65,94.23
20151211,92.68,94.43,91.76,91.91
20151214,92.10,93.47,91.04,92.27
20151215,93.26,94.40,92.65,94.29
20151216,94.62,97.28,94.05,97.14
20151217,95.57,96.83,93.80,93.95
20151218,95.21,97.32,94.91,95.90
20151221,96.64,99.90,96.54,99.06
20151222,99.05,100.15,98.13,98.66
20151223,99.00,100.99,98.50,99.93
20151224,99.92,100.81,99.48,99.92
20151228,99.66,100.70,99.64,100.32
20151229,100.68,102.97,100.56,102.63
20151230,102.57,103.40,102.06,102.73
20151231,102.41,102.70,101.21,101.21
20160104,99.60,99.81,96.69,98.14
20160105,96.39,97.68,96.30,96.54
20160106,94.22,96.79,93.31,95.31
20160107,93.18,94.76,92.26,92.43
20160108,93.48,94.54,91.42,91.78
20160111,92.55,94.54,91.90,93.60
20160112,94.50,95.65,92.98,94.02
20160113,94.05,94.56,88.90,89.04
20160114,88.87,88.99,85.50,87.90
20160115,84.86,86.02,82.61,82.92
20160119,84.86,85.40,80.09,81.08
20160120,80.25,83.77,76.20,82.44
20160121,83.41,86.42,82.83,85.48
20160122,88.25,88.34,85.46,85.76
20160125,85.84,86.33,83.05,83.37
20160126,83.69,84.90,82.21,84.52
20160127,85.23,85.76,80.67,81.42
20160128,80.89,80.99,75.56,78.33
20160129,78.06,82.06,77.79,81.96
20160201,81.61,85.70,81.25,84.52
20160202,78.90,79.19,69.30,71.70
20160203,73.33,75.49,71.34,73.83
20160204,73.03,73.80,68.92,73.58
20160205,72.61,72.84,68.47,69.58
20160208,68.00,68.09,64.21,66.29
20160209,64.99,69.55,64.31,68.02
20160210,68.67,70.96,68.52,69.39
20160211,67.34,69.03,66.97,67.97
20160212,68.95,68.95,67.09,68.77
20160216,69.79,72.51,69.26,72.51
20160217,72.29,73.94,72.10,73.30
20160218,72.25,72.29,69.71,69.87
20160219,69.28,72.28,68.47,70.85
20160222,70.79,73.99,70.17,73.72
20160223,74.38,76.25,73.80,74.01
20160224,73.03,73.03,69.97,72.79
20160225,72.91,74.47,72.62,74.47
20160226,74.72,75.35,73.62,75.19
20160229,74.10,75.87,73.96,74.37
20160301,75.05,76.84,74.26,76.54
20160302,75.86,76.42,73.87,75.18
20160303,74.44,75.70,73.32,75.69
20160304,75.77,75.79,72.31,74.01
20160307,73.05,73.72,71.96,73.63
20160308,72.26,72.57,70.53,70.65
20160309,71.06,71.22,69.27,70.14
20160310,70.46,71.89,69.00,69.99
20160311,70.84,72.88,69.79,72.82
20160314,72.83,73.78,72.37,72.53
20160315,72.24,72.66,71.57,72.60
20160316,72.31,74.67,72.08,74.63
20160317,74.29,75.20,73.47,74.98
20160318,75.34,78.22,75.17,77.62
20160321,77.25,78.30,77.24,78.23
20160322,76.22,76.92,75.03,75.99
20160323,76.14,76.36,73.26,73.30
20160324,73.24,75.03,72.53,74.47
20160328,74.96,75.57,74.23,75.43
20160329,75.21,76.21,74.77,76.05
20160330,77.57,80.67,77.53,80.35
20160331,80.70,82.78,80.63,82.15
20160401,81.75,82.20,80.42,81.88
20160404,82.09,83.62,81.71,82.51
20160405,81.47,81.88,80.10,80.34
20160406,80.70,81.74,80.07,81.56
20160407,81.33,81.95,80.00,80.27
20160408,80.98,81.77,80.33,80.60
20160411,81.00,81.65,79.32,79.53
20160412,80.00,81.29,79.52,80.70
20160413,81.37,84.56,81.19,84.42
20160414,84.24,84.43,82.20,82.90
20160415,82.66,83.19,80.78,81.05
20160418,81.36,81.36,78.54,79.38
20160419,79.76,80.17,78.83,79.19
20160420,79.20,79.67,78.24,79.19
20160421,78.98,78.98,76.57,76.80
20160422,76.52,76.57,73.38,73.80
20160425,74.00,75.45,73.82,75.00
20160426,75.16,76.41,74.50,76.24
20160427,76.46,78.18,76.40,77.98
20160428,77.24,78.02,75.90,76.02
20160429,78.40,79.45,73.86,77.40
20160502,78.13,78.97,77.48,78.72
20160503,77.58,78.42,76.98,77.30
20160504,76.80,76.80,75.58,75.90
20160505,76.00,76.53,75.36,75.61
20160506,75.44,75.94,73.52,74.80
20160509,75.20,76.28,74.72,75.73
20160510,73.90,75.76,72.47,75.38
20160511,75.60,76.65,74.85,75.12
20160512,75.67,77.16,75.45,77.02
20160513,76.95,77.87,75.63,75.64
20160516,75.55,76.94,75.49,76.67
20160517,76.67,77.35,75.73,76.05
20160518,75.93,78.76,75.93,78.20
20160519,77.84,78.04,76.39,76.80
20160520,77.38,78.94,77.25,78.90
20160523,79.13,79.42,78.13,78.26
20160524,78.71,80.30,78.34,79.81
20160525,79.55,79.55,77.32,77.50
20160526,76.72,76.90,74.60,75.46
20160527,75.97,78.48,75.73,77.77
20160531,77.90,78.40,76.79,77.39
20160601,77.12,77.23,76.02,76.96
20160602,76.86,77.68,76.48,77.63
20160603,77.11,77.16,75.26,76.37
20160606,76.06,76.45,75.03,76.19
20160607,76.18,77.12,76.08,76.49
20160608,76.48,76.48,75.44,76.02
20160609,75.72,76.45,75.31,76.24
20160610,75.14,75.15,73.83,73.93
20160613,73.19,74.25,72.82,72.88
20160614,72.58,73.07,71.50,71.99
20160615,72.59,74.68,72.43,73.81
20160616,73.09,73.76,71.98,73.62
20160617,73.75,74.65,73.51,74.64
20160620,76.11,76.89,75.75,76.13
20160621,76.72,76.78,75.96,76.46
20160622,76.39,77.44,75.62,76.12
20160623,77.30,77.40,76.69,77.15
20160624,73.20,73.90,69.44,70.08
20160627,68.88,68.88,65.48,65.95
20160628,68.18,68.54,64.95,65.63
20160629,66.40,68.32,65.43,67.83
20160630,68.09,68.09,66.43,67.15
20160701,67.47,69.14,67.47,69.11
20160705,68.06,68.41,66.61,67.31
20160706,66.73,67.14,65.94,66.40
20160707,66.50,67.34,65.71,66.79
20160708,67.44,68.97,67.44,68.38
20160711,68.72,69.63,68.54,69.56
20160712,70.49,73.02,70.30,72.99
20160713,73.12,73.53,71.99,72.58
20160714,73.69,74.36,71.84,71.88
20160715,70.82,70.87,69.20,70.39
20160718,70.50,71.42,69.88,71.04
20160719,70.66,70.94,69.92,70.10
20160720,71.10,72.15,70.31,71.92
20160721,72.44,72.70,72.10,72.36
20160722,72.71,73.02,71.74,72.98
20160725,72.83,73.52,72.65,73.04
20160726,73.39,73.53,72.81,73.04
20160727,73.36,73.63,72.61,73.26
20160728,72.94,73.28,71.93,73.24
20160729,73.27,73.50,72.31,72.44
20160801,72.33,72.48,71.41,71.86
20160802,69.00,70.39,66.85,67.35
20160803,67.08,69.67,67.05,68.77
20160804,69.42,74.43,69.42,73.30
20160805,73.65,74.73,73.36,74.48
20160808,74.50,75.30,73.73,73.98
20160809,72.58,73.27,68.89,68.98
20160810,69.24,70.59,68.95,69.86
20160811,70.20,71.58,70.11,71.04
20160812,71.00,71.78,70.50,70.80
20160815,70.88,71.68,70.86,71.50
20160816,71.30,72.15,71.02,71.58
20160817,71.53,71.59,70.97,71.52
20160818,71.25,71.45,70.00,70.12
20160819,69.71,70.07,68.11,69.43
20160822,69.39,70.07,68.73,69.84
20160823,70.31,71.83,70.21,71.67
20160824,71.55,71.90,70.82,71.04
20160825,70.52,71.11,69.98,70.00
20160826,70.25,70.46,69.20,69.75
20160829,69.79,70.11,69.42,69.98
20160830,70.11,70.46,69.84,70.13
20160831,70.06,71.50,70.06,71.11
20160901,71.76,73.15,71.56,72.71
20160902,71.90,71.90,69.99,70.01
20160906,69.87,70.00,68.95,69.08
20160907,68.43,68.68,66.86,66.90
20160908,66.87,67.07,65.78,66.04
20160909,66.10,66.51,65.37,65.98
20160912,65.56,67.74,65.10,67.52
20160913,67.32,67.84,66.69,67.60
20160914,67.86,68.33,66.97,67.68
20160915,67.66,67.94,67.15,67.34
20160916,66.97,67.21,66.03,66.32
20160919,66.88,66.88,65.45,65.48
20160920,66.12,68.75,66.01,68.41
20160921,68.65,68.82,67.06,67.86
20160922,68.25,71.10,68.22,70.99
20160923,70.52,72.31,68.73,71.99
20160926,72.43,73.38,70.74,71.45
20160927,71.67,74.43,71.57,74.35
20160928,74.67,74.84,73.64,74.21
20160929,73.92,74.56,73.70,74.25
20160930,74.51,75.72,73.96,74.95
20161003,74.49,75.36,74.03,74.57
20161004,75.23,75.37,74.49,75.22
20161005,75.00,75.50,74.29,74.85
20161006,74.84,75.09,74.15,74.84
