Date,Open,High,Low,Close
20151127,184.60,185.51,183.60,185.42
20151130,184.79,184.94,183.06,184.44
20151201,184.87,187.29,184.26,186.85
20151202,186.87,186.99,183.92,184.52
20151203,184.92,185.40,182.92,183.76
20151204,183.91,187.28,183.67,186.91
20151207,186.86,189.08,185.95,188.82
20151208,188.02,189.00,186.77,187.21
20151209,186.56,188.39,185.02,185.39
20151210,185.70,186.89,183.80,184.39
20151211,182.53,184.94,182.23,182.96
20151214,182.81,184.45,182.36,184.18
20151215,185.24,186.60,183.39,183.70
20151216,185.01,185.01,180.33,181.86
20151217,181.76,182.84,181.00,181.91
20151218,181.81,182.52,180.32,181.11
20151221,181.66,182.51,180.18,182.43
20151222,182.88,184.68,181.44,184.68
20151223,185.60,185.60,183.77,184.51
20151224,184.06,185.77,183.44,185.07
20151228,184.55,185.35,183.59,185.28
20151229,185.77,187.38,185.42,187.33
20151230,187.02,189.00,185.82,186.06
20151231,185.31,186.73,183.09,183.09
20160104,181.69,182.48,179.50,181.08
20160105,181.08,181.53,179.26,180.37
20160106,178.74,180.54,178.48,178.86
20160107,176.68,179.43,176.68,176.98
20160108,177.39,177.85,174.93,175.09
20160111,175.56,176.48,173.97,175.65
20160112,177.56,177.56,173.82,175.66
20160113,176.03,177.04,172.77,172.78
20160114,172.93,175.54,172.51,174.55
20160115,171.42,174.00,171.25,173.21
20160119,174.68,175.75,170.26,171.24
20160120,171.47,172.47,167.07,169.72
20160121,170.05,170.98,167.52,169.35
20160122,171.40,172.99,170.24,172.44
20160125,172.20,173.25,169.59,170.36
20160126,170.66,173.91,169.98,173.01
20160127,172.60,174.51,171.92,172.28
20160128,172.54,174.92,172.11,174.46
20160129,174.94,179.03,174.94,178.94
20160201,178.61,181.69,178.26,180.62
20160202,178.81,179.28,176.37,176.71
20160203,177.79,178.50,175.54,177.70
20160204,180.02,183.37,180.02,182.56
20160205,182.06,183.25,178.88,180.01
20160208,178.34,188.43,177.88,187.35
20160209,184.95,189.46,184.09,187.91
20160210,188.00,188.91,184.55,184.59
20160211,182.54,183.90,182.14,182.92
20160212,184.38,186.57,183.27,185.66
20160216,187.56,187.56,184.69,184.69
20160217,185.53,186.07,184.32,185.32
20160218,185.31,186.95,184.08,185.93
20160219,185.27,187.31,184.68,186.55
20160222,187.62,188.26,185.66,186.06
20160223,185.80,187.02,185.21,186.51
20160224,185.29,187.72,184.31,187.65
20160225,187.87,189.91,186.45,189.29
20160226,189.73,190.00,185.79,186.87
20160229,186.12,187.38,185.70,186.13
20160301,186.97,191.02,186.29,190.94
20160302,190.89,191.93,190.39,191.85
20160303,192.18,192.78,190.81,191.98
20160304,192.12,193.69,190.05,193.60
20160307,191.99,193.95,191.36,193.80
20160308,192.41,193.29,191.13,192.39
20160309,192.98,194.14,192.01,193.35
20160310,193.83,194.90,191.41,193.62
20160311,195.11,196.20,194.34,196.08
20160314,195.06,196.27,194.62,195.81
20160315,194.61,195.70,192.68,193.17
20160316,192.20,195.24,191.05,195.12
20160317,195.06,196.09,194.14,194.74
20160318,194.02,194.90,191.29,191.29
20160321,191.59,195.13,191.44,193.91
20160322,193.02,195.17,192.32,193.51
20160323,193.84,195.50,193.20,193.33
20160324,192.93,193.82,190.17,191.36
20160328,191.99,194.82,191.92,194.41
20160329,193.79,197.27,193.79,195.78
20160330,196.57,197.52,195.81,196.80
20160331,196.33,197.99,194.92,197.43
20160401,196.73,199.45,195.65,199.27
20160404,199.82,199.95,196.92,197.80
20160405,196.90,198.90,195.22,195.68
20160406,195.95,196.28,193.83,195.92
20160407,194.93,196.41,193.73,195.23
20160408,196.41,196.41,194.34,194.88
20160411,194.93,196.57,194.42,194.86
20160412,194.86,197.45,194.00,197.22
20160413,198.62,199.14,196.63,199.06
20160414,198.73,199.47,196.94,197.63
20160415,197.75,199.48,197.11,197.68
20160418,197.30,199.24,197.15,197.87
20160419,198.43,199.41,196.87,197.89
20160420,198.37,198.80,196.62,197.60
20160421,197.54,199.98,190.12,191.59
20160422,192.16,194.47,191.02,193.37
20160425,193.32,194.12,190.88,193.43
20160426,189.56,192.93,185.61,185.83
20160427,185.52,187.99,184.41,184.80
20160428,183.71,185.60,181.62,184.34
20160429,183.54,185.50,182.80,184.90
20160502,185.46,186.56,184.57,186.06
20160503,184.46,185.95,184.02,184.71
20160504,183.45,184.83,182.51,182.75
20160505,183.86,184.67,182.74,183.17
20160506,182.17,183.59,180.87,181.53
20160509,182.05,183.41,180.69,180.75
20160510,181.54,183.26,180.44,183.26
20160511,182.66,184.67,182.25,182.58
20160512,182.36,184.49,181.52,184.08
20160513,183.38,184.49,182.45,183.39
20160516,183.61,185.29,182.95,184.27
20160517,184.22,184.66,181.38,182.15
20160518,182.03,183.37,180.82,181.94
20160519,180.60,182.31,179.18,179.89
20160520,180.48,182.03,179.24,180.06
20160523,180.30,180.61,177.58,178.24
20160524,179.24,180.97,178.61,179.60
20160525,180.01,180.60,178.86,179.09
20160526,178.80,179.36,177.90,179.08
20160527,178.10,179.07,176.57,178.53
20160531,178.42,179.54,177.69,179.11
20160601,177.90,179.41,177.30,178.99
20160602,179.00,179.00,177.53,177.85
20160603,177.27,178.84,176.06,177.86
20160606,178.41,178.73,177.00,177.64
20160607,177.10,178.12,176.06,176.31
20160608,176.19,180.45,176.02,180.14
20160609,180.03,181.25,178.98,180.42
20160610,179.82,181.08,178.62,179.11
20160613,179.04,179.57,175.44,175.66
20160614,175.00,175.91,173.19,173.66
20160615,174.09,174.09,171.51,171.73
20160616,170.83,173.13,170.32,172.92
20160617,172.82,175.50,171.97,175.39
20160620,176.52,177.29,174.77,175.09
20160621,175.51,176.06,174.45,175.34
20160622,175.63,176.40,175.42,175.54
20160623,177.28,177.68,175.67,177.42
20160624,172.74,174.38,171.73,172.51
20160627,171.20,171.73,169.19,169.21
20160628,170.34,174.01,170.34,174.01
20160629,175.37,175.89,173.58,173.88
20160630,174.41,182.69,174.12,182.67
20160701,181.30,183.09,180.08,181.52
20160705,180.00,181.05,178.82,179.66
20160706,179.27,180.81,178.31,180.77
20160707,180.79,181.64,179.62,180.87
20160708,181.93,181.97,180.57,181.72
20160711,181.72,181.87,180.93,181.20
20160712,181.78,182.52,181.12,182.20
20160713,182.20,182.79,181.24,181.28
20160714,182.61,182.61,180.78,180.96
20160715,181.42,181.42,179.63,179.76
20160718,179.18,179.80,177.73,177.74
20160719,177.22,179.12,176.51,179.12
20160720,179.70,181.17,179.29,179.62
20160721,179.41,180.06,178.18,178.58
20160722,179.11,181.35,179.02,181.26
20160725,180.60,181.87,180.55,181.44
20160726,184.16,186.69,183.08,184.78
20160727,184.89,186.13,184.11,186.00
20160728,185.66,189.10,185.66,189.03
20160729,188.78,189.31,187.21,189.01
20160801,188.24,189.95,187.98,189.66
20160802,189.54,190.24,189.12,189.92
20160803,189.66,190.42,189.57,190.35
20160804,190.09,190.75,189.79,190.27
20160805,190.85,190.96,189.07,190.90
20160808,190.90,191.86,189.75,190.58
20160809,190.53,191.82,190.26,190.97
20160810,191.36,191.70,190.55,191.13
20160811,191.00,191.77,189.43,189.47
20160812,189.48,190.31,189.48,189.80
20160815,190.10,190.74,189.14,190.13
20160816,189.61,190.65,189.35,189.66
20160817,189.75,189.75,187.73,188.64
20160818,188.93,189.69,188.69,189.28
20160819,188.49,189.26,187.69,188.92
20160822,188.27,189.18,187.89,189.15
20160823,189.82,189.82,188.14,188.22
20160824,188.05,189.56,187.01,189.34
20160825,188.84,190.73,188.48,190.09
20160826,190.27,191.31,189.68,190.08
20160829,190.46,191.74,190.08,191.35
20160830,191.85,193.00,191.58,192.84
20160831,192.75,193.57,190.80,193.38
20160901,192.54,193.44,190.94,192.60
20160902,192.64,192.83,191.32,192.63
20160906,192.63,193.26,191.32,192.77
20160907,192.19,195.09,191.62,195.08
20160908,195.00,195.15,193.18,193.24
20160909,192.06,192.63,189.28,189.31
20160912,188.71,191.59,187.75,190.91
20160913,189.46,190.66,188.53,190.10
20160914,190.44,190.73,188.85,188.90
20160915,189.21,190.79,188.61,190.49
20160916,189.12,190.04,188.09,188.21
20160919,188.58,190.98,188.58,190.43
20160920,190.54,192.10,190.54,191.29
20160921,191.84,193.83,191.64,193.69
20160922,193.76,195.66,193.76,195.15
20160923,194.10,194.58,192.27,192.27
20160926,191.33,192.63,190.80,191.48
20160927,191.05,192.11,190.36,191.60
20160928,192.48,193.33,190.82,193.13
20160929,192.71,193.08,190.32,190.40
20160930,190.40,190.79,189.58,189.97
20161003,190.01,190.29,187.82,188.15
20161004,189.08,191.06,185.87,190.12
20161005,191.73,191.77,185.42,185.63
20161006,185.77,185.94,183.04,184.24
20161007,185.12,190.67,184.76,189.81
20161010,190.54,192.12,189.43,191.41
20161011,190.78,192.60,189.78,190.20
20161012,191.14,192.38,190.45,191.82
20161013,191.41,193.97,190.62,193.38
20161014,193.92,194.99,193.10,194.46
20161017,194.17,196.00,193.80,195.56
20161018,196.43,196.69,195.31,195.34
20161019,195.85,195.85,194.01,195.62
20161020,195.23,195.23,192.40,192.60
20161021,191.78,193.06,191.11,192.92
20161024,194.92,194.92,192.75,194.14
20161025,197.20,201.92,196.19,201.73
20161026,201.17,204.73,200.80,203.59
20161027,204.09,204.65,200.67,201.28
20161028,200.89,203.63,200.17,201.08
20161031,202.12,203.99,201.05,203.52
20161101,203.99,205.08,202.28,203.84
20161102,203.85,204.88,202.48,204.67
20161103,205.49,208.13,204.82,205.76
20161104,205.70,207.18,205.02,205.45
20161107,206.28,207.55,206.13,207.10
20161108,206.43,208.78,205.83,207.93
20161109,207.87,208.52,206.10,207.88
20161110,208.99,209.95,207.61,209.51
20161111,209.61,211.56,208.65,211.53
20161114,213.00,214.79,211.58,212.07
20161115,214.19,214.62,210.99,212.07
20161116,212.09,213.53,210.71,213.07
20161117,213.08,214.86,212.14,212.86
20161118,212.93,213.47,211.43,211.48
20161121,211.72,214.68,210.06,210.88
20161122,211.30,211.96,208.20,208.50
20161123,208.59,211.02,208.59,209.67
20161125,209.51,210.39,208.58,209.15
20161128,207.80,210.09,206.60,208.66
20161129,208.79,212.27,208.33,211.91
20161130,211.98,212.30,209.93,210.55
20161201,211.09,212.66,210.51,210.61
20161202,211.63,211.89,209.48,209.95
20161205,210.67,210.85,207.93,209.57
20161206,209.12,211.14,208.06,210.83
20161207,209.76,211.71,209.50,211.68
20161208,212.71,213.39,210.58,213.30
20161209,213.06,214.88,212.13,214.37
20161212,213.72,217.46,213.66,217.35
20161213,218.24,218.61,216.48,216.82
20161214,217.08,219.51,215.56,216.65
20161215,216.27,217.55,213.31,213.45
20161216,214.01,216.02,212.72,214.30
20161219,214.74,218.50,213.46,218.38
20161220,219.37,219.37,216.23,217.06
20161221,216.24,217.19,215.85,216.48
20161222,217.17,217.36,215.57,217.23
20161223,217.73,218.65,216.40,217.46
20161227,217.69,218.40,216.63,217.41
20161228,218.31,218.31,215.25,215.58
20161229,215.67,217.02,215.61,216.12
20161230,217.16,217.17,215.66,216.40
20170103,217.81,218.88,214.74,216.04
20170104,216.95,218.86,215.89,217.80
20170105,217.82,219.34,217.16,217.78
20170106,217.79,219.33,215.84,218.82
20170109,218.98,218.99,216.67,216.97
20170110,217.72,219.58,217.01,219.42
20170111,219.57,220.48,218.10,220.09
20170112,219.12,220.22,217.97,219.78
20170113,220.50,222.07,219.05,219.25
20170117,217.66,220.87,217.21,217.87
20170118,218.72,222.07,217.82,221.18
20170119,221.67,223.10,218.26,219.39
20170120,219.99,220.18,218.09,218.62
20170123,218.42,219.44,217.51,219.15
20170124,219.36,219.89,217.56,218.38
20170125,219.67,220.52,218.38,219.90
20170126,220.71,221.86,218.78,221.86
20170127,221.46,222.15,220.02,221.12
20170130,219.79,221.41,218.25,220.44
20170131,221.08,221.83,219.18,219.93
20170201,220.33,222.81,219.06,219.50
20170202,220.10,223.47,219.81,222.19
20170203,223.48,225.80,220.68,221.61
20170206,222.46,222.90,219.67,222.10
20170207,222.87,229.97,222.87,227.85
20170208,227.79,229.95,227.63,229.46
20170209,227.78,229.79,227.65,229.79
20170210,230.05,231.01,229.28,230.71
20170213,230.26,233.46,229.97,233.08
20170214,231.60,234.44,231.60,233.57
20170215,233.42,234.43,231.68,234.11
20170216,233.95,236.40,233.86,235.51
20170217,235.49,235.49,233.66,235.12
20170221,235.58,236.20,233.52,233.94
20170222,233.13,235.38,232.68,234.91
20170223,235.82,236.46,234.61,235.38
20170224,234.43,237.20,233.92,235.03
20170227,234.94,234.94,232.99,233.03
20170228,233.29,235.31,232.98,235.14
20170301,237.36,240.51,236.00,239.15
20170302,238.38,239.22,236.91,237.18
20170303,237.12,238.36,235.07,235.62
20170306,235.01,235.01,232.59,232.66
20170307,231.99,232.19,230.90,231.43
20170308,231.75,234.00,231.75,233.05
20170309,232.93,233.79,231.72,232.74
20170310,232.77,235.35,232.74,234.99
20170313,235.11,235.62,234.19,235.00
20170314,234.13,234.91,233.70,234.71
20170315,234.97,236.39,233.99,236.28
20170316,236.39,236.40,234.34,235.67
20170317,235.66,236.47,234.04,235.99
20170320,236.05,236.39,234.60,235.17
20170321,236.15,236.15,233.05,233.47
20170322,233.48,234.96,232.55,234.43
20170323,234.40,235.17,233.56,234.04
20170324,234.05,236.21,232.75,233.40
20170327,231.55,232.87,230.94,231.77
20170328,231.33,234.69,231.27,233.81
20170329,233.29,234.42,232.56,233.43
20170330,233.15,235.38,232.28,234.89
20170331,234.36,235.67,233.74,233.81
20170403,234.64,235.94,232.95,233.80
20170404,233.72,236.50,233.72,236.11
20170405,235.88,236.34,233.27,233.80
20170406,233.56,234.26,231.42,233.64
20170407,232.91,234.61,232.61,232.62
20170410,232.50,234.48,232.04,233.66
20170411,233.40,235.40,232.26,234.35
20170412,235.01,235.01,232.81,233.35
20170413,234.11,234.70,230.52,230.63
20170417,230.40,235.00,230.40,234.56
20170418,233.15,234.59,233.10,233.91
20170419,234.30,234.48,232.54,233.21
20170420,232.95,235.48,232.25,234.95
20170421,234.92,235.40,233.72,233.73
20170424,236.21,240.00,235.63,239.38
20170425,245.20,252.96,241.77,251.92
20170426,253.38,258.30,253.03,256.91
20170427,255.79,256.81,253.51,253.91
20170428,252.73,254.20,250.73,251.71
20170501,252.91,254.98,249.08,250.33
20170502,249.30,251.39,247.70,247.99
20170503,248.61,249.24,246.61,248.68
20170504,249.59,249.97,246.84,248.38
20170505,247.96,248.94,246.36,246.42
20170508,246.16,247.85,244.89,246.19
20170509,247.07,247.66,242.40,243.06
20170510,242.54,244.68,242.20,244.00
20170511,242.31,245.50,242.10,244.42
20170512,243.68,245.35,243.43,243.95
20170515,245.12,246.15,244.11,244.70
20170516,244.88,245.98,242.40,244.54
