Date,Open,High,Low,Close
20151127,67.42,68.26,67.42,68.11
20151130,68.36,68.56,67.09,67.38
20151201,67.72,68.18,67.72,68.12
20151202,67.87,67.97,66.27,66.42
20151203,66.32,66.65,64.88,64.96
20151204,65.35,66.26,65.22,65.68
20151207,65.61,66.05,65.31,65.66
20151208,65.54,65.84,65.24,65.51
20151209,65.17,66.05,64.81,65.58
20151210,65.70,66.07,65.01,65.01
20151211,64.46,65.35,64.33,65.23
20151214,65.07,65.74,64.82,65.68
20151215,65.98,66.96,65.98,66.52
20151216,66.82,68.10,66.67,67.91
20151217,68.16,68.16,67.50,67.73
20151218,67.38,67.59,66.81,67.05
20151221,67.69,67.81,66.99,67.40
20151222,67.63,68.15,67.50,67.64
20151223,67.94,68.06,67.49,67.92
20151224,67.85,68.34,67.49,68.19
20151228,67.98,68.55,67.71,68.53
20151229,68.84,69.45,68.46,69.06
20151230,69.01,69.22,68.81,68.89
20151231,68.77,69.01,68.10,68.12
20160104,68.47,68.91,66.91,67.54
20160105,67.54,69.18,67.54,68.86
20160106,68.49,69.31,68.49,69.26
20160107,68.38,68.87,68.28,68.62
20160108,68.81,69.25,67.92,68.03
20160111,67.94,68.86,67.89,68.43
20160112,69.10,69.35,67.74,68.09
20160113,68.06,68.94,67.26,67.43
20160114,67.67,68.20,66.96,67.22
20160115,66.23,67.91,66.05,67.70
20160119,68.35,69.76,68.12,69.39
20160120,68.73,69.84,67.52,68.65
20160121,69.05,69.63,67.81,68.41
20160122,69.07,70.50,68.69,69.93
20160125,69.90,70.69,69.18,69.56
20160126,69.79,71.39,69.79,71.38
20160127,71.01,71.26,69.90,70.30
20160128,70.57,71.12,70.01,70.56
20160129,71.11,72.43,70.76,72.39
20160201,71.89,73.75,71.45,73.22
20160202,73.18,73.18,72.01,72.38
20160203,72.84,73.60,72.56,73.05
20160204,72.70,73.17,72.23,72.25
20160205,72.00,72.46,71.24,71.27
20160208,71.04,71.04,68.61,70.49
