Date,Open,High,Low,Close
20151127,564.08,566.52,559.25,563.10
20151130,563.99,565.68,540.26,544.50
20151201,549.25,550.32,536.30,545.74
20151202,545.01,555.88,541.20,546.88
20151203,547.59,549.99,534.13,535.73
20151204,538.09,559.30,538.01,558.66
20151207,559.66,560.15,544.56,546.61
20151208,542.87,558.00,540.00,556.33
20151209,553.76,562.86,543.00,547.39
20151210,547.24,551.69,542.55,548.17
20151211,538.90,547.50,532.50,534.51
20151214,537.14,540.43,527.05,539.94
20151215,543.42,557.15,540.00,556.45
20151216,559.09,563.79,547.55,559.67
20151217,560.00,563.03,551.20,551.49
20151218,548.34,552.03,542.15,544.23
20151221,545.95,547.09,528.28,532.55
20151222,535.59,539.61,526.26,528.34
20151223,531.06,537.48,528.41,535.85
20151224,535.56,539.85,534.11,537.63
20151228,536.45,540.72,531.58,540.28
20151229,542.28,553.75,541.76,550.21
20151230,550.54,551.88,544.69,548.19
20151231,542.62,550.66,542.62,542.87
20160104,531.76,532.91,507.10,516.55
20160105,519.38,521.78,504.06,508.98
20160106,499.00,524.67,496.00,519.48
20160107,510.50,515.35,501.91,501.96
20160108,505.02,511.31,490.99,491.68
20160111,495.05,498.70,469.80,480.82
20160112,486.00,486.99,452.67,474.98
20160113,474.85,474.85,451.39,459.57
20160114,461.85,486.52,453.16,479.08
20160115,464.59,476.24,456.00,462.95
20160119,470.20,474.44,441.88,447.02
20160120,438.53,468.82,432.05,461.95
20160121,462.16,469.98,452.01,461.57
20160122,469.43,484.57,464.23,482.99
20160125,468.53,482.27,465.11,473.12
20160126,474.40,474.40,456.25,463.56
20160127,460.63,463.24,431.51,434.16
20160128,436.00,436.70,400.00,415.11
20160129,415.22,428.91,405.06,420.09
20160201,417.19,420.77,408.42,418.27
20160202,412.68,415.63,402.23,409.89
20160203,413.05,422.49,392.35,421.01
20160204,417.17,437.53,408.12,412.59
20160205,416.10,420.53,393.07,396.61
20160208,380.70,393.64,376.61,390.53
20160209,357.00,388.00,350.26,365.97
20160210,370.02,378.19,363.00,367.48
20160211,358.30,375.98,357.01,367.24
20160212,371.36,379.04,365.13,379.01
20160216,386.40,393.95,382.22,391.76
20160217,393.73,398.75,385.00,397.26
20160218,395.65,405.00,386.01,387.30
20160219,386.45,396.24,380.02,394.98
20160222,399.05,405.71,394.39,395.79
20160223,392.00,399.69,386.08,386.83
20160224,383.69,394.75,377.30,393.63
20160225,396.36,402.81,390.49,393.99
20160226,396.92,398.60,387.64,394.23
20160229,396.24,397.12,383.06,384.02
20160301,387.86,410.21,384.02,410.21
20160302,410.00,419.00,405.26,407.81
20160303,406.23,409.44,395.21,401.94
20160304,404.55,413.85,395.95,403.82
20160307,401.79,411.24,399.61,408.28
20160308,405.40,408.29,392.66,394.81
20160309,388.53,389.61,373.80,374.75
20160310,376.88,380.59,373.63,377.56
20160311,382.67,383.58,375.53,377.12
20160314,378.55,379.10,370.65,373.27
20160315,369.96,372.28,359.17,367.22
20160316,367.00,381.00,360.00,368.46
20160317,366.31,369.50,348.96,365.47
20160318,367.64,370.41,356.75,364.51
20160321,363.86,375.92,360.53,371.04
20160322,367.91,380.82,367.25,378.31
20160323,378.85,384.31,365.14,365.38
20160324,363.46,375.38,360.38,370.80
20160328,372.98,374.92,363.32,363.85
20160329,363.89,369.64,357.34,367.37
20160330,369.72,373.99,359.15,359.68
20160331,361.02,364.84,358.63,360.44
20160401,373.99,411.98,360.81,405.25
20160404,403.69,411.33,399.06,405.30
20160405,401.85,411.85,399.29,403.65
20160406,404.21,428.05,404.21,427.20
20160407,425.00,433.93,417.02,418.48
20160408,420.90,424.00,401.70,404.94
20160411,407.37,407.37,392.92,396.14
20160412,396.33,410.49,394.20,408.07
20160413,411.24,415.00,406.00,410.52
20160414,412.16,414.59,401.81,406.83
20160415,408.86,409.77,400.89,406.73
20160418,407.38,423.95,405.59,422.38
20160419,421.38,422.37,411.40,413.78
