Date,Open,High,Low,Close
20151127,51.04,51.19,50.75,51.12
20151130,51.29,51.47,51.01,51.18
20151201,51.49,52.16,51.18,52.03
20151202,52.03,52.22,51.27,51.33
20151203,51.43,51.53,49.60,49.72
20151204,50.00,50.73,49.66,50.31
20151207,50.19,50.32,49.80,50.11
20151208,49.64,50.19,49.52,49.76
20151209,48.39,48.89,47.31,47.76
20151210,47.68,48.35,47.49,47.53
20151211,47.04,47.23,46.50,46.55
20151214,46.55,46.90,45.67,45.99
20151215,46.36,46.77,46.11,46.53
20151216,46.87,47.20,46.14,46.71
20151217,46.79,46.81,45.65,45.81
20151218,45.47,45.62,44.95,44.95
20151221,45.00,45.67,44.96,45.51
20151222,45.58,46.12,45.36,46.06
20151223,46.41,46.93,46.16,46.89
20151224,46.82,47.52,46.65,47.15
20151228,47.03,47.47,46.86,47.38
20151229,47.65,48.11,47.50,47.88
20151230,47.91,48.07,47.52,47.52
20151231,47.41,47.84,47.12,47.14
20160104,46.40,46.41,45.68,46.14
20160105,46.14,46.40,45.93,46.29
20160106,45.70,45.95,44.82,45.06
20160107,44.35,45.28,43.77,44.90
20160108,45.15,45.29,43.70,43.79
20160111,44.03,44.06,42.96,43.80
20160112,44.15,44.33,43.31,44.02
20160113,44.08,44.35,42.34,42.42
20160114,42.66,43.35,41.91,43.02
20160115,41.99,42.51,41.55,42.46
20160119,42.98,43.14,42.19,42.65
20160120,41.72,42.72,40.80,42.20
20160121,42.35,42.46,41.61,41.79
20160122,42.57,43.51,42.30,43.46
20160125,43.38,43.38,42.65,42.85
20160126,42.92,43.80,42.86,43.77
20160127,43.75,44.06,42.89,43.28
20160128,43.63,43.63,42.75,43.21
20160129,43.35,44.41,43.05,43.77
20160201,43.43,43.75,43.11,43.38
20160202,42.69,43.06,41.76,42.01
20160203,42.01,42.02,38.55,39.24
20160204,39.18,40.35,38.93,39.26
20160205,39.26,40.00,39.07,39.68
20160208,39.14,39.33,38.22,38.98
20160209,38.61,39.51,38.15,38.22
20160210,38.23,38.61,37.69,37.70
20160211,36.86,37.23,36.17,36.65
20160212,37.13,37.38,36.70,37.34
20160216,37.86,38.07,37.39,38.07
20160217,38.16,38.34,37.81,37.96
20160218,38.13,38.91,38.03,38.38
20160219,38.35,38.61,38.03,38.37
20160222,38.76,39.33,38.76,39.18
20160223,38.93,39.31,38.59,38.96
20160224,38.62,39.30,38.37,39.28
20160225,39.38,39.55,39.03,39.39
20160226,39.62,39.75,39.36,39.58
20160229,39.51,39.79,39.11,39.39
20160301,39.64,41.08,39.52,41.00
20160302,40.78,40.98,40.37,40.62
20160303,40.66,41.73,40.40,41.70
20160304,41.70,42.10,41.49,41.89
20160307,41.63,41.98,41.47,41.75
20160308,41.57,41.69,40.88,41.06
20160309,41.16,41.90,41.08,41.52
20160310,41.87,41.90,41.01,41.44
20160311,41.86,42.78,41.51,42.62
20160314,42.39,42.55,42.00,42.27
20160315,41.92,42.24,41.60,42.17
20160316,41.92,42.77,41.91,42.68
20160317,42.64,43.28,42.36,43.18
20160318,43.35,44.03,43.17,43.32
20160321,43.25,43.98,43.13,43.68
20160322,43.23,44.03,42.98,43.95
20160323,44.01,44.04,43.33,43.63
20160324,43.49,44.23,43.00,44.23
20160328,44.29,44.69,43.78,44.39
20160329,44.27,45.44,44.11,45.41
20160330,45.57,46.19,45.51,45.85
20160331,45.80,46.75,45.80,46.58
20160401,46.29,47.23,46.15,47.20
20160404,47.20,47.26,45.97,46.00
20160405,45.70,45.78,45.01,45.12
20160406,45.03,45.50,44.64,45.41
20160407,45.15,45.27,44.01,44.13
20160408,44.46,44.87,44.13,44.48
20160411,44.60,44.98,44.18,44.19
20160412,44.30,44.40,43.88,44.27
20160413,44.64,45.23,44.47,45.23
20160414,45.50,45.82,45.20,45.74
20160415,45.83,45.83,45.07,45.34
20160418,45.29,45.62,45.04,45.53
20160419,45.64,45.71,44.95,45.12
20160420,45.52,46.09,45.15,45.87
20160421,45.08,45.26,43.12,43.29
20160422,43.40,44.17,43.33,43.98
20160425,43.87,44.15,43.48,43.71
20160426,43.80,44.63,43.65,44.60
20160427,40.21,40.50,38.33,39.13
20160428,39.03,39.71,38.71,38.84
20160429,38.78,38.78,37.96,38.31
20160502,38.55,38.72,38.10,38.34
20160503,38.10,39.41,38.00,39.00
20160504,38.80,39.28,38.59,38.71
20160505,38.79,39.00,38.57,38.67
20160506,38.35,38.89,38.31,38.75
20160509,38.82,39.17,38.76,38.99
20160510,39.12,39.36,38.93,39.36
20160511,39.38,39.43,38.94,39.04
20160512,39.29,39.34,38.30,38.60
20160513,38.60,39.13,38.44,38.89
20160516,38.90,39.65,38.87,39.56
20160517,39.42,40.05,39.26,39.38
20160518,39.37,39.82,39.03,39.40
20160519,39.09,39.39,38.73,39.22
20160520,39.39,40.12,39.39,39.69
20160523,39.56,39.81,38.99,39.02
20160524,39.72,41.06,39.64,40.80
20160525,40.75,40.82,40.38,40.71
20160526,40.65,40.78,40.39,40.57
20160527,40.64,41.16,40.64,40.94
20160531,41.00,41.64,40.88,41.59
20160601,41.36,41.79,41.15,41.69
20160602,41.59,41.91,41.31,41.91
20160603,41.70,41.70,40.36,40.45
20160606,40.62,41.06,40.33,40.89
20160607,40.88,41.30,40.75,41.29
20160608,41.30,41.51,41.04,41.22
20160609,41.12,41.18,40.87,40.99
20160610,40.53,40.61,39.91,39.98
20160613,39.77,39.97,39.19,39.20
20160614,39.01,39.03,38.47,38.71
20160615,38.87,39.13,38.43,38.52
20160616,37.97,38.49,37.69,38.37
20160617,38.46,38.90,38.31,38.58
20160620,39.30,39.82,39.25,39.44
20160621,39.58,39.63,39.06,39.20
20160622,39.14,39.48,39.00,39.05
20160623,39.92,39.92,39.24,39.69
20160624,37.76,38.43,36.59,36.92
20160627,35.72,36.21,34.34,34.57
20160628,35.12,35.72,34.93,35.42
20160629,35.92,36.69,35.60,36.62
20160630,36.73,38.17,36.60,38.16
20160701,37.90,38.40,37.66,38.08
20160705,37.65,37.76,36.70,36.93
20160706,36.90,37.49,36.71,37.34
20160707,37.50,38.17,37.47,37.78
20160708,38.22,39.21,38.19,38.66
20160711,38.87,39.30,38.85,39.17
20160712,39.69,40.00,39.63,39.94
20160713,39.09,39.36,38.37,38.94
20160714,39.37,39.78,39.27,39.47
20160715,39.67,39.90,39.34,39.36
20160718,39.46,39.82,39.32,39.76
20160719,39.76,39.81,39.37,39.55
20160720,39.69,40.54,39.54,40.29
20160721,40.36,40.96,40.10,40.86
20160722,40.98,41.20,40.63,40.98
20160725,40.90,41.44,40.74,40.95
20160726,41.17,41.50,41.05,41.45
20160727,35.94,37.14,35.67,36.86
20160728,36.88,37.50,36.71,37.18
20160729,37.08,37.08,36.52,36.54
20160801,36.53,36.67,36.02,36.52
20160802,37.10,37.10,36.10,36.49
20160803,36.37,36.94,36.34,36.81
20160804,36.74,36.83,36.50,36.79
20160805,37.04,37.60,36.96,37.33
20160808,37.50,37.94,37.25,37.29
20160809,37.29,37.89,37.20,37.42
20160810,37.42,37.56,36.81,36.97
20160811,37.08,37.65,37.08,37.50
20160812,37.39,37.39,36.93,37.21
20160815,37.38,37.72,37.37,37.41
20160816,37.26,37.76,37.18,37.49
20160817,37.54,37.66,37.36,37.62
20160818,37.75,38.30,37.73,38.26
20160819,38.14,38.79,38.13,38.74
20160822,38.75,38.93,38.29,38.51
20160823,38.57,38.95,38.20,38.29
20160824,38.41,38.77,38.22,38.34
20160825,38.30,38.71,38.30,38.40
20160826,38.45,38.94,38.15,38.34
20160829,38.50,38.71,38.28,38.35
20160830,38.37,38.64,38.34,38.64
20160831,38.64,38.69,37.97,38.33
20160901,38.33,38.50,37.74,38.22
20160902,38.42,38.68,38.29,38.50
20160906,38.50,38.50,38.01,38.31
20160907,38.31,38.71,38.12,38.41
20160908,38.23,38.43,38.07,38.07
20160909,37.84,38.01,37.30,37.30
20160912,37.04,38.01,36.96,37.95
20160913,37.55,37.83,37.31,37.46
20160914,37.43,37.58,36.87,37.00
20160915,36.91,37.52,36.78,37.26
20160916,37.05,37.21,36.80,37.16
20160919,37.39,37.39,36.77,36.85
20160920,37.03,37.21,36.82,36.94
20160921,37.16,37.58,36.98,37.53
20160922,37.82,37.99,37.63,37.95
20160923,37.82,38.06,37.62,37.69
20160926,37.52,37.72,37.29,37.57
20160927,37.45,38.13,37.45,38.12
20160928,38.19,38.68,38.19,38.64
20160929,37.93,38.16,36.83,37.02
20160930,36.98,38.05,36.92,37.86
20161003,36.61,37.98,36.61,37.63
20161004,37.80,38.55,37.66,37.93
20161005,38.10,38.23,37.85,37.86
20161006,37.79,37.90,37.67,37.72
20161007,37.68,37.92,37.44,37.66
20161010,37.99,38.88,37.96,38.78
20161011,38.61,38.95,37.81,37.92
20161012,38.04,38.46,37.91,38.25
20161013,37.85,38.03,37.47,37.72
20161014,38.25,38.68,38.04,38.24
20161017,38.13,38.27,37.86,38.00
20161018,38.40,38.42,38.00,38.06
20161019,38.03,38.36,37.93,38.25
20161020,37.92,38.71,37.92,38.19
20161021,38.00,38.97,37.92,38.88
20161024,39.10,39.39,38.56,38.66
20161025,38.51,38.83,38.12,38.66
20161026,38.50,39.55,38.35,39.48
20161027,36.75,37.18,34.42,36.77
20161028,36.70,37.13,36.58,36.70
20161031,36.95,37.45,36.90,37.42
20161101,37.64,37.71,36.74,37.09
20161102,37.04,37.50,37.01,37.36
20161103,37.47,37.54,37.10,37.53
20161104,37.55,37.97,37.37,37.43
20161107,38.23,38.70,37.95,38.64
20161108,38.61,39.21,38.32,39.04
20161109,38.77,40.56,38.42,40.34
20161110,40.96,42.15,40.96,41.89
20161111,41.62,43.39,41.62,43.35
20161114,43.61,44.27,43.52,43.79
20161115,43.66,43.86,43.04,43.64
20161116,43.35,43.66,43.20,43.47
20161117,43.43,45.26,43.43,44.95
20161118,44.71,45.12,44.48,44.76
20161121,44.76,45.03,44.06,44.54
20161122,44.60,44.85,44.10,44.66
20161123,44.94,44.94,44.34,44.80
20161125,45.03,45.30,44.81,45.26
20161128,45.05,45.12,44.23,44.47
20161129,44.63,45.05,44.38,44.67
20161130,44.95,45.05,44.42,44.87
20161201,45.13,45.59,44.68,45.54
20161202,45.65,46.28,45.40,45.56
20161205,45.88,46.41,45.59,46.41
20161206,46.54,47.42,45.95,47.42
20161207,47.21,48.07,46.91,47.99
20161208,48.20,48.93,47.96,48.86
20161209,48.80,48.83,48.07,48.47
20161212,48.53,48.79,48.34,48.55
20161213,48.79,48.80,47.79,48.54
20161214,48.26,49.25,48.03,48.16
20161215,48.23,49.39,48.02,48.68
20161216,48.79,49.09,48.38,48.51
20161219,48.38,49.07,48.15,48.98
20161220,49.43,49.63,49.02,49.24
20161221,49.24,49.24,48.79,48.90
20161222,49.02,49.13,48.40,48.89
20161223,48.84,49.06,48.79,48.95
20161227,49.02,49.27,48.79,49.10
20161228,49.28,49.59,48.78,48.83
20161229,48.98,49.24,48.66,48.85
20161230,49.11,49.11,48.54,48.78
