Date,Open,High,Low,Close
20151127,58.28,58.52,58.00,58.42
20151130,58.50,58.78,58.09,58.73
20151201,58.83,59.34,57.81,58.96
20151202,59.09,59.19,58.45,58.64
20151203,59.13,59.21,57.75,58.08
20151204,58.42,59.69,58.17,59.32
20151207,59.14,59.81,58.89,59.15
20151208,58.59,59.40,58.30,59.01
20151209,58.85,59.36,57.26,57.49
20151210,57.69,58.48,57.46,57.95
20151211,57.20,57.33,56.35,56.61
20151214,56.82,57.63,55.67,56.32
20151215,57.22,58.08,56.94,58.04
20151216,58.63,59.14,57.60,58.92
20151217,59.20,59.35,58.72,58.96
20151218,58.97,59.23,57.66,58.10
20151221,58.51,59.10,58.40,59.10
20151222,59.25,59.49,58.59,59.25
20151223,58.62,58.64,57.42,58.50
20151224,58.49,58.77,58.04,58.20
20151228,57.94,58.52,57.70,58.44
20151229,58.75,59.19,58.48,59.14
20151230,58.73,59.11,57.67,58.44
20151231,58.09,58.75,57.75,57.97
20160104,56.56,56.68,55.62,56.34
20160105,56.34,56.63,55.71,56.46
20160106,55.39,55.57,54.05,54.26
20160107,53.03,53.38,51.86,52.02
20160108,52.64,52.66,50.78,50.83
20160111,51.17,51.55,50.52,51.27
20160112,51.25,51.86,50.21,50.70
20160113,50.91,50.97,47.98,48.52
20160114,48.84,49.86,47.81,49.39
20160115,47.69,48.46,46.95,48.24
20160119,49.13,49.34,48.01,48.39
20160120,47.47,47.98,45.90,47.27
20160121,44.52,46.41,44.11,44.69
20160122,45.34,46.12,45.14,45.46
20160125,45.00,45.19,42.65,42.80
20160126,42.88,43.31,42.72,43.17
20160127,43.00,44.80,42.77,43.45
20160128,43.85,44.01,42.57,42.72
20160129,43.04,43.86,42.52,43.81
20160201,43.44,44.53,43.12,44.25
20160202,43.05,43.41,41.52,41.90
20160203,42.08,42.18,40.26,41.70
20160204,41.42,43.56,41.42,43.27
20160205,43.23,44.26,43.01,43.40
20160208,42.81,42.94,41.16,41.94
20160209,41.45,42.69,41.01,42.40
20160210,42.92,43.82,41.73,41.85
20160211,40.58,40.83,39.84,40.43
20160212,41.34,41.68,40.33,41.00
20160216,41.80,42.56,41.38,42.22
20160217,42.43,43.55,42.28,43.31
20160218,43.50,43.64,42.53,43.22
20160219,42.90,44.14,42.67,43.87
20160222,44.25,44.75,43.88,44.24
20160223,44.14,44.16,43.30,43.44
20160224,42.82,43.12,41.48,42.92
20160225,42.97,44.15,42.91,44.10
20160226,44.64,45.42,44.51,44.96
20160229,44.85,45.01,43.80,43.84
20160301,44.27,45.78,44.08,45.77
20160302,45.63,46.14,45.46,46.12
20160303,45.96,46.62,45.71,46.32
20160304,46.60,46.97,45.97,46.26
