Date,Open,High,Low,Close
20151127,125.68,126.29,122.86,123.99
20151130,123.16,125.01,122.17,124.21
20151201,124.47,125.61,123.98,124.83
20151202,125.18,127.01,124.51,125.72
20151203,124.71,124.82,120.94,122.17
20151204,121.95,123.87,119.68,120.84
20151207,119.15,119.90,116.08,119.59
20151208,117.53,119.00,114.38,118.67
20151209,117.51,119.60,116.84,118.19
20151210,117.94,119.22,115.57,115.85
20151211,114.41,114.79,112.64,112.98
20151214,112.90,113.95,111.52,113.04
20151215,114.04,114.93,112.75,114.54
20151216,114.93,117.22,114.27,115.86
20151217,116.00,116.58,111.97,112.75
20151218,112.13,113.53,109.73,111.66
20151221,112.05,112.29,109.47,110.61
20151222,111.07,113.43,109.24,111.81
20151223,112.93,114.84,111.81,114.51
20151224,114.04,114.79,112.01,113.38
20151228,113.01,113.85,110.64,112.39
20151229,113.34,114.64,112.67,113.98
20151230,113.96,114.93,112.11,112.66
20151231,112.42,113.67,111.43,111.48
20160104,109.99,111.72,108.01,111.56
20160105,112.11,112.11,108.33,110.88
20160106,109.93,110.15,106.17,108.10
20160107,106.12,109.55,104.45,104.56
20160108,105.00,106.78,103.35,103.59
20160111,103.21,104.67,100.37,102.04
20160112,103.60,105.87,101.84,103.96
20160113,104.96,105.99,100.57,100.78
20160114,100.62,102.06,98.15,101.04
20160115,98.52,101.85,98.25,100.68
20160119,101.44,104.00,99.34,101.38
20160120,99.92,105.06,99.66,103.40
20160121,103.51,108.06,102.08,105.94
20160122,107.84,109.70,105.98,106.97
20160125,106.94,107.85,105.05,106.53
20160126,107.37,110.24,106.73,109.12
20160127,108.06,110.96,107.26,108.46
20160128,110.61,112.82,108.16,109.63
20160129,110.62,113.03,109.06,112.50
20160201,111.20,113.50,110.31,112.33
20160202,114.61,115.54,110.55,111.76
20160203,112.66,115.85,110.50,115.56
20160204,103.27,103.50,88.24,89.95
20160205,88.53,90.63,87.01,87.25
20160208,85.10,87.31,84.00,85.23
20160209,84.75,85.91,82.79,83.70
20160210,84.33,86.06,83.00,84.50
20160211,83.63,85.70,82.15,83.18
20160212,83.80,87.77,83.80,86.94
20160216,87.71,89.07,86.23,88.33
20160217,89.56,90.65,88.47,89.24
20160218,89.36,89.83,88.33,88.83
20160219,87.70,88.58,86.55,88.28
20160222,89.49,91.43,88.28,91.00
20160223,90.89,92.14,89.48,89.80
20160224,88.61,90.33,88.17,89.96
20160225,90.20,92.25,88.60,91.92
20160226,91.97,92.03,89.36,90.85
20160229,90.85,92.54,90.69,90.76
20160301,92.02,94.12,91.12,93.69
20160302,93.52,94.62,92.77,94.57
20160303,94.32,96.00,94.10,95.77
