Date,Open,High,Low,Close
20151127,44.02,44.25,43.80,44.12
20151130,44.30,44.35,43.92,43.93
20151201,44.18,44.49,43.92,44.31
20151202,44.25,44.44,44.09,44.16
20151203,44.20,44.38,43.31,43.57
20151204,43.70,44.44,43.48,44.31
20151207,44.18,44.31,43.67,43.94
20151208,43.74,44.46,43.62,44.28
20151209,44.06,44.52,43.70,43.96
20151210,44.03,44.49,43.77,44.14
20151211,43.78,43.86,43.01,43.22
20151214,43.21,43.38,42.73,43.07
20151215,43.30,43.91,43.17,43.62
20151216,43.91,44.38,43.57,44.30
20151217,44.44,44.51,43.84,43.84
20151218,43.78,43.90,43.46,43.58
20151221,43.76,44.16,43.58,43.85
20151222,43.88,44.46,43.55,44.28
20151223,44.41,44.66,44.36,44.49
20151224,44.49,44.57,44.01,44.41
20151228,44.34,44.96,44.34,44.85
20151229,45.07,45.35,45.03,45.25
20151230,44.86,45.03,44.52,44.54
20151231,44.42,44.57,43.99,43.99
20160104,43.42,43.46,42.91,43.14
20160105,43.11,43.90,43.00,43.84
20160106,43.35,44.06,43.17,43.99
20160107,43.32,44.43,43.31,44.15
20160108,44.30,44.49,43.92,44.13
20160111,44.18,44.63,44.12,44.50
20160112,44.79,44.88,44.22,44.66
20160113,44.67,44.80,43.63,43.82
20160114,43.93,44.48,43.66,44.31
20160115,43.48,43.70,42.97,43.27
20160119,43.78,44.48,43.47,43.75
20160120,43.20,43.58,41.82,42.66
20160121,42.82,43.08,42.03,42.20
20160122,42.66,43.13,42.55,42.93
20160125,42.96,43.00,42.31,42.41
20160126,42.48,42.71,42.36,42.55
20160127,42.59,42.68,41.91,42.22
20160128,42.42,42.98,42.21,42.70
20160129,43.00,43.75,42.91,43.70
20160201,43.47,44.01,43.27,43.85
20160202,43.48,43.85,43.30,43.63
20160203,43.87,44.17,43.33,44.04
20160204,43.91,44.33,43.85,44.13
20160205,44.13,44.27,43.30,43.58
20160208,43.27,43.58,42.56,43.42
20160209,43.07,44.20,43.07,43.84
