Date,Open,High,Low,Close
20151127,62.19,62.38,61.93,62.18
20151130,62.10,62.29,61.20,61.39
20151201,61.08,61.68,60.51,61.37
20151202,61.63,61.71,61.12,61.22
20151203,61.37,61.45,59.15,59.55
20151204,59.86,61.87,59.60,61.75
20151207,61.75,61.95,61.44,61.89
20151208,61.69,62.43,61.52,62.16
20151209,61.71,62.54,60.82,61.18
20151210,61.13,62.14,61.01,61.87
20151211,60.86,61.19,59.60,59.82
20151214,60.04,60.14,58.61,59.92
20151215,60.55,60.68,59.97,59.98
20151216,60.32,60.50,59.51,60.35
20151217,60.66,60.83,59.47,59.52
20151218,59.20,59.50,58.27,58.62
20151221,58.89,59.62,58.66,59.54
20151222,59.94,60.07,59.28,59.99
20151223,60.26,60.37,59.96,60.34
20151224,60.37,60.51,60.17,60.32
20151228,60.02,60.33,59.58,60.19
20151229,60.46,61.32,60.35,61.13
20151230,61.22,61.40,60.75,60.82
20151231,60.65,60.81,60.02,60.03
20160104,58.77,58.83,57.60,58.26
20160105,58.79,58.79,57.98,58.65
20160106,57.70,58.53,57.64,58.13
20160107,56.88,57.91,56.16,56.69
20160108,57.41,57.73,56.53,56.63
20160111,57.00,58.12,56.78,57.82
20160112,58.39,59.53,58.18,59.46
20160113,59.80,60.00,57.80,57.87
20160114,57.51,59.43,56.92,58.98
20160115,57.07,58.39,56.75,58.00
20160119,58.67,59.39,58.12,58.55
20160120,57.57,57.96,54.94,56.92
20160121,57.84,59.38,57.67,59.03
20160122,57.55,59.40,57.41,59.17
20160125,59.36,59.38,57.61,57.71
20160126,57.92,58.87,57.80,58.61
20160127,58.87,58.96,57.26,57.63
20160128,58.29,59.42,58.00,59.29
20160129,59.78,60.88,59.64,60.77
20160201,60.66,61.79,60.27,61.40
20160202,60.66,60.90,60.18,60.70
20160203,60.88,61.13,58.50,59.53
20160204,59.41,59.45,57.99,58.29
20160205,58.10,58.20,54.25,54.49
20160208,53.09,54.47,52.63,54.14
20160209,53.19,55.29,53.17,54.42
20160210,55.28,56.35,55.01,55.14
20160211,53.89,55.39,53.55,54.92
20160212,55.56,56.04,55.04,55.86
20160216,56.79,56.85,55.98,56.41
20160217,56.70,57.66,56.16,57.63
20160218,57.57,57.57,56.67,56.96
20160219,56.92,57.86,56.52,57.67
20160222,58.63,58.95,58.17,58.87
20160223,58.45,58.90,58.00,58.46
20160224,57.21,58.35,56.28,58.11
20160225,58.46,58.75,58.00,58.75
20160226,59.00,59.21,57.92,58.34
20160229,58.25,59.15,58.10,58.21
20160301,58.77,60.20,58.50,60.04
20160302,59.83,60.00,58.83,59.56
20160303,59.12,59.20,58.20,59.04
20160304,59.14,59.19,58.23,58.70
20160307,58.44,58.67,57.31,58.00
20160308,57.58,58.23,57.26,57.60
20160309,57.78,57.97,56.79,57.07
20160310,57.51,57.86,56.92,57.52
20160311,58.10,58.10,56.57,57.59
20160314,57.58,58.78,57.50,58.65
20160315,58.32,59.16,58.17,59.08
20160316,58.65,59.82,58.65,59.67
20160317,59.47,59.98,59.37,59.55
20160318,59.91,60.45,59.43,59.70
20160321,59.56,59.86,59.02,59.10
20160322,59.00,59.55,58.57,59.38
20160323,59.14,59.40,58.69,58.83
20160324,58.70,58.79,58.28,58.36
20160328,58.56,59.47,58.40,58.96
20160329,58.82,59.74,58.82,59.55
20160330,60.00,60.26,59.51,60.01
20160331,59.77,60.21,59.68,59.70
20160401,59.61,61.17,59.41,61.02
20160404,61.10,61.18,60.08,60.25
20160405,59.88,60.23,59.44,60.04
20160406,60.02,60.91,59.91,60.83
20160407,60.59,61.54,60.54,61.17
20160408,61.50,61.64,60.70,61.04
20160411,61.22,61.50,60.78,60.90
20160412,58.95,59.68,58.37,59.50
20160413,60.32,61.08,59.75,60.21
20160414,60.26,60.40,59.91,60.13
