Date,Open,High,Low,Close
20151127,45.09,45.50,44.52,45.27
20151130,45.25,45.53,44.98,45.36
20151201,45.25,45.71,45.11,45.53
20151202,45.25,46.05,44.78,44.97
20151203,45.10,45.76,44.85,45.12
20151204,45.25,45.99,44.96,45.97
20151207,45.75,45.88,45.10,45.30
20151208,44.82,44.94,44.29,44.69
20151209,44.66,44.93,43.69,44.03
20151210,44.26,44.42,43.46,43.50
20151211,42.94,43.17,42.67,42.82
20151214,42.92,43.00,41.81,42.17
20151215,42.64,43.01,42.28,42.71
20151216,42.93,43.94,42.84,43.82
20151217,43.78,43.90,42.81,43.07
20151218,42.76,42.88,42.28,42.69
20151221,42.79,43.33,42.53,42.79
20151222,42.84,43.03,42.37,42.91
20151223,43.23,43.92,43.08,43.80
20151224,43.80,44.03,43.62,43.81
20151228,43.69,44.04,43.27,43.99
20151229,44.08,44.70,43.99,44.33
20151230,44.28,45.16,44.16,44.93
20151231,44.90,45.00,44.45,44.60
20160104,43.70,43.72,42.53,43.04
20160105,43.24,43.56,43.05,43.46
20160106,42.68,43.25,42.37,42.78
20160107,42.09,42.33,41.39,41.43
20160108,42.38,42.54,41.22,41.37
20160111,41.61,41.98,40.69,41.31
20160112,41.73,41.96,41.17,41.67
20160113,42.31,42.78,40.71,40.77
20160114,40.86,41.71,40.43,41.32
20160115,40.22,41.65,40.14,40.94
20160119,41.41,41.49,39.55,39.95
20160120,39.36,40.29,38.53,39.90
20160121,39.96,40.73,39.77,39.82
20160122,40.46,40.99,40.05,40.96
20160125,40.88,40.93,38.87,38.97
20160126,39.12,40.17,38.97,39.97
20160127,39.90,40.60,39.53,39.80
20160128,39.95,40.19,38.02,38.36
20160129,38.62,40.53,38.62,40.53
20160201,40.25,41.47,39.85,41.29
20160202,40.76,40.87,39.85,40.42
20160203,40.91,42.06,40.28,42.04
20160204,41.85,42.53,40.95,41.64
20160205,41.63,41.72,40.45,40.66
20160208,40.21,40.28,38.90,39.45
20160209,38.98,40.73,38.96,40.43
20160210,45.54,46.00,41.65,43.63
20160211,42.62,42.84,41.75,42.30
20160212,43.11,44.08,42.50,43.24
20160216,43.62,43.89,42.66,43.43
20160217,43.60,43.74,42.89,43.10
20160218,42.36,43.47,42.15,43.13
20160219,44.20,44.49,43.05,43.29
20160222,43.29,44.89,43.29,44.86
20160223,44.61,44.83,43.91,44.07
20160224,43.72,45.61,43.47,45.54
20160225,45.60,46.39,45.26,46.36
20160226,46.49,46.59,46.02,46.27
20160229,46.29,46.61,45.72,45.73
20160301,46.06,46.62,45.11,46.36
20160302,46.04,46.57,45.73,46.51
20160303,46.49,46.54,45.90,46.52
20160304,46.37,46.64,45.47,45.68
20160307,45.36,46.04,45.31,46.04
20160308,45.62,45.93,45.23,45.41
20160309,45.76,46.02,45.48,45.87
20160310,45.89,46.17,45.20,45.95
20160311,46.43,47.00,45.87,46.94
20160314,46.66,47.23,46.54,46.54
20160315,46.19,46.61,46.14,46.41
20160316,46.17,46.98,45.86,46.69
20160317,46.77,47.31,46.50,47.25
20160318,47.20,47.41,46.88,47.09
20160321,47.01,47.33,46.79,47.23
20160322,47.06,48.79,46.86,48.53
20160323,48.39,48.51,47.61,47.74
20160324,47.42,47.81,46.95,47.30
20160328,47.34,47.97,47.04,47.81
20160329,47.77,48.40,47.25,48.36
20160330,48.51,48.64,47.39,48.03
20160331,48.06,48.38,47.72,48.01
20160401,47.91,48.56,47.84,48.49
20160404,48.67,48.96,48.40,48.66
20160405,48.18,48.70,47.90,48.29
20160406,48.31,49.77,48.05,49.76
20160407,49.45,49.53,48.74,49.00
20160408,49.35,49.68,49.05,49.51
20160411,49.80,50.25,49.36,49.63
20160412,49.61,49.75,48.99,49.05
20160413,49.39,50.07,48.48,50.03
20160414,50.22,50.29,49.27,49.62
20160415,49.73,50.11,49.42,50.03
20160418,50.92,51.12,50.36,50.75
20160419,51.01,51.16,50.52,50.80
20160420,51.09,51.72,50.77,51.53
20160421,51.64,51.88,50.68,50.74
20160422,50.93,52.38,50.79,51.98
20160425,51.72,51.87,50.94,51.63
20160426,51.69,52.08,51.38,51.94
20160427,52.12,52.83,51.80,52.68
20160428,48.74,50.04,47.94,48.35
20160429,48.04,48.33,45.71,47.36
20160502,47.26,48.77,47.20,48.65
20160503,48.12,48.35,46.94,47.08
20160504,46.74,46.94,46.28,46.52
20160505,46.50,46.95,46.40,46.58
20160506,46.45,46.72,46.00,46.61
20160509,46.37,47.42,46.26,47.25
20160510,47.35,47.79,47.10,47.32
20160511,47.40,47.40,46.49,46.64
20160512,47.22,48.34,47.22,47.80
20160513,47.69,48.09,47.50,47.74
20160516,47.64,48.31,47.35,47.95
20160517,47.66,47.83,46.70,46.88
20160518,46.84,47.25,46.56,46.86
20160519,46.69,47.01,45.76,46.69
20160520,46.90,47.14,46.48,46.87
20160523,46.82,46.94,46.19,46.23
20160524,46.35,46.98,46.32,46.77
