Date,Open,High,Low,Close
20151127,123.09,123.97,122.63,123.26
20151130,123.66,123.91,121.15,121.19
20151201,121.78,122.49,120.65,120.81
20151202,120.80,121.93,120.44,120.62
20151203,121.04,121.20,118.99,120.30
20151204,120.69,123.29,120.69,123.14
20151207,123.04,124.00,122.97,123.67
20151208,123.04,124.26,122.61,123.48
20151209,123.04,124.44,121.70,122.59
20151210,122.67,123.50,121.73,122.01
20151211,120.76,122.07,120.26,120.58
20151214,120.65,121.25,118.97,120.17
20151215,120.63,122.26,120.56,122.04
20151216,123.02,124.27,121.43,124.07
20151217,124.07,124.95,122.61,123.64
20151218,122.82,122.91,121.22,121.55
20151221,122.15,123.19,122.03,123.00
20151222,122.28,123.27,121.41,122.97
20151223,123.89,125.00,123.28,124.86
20151224,124.45,125.01,124.33,124.78
20151228,124.69,124.73,123.61,124.23
20151229,124.89,125.33,124.52,124.80
20151230,124.96,124.96,123.92,123.95
20151231,123.71,124.08,122.18,123.34
20160104,121.60,122.57,121.25,122.38
20160105,122.17,123.69,121.87,123.30
20160106,121.75,123.38,121.63,122.40
20160107,121.23,121.66,119.93,120.31
20160108,120.64,121.14,119.92,120.04
20160111,120.60,121.26,119.60,120.74
20160112,121.60,122.16,120.25,121.67
20160113,122.00,122.18,119.06,119.16
20160114,119.22,120.90,118.80,120.30
20160115,118.98,118.98,117.61,118.26
20160119,119.51,120.35,118.53,119.73
20160120,118.48,120.19,117.36,119.38
20160121,119.38,119.87,117.92,119.26
20160122,120.38,122.97,119.96,122.89
20160125,122.43,123.62,121.68,121.85
20160126,122.02,123.47,121.95,122.93
20160127,123.07,125.39,123.07,124.44
20160128,125.10,127.62,124.91,126.29
20160129,127.06,128.43,126.33,128.32
20160201,127.89,129.69,127.48,129.13
20160202,127.85,129.45,127.32,128.33
20160203,128.74,130.00,127.50,129.37
20160204,128.61,129.35,125.10,125.93
20160205,126.16,126.73,125.04,125.47
20160208,124.79,126.08,123.18,125.69
20160209,125.39,128.12,124.94,127.35
20160210,127.35,128.93,126.73,127.82
20160211,126.25,127.24,125.06,126.15
20160212,127.51,127.57,125.76,126.92
20160216,128.54,128.71,125.74,127.70
20160217,128.38,129.72,126.08,127.43
20160218,127.50,128.34,125.78,127.53
20160219,126.57,127.84,125.51,127.75
20160222,128.67,129.00,126.52,126.86
20160223,123.50,125.52,121.79,123.85
20160224,123.58,127.95,123.22,127.76
20160225,128.50,129.83,128.24,129.57
20160226,129.82,130.00,126.94,127.67
20160229,127.39,128.55,126.85,127.57
20160301,128.42,129.48,127.95,128.23
20160302,127.73,128.22,125.46,127.81
20160303,127.50,128.51,126.60,128.31
20160304,127.79,128.22,126.83,127.54
20160307,127.23,127.57,126.32,126.80
20160308,126.24,127.21,125.66,126.21
20160309,126.90,127.68,126.01,127.07
20160310,127.59,128.77,127.25,128.49
20160311,128.91,129.92,128.52,129.52
20160314,129.14,129.53,128.47,129.26
20160315,128.47,129.74,128.21,128.46
20160316,128.06,129.51,127.51,129.14
20160317,129.03,130.49,128.88,129.91
20160318,129.97,129.97,128.44,128.85
20160321,128.19,129.41,128.01,128.34
20160322,127.98,128.58,127.16,127.70
20160323,127.70,129.13,126.84,128.77
20160324,128.48,129.12,127.95,128.71
20160328,128.77,130.61,128.77,129.60
20160329,129.76,130.56,129.51,129.98
20160330,130.47,130.54,128.70,130.18
20160331,130.06,130.36,129.65,129.84
20160401,129.12,132.64,129.12,132.52
20160404,130.06,130.81,126.93,127.57
20160405,127.43,127.64,125.14,126.01
20160406,125.95,127.56,125.74,127.54
20160407,126.72,128.11,126.72,127.72
20160408,127.91,128.28,127.51,127.90
20160411,128.30,128.91,127.75,127.78
20160412,127.71,128.27,127.41,127.97
20160413,128.16,128.30,126.62,128.22
20160414,128.18,128.55,127.25,127.40
20160415,127.55,128.50,126.97,128.40
20160418,128.50,129.55,128.01,129.38
20160419,129.71,130.48,129.22,129.53
20160420,129.21,129.74,128.51,128.54
20160421,128.20,128.20,124.27,124.58
20160422,124.72,126.24,124.32,126.15
20160425,125.60,127.92,125.14,127.43
20160426,127.82,128.89,127.18,127.31
20160427,127.58,128.45,126.83,127.94
20160428,127.33,128.44,127.09,127.78
20160429,127.31,128.24,125.79,126.98
20160502,127.24,128.26,127.00,127.68
20160503,127.36,127.96,126.42,126.82
20160504,126.70,128.42,126.06,128.15
20160505,128.44,129.46,128.03,128.38
20160506,128.37,129.53,127.34,129.27
20160509,129.35,130.14,128.74,129.42
20160510,129.89,131.32,129.74,131.27
20160511,130.67,131.18,129.98,130.46
20160512,130.96,131.79,130.06,131.51
20160513,130.95,131.75,130.10,130.57
20160516,130.18,131.22,130.17,130.83
20160517,130.34,130.61,127.27,127.74
20160518,127.36,127.98,125.84,126.72
20160519,126.28,127.14,125.67,127.08
20160520,127.74,127.94,126.32,126.60
20160523,126.91,127.35,126.23,126.94
20160524,127.24,128.32,126.10,127.93
20160525,129.11,129.74,128.00,128.79
20160526,128.64,129.77,128.50,129.47
20160527,129.30,129.84,128.76,129.22
20160531,129.22,130.00,128.30,129.15
20160601,129.02,129.97,128.46,129.72
