Date,Open,High,Low,Close
20151127,76.79,77.50,76.44,77.33
20151130,77.09,77.87,76.82,77.15
20151201,76.81,78.22,76.50,78.17
20151202,77.39,78.20,75.62,75.81
20151203,76.46,76.62,74.14,74.81
20151204,73.83,75.06,73.16,74.71
20151207,72.65,73.28,72.07,72.80
20151208,71.22,72.99,69.70,71.50
20151209,72.10,74.05,71.42,72.12
20151210,71.79,73.23,71.40,71.48
20151211,71.48,71.48,69.72,69.82
20151214,69.38,70.53,69.11,70.02
20151215,71.00,72.13,70.56,71.84
20151216,71.50,72.30,70.77,71.22
20151217,71.11,71.47,69.14,69.20
20151218,69.04,69.17,67.33,67.34
20151221,67.44,68.34,67.15,67.95
20151222,68.42,69.77,68.17,69.49
20151223,70.61,71.04,69.98,71.01
20151224,70.90,71.21,70.37,70.53
20151228,69.52,70.45,69.03,70.42
20151229,71.68,71.85,69.90,70.51
20151230,69.41,70.53,69.38,69.64
20151231,69.37,70.38,69.00,69.75
20160104,69.45,70.02,67.96,69.18
20160105,69.34,69.84,68.09,69.50
20160106,67.92,69.40,67.47,67.70
20160107,66.23,67.76,65.80,66.19
20160108,66.36,66.81,64.89,65.08
20160111,65.19,65.47,63.79,64.83
20160112,65.95,66.11,63.19,64.74
20160113,65.60,66.35,63.51,63.95
20160114,64.36,65.35,61.75,64.68
20160115,62.06,63.83,61.71,63.01
20160119,63.16,64.30,62.05,62.82
20160120,61.40,62.27,59.60,61.06
20160121,61.21,63.47,60.37,61.45
20160122,64.52,66.25,62.97,65.20
20160125,63.90,66.13,63.23,63.30
20160126,64.39,65.77,63.42,65.33
20160127,65.34,67.13,64.58,65.55
20160128,68.23,69.60,67.24,69.51
20160129,69.98,72.50,69.57,72.27
20160201,71.12,71.67,70.04,71.46
20160202,69.32,69.98,68.37,68.84
20160203,70.03,70.86,67.64,70.83
20160204,71.53,72.87,70.31,70.54
20160205,69.74,70.07,68.09,68.81
20160208,68.03,70.26,67.34,69.78
20160209,68.91,69.71,67.00,67.80
20160210,67.77,68.95,67.39,67.73
20160211,66.30,69.45,66.10,68.83
20160212,68.88,70.81,68.77,70.31
20160216,71.35,72.24,70.39,71.75
20160217,72.55,73.69,72.17,72.93
20160218,73.73,73.73,72.32,72.68
20160219,71.97,72.89,71.78,72.87
20160222,73.82,74.63,73.58,74.37
20160223,73.88,74.77,71.86,72.08
20160224,70.89,72.32,70.40,72.21
20160225,71.93,72.35,70.65,72.35
20160226,73.12,73.61,72.20,72.47
20160229,72.35,73.39,71.69,71.72
20160301,72.46,74.06,72.28,74.01
20160302,73.47,74.44,72.47,74.41
20160303,74.04,74.97,73.78,74.85
20160304,75.11,76.01,73.81,74.83
20160307,74.31,76.16,73.25,76.16
20160308,75.26,75.72,72.68,72.70
20160309,73.75,73.93,72.60,72.75
20160310,72.80,73.35,72.12,73.18
20160311,73.90,75.14,73.31,75.00
20160314,73.97,74.37,73.01,73.44
20160315,72.48,73.25,71.94,73.23
20160316,73.68,73.85,72.16,73.35
20160317,74.11,75.00,73.54,74.54
20160318,75.01,75.01,73.27,73.52
20160321,72.37,75.04,72.18,74.89
20160322,74.05,75.23,73.54,73.61
20160323,73.04,73.52,72.63,72.96
20160324,71.91,72.66,71.50,72.58
20160328,72.89,73.03,71.98,72.80
20160329,71.58,73.09,71.34,73.00
20160330,73.67,74.62,73.27,74.41
20160331,74.29,75.03,73.48,73.75
20160401,72.37,73.20,71.76,72.12
20160404,72.44,72.92,71.90,72.64
20160405,72.01,73.15,71.96,72.66
20160406,73.00,74.42,71.90,73.16
20160407,72.51,72.94,71.69,72.01
20160408,73.44,74.27,73.03,73.85
20160411,74.36,74.91,73.87,73.88
20160412,74.17,76.16,73.86,75.90
20160413,75.98,77.55,75.70,77.37
20160414,77.46,77.66,76.57,77.16
20160415,77.16,77.16,75.95,76.26
20160418,74.74,77.50,74.44,77.45
20160419,77.99,79.66,77.85,79.64
20160420,79.15,81.90,79.15,81.10
20160421,80.88,81.96,80.16,80.27
20160422,77.72,81.02,77.72,79.93
20160425,79.56,79.80,77.96,78.77
20160426,79.13,79.35,78.42,79.20
20160427,79.78,81.18,79.60,80.60
20160428,79.99,81.32,79.43,79.78
20160429,79.99,81.27,79.05,80.34
20160502,79.95,80.72,78.29,79.40
20160503,78.33,78.43,76.49,77.23
20160504,77.21,77.69,75.20,75.73
20160505,76.76,76.91,74.93,75.40
20160506,75.03,76.01,74.60,75.12
20160509,73.49,74.29,72.35,72.77
20160510,73.33,74.54,73.09,74.26
20160511,74.01,74.85,73.47,73.81
20160512,74.24,74.84,73.60,74.09
20160513,73.56,74.30,72.42,72.43
20160516,73.30,74.45,73.02,74.00
20160517,74.24,75.24,74.10,74.88
20160518,74.50,74.70,72.65,73.17
20160519,72.57,74.36,72.00,74.20
20160520,74.67,75.14,74.18,74.96
20160523,75.52,75.66,74.38,75.01
20160524,75.50,76.05,75.11,75.62
20160525,76.00,78.00,75.92,77.91
20160526,78.38,78.97,77.68,77.88
20160527,77.05,77.25,76.38,77.17
20160531,77.07,77.60,75.81,76.30
20160601,76.30,76.34,74.91,75.86
20160602,75.47,75.71,74.61,75.45
20160603,75.70,76.10,74.86,75.63
20160606,76.56,79.28,76.22,79.09
20160607,79.45,80.37,79.28,80.10
20160608,80.73,81.41,80.01,80.81
20160609,79.47,80.12,79.31,79.96
20160610,78.69,79.49,78.26,78.53
20160613,78.01,78.94,77.57,77.64
20160614,77.18,77.89,76.62,77.46
20160615,77.18,77.89,76.73,76.85
20160616,76.15,76.48,74.92,76.34
20160617,76.88,77.79,76.22,77.50
20160620,78.88,79.12,77.52,77.59
20160621,77.50,78.97,77.18,78.52
20160622,79.01,79.14,78.20,78.27
20160623,78.99,79.59,78.69,79.59
20160624,76.63,77.77,76.23,76.66
20160627,75.41,75.70,74.53,75.07
20160628,75.96,76.73,75.52,76.63
20160629,77.53,78.89,77.40,77.83
20160630,77.96,79.14,77.85,79.08
20160701,79.14,79.91,79.01,79.52
20160705,78.73,78.96,76.88,77.63
20160706,77.43,78.11,76.83,78.06
20160707,78.30,79.22,77.01,77.70
20160708,78.32,78.97,78.12,78.74
20160711,79.00,79.21,77.96,78.02
20160712,79.14,80.16,78.69,79.65
20160713,79.65,80.13,78.31,78.88
20160714,79.77,79.93,78.98,79.10
20160715,79.82,79.96,79.03,79.35
20160718,78.81,79.71,78.48,79.70
20160719,79.59,80.30,79.51,79.81
20160720,79.43,80.83,78.87,80.60
20160721,80.51,81.36,79.66,80.02
20160722,80.02,81.61,78.87,81.61
20160725,81.30,81.50,80.10,80.71
20160726,79.90,80.61,78.95,80.60
20160727,80.68,80.97,79.66,79.88
20160728,79.77,80.51,78.60,79.05
20160729,78.23,80.62,78.11,80.52
20160801,79.79,79.88,78.08,78.46
20160802,78.81,78.92,77.91,78.89
20160803,78.71,79.64,78.27,79.62
20160804,79.60,80.41,79.11,80.39
20160805,80.62,81.42,80.02,81.20
20160808,81.64,82.99,81.57,82.50
20160809,83.03,83.04,81.48,81.83
20160810,82.03,82.34,80.64,80.85
20160811,81.14,82.41,80.97,81.50
20160812,81.80,82.09,80.93,81.20
20160815,81.75,82.13,81.09,82.04
20160816,81.93,82.38,81.45,81.92
20160817,81.60,82.25,81.22,82.21
20160818,82.48,83.97,82.36,83.86
20160819,83.51,83.67,82.72,83.31
20160822,82.65,82.71,81.61,82.05
20160823,82.17,82.40,81.54,81.75
20160824,81.48,81.82,81.11,81.33
20160825,81.39,81.73,81.03,81.34
20160826,81.28,82.03,80.47,80.90
20160829,80.61,81.50,80.61,81.14
20160830,81.67,81.90,80.49,80.64
20160831,80.15,80.34,78.63,79.00
20160901,78.44,79.13,78.24,78.96
20160902,79.25,79.70,78.51,78.55
20160906,78.66,78.95,78.25,78.78
20160907,78.83,79.05,78.48,78.61
20160908,78.99,79.76,78.23,79.38
20160909,78.76,79.22,77.56,77.56
20160912,77.81,79.27,77.10,78.80
20160913,77.98,78.10,76.88,77.08
20160914,76.90,77.90,76.17,76.37
20160915,76.16,77.15,76.09,76.80
20160916,76.10,77.10,75.93,76.33
20160919,76.84,77.40,75.93,75.96
20160920,76.08,76.20,75.37,75.37
20160921,76.00,76.71,75.86,76.56
20160922,77.20,77.64,76.91,77.01
20160923,76.69,77.06,75.57,75.92
20160926,76.13,76.61,75.48,75.58
20160927,75.13,75.46,74.33,75.33
20160928,75.59,78.10,75.07,78.01
20160929,78.11,78.97,77.37,77.37
20160930,77.84,78.99,77.61,78.64
20161003,78.82,79.06,78.35,78.90
20161004,78.98,79.10,78.34,78.54
20161005,79.41,80.95,79.06,80.15
20161006,80.43,81.59,80.27,81.42
20161007,81.79,82.10,80.98,81.31
20161010,81.73,82.44,81.73,82.33
20161011,82.08,82.23,81.16,81.69
20161012,81.76,81.79,81.03,81.44
20161013,81.02,81.92,80.62,81.53
20161014,81.97,82.36,81.31,81.32
20161017,81.32,81.76,80.69,80.98
20161018,81.58,81.80,80.67,81.39
20161019,82.00,84.30,82.00,83.44
20161020,82.75,83.36,81.88,82.99
20161021,81.85,82.42,79.68,80.47
20161024,80.56,80.74,79.51,80.31
20161025,80.35,81.50,79.92,80.22
20161026,79.49,80.65,79.32,80.02
20161027,80.40,80.58,79.53,79.60
20161028,79.76,80.19,78.63,79.20
20161031,78.88,79.10,78.03,78.23
20161101,78.66,78.81,77.71,78.70
20161102,78.08,78.22,76.92,77.76
20161103,77.93,78.66,77.80,78.46
20161104,78.52,78.93,77.66,77.84
20161107,78.90,79.80,78.71,79.75
20161108,79.33,80.49,79.13,79.84
20161109,79.26,80.43,78.85,79.94
20161110,79.48,80.71,79.48,79.88
20161111,79.20,79.43,78.07,78.66
20161114,78.40,78.92,77.48,78.71
20161115,79.44,81.56,79.40,81.16
20161116,81.02,81.90,80.77,81.04
20161117,81.51,81.87,79.87,80.10
20161118,80.10,80.52,79.72,80.00
20161121,81.11,81.91,81.03,81.71
20161122,81.98,82.00,80.28,81.50
20161123,81.07,81.92,81.01,81.40
20161125,81.03,81.39,80.75,81.29
20161128,81.41,82.03,80.83,81.06
20161129,79.61,80.29,78.74,79.92
20161130,82.47,84.37,82.05,84.05
20161201,84.99,86.41,84.37,84.61
20161202,84.60,85.44,84.26,85.01
20161205,84.92,85.18,84.23,84.43
20161206,83.76,84.29,83.16,83.96
20161207,84.05,84.80,83.56,84.35
20161208,84.44,84.76,83.80,84.47
20161209,84.87,84.98,83.94,84.78
20161212,86.09,86.82,84.67,85.01
20161213,85.73,86.73,85.05,86.13
20161214,85.53,86.46,84.81,85.16
20161215,84.50,85.70,84.30,85.28
20161216,85.50,85.55,84.98,85.50
20161219,85.40,85.70,84.97,85.12
20161220,85.61,85.88,85.03,85.28
20161221,85.57,86.26,85.06,86.16
20161222,85.79,87.00,85.59,86.38
20161223,86.03,86.27,85.23,85.51
20161227,85.80,85.95,85.23,85.44
20161228,85.28,85.48,84.41,84.63
20161229,84.26,84.85,83.79,84.20
20161230,84.30,84.50,83.66,83.95
20170103,84.86,85.11,83.71,84.80
20170104,85.00,85.71,84.54,85.43
20170105,85.58,85.87,85.19,85.30
20170106,85.48,86.83,84.84,86.48
20170109,85.99,86.40,85.43,85.77
20170110,85.69,85.71,84.58,84.60
20170111,84.99,85.81,84.62,85.66
20170112,85.69,85.70,84.65,85.33
20170113,84.95,85.74,84.78,84.82
20170117,84.81,86.53,84.80,86.43
20170118,85.79,87.54,85.79,87.48
20170119,87.05,87.84,86.91,87.20
20170120,87.12,87.78,85.57,86.49
20170123,85.85,85.93,83.90,84.27
20170124,84.39,84.90,83.80,84.58
20170125,85.08,85.69,84.65,85.51
20170126,85.93,86.05,84.43,84.88
20170127,84.86,85.19,84.31,84.50
20170130,84.17,84.47,83.20,83.61
20170131,83.90,84.25,83.11,83.71
20170201,84.06,84.44,82.70,83.17
20170202,83.60,83.61,81.57,82.44
20170203,82.64,83.21,82.39,82.50
20170206,82.55,82.97,81.46,81.69
20170207,81.21,81.74,80.49,81.07
20170208,80.61,81.19,79.52,81.12
20170209,81.12,81.76,81.12,81.21
20170210,81.98,82.71,81.85,82.16
20170213,81.75,82.13,81.49,81.82
20170214,82.04,82.50,81.54,82.46
20170215,82.00,82.37,81.62,81.75
20170216,82.13,82.17,81.00,81.13
20170217,80.95,81.12,80.54,80.65
20170221,81.48,81.55,80.60,80.68
20170222,80.38,80.54,79.66,79.70
20170223,80.47,80.71,79.88,80.47
20170224,79.66,80.40,79.48,80.15
20170227,80.23,81.82,80.16,81.06
20170228,80.86,80.86,80.00,80.36
20170301,80.91,82.69,80.60,82.27
20170302,81.64,82.16,80.82,80.95
20170303,81.22,81.58,80.65,80.70
20170306,80.34,80.89,80.03,80.72
20170307,80.69,80.77,79.74,79.95
20170308,79.54,79.92,77.91,78.10
20170309,77.52,78.94,77.28,78.70
20170310,79.36,79.40,78.45,78.69
20170313,78.83,79.13,78.08,78.59
20170314,78.02,78.55,77.30,78.38
20170315,79.00,80.59,78.91,80.25
20170316,80.28,80.48,79.26,79.65
20170317,79.65,80.26,79.49,79.55
20170320,79.07,79.07,78.16,78.92
20170321,79.53,79.65,78.57,78.69
20170322,78.35,78.62,77.75,78.38
20170323,78.11,78.45,77.56,77.67
20170324,77.76,77.94,76.77,76.96
20170327,76.21,77.18,76.14,77.02
20170328,77.40,78.59,76.94,78.31
20170329,78.21,78.96,77.58,78.67
20170330,78.73,78.87,77.56,77.84
20170331,77.55,78.37,77.33,78.10
20170403,78.30,78.33,77.13,77.70
20170404,77.71,78.38,77.22,78.21
20170405,78.66,79.48,78.26,78.30
20170406,78.70,78.93,78.36,78.62
20170407,78.73,78.87,78.15,78.33
20170410,78.67,78.95,78.40,78.71
20170411,78.71,79.71,78.08,79.65
20170412,79.73,80.89,79.25,79.57
20170413,79.33,79.40,77.96,78.15
20170417,77.82,78.42,77.79,78.24
20170418,77.77,78.59,77.67,77.93
20170419,78.29,78.48,76.16,76.48
20170420,76.49,77.34,76.13,76.51
20170421,73.97,75.16,73.15,74.84
20170424,75.00,75.10,73.94,74.10
20170425,74.22,74.33,73.77,74.09
20170426,73.75,74.91,73.73,74.11
20170427,73.85,73.93,72.10,72.84
20170428,73.40,73.46,72.47,72.59
20170501,72.70,73.09,72.14,72.30
20170502,72.34,72.40,70.97,71.45
20170503,71.41,71.95,70.97,71.53
20170504,71.16,71.25,70.22,70.94
20170505,71.04,72.20,70.90,71.97
20170508,72.29,72.96,72.03,72.22
20170509,72.34,72.60,71.89,72.28
20170510,72.84,73.20,72.35,72.67
20170511,73.04,73.08,71.65,71.78
20170512,71.74,71.81,70.78,71.02
20170515,72.48,72.69,71.94,72.00
20170516,72.30,72.41,70.89,71.37
20170517,71.37,71.64,70.80,70.99
20170518,70.66,71.92,70.66,71.43
20170519,71.77,72.31,71.56,71.75
20170522,72.26,72.38,71.37,71.89
20170523,72.17,72.31,71.52,72.09
20170524,72.13,72.28,71.07,71.36
20170525,71.27,71.69,68.94,69.39
20170526,69.50,70.35,69.00,70.09
20170530,69.22,69.49,68.65,68.74
20170531,68.31,69.93,68.23,69.59
20170601,69.67,70.19,69.22,69.78
20170602,68.88,69.12,68.03,68.96
20170605,68.79,69.50,68.63,69.27
20170606,69.14,70.19,68.71,69.97
20170607,69.55,69.86,67.92,68.67
20170608,68.67,69.11,68.23,68.31
20170609,68.35,70.39,68.32,69.68
20170612,70.25,70.69,69.07,69.31
20170613,69.31,69.70,68.84,69.35
20170614,69.06,69.09,67.34,68.18
20170615,67.96,68.08,67.00,67.33
20170616,67.60,68.58,67.05,68.58
20170619,68.53,68.78,67.90,68.10
20170620,67.05,67.05,66.04,66.75
20170621,66.48,66.49,65.26,65.47
20170622,65.50,66.43,65.15,65.37
20170623,65.33,66.16,65.15,65.93
20170626,66.11,66.40,65.53,65.89
20170627,65.65,66.04,65.13,65.36
20170628,65.44,66.04,65.10,65.25
20170629,65.60,66.30,65.30,65.38
20170630,65.85,66.11,65.38,65.84
20170703,66.12,67.40,65.90,66.97
20170705,67.26,67.26,65.34,65.74
20170706,66.16,66.50,65.02,65.13
20170707,64.99,65.18,64.15,65.08
20170710,64.82,65.69,64.78,65.35
20170711,65.35,66.24,65.07,65.79
20170712,66.52,66.60,65.34,65.58
20170713,65.47,66.54,65.44,66.49
20170714,66.50,67.09,66.37,66.85
20170717,66.75,67.54,66.65,66.83
20170718,67.31,67.32,65.98,66.18
20170719,66.13,67.64,66.10,67.44
20170720,67.77,67.90,66.76,67.02
20170721,67.80,68.96,66.20,66.53
20170724,66.68,66.84,65.85,66.42
20170725,67.00,67.55,66.93,67.01
20170726,67.48,68.16,66.72,66.99
20170727,66.96,67.80,66.39,67.78
20170728,67.54,69.04,67.50,68.46
20170731,68.44,68.79,67.69,68.60
20170801,68.50,69.01,68.05,69.01
20170802,68.88,69.37,68.42,69.13
20170803,68.96,69.25,67.75,68.22
20170804,68.15,68.39,67.46,67.54
20170807,67.25,67.50,66.53,66.55
20170808,66.25,66.63,65.26,65.49
20170809,65.73,65.90,65.07,65.49
20170810,65.55,65.78,64.19,64.40
20170811,64.10,64.67,63.74,63.83
20170814,64.00,64.28,63.67,63.95
20170815,63.94,63.94,63.03,63.44
20170816,63.64,63.95,63.23,63.71
20170817,63.46,63.80,62.95,63.03
20170818,63.07,63.81,62.93,63.32
20170821,63.11,63.41,62.99,63.00
20170822,63.16,63.64,63.11,63.35
20170823,63.10,63.50,62.87,63.19
20170824,63.10,63.24,62.56,62.88
20170825,63.11,64.13,62.99,63.88
20170828,63.84,64.08,63.00,63.45
20170829,63.26,63.62,62.81,63.50
20170830,63.40,63.76,63.07,63.39
20170831,63.60,63.78,63.16,63.51
20170901,63.20,63.92,62.97,63.35
20170905,63.48,65.25,63.35,65.10
20170906,65.29,66.24,65.28,65.72
20170907,65.72,66.13,65.36,65.87
20170908,65.72,65.76,64.54,64.86
20170911,65.19,65.89,64.98,65.77
20170912,65.76,66.62,65.34,66.43
20170913,66.52,67.47,66.43,66.92
20170914,67.42,67.94,67.17,67.70
20170915,67.69,67.90,66.75,67.24
20170918,67.08,68.00,67.00,67.87
20170919,68.00,68.26,67.47,67.89
20170920,68.14,68.16,67.47,67.62
20170921,67.53,68.50,67.01,68.09
20170922,67.73,68.94,67.73,68.80
20170925,69.10,70.01,69.08,69.65
20170926,69.27,69.56,68.54,68.82
20170927,68.94,69.19,68.29,69.08
20170928,69.33,69.66,68.55,69.16
20170929,69.03,69.77,68.26,69.76
20171002,68.73,69.32,68.54,69.32
20171003,69.26,69.57,68.85,69.06
20171004,69.12,69.33,68.67,68.82
20171005,69.15,69.18,68.57,68.87
20171006,68.72,68.72,67.87,68.34
20171009,68.36,68.80,68.24,68.33
20171010,68.76,69.03,68.27,68.33
20171011,67.32,67.80,66.84,67.74
20171012,67.22,67.42,66.79,67.29
20171013,67.63,68.08,67.13,67.17
20171016,67.56,67.83,66.78,66.80
20171017,66.88,67.19,66.26,66.50
20171018,66.46,66.65,65.68,65.91
20171019,65.36,65.71,64.47,64.50
20171020,63.57,63.95,61.40,63.15
20171023,63.15,63.48,61.81,61.91
20171024,62.53,62.84,61.92,62.44
20171025,62.50,63.62,62.40,63.44
20171026,63.45,63.81,63.06,63.37
20171027,63.11,63.87,62.88,63.55
20171030,63.75,64.50,63.53,64.11
20171031,63.99,64.74,63.93,64.00
20171101,64.62,64.96,63.99,64.28
20171102,64.34,64.34,63.10,63.25
20171103,63.14,63.73,62.92,63.58
20171106,64.10,67.42,63.93,67.08
20171107,67.57,67.68,66.26,66.43
20171108,66.65,67.58,66.08,67.06
20171109,66.85,67.10,66.50,66.89
20171110,66.59,66.62,65.18,65.74
20171113,65.25,65.54,64.86,65.04
20171114,64.64,64.64,62.73,62.78
20171115,62.15,62.43,61.11,61.55
20171116,61.60,61.65,61.02,61.31
20171117,61.36,62.33,61.26,61.96
20171120,61.71,62.10,61.22,61.72
20171121,61.97,62.15,61.44,61.88
20171122,62.44,62.60,61.84,62.14
20171124,62.40,62.45,61.85,61.93
20171127,61.73,61.92,61.05,61.36
20171128,61.24,62.47,61.21,62.29
20171129,62.40,63.30,61.93,62.15
20171130,62.57,63.65,62.50,62.85
20171201,63.23,65.13,63.02,64.73
20171204,64.79,65.99,64.48,64.60
20171205,64.13,65.00,63.44,63.45
20171206,63.28,63.28,61.78,62.07
20171207,62.06,62.52,61.96,62.07
20171208,62.38,63.54,62.10,63.54
20171211,63.38,64.94,63.01,64.56
20171212,64.41,65.00,64.10,64.18
20171213,64.12,64.53,63.28,63.30
20171214,62.95,63.35,62.36,62.37
20171215,62.72,62.95,62.01,62.09
20171218,62.29,64.04,62.25,63.60
20171219,63.79,64.98,63.58,64.39
20171220,64.44,65.52,64.25,65.28
20171221,65.48,68.32,65.25,67.86
20171222,67.66,68.33,67.16,67.44
20171226,67.50,68.08,67.42,67.61
20171227,67.76,68.40,67.61,67.92
20171228,67.95,68.22,67.29,67.46
20171229,67.46,67.72,66.80,67.39
20180102,68.07,69.83,67.60,69.52
20180103,69.97,71.64,69.13,71.33
20180104,71.76,73.19,71.26,73.10
20180105,72.95,73.68,72.25,73.60
20180108,73.35,74.92,72.71,74.80
20180109,74.78,75.30,74.56,74.90
20180110,75.12,76.07,75.00,75.60
20180111,75.67,77.22,75.42,77.05
20180112,77.37,78.09,77.05,77.97
20180116,77.75,78.00,76.95,77.17
20180117,77.00,77.79,76.41,77.21
20180118,76.57,77.47,75.69,76.37
20180119,75.00,77.18,74.25,76.42
20180122,77.04,79.88,76.84,79.79
20180123,79.82,80.35,78.58,79.21
20180124,78.96,79.25,77.67,78.18
20180125,78.98,79.09,77.23,77.33
20180126,77.69,78.18,77.39,77.61
20180129,77.09,77.41,76.10,76.38
20180130,75.40,75.79,73.93,74.54
20180131,74.89,74.95,73.11,73.58
20180201,73.79,75.56,73.79,75.51
20180202,74.88,75.25,73.36,73.69
20180205,72.85,74.38,70.59,71.35
20180206,69.51,72.56,69.00,71.04
20180207,71.15,72.53,69.62,69.75
20180208,69.80,69.90,67.35,67.40
20180209,68.18,68.37,63.37,65.19
20180212,66.37,67.68,66.27,66.84
20180213,66.63,66.86,65.68,65.92
20180214,65.34,66.27,64.57,65.87
20180215,66.25,66.25,64.82,66.21
20180216,66.15,67.29,65.90,66.28
20180220,66.71,67.20,65.26,65.61
20180221,65.35,66.09,64.38,64.40
20180222,64.84,65.97,64.70,64.96
20180223,65.30,66.70,65.07,66.50
20180226,67.15,67.27,66.30,66.73
20180227,67.30,69.05,66.86,66.91
20180228,67.39,67.68,65.62,65.64
20180301,65.49,66.72,65.03,65.22
20180302,64.65,65.72,63.90,65.47
20180305,64.93,66.59,64.91,66.16
20180306,66.84,67.12,66.09,66.63
20180307,65.87,66.50,65.22,66.23
20180308,66.34,66.78,65.78,66.74
20180309,67.29,69.07,67.25,68.78
20180312,68.73,69.21,67.85,68.09
20180313,68.34,68.46,66.76,67.14
20180314,67.28,67.65,66.26,66.43
20180315,66.60,66.90,65.01,65.35
20180316,65.37,66.64,65.32,66.10
20180319,66.09,66.12,64.14,64.70
20180320,65.13,66.10,65.13,65.56
20180321,65.92,68.27,65.78,67.74
20180322,66.75,66.97,65.19,65.52
20180323,65.54,66.70,64.00,64.14
20180326,64.85,65.22,63.56,64.46
20180327,64.91,66.09,63.97,64.48
20180328,64.35,64.63,62.67,63.21
20180329,63.67,65.21,63.48,64.78
20180402,64.37,64.66,62.02,63.48
20180403,63.93,64.85,62.69,64.79
20180404,63.50,64.99,63.07,64.81
20180405,65.12,66.39,65.07,65.77
20180406,65.54,65.54,63.45,64.36
20180409,64.78,65.08,64.11,64.26
20180410,65.45,67.43,65.25,66.71
20180411,66.62,67.98,66.38,67.55
20180412,67.68,68.04,67.21,67.56
20180413,67.59,68.10,67.31,67.95
20180416,68.28,68.74,67.43,68.52
20180417,68.52,68.98,67.95,68.66
20180418,69.62,71.00,69.55,70.34
20180419,70.37,70.92,69.70,70.28
