Date,Open,High,Low,Close
20151127,171.24,171.91,169.77,171.76
20151130,172.46,173.14,171.48,172.16
20151201,172.48,173.70,172.13,173.47
20151202,173.40,173.87,171.90,171.99
20151203,172.38,173.13,169.97,170.50
20151204,170.94,173.93,170.34,173.82
20151207,173.67,174.23,172.32,174.09
20151208,172.18,174.10,170.46,170.72
20151209,169.65,172.08,168.49,169.43
20151210,169.29,170.90,169.29,169.69
20151211,167.98,168.36,166.44,167.13
20151214,167.54,169.02,166.81,168.34
20151215,169.61,170.14,167.67,168.78
20151216,170.08,171.73,169.03,171.26
20151217,171.73,172.39,169.34,170.45
20151218,169.21,170.57,166.65,166.69
20151221,167.79,169.66,166.10,168.47
20151222,169.60,170.91,167.94,170.29
20151223,171.11,172.96,170.59,172.36
20151224,172.28,172.56,171.26,171.86
20151228,171.36,172.40,170.14,172.10
20151229,173.53,174.52,172.33,173.91
20151230,173.79,174.51,172.29,172.42
20151231,172.00,173.22,171.34,171.43
20160104,168.79,169.50,166.50,168.53
20160105,168.94,169.95,167.10,168.34
20160106,166.29,168.61,166.04,167.79
20160107,165.00,166.24,163.82,164.24
20160108,165.11,166.14,162.02,162.52
20160111,163.13,163.91,160.65,163.05
20160112,164.25,165.55,162.53,164.83
20160113,165.00,165.59,161.38,161.51
20160114,161.90,164.04,159.51,163.08
20160115,159.03,161.12,155.09,157.30
20160119,158.00,158.12,155.74,155.92
20160120,153.81,154.77,147.51,152.81
20160121,152.52,153.91,149.54,150.51
20160122,152.14,154.25,150.59,153.10
20160125,153.00,154.60,152.56,153.43
20160126,154.63,159.18,154.28,159.06
20160127,158.45,161.94,157.32,158.10
20160128,158.73,159.57,155.53,157.23
20160129,158.18,161.56,157.54,161.56
20160201,158.45,162.03,156.97,161.10
20160202,160.00,160.00,153.42,154.55
20160203,155.84,155.98,149.89,153.14
20160204,154.61,154.61,143.49,145.15
20160205,144.72,144.72,138.42,139.90
20160208,138.13,138.87,133.09,135.41
20160209,134.36,137.56,134.08,135.78
20160210,136.83,143.35,136.83,141.36
20160211,138.54,140.65,135.91,138.03
20160212,139.62,140.98,138.68,140.01
20160216,142.48,143.75,140.91,141.88
20160217,143.18,144.02,141.70,143.45
20160218,143.65,145.10,143.01,144.90
20160219,144.15,145.93,143.97,145.22
20160222,146.73,147.67,146.30,147.39
20160223,146.12,147.82,144.32,144.54
20160224,143.47,145.99,142.55,145.75
20160225,145.75,146.22,143.31,144.54
20160226,145.31,147.87,144.72,147.23
20160229,146.67,147.84,144.61,144.67
20160301,146.14,151.05,144.92,150.55
20160302,149.74,151.61,149.32,150.81
20160303,150.81,154.52,149.86,154.07
20160304,153.90,156.00,152.89,154.04
20160307,153.48,155.44,152.91,153.87
20160308,152.03,153.10,150.22,151.96
20160309,152.37,152.80,150.50,151.37
20160310,152.16,152.25,148.45,150.36
20160311,151.53,153.41,151.53,152.80
20160314,152.26,154.45,152.25,154.10
20160315,152.67,155.25,152.34,154.97
20160316,154.29,156.52,153.85,155.91
20160317,155.81,156.33,155.23,156.00
20160318,156.34,157.04,155.33,155.33
20160321,155.64,158.57,154.90,158.02
20160322,157.90,158.21,156.22,156.87
20160323,156.72,157.09,155.26,155.81
20160324,155.02,158.10,154.28,157.84
20160328,157.78,158.54,156.84,158.10
20160329,156.94,158.94,156.06,158.78
20160330,159.00,160.00,158.35,158.54
20160331,158.91,158.91,156.49,156.99
20160401,156.00,159.36,155.50,159.24
20160404,158.90,158.90,154.40,154.90
20160405,153.55,154.30,152.51,153.66
20160406,153.15,156.99,152.72,156.72
20160407,155.27,157.36,153.95,155.29
20160408,157.06,158.80,156.21,157.80
20160411,158.25,158.63,155.78,156.17
20160412,156.18,157.15,155.38,156.21
20160413,157.34,159.59,157.07,159.51
20160414,159.73,161.17,158.74,160.71
20160415,161.10,161.20,159.90,160.84
20160418,160.04,161.62,159.95,161.14
20160419,161.92,162.30,160.26,161.60
20160420,161.11,161.92,160.10,161.33
20160421,162.00,162.00,158.61,160.20
20160422,160.44,162.35,159.76,160.65
20160425,160.80,161.73,159.49,161.67
20160426,162.36,163.49,161.15,161.78
20160427,161.78,162.98,160.67,162.68
20160428,161.87,164.32,160.64,161.11
20160429,160.09,160.99,159.04,159.28
20160502,159.68,160.10,158.59,159.44
20160503,158.15,158.62,155.43,156.50
20160504,155.81,157.90,155.45,157.71
20160505,157.75,159.19,157.36,158.45
