Date,Open,High,Low,Close
20151127,49.96,50.53,49.73,50.47
20151130,50.94,50.94,49.98,50.08
20151201,50.48,50.86,49.95,50.49
20151202,50.79,50.86,49.96,50.03
20151203,46.76,48.69,46.27,46.57
20151204,46.50,47.48,46.32,47.37
20151207,47.49,47.54,46.11,46.25
20151208,46.00,46.44,45.67,46.08
20151209,46.12,46.78,45.25,45.38
20151210,45.34,45.77,45.10,45.50
20151211,45.25,45.82,44.85,44.97
20151214,44.91,45.48,44.70,45.43
20151215,45.61,45.89,45.22,45.23
20151216,45.41,45.96,45.13,45.72
20151217,45.71,45.92,45.21,45.22
20151218,45.30,45.50,44.74,44.77
20151221,45.07,45.32,44.39,44.73
20151222,44.85,45.45,44.62,45.34
20151223,45.51,45.98,45.25,45.88
20151224,45.73,45.99,45.63,45.77
20151228,45.55,46.19,45.55,46.16
20151229,46.37,47.00,46.07,46.45
20151230,46.28,46.64,46.11,46.14
20151231,46.07,46.52,45.61,45.61
20160104,45.11,45.11,44.00,44.92
20160105,45.15,46.00,44.55,44.97
20160106,44.37,44.86,43.96,44.31
20160107,43.50,43.99,43.09,43.28
20160108,43.46,43.65,42.28,42.35
20160111,42.63,42.72,41.82,42.09
20160112,42.44,43.02,41.56,42.02
20160113,42.11,42.17,40.36,40.53
20160114,40.83,41.62,40.20,41.25
20160115,40.12,40.97,39.92,40.96
20160119,41.26,41.36,40.29,40.69
20160120,39.98,41.37,39.66,40.94
20160121,40.96,41.23,39.26,40.69
20160122,41.14,41.74,40.88,41.70
20160125,41.55,41.96,41.00,41.12
20160126,41.33,41.97,41.12,41.78
20160127,41.55,42.04,41.35,41.51
20160128,41.76,41.90,41.27,41.61
20160129,41.87,42.90,41.86,42.90
20160201,42.62,42.84,42.25,42.58
20160202,42.23,43.42,41.21,42.25
20160203,42.55,42.94,41.91,42.53
20160204,42.75,43.34,42.53,42.86
20160205,42.65,42.65,41.27,41.66
20160208,41.14,41.60,40.36,41.32
20160209,40.76,41.60,40.50,40.96
20160210,41.32,42.04,41.29,41.37
20160211,40.77,41.75,40.77,41.34
20160212,42.19,42.30,40.42,41.92
