Date,Open,High,Low,Close
20151127,99.36,100.24,99.20,99.64
20151130,99.63,100.07,99.21,99.23
20151201,99.64,100.14,98.80,100.06
20151202,99.84,99.99,98.24,98.38
20151203,97.82,98.99,96.65,96.96
20151204,97.29,98.22,96.22,97.67
20151207,97.44,97.44,93.05,95.00
20151208,94.50,95.00,92.75,94.02
20151209,93.64,94.44,92.80,93.75
20151210,93.67,94.11,92.35,92.52
20151211,91.90,92.23,90.87,91.28
20151214,91.24,92.02,90.52,91.90
20151215,92.33,93.61,92.14,92.80
20151216,92.92,96.35,92.75,96.25
20151217,96.30,96.78,95.55,95.95
20151218,95.23,95.53,94.06,94.41
20151221,94.91,95.30,93.63,94.17
20151222,94.41,94.41,93.16,93.92
20151223,93.59,97.09,93.59,96.54
20151224,96.11,96.40,95.71,96.02
20151228,95.67,96.27,95.17,96.05
20151229,96.49,96.84,95.73,95.85
20151230,95.98,96.37,94.70,94.85
20151231,94.47,94.77,92.89,94.01
20160104,93.16,93.25,92.37,93.18
20160105,92.83,94.43,92.11,94.29
20160106,93.51,93.85,91.85,92.00
20160107,90.49,90.90,86.73,87.00
20160108,87.13,88.94,86.72,87.83
20160111,88.03,89.87,87.82,89.69
20160112,90.82,90.85,88.40,88.94
20160113,89.54,91.80,89.14,90.24
20160114,90.22,93.56,90.05,92.94
20160115,91.33,92.28,90.29,91.99
20160119,92.68,93.15,92.02,92.50
20160120,92.11,92.29,89.14,90.05
20160121,90.10,91.33,89.45,91.04
20160122,91.68,93.85,91.39,93.61
20160125,93.23,93.85,91.83,92.07
20160126,92.36,93.32,91.74,92.22
20160127,91.94,92.30,90.59,91.33
20160128,91.77,93.03,91.53,92.83
20160129,93.71,95.28,93.71,94.75
20160201,94.75,96.20,94.29,95.67
20160202,94.94,95.65,94.04,95.52
20160203,95.95,96.84,95.18,95.64
20160204,95.48,96.97,95.20,95.31
20160205,94.98,95.63,94.08,95.06
20160208,94.87,95.29,93.03,95.10
20160209,94.75,96.59,94.01,95.90
20160210,95.44,97.73,95.35,97.11
20160211,96.40,96.91,94.04,94.45
20160212,94.95,95.11,93.24,93.47
20160216,94.07,94.77,93.29,94.44
20160217,94.84,95.68,94.08,95.50
20160218,95.32,97.39,95.20,96.88
20160219,96.66,97.30,95.74,97.25
20160222,97.73,99.48,97.67,98.75
20160223,98.08,99.24,97.78,98.83
20160224,98.32,99.12,98.06,98.90
20160225,98.89,99.44,98.11,98.91
20160226,98.07,98.07,95.14,95.56
20160229,95.40,97.62,95.04,96.51
20160301,97.22,97.35,96.14,96.57
20160302,96.06,97.45,94.39,97.43
20160303,97.52,98.87,96.36,98.56
20160304,98.42,98.86,97.31,97.86
20160307,97.23,97.85,96.26,97.40
20160308,97.55,98.59,97.04,98.34
20160309,98.45,99.74,97.93,98.87
20160310,98.75,99.30,97.15,98.24
20160311,98.94,99.69,98.77,99.46
20160314,99.43,100.32,98.72,100.07
20160315,99.37,100.39,99.37,100.20
20160316,99.98,101.00,98.86,100.62
20160317,100.81,103.25,100.49,103.04
20160318,103.10,103.96,102.29,103.23
20160321,103.23,103.34,102.23,102.90
20160322,101.94,103.15,101.64,102.74
20160323,102.30,102.53,101.39,101.83
20160324,101.46,102.77,101.03,102.55
20160328,102.74,103.44,102.14,102.74
20160329,102.88,104.32,102.33,104.15
20160330,104.70,104.70,103.10,103.47
20160331,103.38,104.34,103.38,104.05
20160401,103.92,106.05,103.38,105.92
20160404,105.59,105.62,104.94,105.13
20160405,104.55,104.64,102.96,103.08
20160406,102.85,103.32,102.10,103.20
20160407,102.73,103.82,102.38,103.35
20160408,103.64,104.59,103.64,104.24
20160411,104.32,104.87,103.12,103.32
20160412,103.53,104.22,103.02,104.09
20160413,104.35,104.43,103.14,103.97
20160414,103.96,104.16,103.46,103.91
20160415,103.74,104.96,103.74,104.60
20160418,104.60,104.60,103.55,104.48
