Date,Open,High,Low,Close
20151127,76.34,76.50,75.88,76.35
20151130,76.41,76.56,75.94,76.38
20151201,76.69,77.11,76.00,76.90
20151202,76.89,77.19,75.25,76.18
20151203,76.19,76.92,73.48,73.53
20151204,73.51,74.88,73.20,74.24
20151207,74.49,76.74,74.02,76.47
20151208,75.38,77.00,72.73,73.10
20151209,72.97,73.61,71.66,72.08
20151210,72.52,73.71,72.31,73.39
20151211,72.44,73.28,72.21,72.35
20151214,72.49,73.38,71.13,71.65
20151215,72.11,72.80,71.77,71.97
20151216,72.78,74.32,72.32,74.10
20151217,74.37,74.69,73.57,73.57
20151218,73.29,73.53,70.96,71.03
20151221,71.37,71.66,70.70,71.18
20151222,72.42,74.92,72.42,74.01
20151223,74.76,76.91,74.44,76.83
20151224,76.83,77.36,76.41,76.61
20151228,76.57,76.82,75.42,76.39
20151229,77.06,77.85,76.10,77.73
20151230,78.01,78.77,76.89,76.95
20151231,76.82,76.82,75.32,75.34
20160104,74.11,74.98,73.39,74.37
20160105,74.37,75.01,73.43,74.29
20160106,73.37,75.10,73.25,74.41
20160107,73.00,74.22,72.32,72.50
20160108,72.64,72.87,70.45,70.55
20160111,70.82,71.55,68.94,69.63
20160112,70.12,70.54,68.90,69.62
20160113,69.62,70.19,66.97,67.00
20160114,67.16,68.32,66.21,67.92
20160115,66.26,67.42,65.77,67.33
20160119,67.90,68.36,66.53,67.08
20160120,66.18,68.57,65.18,67.87
20160121,67.89,68.66,67.04,67.60
20160122,68.41,69.57,68.20,69.56
20160125,69.33,70.30,69.08,69.41
20160126,69.59,69.87,68.72,69.35
20160127,69.00,70.51,68.68,68.91
20160128,69.25,69.56,66.67,67.88
20160129,68.25,69.37,68.25,69.24
20160201,68.49,70.13,68.49,69.83
20160202,68.99,69.34,68.48,69.11
20160203,69.77,69.77,68.20,68.92
20160204,68.97,69.44,68.35,68.66
20160205,68.29,68.43,66.47,66.76
20160208,65.86,66.28,63.71,65.46
20160209,66.48,67.98,65.18,66.47
20160210,67.02,67.36,64.09,64.20
20160211,62.28,63.69,61.41,62.47
20160212,63.17,63.23,61.38,62.61
20160216,63.03,64.25,62.85,64.02
20160217,64.32,65.16,64.10,64.67
20160218,64.73,65.29,63.59,63.70
20160219,63.54,63.78,62.68,63.62
20160222,64.14,64.60,63.40,64.48
20160223,63.96,64.23,62.65,62.77
20160224,62.39,63.46,61.64,63.39
20160225,63.52,65.30,63.36,65.26
20160226,65.19,65.34,64.45,64.54
20160229,64.59,64.96,63.32,64.32
20160301,64.62,65.58,64.35,65.01
20160302,64.78,65.67,64.78,65.30
20160303,65.24,66.07,65.06,66.02
20160304,66.00,67.10,65.97,66.98
20160307,66.66,68.00,66.38,68.00
20160308,67.45,68.44,67.28,67.34
20160309,67.32,67.54,67.13,67.37
20160310,67.36,68.01,66.19,66.40
20160311,66.91,68.64,66.65,68.54
20160314,68.18,68.74,67.10,67.67
20160315,67.07,67.46,66.65,66.77
20160316,66.38,67.36,66.38,66.92
20160317,66.69,67.02,66.03,66.29
20160318,66.41,67.80,66.21,67.50
20160321,67.20,68.69,67.02,68.50
20160322,67.99,69.29,67.96,69.12
20160323,69.12,69.71,69.01,69.42
20160324,68.91,69.41,68.43,69.22
20160328,69.22,70.34,69.04,70.18
20160329,69.97,71.81,69.71,71.73
20160330,72.00,72.78,71.56,71.74
20160331,71.87,72.28,70.74,71.05
20160401,70.86,72.27,70.49,72.25
20160404,72.24,72.51,70.33,70.52
20160405,69.83,69.83,68.49,69.20
20160406,69.01,70.25,68.67,70.20
20160407,69.61,69.98,69.33,69.72
20160408,70.14,70.40,69.74,70.17
20160411,70.32,70.88,69.97,70.14
20160412,70.06,71.02,69.53,70.95
20160413,71.42,72.00,70.77,71.82
20160414,71.77,71.88,71.19,71.54
20160415,71.54,71.93,70.97,71.31
20160418,71.18,72.76,70.73,72.65
20160419,72.90,73.13,72.25,72.54
20160420,72.88,73.11,71.99,72.55
20160421,72.34,73.52,72.10,72.94
20160422,72.90,74.10,72.50,72.93
20160425,72.50,72.91,71.83,72.04
20160426,72.00,73.05,71.84,72.79
20160427,72.99,73.49,72.17,72.41
20160428,71.91,72.50,71.23,71.40
20160429,71.12,71.12,70.18,70.67
20160502,70.65,71.42,70.44,70.59
20160503,70.40,70.41,69.27,69.60
20160504,69.29,70.72,69.11,70.52
20160505,70.59,71.71,70.59,71.38
20160506,70.84,71.50,70.62,71.31
20160509,71.09,72.64,70.93,72.06
20160510,72.41,72.53,71.22,72.49
20160511,72.55,72.55,71.67,71.69
20160512,71.65,72.00,71.11,71.76
20160513,71.30,72.11,70.97,71.16
20160516,71.18,72.53,71.18,72.36
20160517,72.42,72.42,70.26,70.37
20160518,64.79,69.48,64.39,68.75
20160519,68.38,70.06,68.21,70.00
20160520,70.26,70.52,69.58,69.87
20160523,70.03,70.16,68.57,68.69
20160524,69.30,70.38,68.38,69.87
20160525,69.93,70.30,69.21,69.42
20160526,69.55,69.70,68.25,68.40
20160527,68.33,69.63,68.08,69.38
20160531,69.38,69.56,68.89,69.43
20160601,69.43,70.05,68.98,69.72
20160602,69.55,70.26,69.30,69.82
20160603,70.59,71.76,70.05,70.50
20160606,70.32,70.51,69.67,70.27
20160607,70.36,71.14,69.95,70.83
20160608,70.75,71.72,70.59,71.55
20160609,71.29,72.02,71.11,71.67
20160610,71.17,71.22,70.51,70.74
20160613,70.50,70.62,68.33,68.38
20160614,68.06,68.45,67.28,67.75
20160615,67.93,67.93,67.02,67.15
20160616,66.70,67.07,65.92,66.60
20160617,66.68,67.48,66.12,67.39
20160620,68.30,68.78,67.65,67.66
20160621,67.66,67.95,66.84,67.51
20160622,67.49,67.83,67.15,67.15
20160623,67.83,69.43,67.66,69.39
20160624,67.31,67.31,64.89,65.44
20160627,65.06,65.21,63.26,63.28
20160628,63.65,65.05,63.43,65.02
20160629,65.51,67.43,65.51,67.36
20160630,67.85,68.78,67.19,68.75
20160701,68.90,69.48,68.09,68.89
20160705,68.77,69.07,67.68,67.79
20160706,67.68,68.30,67.25,68.07
20160707,68.26,68.76,68.03,68.19
20160708,68.80,69.48,68.46,69.16
20160711,69.45,69.65,69.08,69.09
20160712,69.26,69.58,69.16,69.38
20160713,69.88,69.90,68.97,69.03
20160714,69.54,69.57,68.79,69.03
20160715,69.32,69.67,68.49,68.80
20160718,68.69,68.95,68.42,68.82
20160719,68.63,68.65,68.24,68.48
20160720,68.56,69.41,68.30,69.09
20160721,68.90,69.12,68.09,68.27
20160722,68.62,69.43,68.26,69.41
20160725,69.20,69.55,68.12,68.24
20160726,68.12,69.06,68.06,69.02
20160727,68.70,70.60,68.70,70.28
20160728,70.28,70.56,69.50,70.33
20160729,70.30,71.58,70.30,70.95
20160801,70.95,72.11,70.71,71.41
20160802,71.17,71.70,70.66,70.76
20160803,70.77,70.91,70.15,70.64
20160804,70.79,70.98,70.26,70.64
20160805,70.90,72.47,70.79,72.47
20160808,72.59,73.00,72.42,72.58
20160809,73.36,74.45,72.54,72.64
20160810,72.31,72.35,71.05,71.40
20160811,71.28,71.90,71.10,71.57
20160812,71.30,71.68,70.58,71.23
20160815,71.40,71.86,71.38,71.69
20160816,71.53,71.89,71.06,71.10
20160817,71.11,71.11,70.30,70.39
20160818,70.29,71.01,70.07,71.00
20160819,70.60,70.83,70.31,70.83
20160822,70.65,70.68,70.00,70.36
20160823,70.50,70.77,70.07,70.09
20160824,69.81,70.07,68.96,69.21
20160825,68.76,69.72,68.35,69.60
20160826,69.44,70.44,69.05,70.14
20160829,70.36,71.11,70.19,70.56
20160830,70.66,71.08,70.55,70.98
20160831,70.84,71.19,70.44,70.68
20160901,70.65,70.98,69.72,70.11
20160902,70.46,71.00,70.22,71.00
20160906,71.01,71.72,70.58,71.24
20160907,71.00,71.88,71.00,71.44
20160908,71.44,71.50,70.90,71.15
20160909,70.42,70.91,70.12,70.49
20160912,70.09,71.47,70.02,71.36
20160913,70.91,71.27,69.62,70.02
20160914,70.09,70.63,69.39,70.00
20160915,69.76,70.62,69.76,70.50
20160916,70.37,71.69,70.08,71.27
20160919,71.78,72.43,71.58,71.75
20160920,72.32,73.30,72.00,72.82
20160921,73.30,73.85,72.30,73.67
20160922,74.00,74.63,73.73,73.90
20160923,74.01,74.07,73.01,73.12
20160926,72.93,73.34,72.73,73.02
20160927,73.08,73.33,72.70,73.12
20160928,73.23,73.67,72.49,73.16
20160929,73.07,73.44,72.03,72.63
20160930,72.55,73.70,72.52,73.10
20161003,73.00,73.06,72.04,72.23
20161004,72.03,72.97,71.26,71.54
20161005,71.75,72.55,71.56,72.18
20161006,71.79,72.26,71.45,71.99
20161007,72.04,72.04,70.44,71.27
20161010,71.70,72.42,71.55,72.19
20161011,72.05,72.05,69.68,69.85
20161012,70.19,70.24,69.51,69.79
20161013,69.15,70.13,68.64,69.80
20161014,70.12,70.49,69.53,69.56
20161017,69.45,69.57,68.79,69.01
20161018,69.96,70.01,69.26,69.29
20161019,69.38,69.38,68.83,69.00
20161020,68.65,69.29,68.56,69.15
20161021,68.65,68.70,68.13,68.37
20161024,69.12,69.12,67.86,68.12
20161025,68.17,68.69,67.76,68.34
20161026,67.96,68.19,67.59,67.92
20161027,67.82,68.04,66.61,66.92
20161028,66.74,67.54,66.60,66.92
20161031,66.84,67.28,66.18,66.82
20161101,67.16,67.29,65.78,66.36
20161102,65.31,67.74,65.18,65.66
20161103,65.43,66.20,64.37,64.40
20161104,64.31,65.57,63.80,65.34
