Date,Open,High,Low,Close
20151127,72.71,72.88,72.11,72.80
20151130,72.81,73.10,72.49,72.58
20151201,72.95,73.27,71.98,72.43
20151202,72.64,72.91,71.92,72.36
20151203,72.48,72.94,71.17,71.34
20151204,71.80,73.77,71.44,73.69
20151207,73.43,73.43,72.09,72.52
20151208,71.10,72.24,70.80,70.96
20151209,70.43,70.76,68.71,68.83
20151210,68.83,69.85,68.74,69.05
20151211,67.88,68.13,66.01,66.12
20151214,66.58,67.11,64.50,65.73
20151215,66.44,67.57,66.44,67.41
20151216,68.10,69.09,66.90,68.61
20151217,68.50,68.61,65.91,66.40
20151218,65.81,65.82,64.71,64.73
20151221,65.36,65.81,65.02,65.77
20151222,66.36,66.55,65.34,66.40
20151223,66.70,67.22,66.56,67.16
20151224,67.16,67.43,67.06,67.14
20151228,67.01,67.31,66.43,67.17
20151229,67.63,68.32,67.42,67.65
20151230,67.27,67.54,66.56,66.57
20151231,66.07,67.25,65.88,66.36
20160104,64.77,65.18,64.14,65.14
20160105,64.97,65.65,64.74,65.24
20160106,64.00,64.07,62.83,63.07
20160107,62.03,62.14,60.00,60.22
20160108,60.76,60.84,58.53,58.65
20160111,58.98,59.44,57.46,58.44
20160112,59.27,59.49,58.15,59.35
20160113,59.77,59.96,56.72,56.81
20160114,57.28,58.24,56.14,57.44
20160115,55.54,55.92,53.77,54.97
20160119,55.84,55.93,54.76,55.54
20160120,54.10,55.79,53.21,55.13
20160121,55.20,55.96,54.24,54.43
20160122,55.51,56.35,55.14,55.83
20160125,55.41,55.59,54.19,54.22
20160126,54.59,56.08,54.49,55.93
20160127,53.78,54.49,51.77,51.91
20160128,52.10,52.66,50.73,51.98
20160129,52.44,55.83,52.41,55.73
20160201,55.15,55.34,54.30,54.79
20160202,53.50,53.50,52.19,52.97
20160203,53.54,53.91,51.70,53.78
20160204,53.68,56.16,53.39,55.11
20160205,55.11,55.98,53.99,54.42
20160208,53.53,53.90,52.46,53.57
20160209,52.16,53.95,52.16,53.40
20160210,53.87,55.07,53.70,53.73
20160211,51.44,53.07,51.44,52.38
20160212,53.52,54.90,52.87,54.68
20160216,55.21,57.27,55.02,56.64
20160217,57.17,58.04,56.41,56.58
20160218,56.68,56.88,55.15,55.58
20160219,55.19,56.91,54.75,56.19
20160222,56.66,57.65,55.92,56.82
20160223,56.76,56.77,55.30,55.63
20160224,54.16,54.36,52.67,54.18
20160225,54.28,54.74,53.62,54.74
20160226,55.35,56.09,54.72,55.41
20160229,55.49,55.64,54.31,54.78
20160301,55.42,57.28,55.40,57.14
20160302,57.17,57.86,56.88,57.69
20160303,57.71,58.19,57.05,58.05
20160304,58.45,59.74,58.10,58.67
20160307,57.95,58.82,57.79,58.50
20160308,57.81,58.08,57.07,57.28
20160309,57.80,57.99,56.88,56.99
20160310,57.50,57.50,56.02,56.57
20160311,57.30,57.99,56.79,57.95
20160314,57.79,58.14,57.30,57.76
20160315,57.30,57.37,56.62,56.75
20160316,56.54,57.41,56.11,56.85
20160317,56.66,57.75,56.35,57.40
20160318,57.76,59.20,57.61,59.05
20160321,58.99,60.27,58.61,59.94
20160322,59.32,59.80,58.93,59.36
20160323,59.26,60.05,58.93,59.64
20160324,58.74,59.00,58.04,58.75
