Date,Open,High,Low,Close
20151127,34.51,34.80,34.25,34.62
20151130,35.46,35.97,34.71,35.94
20151201,36.15,36.62,35.67,36.51
20151202,36.19,36.36,34.36,34.54
20151203,34.76,34.91,33.47,33.77
20151204,33.71,34.65,33.40,34.45
20151207,34.45,35.23,34.05,35.10
20151208,34.79,35.57,34.43,35.43
20151209,35.17,36.48,35.05,35.72
20151210,35.74,36.50,35.50,36.22
20151211,35.63,36.56,34.41,35.98
20151214,36.04,36.17,33.40,33.67
20151215,33.91,35.02,33.75,34.25
20151216,34.59,34.99,34.07,34.78
20151217,34.92,35.00,33.45,33.92
20151218,33.70,34.69,33.51,34.10
20151221,34.29,34.98,34.15,34.70
20151222,34.57,35.59,34.15,35.45
20151223,35.65,37.25,35.46,36.62
20151224,36.48,37.26,36.47,36.65
20151228,36.72,37.18,36.26,36.74
20151229,37.04,37.44,36.78,37.15
20151230,37.00,37.94,37.00,37.18
20151231,37.01,37.35,36.60,36.66
20160104,36.03,36.43,35.11,36.27
20160105,36.50,36.88,35.92,36.33
20160106,35.65,35.92,34.33,34.75
20160107,34.05,34.81,33.76,34.54
20160108,34.38,34.53,32.16,32.54
20160111,33.12,33.12,30.65,31.35
20160112,31.72,31.94,30.42,31.57
20160113,31.59,32.45,30.95,31.07
20160114,31.19,32.43,30.45,32.11
20160115,30.48,31.24,29.91,30.89
20160119,31.46,31.73,29.39,29.83
20160120,29.19,29.50,27.75,29.22
20160121,29.45,29.47,27.41,27.56
20160122,28.24,28.51,27.03,27.93
20160125,27.61,27.69,26.35,26.40
20160126,26.50,28.14,26.50,27.74
20160127,27.40,27.92,26.73,26.97
20160128,27.17,27.27,26.25,26.76
20160129,29.02,30.15,28.05,29.05
20160201,29.06,30.93,28.60,30.41
20160202,29.71,30.79,28.27,28.61
20160203,30.18,31.33,29.77,30.52
20160204,30.57,33.62,30.56,32.19
20160205,31.34,31.91,30.50,31.59
20160208,30.91,31.29,29.69,30.36
20160209,29.97,30.21,28.95,29.41
20160210,29.73,30.76,29.66,30.19
20160211,29.48,29.80,28.64,29.03
20160212,29.51,29.93,28.51,29.88
20160216,30.18,31.53,29.85,31.33
20160217,31.51,32.40,31.42,31.97
20160218,31.83,33.65,31.54,33.11
20160219,32.44,32.73,31.02,31.34
