Date,Open,High,Low,Close
20151127,143.32,144.44,142.89,143.79
20151130,143.80,144.60,140.26,140.26
20151201,140.95,142.92,140.79,142.85
20151202,142.91,142.91,141.35,141.84
20151203,141.99,142.67,140.00,140.50
20151204,140.77,144.84,140.54,144.67
20151207,144.23,144.67,140.72,141.80
20151208,141.30,143.39,140.87,142.99
20151209,142.58,143.06,139.58,140.18
20151210,140.24,141.34,139.35,139.98
20151211,139.61,141.20,137.50,138.30
20151214,138.30,139.00,135.34,137.69
20151215,138.30,139.71,137.70,139.28
20151216,140.07,143.29,140.07,142.96
20151217,143.00,143.44,139.89,139.89
20151218,139.52,141.04,138.00,138.57
20151221,140.94,142.81,140.09,141.40
20151222,141.78,142.74,139.68,142.63
20151223,142.91,144.09,142.68,143.69
20151224,143.46,143.73,142.92,143.03
20151228,142.91,143.27,142.01,143.27
20151229,143.85,144.87,143.79,144.25
20151230,144.34,144.69,143.51,144.17
20151231,143.31,144.31,142.27,142.44
20160104,141.03,141.08,138.45,140.69
20160105,141.56,143.95,141.24,143.62
20160106,142.99,144.41,142.01,143.12
20160107,149.50,154.31,147.11,149.61
20160108,149.88,151.00,146.59,147.00
20160111,147.72,148.60,144.79,147.05
20160112,148.19,148.20,144.66,147.04
20160113,147.13,147.23,143.64,144.13
20160114,143.90,144.54,141.25,143.25
20160115,141.43,144.71,141.20,142.75
20160119,144.82,146.20,143.10,145.62
20160120,143.72,146.65,142.12,145.14
20160121,144.97,146.21,142.36,143.45
20160122,145.27,149.23,145.06,148.76
20160125,149.30,149.50,147.16,148.25
20160126,148.25,150.97,147.60,148.38
20160127,148.94,149.63,144.80,146.11
20160128,146.76,152.46,146.70,151.82
20160129,152.27,152.93,151.26,152.48
20160201,152.90,155.68,152.75,154.36
20160202,153.59,154.58,151.90,152.51
20160203,152.53,153.24,148.15,150.40
20160204,149.50,150.05,145.44,146.95
20160205,147.29,147.46,137.82,137.95
20160208,135.54,136.42,130.23,134.95
20160209,134.08,138.81,133.42,136.09
