Date,Open,High,Low,Close
20151127,80.63,82.13,80.00,81.90
20151130,81.89,83.19,80.77,83.02
20151201,83.63,84.49,83.28,83.76
20151202,83.95,85.78,83.30,84.63
20151203,86.71,87.10,83.13,83.44
20151204,83.24,88.52,82.13,87.92
20151207,87.92,87.99,86.17,86.69
20151208,85.43,87.77,84.50,87.10
20151209,86.53,86.74,83.92,84.68
20151210,84.51,86.18,84.17,84.89
20151211,83.07,83.56,80.81,81.43
20151214,79.64,79.99,76.45,78.51
20151215,78.18,78.78,76.85,77.78
20151216,78.25,79.46,77.13,78.97
20151217,79.82,80.63,77.76,77.80
20151218,77.23,78.44,76.15,76.38
20151221,77.50,78.42,76.40,78.42
20151222,78.81,79.11,76.71,78.41
20151223,78.86,79.86,77.66,79.17
20151224,79.17,80.48,79.00,79.32
20151228,78.81,79.90,77.57,79.31
20151229,79.43,81.35,79.08,80.43
20151230,80.18,80.93,79.15,79.19
20151231,78.91,79.25,76.80,76.83
20160104,75.01,78.00,74.91,77.93
20160105,78.04,78.12,72.78,73.29
20160106,71.55,72.06,68.33,69.15
20160107,66.60,70.28,66.10,67.16
20160108,68.56,69.12,66.55,66.89
20160111,67.18,68.00,64.93,66.05
20160112,66.72,67.81,65.06,66.63
20160113,64.20,65.66,61.90,62.16
20160114,62.01,65.14,60.07,64.54
20160115,61.10,62.45,59.92,60.67
20160119,62.38,63.34,59.87,60.38
20160120,59.37,62.31,58.50,61.62
20160121,62.23,64.73,61.52,63.29
20160122,65.00,67.42,64.97,67.03
20160125,66.85,66.92,65.49,65.59
20160126,65.75,67.04,64.99,65.80
20160127,65.68,66.46,61.71,62.14
20160128,62.77,64.90,62.61,64.79
20160129,68.82,69.77,66.22,68.92
20160201,68.18,70.39,67.52,69.62
20160202,69.07,69.20,66.38,66.48
20160203,67.80,68.79,64.88,66.19
20160204,66.58,66.79,65.12,66.00
20160205,64.87,65.85,61.00,62.16
20160208,60.81,61.19,58.23,59.30
20160209,58.24,60.08,57.46,57.70
20160210,58.68,59.76,57.01,57.20
20160211,56.10,56.97,54.50,55.85
20160212,57.06,57.96,56.01,57.63
20160216,59.27,62.44,59.14,61.44
20160217,61.82,64.88,61.57,63.71
20160218,64.43,64.49,61.10,62.07
20160219,61.51,63.50,61.29,63.03
20160222,63.60,65.19,63.29,64.29
20160223,63.74,63.76,62.07,62.62
20160224,61.58,63.86,61.11,63.71
20160225,63.53,64.56,62.59,64.55
20160226,65.08,65.40,64.43,64.90
20160229,65.88,68.79,65.54,66.45
20160301,67.62,70.42,67.04,70.40
20160302,69.94,70.85,68.45,68.98
20160303,68.42,70.49,68.30,70.10
20160304,71.18,75.11,70.33,73.01
20160307,72.16,74.73,71.81,72.92
20160308,72.00,72.10,69.25,69.91
20160309,70.32,71.91,69.96,71.02
20160310,71.50,72.36,68.58,69.97
20160311,70.83,72.80,70.62,72.77
20160314,72.17,73.21,71.52,72.79
20160315,73.52,74.40,72.35,73.61
20160316,73.00,75.05,72.90,75.00
20160317,74.26,75.16,73.08,74.92
20160318,75.41,77.13,74.86,77.02
20160321,76.68,77.24,75.43,77.21
20160322,76.10,77.00,75.61,76.89
20160323,76.45,76.72,75.83,76.30
20160324,75.57,76.24,75.01,76.20
20160328,76.44,77.18,75.72,76.92
20160329,74.51,76.88,73.61,76.47
20160330,76.99,78.22,76.80,77.85
20160331,77.61,78.29,77.31,77.90
20160401,77.16,78.23,76.32,78.18
20160404,78.36,78.46,76.44,77.50
20160405,76.45,77.38,76.14,77.07
20160406,76.87,78.45,75.22,78.21
20160407,77.58,77.72,76.57,77.31
20160408,78.00,78.11,76.60,77.36
20160411,77.73,78.00,76.02,76.07
20160412,76.23,76.35,73.66,74.64
20160413,75.26,77.22,75.00,77.07
20160414,75.89,76.90,74.59,76.77
20160415,76.64,77.16,74.95,75.06
20160418,74.40,75.21,73.90,74.74
20160419,75.15,75.15,71.88,72.23
20160420,71.84,73.51,70.89,72.84
20160421,72.59,72.79,71.07,71.69
20160422,71.58,72.15,70.56,71.50
20160425,71.03,71.47,70.01,70.72
20160426,71.34,72.50,71.03,71.70
20160427,68.68,72.84,68.48,72.32
20160428,71.88,73.59,71.31,71.78
20160429,70.42,72.01,66.04,66.82
20160502,66.77,67.28,65.70,67.12
20160503,66.94,67.39,66.54,67.02
20160504,66.49,67.01,64.78,65.23
20160505,66.12,66.19,64.25,64.35
20160506,64.20,64.65,62.62,64.63
20160509,64.42,65.57,64.42,65.05
20160510,64.90,65.11,63.75,64.86
20160511,64.66,65.31,64.35,64.59
20160512,64.85,64.95,60.92,61.66
20160513,60.97,62.24,60.43,60.75
20160516,61.11,62.86,60.96,62.42
20160517,62.13,63.58,61.94,62.31
20160518,62.10,64.36,62.01,63.57
20160519,63.00,63.84,61.83,62.80
20160520,63.47,64.80,62.91,64.56
20160523,65.85,67.46,65.76,65.81
20160524,66.07,66.67,65.85,66.46
20160525,66.45,66.78,65.11,66.27
20160526,66.00,66.80,65.89,66.17
20160527,65.93,66.55,65.81,66.50
20160531,66.32,67.10,66.30,66.76
20160601,66.37,67.64,66.37,67.27
20160602,67.03,67.56,66.26,66.58
20160603,67.74,68.50,66.27,66.94
20160606,66.94,67.26,66.06,66.11
20160607,66.39,68.96,66.17,68.67
20160608,68.53,68.98,67.71,68.38
20160609,66.50,68.09,66.35,67.97
20160610,66.91,67.08,65.42,65.55
20160613,65.02,66.13,64.82,64.96
20160614,64.75,65.19,64.01,65.01
20160615,65.19,65.51,64.76,64.99
20160616,64.25,64.94,63.36,64.78
20160617,64.74,64.74,63.31,63.97
20160620,64.95,66.62,64.74,65.95
20160621,66.14,67.10,65.34,65.46
20160622,65.41,66.77,65.29,65.35
20160623,66.23,67.23,65.83,67.21
20160624,64.00,65.09,61.37,61.61
20160627,60.16,60.80,57.11,58.01
20160628,59.29,60.77,59.13,60.26
20160629,61.08,62.23,60.75,61.73
20160630,62.03,63.31,61.68,63.28
20160701,62.48,63.22,61.87,62.60
20160705,60.67,60.74,58.08,58.82
20160706,58.25,59.26,57.19,59.16
20160707,59.39,61.20,59.34,60.89
20160708,61.67,63.15,61.52,62.91
20160711,63.60,65.20,63.57,64.64
20160712,65.49,66.42,65.21,65.80
20160713,66.44,66.48,65.08,65.35
20160714,66.31,67.60,65.48,67.39
20160715,67.72,67.74,67.02,67.39
20160718,68.18,68.95,67.71,68.70
20160719,68.33,68.55,67.81,68.33
20160720,68.47,69.80,67.96,69.49
20160721,70.00,71.33,69.76,70.92
20160722,66.74,67.15,62.40,64.81
20160725,64.99,65.52,64.68,64.94
20160726,65.36,66.38,64.05,65.87
20160727,68.14,68.19,66.22,66.47
20160728,66.17,66.59,65.20,66.47
20160729,66.48,66.70,65.50,66.02
20160801,65.92,66.87,65.80,66.14
20160802,65.57,65.96,64.43,65.04
20160803,63.33,65.03,63.30,64.39
20160804,64.45,65.26,64.02,65.16
20160805,65.59,66.57,65.14,66.55
20160808,66.57,67.22,65.72,65.94
20160809,66.45,67.64,66.33,67.00
20160810,67.03,67.04,65.70,66.41
20160811,66.38,67.58,66.22,67.41
20160812,67.45,67.85,67.01,67.53
20160815,67.61,69.59,67.55,69.50
20160816,69.35,69.81,68.60,69.60
20160817,69.70,70.42,69.20,70.19
20160818,70.48,72.06,70.29,71.80
20160819,71.56,73.40,71.56,72.29
20160822,72.34,72.89,71.94,72.62
20160823,73.13,73.90,72.89,73.78
20160824,73.95,74.31,72.98,73.29
20160825,73.16,74.75,73.11,74.33
20160826,74.35,75.00,73.74,74.84
20160829,74.79,75.65,74.50,75.22
20160830,74.40,75.79,73.84,74.20
20160831,74.13,75.24,73.90,74.86
20160901,74.79,75.19,74.21,75.09
20160902,75.25,75.43,74.21,74.62
20160906,74.29,74.52,72.25,73.01
20160907,73.18,73.77,71.57,72.05
20160908,71.93,71.94,70.84,71.43
20160909,70.51,70.69,66.06,66.76
20160912,66.00,68.58,65.76,68.34
20160913,68.50,70.45,68.25,69.36
20160914,69.73,72.43,69.51,72.40
20160915,73.00,77.25,72.98,77.02
20160916,77.15,77.24,75.00,76.07
