Date,Open,High,Low,Close
20151127,41.52,41.63,41.29,41.55
20151130,41.52,41.62,41.09,41.10
20151201,41.34,41.41,40.98,41.04
20151202,41.05,41.23,40.92,41.01
20151203,41.07,41.29,40.39,40.51
20151204,40.65,41.44,40.65,41.10
20151207,41.13,41.33,40.80,41.07
20151208,40.78,41.31,40.56,41.17
20151209,40.92,41.37,40.74,41.13
20151210,41.14,41.28,40.87,41.11
20151211,40.84,41.08,40.76,40.91
20151214,40.97,41.25,40.77,41.21
20151215,40.94,41.30,40.93,41.14
20151216,41.37,41.61,41.02,41.54
20151217,41.54,41.54,41.21,41.25
20151218,41.02,41.14,40.55,40.55
20151221,40.74,40.99,40.51,40.86
20151222,40.98,41.38,40.88,41.27
20151223,41.48,41.66,41.26,41.55
20151224,41.43,41.54,41.30,41.30
20151228,41.23,41.59,41.19,41.51
20151229,41.64,41.82,41.47,41.53
20151230,41.55,41.75,41.41,41.46
20151231,41.25,41.33,40.95,41.00
20160104,40.53,40.67,40.28,40.61
20160105,40.63,40.76,40.32,40.64
20160106,40.02,40.29,39.84,40.19
20160107,39.71,40.23,39.71,39.79
20160108,39.94,40.18,39.75,39.80
20160111,39.86,40.33,39.81,40.12
20160112,40.31,40.71,40.21,40.70
20160113,40.70,40.87,40.00,40.04
20160114,40.17,40.41,39.83,40.13
20160115,39.30,39.97,39.17,39.86
20160119,40.14,40.31,39.57,39.96
20160120,39.57,40.00,38.84,39.66
20160121,39.80,39.87,38.96,39.40
20160122,39.77,39.77,39.33,39.59
20160125,39.61,39.64,38.97,39.10
20160126,39.17,39.61,39.05,39.25
20160127,39.31,39.60,39.07,39.31
20160128,39.43,39.76,39.13,39.50
20160129,39.57,39.96,39.41,39.81
20160201,41.75,43.35,41.40,43.15
20160202,42.52,43.24,42.35,42.79
20160203,43.31,43.56,42.74,43.23
20160204,43.16,43.74,43.00,43.44
20160205,43.88,43.97,42.95,43.07
20160208,42.75,43.21,42.56,43.12
20160209,42.78,43.15,42.56,42.61
20160210,42.95,43.38,42.61,42.71
20160211,42.47,42.82,42.28,42.61
