Date,Open,High,Low,Close
20151127,33.50,33.78,33.48,33.57
20151130,33.59,33.75,33.42,33.67
20151201,33.78,33.97,33.58,33.77
20151202,33.76,33.95,33.54,33.56
20151203,33.61,33.66,33.01,33.10
20151204,33.19,34.17,33.17,34.11
20151207,33.88,34.39,33.88,34.27
20151208,33.95,34.10,33.63,33.85
20151209,33.75,34.23,33.47,33.57
20151210,33.63,34.03,33.55,33.67
20151211,33.41,33.59,33.09,33.17
20151214,33.15,33.65,33.11,33.60
20151215,33.72,33.93,33.41,33.81
20151216,33.91,34.48,33.90,34.40
20151217,34.42,34.61,34.03,34.03
20151218,33.87,34.00,33.60,33.60
20151221,33.92,34.11,33.75,34.09
20151222,34.29,34.48,34.01,34.41
20151223,34.43,34.92,34.43,34.78
20151224,34.78,34.78,34.54,34.66
20151228,34.62,34.88,34.60,34.76
20151229,34.94,34.99,34.79,34.93
20151230,34.93,34.95,34.68,34.74
20151231,34.56,34.66,34.39,34.41
20160104,34.08,34.35,34.00,34.35
20160105,34.35,34.69,34.12,34.59
20160106,33.82,34.21,33.72,34.06
20160107,33.62,34.10,33.51,33.51
20160108,33.77,33.96,33.41,33.54
20160111,33.76,34.10,33.53,33.95
20160112,34.10,34.19,33.66,33.90
20160113,34.01,34.30,33.73,33.74
20160114,33.88,34.55,33.75,34.30
20160115,33.66,34.34,33.61,33.99
20160119,34.21,34.60,34.11,34.51
20160120,34.14,34.35,33.43,33.90
20160121,33.99,34.88,33.79,34.54
20160122,34.88,35.18,34.70,35.14
20160125,35.19,35.43,34.77,35.00
20160126,35.03,35.57,34.93,35.40
20160127,34.99,35.80,34.90,35.48
20160128,35.77,35.79,35.21,35.53
20160129,35.71,36.06,35.68,36.06
20160201,36.04,36.40,35.88,36.18
20160202,36.14,36.20,35.79,36.06
20160203,36.12,36.80,35.90,36.72
20160204,36.73,36.82,36.27,36.53
20160205,36.59,37.04,36.53,36.88
20160208,36.60,37.12,36.39,37.11
20160209,36.70,36.88,36.16,36.65
20160210,36.65,36.74,36.26,36.43
20160211,36.06,36.35,35.91,36.21
20160212,36.35,36.51,36.05,36.47
20160216,36.68,36.75,36.19,36.65
20160217,36.75,36.79,36.53,36.64
20160218,36.62,37.00,36.51,36.99
20160219,36.90,36.98,36.52,36.57
20160222,36.74,36.86,36.55,36.86
20160223,36.81,36.91,36.51,36.74
20160224,36.70,37.11,36.63,37.10
20160225,37.10,37.50,37.05,37.37
20160226,37.49,37.49,37.06,37.13
20160229,37.12,37.39,36.95,36.95
20160301,37.10,37.39,37.06,37.39
20160302,37.22,37.69,37.11,37.69
20160303,37.69,38.11,37.49,37.99
20160304,37.91,38.14,37.80,37.93
20160307,37.80,38.19,37.61,38.13
20160308,37.97,38.42,37.85,38.09
